iteration,date,time,measurement_period,machine/VNF,sys_cpu,totalmem,availablemem,percentmem,usedmem,freemem,activemem,inactivemem,buffers,cached,shared
0,2022-01-27,04:55:22,0.5,ROS_VNF_interface,16.0,2084077568,970547200,53.4,941805568,414953472,1108668416,354902016,65323008,661995520,1249280
1,2022-01-27,04:55:23,0.5,ROS_VNF_interface,25.7,2084077568,970690560,53.4,941658112,415051776,1108721664,354934784,65323008,662044672,1249280
2,2022-01-27,04:55:23,0.5,ROS_VNF_interface,14.4,2084077568,970592256,53.4,941752320,414953472,1108721664,354934784,65323008,662048768,1249280
3,2022-01-27,04:55:24,0.5,ROS_VNF_interface,11.6,2084077568,970559488,53.4,941785088,414920704,1108721664,354934784,65323008,662048768,1249280
4,2022-01-27,04:55:24,0.5,ROS_VNF_interface,16.5,2084077568,978956288,53.0,933388288,423317504,1099603968,354934784,65323008,662048768,1249280
5,2022-01-27,04:55:25,0.5,ROS_VNF_interface,6.6,2084077568,979099648,53.0,933253120,423432192,1099534336,354963456,65323008,662069248,1249280
6,2022-01-27,04:55:25,0.5,ROS_VNF_interface,11.2,2084077568,979034112,53.0,933314560,423366656,1099534336,354963456,65323008,662073344,1249280
7,2022-01-27,04:55:26,0.5,ROS_VNF_interface,16.1,2084077568,979038208,53.0,933298176,423366656,1099534336,354967552,65323008,662089728,1249280
8,2022-01-27,04:55:26,0.5,ROS_VNF_interface,18.7,2084077568,978939904,53.0,933396480,423268352,1099534336,354967552,65323008,662089728,1249280
9,2022-01-27,04:55:27,0.5,ROS_VNF_interface,17.7,2084077568,979087360,53.0,933240832,423399424,1099534336,354979840,65323008,662114304,1249280
10,2022-01-27,04:55:27,0.5,ROS_VNF_interface,20.2,2084077568,979152896,53.0,933175296,423464960,1099534336,354979840,65323008,662114304,1249280
11,2022-01-27,04:55:28,0.5,ROS_VNF_interface,25.8,2084077568,978845696,53.0,933474304,423141376,1099538432,354996224,65331200,662130688,1249280
12,2022-01-27,04:55:28,0.5,ROS_VNF_interface,24.5,2084077568,978845696,53.0,933474304,423141376,1099538432,354996224,65331200,662130688,1249280
13,2022-01-27,04:55:29,0.5,ROS_VNF_interface,25.0,2084077568,978984960,53.0,933351424,423239680,1099558912,355028992,65331200,662155264,1249280
14,2022-01-27,04:55:29,0.5,ROS_VNF_interface,22.7,2084077568,978984960,53.0,933351424,423239680,1099558912,355028992,65331200,662155264,1249280
15,2022-01-27,04:55:30,0.5,ROS_VNF_interface,14.8,2084077568,978919424,53.0,933416960,423174144,1099558912,355028992,65331200,662155264,1249280
16,2022-01-27,04:55:30,0.5,ROS_VNF_interface,23.2,2084077568,978898944,53.0,933441536,423141376,1099558912,355041280,65331200,662163456,1249280
17,2022-01-27,04:55:31,0.5,ROS_VNF_interface,8.9,2084077568,979070976,53.0,933265408,423305216,1099558912,355049472,65331200,662175744,1249280
18,2022-01-27,04:55:31,0.5,ROS_VNF_interface,24.2,2084077568,979017728,53.0,933322752,423239680,1099567104,355061760,65331200,662183936,1249280
19,2022-01-27,04:55:32,0.5,ROS_VNF_interface,14.9,2084077568,978993152,53.0,933343232,423206912,1099567104,355069952,65331200,662196224,1249280
20,2022-01-27,04:55:32,0.5,ROS_VNF_interface,14.0,2084077568,978927616,53.0,933408768,423141376,1099567104,355069952,65331200,662196224,1249280
21,2022-01-27,04:55:33,0.5,ROS_VNF_interface,12.9,2084077568,978960384,53.0,933367808,423174144,1099567104,355069952,65339392,662196224,1249280
22,2022-01-27,04:55:33,0.5,ROS_VNF_interface,17.2,2084077568,978894848,53.0,933429248,423108608,1099567104,355069952,65339392,662200320,1249280
23,2022-01-27,04:55:34,0.5,ROS_VNF_interface,15.3,2084077568,978923520,53.0,933412864,423108608,1099583488,355090432,65339392,662216704,1249280
24,2022-01-27,04:55:34,0.5,ROS_VNF_interface,22.0,2084077568,978939904,53.0,933396480,423100416,1099587584,355110912,65339392,662241280,1249280
25,2022-01-27,04:55:35,0.5,ROS_VNF_interface,12.9,2084077568,979005440,53.0,933326848,423165952,1099587584,355110912,65339392,662245376,1249280
26,2022-01-27,04:55:35,0.5,ROS_VNF_interface,12.9,2084077568,978989056,53.0,933359616,423133184,1099587584,355127296,65339392,662245376,1249280
27,2022-01-27,04:55:36,0.5,ROS_VNF_interface,11.4,2084077568,978669568,53.0,933662720,422809600,1099587584,355131392,65339392,662265856,1249280
28,2022-01-27,04:55:36,0.5,ROS_VNF_interface,8.5,2084077568,978927616,53.0,933404672,423067648,1099587584,355131392,65343488,662261760,1249280
29,2022-01-27,04:55:37,0.5,ROS_VNF_interface,8.9,2084077568,978952192,53.0,933376000,423059456,1099591680,355155968,65343488,662298624,1249280
