iteration,date,time,measurement_period,machine/VNF,sys_cpu,totalmem,availablemem,percentmem,usedmem,freemem,activemem,inactivemem,buffers,cached,shared
0,2022-02-15,08:59:34,0.5,ROS_VNF_interface,34.4,2084077568,76812288,96.3,1848295424,80625664,874500096,883376128,15642624,139513856,520192
1,2022-02-15,08:59:35,0.5,ROS_VNF_interface,41.4,2084077568,76701696,96.3,1848418304,80465920,874582016,883437568,15654912,139538432,520192
2,2022-02-15,08:59:35,0.5,ROS_VNF_interface,41.4,2084077568,82546688,96.0,1841618944,85483520,872755200,880910336,15958016,141017088,520192
3,2022-02-15,08:59:36,0.5,ROS_VNF_interface,31.3,2084077568,82509824,96.0,1841655808,85352448,872796160,880967680,15958016,141111296,520192
4,2022-02-15,08:59:36,0.5,ROS_VNF_interface,34.4,2084077568,82542592,96.0,1841606656,85385216,872796160,880967680,15958016,141127680,520192
5,2022-02-15,08:59:37,0.5,ROS_VNF_interface,30.6,2084077568,82477056,96.0,1841655808,85319680,872796160,880967680,15958016,141144064,520192
6,2022-02-15,08:59:37,0.5,ROS_VNF_interface,32.2,2084077568,82477056,96.0,1841655808,85319680,872796160,880967680,15958016,141144064,520192
7,2022-02-15,08:59:38,0.5,ROS_VNF_interface,44.3,2084077568,82292736,96.1,1841827840,85061632,872763392,881115136,15958016,141230080,520192
8,2022-02-15,08:59:38,0.5,ROS_VNF_interface,34.9,2084077568,82100224,96.1,1841545216,84451328,872914944,881790976,16072704,142008320,520192
9,2022-02-15,08:59:39,0.5,ROS_VNF_interface,45.6,2084077568,82350080,96.0,1841098752,84451328,872992768,882204672,16109568,142417920,520192
10,2022-02-15,08:59:39,0.5,ROS_VNF_interface,44.7,2084077568,82186240,96.1,1841246208,84287488,872992768,882204672,16109568,142434304,520192
11,2022-02-15,08:59:40,0.5,ROS_VNF_interface,37.2,2084077568,82219008,96.1,1841172480,84320256,872992768,882204672,16117760,142467072,520192
12,2022-02-15,08:59:40,0.5,ROS_VNF_interface,37.3,2084077568,82026496,96.1,1841360896,84127744,872992768,882204672,16117760,142471168,520192
13,2022-02-15,08:59:41,0.5,ROS_VNF_interface,48.8,2084077568,82022400,96.1,1841324032,84094976,872992768,882266112,16117760,142540800,520192
14,2022-02-15,08:59:41,0.5,ROS_VNF_interface,31.8,2084077568,82120704,96.1,1841229824,84160512,872992768,882327552,16117760,142569472,520192
15,2022-02-15,08:59:42,0.5,ROS_VNF_interface,33.3,2084077568,82120704,96.1,1841184768,84160512,872992768,882327552,16117760,142614528,520192
16,2022-02-15,08:59:42,0.5,ROS_VNF_interface,44.9,2084077568,82079744,96.1,1841250304,84062208,873005056,882438144,16117760,142647296,520192
17,2022-02-15,08:59:43,0.5,ROS_VNF_interface,33.3,2084077568,82046976,96.1,1841266688,84029440,873005056,882438144,16117760,142663680,520192
18,2022-02-15,08:59:43,0.5,ROS_VNF_interface,31.8,2084077568,82046976,96.1,1841266688,84029440,873005056,882438144,16117760,142663680,520192
19,2022-02-15,08:59:44,0.5,ROS_VNF_interface,55.3,2084077568,82178048,96.1,1841086464,84127744,873005056,882499584,16117760,142745600,520192
20,2022-02-15,08:59:44,0.5,ROS_VNF_interface,52.3,2084077568,82075648,96.1,1841184768,83996672,873005056,882561024,16117760,142778368,520192
21,2022-02-15,08:59:45,0.5,ROS_VNF_interface,31.3,2084077568,81817600,96.1,1841397760,83738624,873005056,882561024,16125952,142815232,520192
22,2022-02-15,08:59:45,0.5,ROS_VNF_interface,44.8,2084077568,81948672,96.1,1841270784,83836928,873005056,882622464,16125952,142843904,520192
23,2022-02-15,08:59:46,0.5,ROS_VNF_interface,30.6,2084077568,82014208,96.1,1841160192,83902464,873005056,882622464,16125952,142888960,520192
24,2022-02-15,08:59:46,0.5,ROS_VNF_interface,32.6,2084077568,82075648,96.1,1841098752,83935232,873005056,882683904,16125952,142917632,520192
25,2022-02-15,08:59:47,0.5,ROS_VNF_interface,34.1,2084077568,81911808,96.1,1841225728,83771392,873005056,882683904,16125952,142954496,520192
26,2022-02-15,08:59:47,0.5,ROS_VNF_interface,33.0,2084077568,81977344,96.1,1841164288,83804160,873005056,882745344,16125952,142983168,520192
27,2022-02-15,08:59:48,0.5,ROS_VNF_interface,34.1,2084077568,82075648,96.1,1841045504,83902464,873005056,882745344,16125952,143003648,520192
28,2022-02-15,08:59:48,0.5,ROS_VNF_interface,38.4,2084077568,82006016,96.1,1841111040,83804160,873005056,882806784,16125952,143036416,520192
29,2022-02-15,08:59:49,0.5,ROS_VNF_interface,34.4,2084077568,81747968,96.1,1841324032,83546112,873005056,882806784,16125952,143081472,520192
30,2022-02-15,08:59:49,0.5,ROS_VNF_interface,39.8,2084077568,81879040,96.1,1841209344,83644416,873005056,882868224,16125952,143097856,520192
