iteration,date,time,measurement_period,machine/VNF,sys_cpu,totalmem,availablemem,percentmem,usedmem,freemem,activemem,inactivemem,buffers,cached,shared
0,2021-12-28,05:49:47,0.5,ROS_VNF_interface,51.2,4127342592,859987968,79.2,2995068928,352997376,3087679488,350429184,64667648,714608640,1646592
1,2021-12-28,05:49:47,0.5,ROS_VNF_interface,48.9,4127342592,860106752,79.2,2994888704,352989184,3087683584,350547968,64675840,714788864,1646592
2,2021-12-28,05:49:48,0.5,ROS_VNF_interface,48.8,4127342592,860254208,79.2,2994790400,352894976,3087695872,350781440,64675840,714981376,1646592
3,2021-12-28,05:49:48,0.5,ROS_VNF_interface,46.4,4127342592,860282880,79.2,2994745344,352731136,3087695872,350965760,64675840,715190272,1646592
4,2021-12-28,05:49:49,0.5,ROS_VNF_interface,43.0,4127342592,860336128,79.2,2994708480,352600064,3087695872,351150080,64675840,715358208,1646592
5,2021-12-28,05:49:49,0.5,ROS_VNF_interface,51.1,4127342592,866553856,79.0,2988412928,358756352,3081039872,351211520,64675840,715497472,1646592
6,2021-12-28,05:49:50,0.5,ROS_VNF_interface,47.1,4127342592,866988032,79.0,2988134400,358883328,3081039872,351518720,64675840,715649024,1646592
7,2021-12-28,05:49:50,0.5,ROS_VNF_interface,48.3,4127342592,866930688,79.0,2988056576,358690816,3080884224,351653888,64675840,715919360,1646592
8,2021-12-28,05:49:51,0.5,ROS_VNF_interface,50.6,4127342592,867020800,79.0,2988019712,358531072,3080884224,351899648,64675840,716115968,1646592
9,2021-12-28,05:49:51,0.5,ROS_VNF_interface,54.2,4127342592,867147776,79.0,2987855872,358531072,3080884224,352022528,64675840,716279808,1646592
10,2021-12-28,05:49:52,0.5,ROS_VNF_interface,51.6,4127342592,867233792,79.0,2987761664,358432768,3080884224,352206848,64675840,716472320,1646592
11,2021-12-28,05:49:52,0.5,ROS_VNF_interface,51.8,4127342592,867422208,79.0,2987610112,358432768,3080892416,352382976,64684032,716615680,1646592
12,2021-12-28,05:49:53,0.5,ROS_VNF_interface,48.8,4127342592,867680256,79.0,2987220992,358563840,3080892416,352505856,64684032,716873728,1646592
13,2021-12-28,05:49:53,0.5,ROS_VNF_interface,45.8,4127342592,867827712,79.0,2987175936,358465536,3080892416,352751616,64684032,717017088,1646592
14,2021-12-28,05:49:54,0.5,ROS_VNF_interface,46.9,4127342592,868007936,79.0,2987012096,358432768,3080896512,352960512,64684032,717213696,1646592
15,2021-12-28,05:49:54,0.5,ROS_VNF_interface,57.1,4127342592,868098048,79.0,2986885120,358400000,3080957952,353083392,64684032,717373440,1646592
16,2021-12-28,05:49:55,0.5,ROS_VNF_interface,54.0,4127342592,868421632,79.0,2986582016,358498304,3080957952,353308672,64684032,717578240,1646592
17,2021-12-28,05:49:55,0.5,ROS_VNF_interface,50.6,4127342592,868511744,79.0,2986438656,358465536,3080957952,353431552,64684032,717754368,1646592
18,2021-12-28,05:49:56,0.5,ROS_VNF_interface,48.2,4127342592,868409344,79.0,2986598400,358109184,3080957952,353677312,64684032,717950976,1646592
19,2021-12-28,05:49:56,0.5,ROS_VNF_interface,48.8,4127342592,868466688,79.0,2986524672,358043648,3080957952,353800192,64684032,718090240,1646592
20,2021-12-28,05:49:57,0.5,ROS_VNF_interface,48.2,4127342592,868376576,79.0,2986565632,357851136,3080957952,353902592,64684032,718241792,1646592
21,2021-12-28,05:49:57,0.5,ROS_VNF_interface,48.8,4127342592,868614144,79.0,2986377216,357756928,3080966144,354222080,64692224,718516224,1646592
22,2021-12-28,05:49:58,0.5,ROS_VNF_interface,48.2,4127342592,868675584,79.0,2986246144,357691392,3080966144,354344960,64692224,718712832,1646592
23,2021-12-28,05:49:58,0.5,ROS_VNF_interface,54.9,4127342592,868700160,79.0,2986303488,357466112,3080966144,354590720,64692224,718880768,1646592
24,2021-12-28,05:49:59,0.5,ROS_VNF_interface,49.4,4127342592,868818944,78.9,2986176512,357400576,3080966144,354775040,64692224,719073280,1646592
25,2021-12-28,05:49:59,0.5,ROS_VNF_interface,48.8,4127342592,868425728,79.0,2986541056,356851712,3080966144,354926592,64692224,719257600,1646592
26,2021-12-28,05:50:00,0.5,ROS_VNF_interface,50.6,4127342592,868646912,79.0,2986315776,356884480,3080966144,355110912,64692224,719450112,1646592
27,2021-12-28,05:50:00,0.5,ROS_VNF_interface,45.7,4127342592,868446208,79.0,2986508288,356560896,3080966144,355233792,64692224,719581184,1646592
28,2021-12-28,05:50:01,0.5,ROS_VNF_interface,55.4,4127342592,868548608,79.0,2986356736,356560896,3080966144,355336192,64692224,719732736,1646592
29,2021-12-28,05:50:01,0.5,ROS_VNF_interface,49.4,4127342592,868773888,79.0,2986184704,356466688,3080978432,355651584,64692224,719998976,1646592
30,2021-12-28,05:50:02,0.5,ROS_VNF_interface,48.8,4127342592,868503552,79.0,2986450944,356012032,3080982528,355831808,64692224,720187392,1646592
31,2021-12-28,05:50:02,0.5,ROS_VNF_interface,50.6,4127342592,868687872,79.0,2986250240,356012032,3080990720,356007936,64700416,720379904,1646592
32,2021-12-28,05:50:03,0.5,ROS_VNF_interface,45.0,4127342592,868483072,79.0,2986508288,355561472,3080998912,356245504,64700416,720572416,1646592
33,2021-12-28,05:50:03,0.5,ROS_VNF_interface,47.7,4127342592,868438016,79.0,2986479616,355397632,3081003008,356364288,64700416,720764928,1646592
34,2021-12-28,05:50:04,0.5,ROS_VNF_interface,51.7,4127342592,868462592,79.0,2986496000,355205120,3081007104,356581376,64700416,720941056,1646592
35,2021-12-28,05:50:04,0.5,ROS_VNF_interface,59.1,4127342592,868319232,79.0,2986692608,354881536,3081011200,356761600,64700416,721068032,1646592
36,2021-12-28,05:50:05,0.5,ROS_VNF_interface,55.8,4127342592,868421632,79.0,2986541056,354881536,3081011200,356864000,64700416,721219584,1646592
37,2021-12-28,05:50:05,0.5,ROS_VNF_interface,52.4,4127342592,868372480,79.0,2986557440,354623488,3081011200,357068800,64700416,721461248,1646592
38,2021-12-28,05:50:06,0.5,ROS_VNF_interface,51.1,4127342592,868298752,79.0,2986627072,354365440,3081011200,357253120,64700416,721649664,1646592
39,2021-12-28,05:50:06,0.5,ROS_VNF_interface,57.1,4127342592,868323328,79.0,2986663936,354201600,3081011200,357437440,64700416,721776640,1646592
40,2021-12-28,05:50:07,0.5,ROS_VNF_interface,50.0,4127342592,868392960,79.0,2986561536,354107392,3081068544,357601280,64700416,721973248,1646592
41,2021-12-28,05:50:07,0.5,ROS_VNF_interface,47.1,4127342592,868122624,79.0,2986799104,353624064,3081068544,357806080,64708608,722210816,1646592
42,2021-12-28,05:50:08,0.5,ROS_VNF_interface,49.4,4127342592,868233216,79.0,2986745856,353484800,3081076736,358043648,64708608,722403328,1646592
43,2021-12-28,05:50:08,0.5,ROS_VNF_interface,51.6,4127342592,868192256,79.0,2986778624,353251328,3081076736,358227968,64708608,722604032,1646592
44,2021-12-28,05:50:09,0.5,ROS_VNF_interface,48.2,4127342592,868311040,79.0,2986590208,353251328,3081084928,358342656,64708608,722792448,1646592
45,2021-12-28,05:50:09,0.5,ROS_VNF_interface,50.5,4127342592,868302848,79.0,2986659840,353058816,3081084928,358526976,64708608,722915328,1646592
46,2021-12-28,05:50:10,0.5,ROS_VNF_interface,57.5,4127342592,868151296,79.0,2986864640,352702464,3081084928,358731776,64708608,723066880,1646592
47,2021-12-28,05:50:10,0.5,ROS_VNF_interface,47.1,4127342592,868450304,79.0,2986512384,352768000,3081084928,358957056,64708608,723353600,1646592
48,2021-12-28,05:50:11,0.5,ROS_VNF_interface,48.2,4127342592,868413440,79.0,2986491904,352608256,3081084928,359079936,64708608,723533824,1646592
49,2021-12-28,05:50:11,0.5,ROS_VNF_interface,48.8,4127342592,868126720,79.0,2986815488,352120832,3081084928,359280640,64708608,723697664,1646592
50,2021-12-28,05:50:12,0.5,ROS_VNF_interface,51.7,4127342592,868155392,79.0,2986754048,352026624,3081089024,359399424,64708608,723853312,1646592
51,2021-12-28,05:50:12,0.5,ROS_VNF_interface,43.9,4127342592,868335616,79.0,2986573824,351961088,3081089024,359645184,64716800,724090880,1646592
52,2021-12-28,05:50:13,0.5,ROS_VNF_interface,50.6,4127342592,868294656,79.0,2986606592,351735808,3081097216,359821312,64716800,724283392,1646592
53,2021-12-28,05:50:13,0.5,ROS_VNF_interface,59.3,4127342592,868581376,79.0,2986336256,351834112,3081097216,360005632,64716800,724455424,1646592
54,2021-12-28,05:50:14,0.5,ROS_VNF_interface,52.2,4127342592,868179968,79.0,2986741760,351219712,3081097216,360210432,64716800,724664320,1646592
55,2021-12-28,05:50:14,0.5,ROS_VNF_interface,60.2,4127342592,868388864,79.0,2986516480,351277056,3081093120,360361984,64716800,724832256,1646592
56,2021-12-28,05:50:15,0.5,ROS_VNF_interface,48.8,4127342592,868089856,79.0,2986811392,350789632,3081093120,360546304,64716800,725024768,1646592
57,2021-12-28,05:50:15,0.5,ROS_VNF_interface,49.4,4127342592,868405248,79.0,2986491904,350920704,3081093120,360730624,64716800,725213184,1646592
58,2021-12-28,05:50:16,0.5,ROS_VNF_interface,47.1,4127342592,868392960,79.0,2986565632,350662656,3081093120,360976384,64716800,725397504,1646592
59,2021-12-28,05:50:16,0.5,ROS_VNF_interface,48.2,4127342592,868417536,79.0,2986541056,350502912,3081093120,361160704,64716800,725581824,1646592
60,2021-12-28,05:50:17,0.5,ROS_VNF_interface,47.6,4127342592,868151296,79.0,2986803200,350048256,3081093120,361345024,64716800,725774336,1646592
61,2021-12-28,05:50:17,0.5,ROS_VNF_interface,48.9,4127342592,868405248,79.0,2986491904,350179328,3081093120,361467904,64724992,725946368,1646592
62,2021-12-28,05:50:18,0.5,ROS_VNF_interface,49.4,4127342592,868462592,79.0,2986487808,349986816,3081101312,361705472,64724992,726142976,1646592
63,2021-12-28,05:50:18,0.5,ROS_VNF_interface,48.3,4127342592,868458496,79.0,2986426368,349855744,3081101312,361828352,64724992,726335488,1646592
64,2021-12-28,05:50:19,0.5,ROS_VNF_interface,59.6,4127342592,868487168,79.0,2986414080,349696000,3081101312,362012672,64724992,726507520,1646592
65,2021-12-28,05:50:19,0.5,ROS_VNF_interface,50.0,4127342592,868368384,79.0,2986573824,349339648,3081101312,362250240,64724992,726704128,1646592
66,2021-12-28,05:50:20,0.5,ROS_VNF_interface,49.4,4127342592,868368384,79.0,2986508288,349212672,3081101312,362373120,64724992,726896640,1646592
67,2021-12-28,05:50:20,0.5,ROS_VNF_interface,48.3,4127342592,868323328,79.0,2986586112,348983296,3081101312,362557440,64724992,727048192,1646592
68,2021-12-28,05:50:21,0.5,ROS_VNF_interface,49.4,4127342592,868167680,79.0,2986704896,348598272,3081101312,362782720,64724992,727314432,1646592
69,2021-12-28,05:50:21,0.5,ROS_VNF_interface,41.6,4127342592,868438016,79.0,2986479616,348663808,3081109504,362979328,64724992,727474176,1646592
70,2021-12-28,05:50:22,0.5,ROS_VNF_interface,44.4,4127342592,868560896,79.0,2986307584,348663808,3081109504,363102208,64724992,727646208,1646592
71,2021-12-28,05:50:22,0.5,ROS_VNF_interface,48.2,4127342592,868229120,79.0,2986684416,348082176,3081117696,363339776,64733184,727842816,1646592
72,2021-12-28,05:50:23,0.5,ROS_VNF_interface,65.6,4127342592,868352000,79.0,2986524672,348078080,3081117696,363462656,64733184,728006656,1646592
73,2021-12-28,05:50:23,0.5,ROS_VNF_interface,48.3,4127342592,868503552,79.0,2986422272,347983872,3081117696,363708416,64733184,728203264,1646592
