timestamp,node,latency,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6
1640068680773848064,"2021-12-21,06:38:00",10.1.1.6,5360,0.000,0.000,0.000,0.000,0.000,0.000
1640068683040175872,"2021-12-21,06:38:03",10.1.1.6,282,-0.010,-0.010,-0.010,0.000,0.000,0.000
1640068683068027136,"2021-12-21,06:38:03",10.1.1.6,0.3101229667663574,-0.010,-0.010,-0.010,0.000,0.000,0.000
1640068683359868928,"2021-12-21,06:38:03",10.1.1.6,290,-0.020,-0.020,-0.020,0.000,0.000,0.000
1640068683396920064,"2021-12-21,06:38:03",10.1.1.6,0.32766103744506836,-0.020,-0.020,-0.020,0.000,0.000,0.000
1640068683709146112,"2021-12-21,06:38:03",10.1.1.6,309,-0.030,-0.030,-0.030,0.000,0.000,0.000
1640068683738863104,"2021-12-21,06:38:03",10.1.1.6,0.3391261100769043,-0.030,-0.030,-0.030,0.000,0.000,0.000
1640068684029202944,"2021-12-21,06:38:04",10.1.1.6,288,-0.040,-0.040,-0.040,0.000,0.000,0.000
1640068684055112960,"2021-12-21,06:38:04",10.1.1.6,0.3144340515136719,-0.040,-0.040,-0.040,0.000,0.000,0.000
1640068684348196096,"2021-12-21,06:38:04",10.1.1.6,291,-0.050,-0.050,-0.050,0.000,0.000,0.000
1640068684372700928,"2021-12-21,06:38:04",10.1.1.6,0.3162050247192383,-0.050,-0.050,-0.050,0.000,0.000,0.000
1640068684680911104,"2021-12-21,06:38:04",10.1.1.6,305,-0.060,-0.060,-0.060,0.000,0.000,0.000
1640068684713278976,"2021-12-21,06:38:04",10.1.1.6,0.3376128673553467,-0.060,-0.060,-0.060,0.000,0.000,0.000
1640068685008999168,"2021-12-21,06:38:05",10.1.1.6,294,-0.070,-0.070,-0.070,0.000,0.000,0.000
1640068685027901952,"2021-12-21,06:38:05",10.1.1.6,0.31312084197998047,-0.070,-0.070,-0.070,0.000,0.000,0.000
1640068685320822016,"2021-12-21,06:38:05",10.1.1.6,291,-0.080,-0.080,-0.080,0.000,0.000,0.000
1640068685349082112,"2021-12-21,06:38:05",10.1.1.6,0.31993913650512695,-0.080,-0.080,-0.080,0.000,0.000,0.000
1640068685656387072,"2021-12-21,06:38:05",10.1.1.6,306,-0.090,-0.090,-0.090,0.000,0.000,0.000
1640068685667009024,"2021-12-21,06:38:05",10.1.1.6,0.3167269229888916,-0.090,-0.090,-0.090,0.000,0.000,0.000
1640068685958797056,"2021-12-21,06:38:05",10.1.1.6,290,-0.100,-0.100,-0.100,0.000,0.000,0.000
1640068685979955968,"2021-12-21,06:38:05",10.1.1.6,0.3116569519042969,-0.100,-0.100,-0.100,0.000,0.000,0.000
1640068686317428224,"2021-12-21,06:38:06",10.1.1.6,336,-0.110,-0.110,-0.110,0.000,0.000,0.000
1640068686372641024,"2021-12-21,06:38:06",10.1.1.6,0.39129090309143066,-0.110,-0.110,-0.110,0.000,0.000,0.000
1640068686669905920,"2021-12-21,06:38:06",10.1.1.6,295,-0.120,-0.120,-0.120,0.000,0.000,0.000
1640068686693999104,"2021-12-21,06:38:06",10.1.1.6,0.319976806640625,-0.120,-0.120,-0.120,0.000,0.000,0.000
1640068687031315968,"2021-12-21,06:38:07",10.1.1.6,335,-0.130,-0.130,-0.130,0.000,0.000,0.000
1640068687044624128,"2021-12-21,06:38:07",10.1.1.6,0.3489658832550049,-0.130,-0.130,-0.130,0.000,0.000,0.000
1640068687342416896,"2021-12-21,06:38:07",10.1.1.6,295,-0.140,-0.140,-0.140,0.000,0.000,0.000
1640068687393997824,"2021-12-21,06:38:07",10.1.1.6,0.3476080894470215,-0.140,-0.140,-0.140,0.000,0.000,0.000
1640068687698620160,"2021-12-21,06:38:07",10.1.1.6,303,-0.150,-0.150,-0.150,0.000,0.000,0.000
1640068687746212096,"2021-12-21,06:38:07",10.1.1.6,0.3508269786834717,-0.150,-0.150,-0.150,0.000,0.000,0.000
1640068689304898048,"2021-12-21,06:38:09",10.1.1.6,1557,-0.160,-0.160,-0.160,0.000,0.000,0.000
1640068689322701056,"2021-12-21,06:38:09",10.1.1.6,1.5749950408935547,-0.160,-0.160,-0.160,0.000,0.000,0.000
1640068689662460160,"2021-12-21,06:38:09",10.1.1.6,337,-0.170,-0.170,-0.170,0.000,0.000,0.000
1640068689675513856,"2021-12-21,06:38:09",10.1.1.6,0.3510861396789551,-0.170,-0.170,-0.170,0.000,0.000,0.000
1640068690013246976,"2021-12-21,06:38:10",10.1.1.6,336,-0.180,-0.180,-0.180,0.000,0.000,0.000
1640068690095268096,"2021-12-21,06:38:10",10.1.1.6,0.4181840419769287,-0.180,-0.180,-0.180,0.000,0.000,0.000
1640068690425477120,"2021-12-21,06:38:10",10.1.1.6,327,-0.190,-0.190,-0.190,0.000,0.000,0.000
1640068690453810944,"2021-12-21,06:38:10",10.1.1.6,0.3564181327819824,-0.190,-0.190,-0.190,0.000,0.000,0.000
1640068690775745024,"2021-12-21,06:38:10",10.1.1.6,320,-0.200,-0.200,-0.200,0.000,0.000,0.000
1640068690780787968,"2021-12-21,06:38:10",10.1.1.6,0.32565808296203613,-0.200,-0.200,-0.200,0.000,0.000,0.000
1640068691086391040,"2021-12-21,06:38:11",10.1.1.6,303,-0.210,-0.210,-0.210,0.000,0.000,0.000
1640068691114128128,"2021-12-21,06:38:11",10.1.1.6,0.33129096031188965,-0.210,-0.210,-0.210,0.000,0.000,0.000
1640068691427236096,"2021-12-21,06:38:11",10.1.1.6,311,-0.220,-0.220,-0.220,0.000,0.000,0.000
1640068691434204160,"2021-12-21,06:38:11",10.1.1.6,0.31862807273864746,-0.220,-0.220,-0.220,0.000,0.000,0.000
1640068691727659008,"2021-12-21,06:38:11",10.1.1.6,291,-0.230,-0.230,-0.230,0.000,0.000,0.000
1640068691754765056,"2021-12-21,06:38:11",10.1.1.6,0.3183159828186035,-0.230,-0.230,-0.230,0.000,0.000,0.000
1640068692048613120,"2021-12-21,06:38:12",10.1.1.6,292,-0.240,-0.240,-0.240,0.000,0.000,0.000
1640068692097235968,"2021-12-21,06:38:12",10.1.1.6,0.34116101264953613,-0.240,-0.240,-0.240,0.000,0.000,0.000
