timestamp,date,node,latency,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6
1640670572536652032,2021-12-28-05:49:32,10.1.1.8,1640670572536.48,-0.000,-0.000,-0.000,0.000,-0.000,0.000
1640670576553549056,2021-12-28-05:49:36,10.1.1.8,4,-0.000,-0.000,-0.000,0.000,-0.000,0.000
1640670578611311872,2021-12-28-05:49:38,10.1.1.8,17,-0.000,-0.000,-0.000,0.000,-0.000,0.000
1640670580648991232,2021-12-28-05:49:40,10.1.1.8,3,-0.000,-0.000,-0.000,0.000,-0.000,0.000
1640670582686262016,2021-12-28-05:49:42,10.1.1.8,0,-0.000,-0.000,-0.000,0.000,-0.000,0.000
1640670585022206976,2021-12-28-05:49:45,10.1.1.8,8,-0.000,-0.000,-0.000,0.000,-0.000,0.000
1640670587098720000,2021-12-28-05:49:47,10.1.1.8,4,-0.000,-0.000,-0.000,0.000,-0.000,0.000
1640670589134910208,2021-12-28-05:49:49,10.1.1.8,13,-0.000,-0.000,-0.000,0.000,-0.000,0.000
1640670591192670208,2021-12-28-05:49:51,10.1.1.8,5,-0.000,-0.000,-0.000,0.000,-0.000,0.000
1640670593348581120,2021-12-28-05:49:53,10.1.1.8,6,-0.000,-0.000,-0.000,0.000,-0.000,0.000
1640670595405630976,2021-12-28-05:49:55,10.1.1.8,5,-0.000,-0.000,-0.000,0.000,-0.000,0.000
1640670597461686016,2021-12-28-05:49:57,10.1.1.8,4,-0.000,-0.000,-0.000,0.000,-0.000,0.000
1640670599565726976,2021-12-28-05:49:59,10.1.1.8,5,-0.000,-0.000,-0.000,0.000,-0.000,0.000
1640670601654638080,2021-12-28-05:50:01,10.1.1.8,19,-0.000,-0.000,-0.000,0.000,-0.000,0.000
1640670603672177152,2021-12-28-05:50:03,10.1.1.8,1,-0.000,-0.000,-0.000,0.000,-0.000,0.000
1640670605846974976,2021-12-28-05:50:05,10.1.1.8,3,-0.000,-0.000,-0.000,0.000,-0.000,0.000
1640670607945167104,2021-12-28-05:50:07,10.1.1.8,15,-0.000,-0.000,-0.000,0.000,-0.000,0.000
1640670610020690944,2021-12-28-05:50:10,10.1.1.8,15,-0.000,-0.000,-0.000,0.000,-0.000,0.000
1640670612057318912,2021-12-28-05:50:12,10.1.1.8,0,-0.000,-0.000,-0.000,0.000,-0.000,0.000
1640670614132935936,2021-12-28-05:50:14,10.1.1.8,9,-0.000,-0.000,-0.000,0.000,-0.000,0.000
1640670616189575936,2021-12-28-05:50:16,10.1.1.8,1,-0.000,-0.000,-0.000,0.000,-0.000,0.000
1640670618246717952,2021-12-28-05:50:18,10.1.1.8,13,-0.000,-0.000,-0.000,0.000,-0.000,0.000
1640670620302215936,2021-12-28-05:50:20,10.1.1.8,15,-0.000,-0.000,-0.000,0.000,-0.000,0.000
1640670622323303936,2021-12-28-05:50:22,10.1.1.8,2,-0.000,-0.000,-0.000,0.000,-0.000,0.000
1640670624444875008,2021-12-28-05:50:24,10.1.1.8,17,-0.000,-0.000,-0.000,0.000,-0.000,0.000
1640670626480675840,2021-12-28-05:50:26,10.1.1.8,12,-0.000,-0.000,-0.000,0.000,-0.000,0.000
1640670628511671040,2021-12-28-05:50:28,10.1.1.8,18,-0.000,-0.000,-0.000,0.000,-0.000,0.000
1640670630539584000,2021-12-28-05:50:30,10.1.1.8,12,-0.000,-0.000,-0.000,0.000,-0.000,0.000
1640670632585560064,2021-12-28-05:50:32,10.1.1.8,4,-0.000,-0.000,-0.000,0.000,-0.000,0.000
1640670634628762880,2021-12-28-05:50:34,10.1.1.8,13,-0.000,-0.000,-0.000,0.000,-0.000,0.000
1640670636768306944,2021-12-28-05:50:36,10.1.1.8,8,-0.000,-0.000,-0.000,0.000,-0.000,0.000
1640670638789093888,2021-12-28-05:50:38,10.1.1.8,7,-0.000,-0.000,-0.000,0.000,-0.000,0.000
1640670640888331008,2021-12-28-05:50:40,10.1.1.8,12,-0.000,-0.000,-0.000,0.000,-0.000,0.000
1640670642946999040,2021-12-28-05:50:42,10.1.1.8,0,-0.000,-0.000,-0.000,0.000,-0.000,0.000
1640670645005821952,2021-12-28-05:50:45,10.1.1.8,11,-0.000,-0.000,-0.000,0.000,-0.000,0.000
1640670647063166976,2021-12-28-05:50:47,10.1.1.8,2,-0.000,-0.000,-0.000,0.000,-0.000,0.000
1640670649119931904,2021-12-28-05:50:49,10.1.1.8,10,-0.000,-0.000,-0.000,0.000,-0.000,0.000
1640670651236890112,2021-12-28-05:50:51,10.1.1.8,12,-0.000,-0.000,-0.000,0.000,-0.000,0.000
1640670653254024960,2021-12-28-05:50:53,10.1.1.8,14,-0.000,-0.000,-0.000,0.000,-0.000,0.000
1640670655279197952,2021-12-28-05:50:55,10.1.1.8,5,-0.000,-0.000,-0.000,0.000,-0.000,0.000
1640670657308544000,2021-12-28-05:50:57,10.1.1.8,2,-0.000,-0.000,-0.000,0.000,-0.000,0.000
1640670659373672960,2021-12-28-05:50:59,10.1.1.8,6,-0.000,-0.000,-0.000,0.000,-0.000,0.000
1640670661396837888,2021-12-28-05:51:01,10.1.1.8,4,-0.000,-0.000,-0.000,0.000,-0.000,0.000
1640670663519577856,2021-12-28-05:51:03,10.1.1.8,20,-0.000,-0.000,-0.000,0.000,-0.000,0.000
1640670665619666944,2021-12-28-05:51:05,10.1.1.8,2,-0.000,-0.000,-0.000,0.000,-0.000,0.000
1640670667698091008,2021-12-28-05:51:07,10.1.1.8,12,-0.000,-0.000,-0.000,0.000,-0.000,0.000
1640670669797657856,2021-12-28-05:51:09,10.1.1.8,5,-0.000,-0.000,-0.000,0.000,-0.000,0.000
1640670671814974976,2021-12-28-05:51:11,10.1.1.8,3,-0.000,-0.000,-0.000,0.000,-0.000,0.000
1640670673901259008,2021-12-28-05:51:13,10.1.1.8,41,-0.000,-0.000,-0.000,0.000,-0.000,0.000
1640670676011642880,2021-12-28-05:51:16,10.1.1.8,4,-0.000,-0.000,-0.000,0.000,-0.000,0.000
1640670678047599104,2021-12-28-05:51:18,10.1.1.8,8,-0.000,-0.000,-0.000,0.000,-0.000,0.000
1640670680104628992,2021-12-28-05:51:20,10.1.1.8,10,-0.000,-0.000,-0.000,0.000,-0.000,0.000
1640670682141334016,2021-12-28-05:51:22,10.1.1.8,17,-0.000,-0.000,-0.000,0.000,-0.000,0.000
1640670684159261952,2021-12-28-05:51:24,10.1.1.8,8,-0.000,-0.000,-0.000,0.000,-0.000,0.000
1640670686195053056,2021-12-28-05:51:26,10.1.1.8,0,-0.000,-0.000,-0.000,0.000,-0.000,0.000
1640670688280145920,2021-12-28-05:51:28,10.1.1.8,16,-0.000,-0.000,-0.000,0.000,-0.000,0.000
1640670690428023040,2021-12-28-05:51:30,10.1.1.8,17,-0.000,-0.000,-0.000,0.000,-0.000,0.000
1640670692514353152,2021-12-28-05:51:32,10.1.1.8,4,-0.000,-0.000,-0.000,0.000,-0.000,0.000
1640670694576520960,2021-12-28-05:51:34,10.1.1.8,8,-0.000,-0.000,-0.000,0.000,-0.000,0.000
1640670696637562112,2021-12-28-05:51:36,10.1.1.8,19,-0.000,-0.000,-0.000,0.000,-0.000,0.000
1640670698697742080,2021-12-28-05:51:38,10.1.1.8,15,-0.000,-0.000,-0.000,0.000,-0.000,0.000
1640670700736807168,2021-12-28-05:51:40,10.1.1.8,10,-0.000,-0.000,-0.000,0.000,-0.000,0.000
1640670702815049984,2021-12-28-05:51:42,10.1.1.8,16,-0.000,-0.000,-0.000,0.000,-0.000,0.000
1640670704874070784,2021-12-28-05:51:44,10.1.1.8,11,-0.000,-0.000,-0.000,0.000,-0.000,0.000
1640670706911633920,2021-12-28-05:51:46,10.1.1.8,18,-0.000,-0.000,-0.000,0.000,-0.000,0.000
1640670709028945920,2021-12-28-05:51:49,10.1.1.8,17,-0.000,-0.000,-0.000,0.000,-0.000,0.000
1640670711126112000,2021-12-28-05:51:51,10.1.1.8,1,-0.000,-0.000,-0.000,0.000,-0.000,0.000
1640670713203949056,2021-12-28-05:51:53,10.1.1.8,11,-0.000,-0.000,-0.000,0.000,-0.000,0.000
1640670715219603968,2021-12-28-05:51:55,10.1.1.8,8,-0.000,-0.000,-0.000,0.000,-0.000,0.000
1640670717236308224,2021-12-28-05:51:57,10.1.1.8,17,-0.000,-0.000,-0.000,0.000,-0.000,0.000
1640670719234736896,2021-12-28-05:51:59,10.1.1.8,5,-0.000,-0.000,-0.000,0.000,-0.000,0.000
1640670721325176832,2021-12-28-05:52:01,10.1.1.8,1,-0.000,-0.000,-0.000,0.000,-0.000,0.000
1640670723351795968,2021-12-28-05:52:03,10.1.1.8,3,-0.000,-0.000,-0.000,0.000,-0.000,0.000
1640670725415116032,2021-12-28-05:52:05,10.1.1.8,3,-0.000,-0.000,-0.000,0.000,-0.000,0.000
1640670727498599936,2021-12-28-05:52:07,10.1.1.8,6,-0.000,-0.000,-0.000,0.000,-0.000,0.000
1640670729579598848,2021-12-28-05:52:09,10.1.1.8,11,-0.000,-0.000,-0.000,0.000,-0.000,0.000
1640670731697530112,2021-12-28-05:52:11,10.1.1.8,18,-0.000,-0.000,-0.000,0.000,-0.000,0.000
1640670733817076992,2021-12-28-05:52:13,10.1.1.8,5,-0.000,-0.000,-0.000,0.000,-0.000,0.000
