"iteration,date,executiontime"
1,2022-02-09-00:15:23,2.90582
2,2022-02-09-00:15:24,0.34799
3,2022-02-09-00:15:24,0.45791
4,2022-02-09-00:15:24,0.41577
5,2022-02-09-00:15:25,0.36284
6,2022-02-09-00:15:25,0.38494
7,2022-02-09-00:15:26,0.35800
8,2022-02-09-00:15:26,0.33571
9,2022-02-09-00:15:26,0.37686
10,2022-02-09-00:15:27,0.34728
11,2022-02-09-00:15:27,0.38866
12,2022-02-09-00:15:27,0.37062
13,2022-02-09-00:15:28,0.41430
14,2022-02-09-00:15:28,0.37615
15,2022-02-09-00:15:29,0.36200
16,2022-02-09-00:15:29,0.42660
17,2022-02-09-00:15:29,0.37124
18,2022-02-09-00:15:30,0.39879
19,2022-02-09-00:15:30,0.42813
20,2022-02-09-00:15:31,0.36030
21,2022-02-09-00:15:31,0.34874
22,2022-02-09-00:15:31,0.38456
23,2022-02-09-00:15:32,0.40654
24,2022-02-09-00:15:32,0.37785
25,2022-02-09-00:15:32,0.43892
26,2022-02-09-00:15:33,0.50526
27,2022-02-09-00:15:33,0.42400
28,2022-02-09-00:15:34,0.41309
29,2022-02-09-00:15:34,0.47829
30,2022-02-09-00:15:35,0.48011
31,2022-02-09-00:15:35,0.56190
32,2022-02-09-00:15:36,0.46855
33,2022-02-09-00:15:36,0.55790
34,2022-02-09-00:15:37,0.43441
35,2022-02-09-00:15:37,0.42146
36,2022-02-09-00:15:38,0.50522
37,2022-02-09-00:15:38,0.44662
38,2022-02-09-00:15:39,0.43139
39,2022-02-09-00:15:39,0.53742
40,2022-02-09-00:15:40,0.58064
41,2022-02-09-00:15:40,0.41953
42,2022-02-09-00:15:41,0.51033
43,2022-02-09-00:15:41,0.49210
44,2022-02-09-00:15:42,0.47061
45,2022-02-09-00:15:42,0.48523
46,2022-02-09-00:15:43,0.47660
47,2022-02-09-00:15:43,0.44503
48,2022-02-09-00:15:44,0.44297
49,2022-02-09-00:15:44,0.55841
50,2022-02-09-00:15:45,0.46602
51,2022-02-09-00:15:45,0.42785
52,2022-02-09-00:15:45,0.48491
53,2022-02-09-00:15:46,0.42857
54,2022-02-09-00:15:46,0.36977
55,2022-02-09-00:15:47,0.51761
56,2022-02-09-00:15:47,0.41202
57,2022-02-09-00:15:48,0.43121
58,2022-02-09-00:15:48,0.53732
59,2022-02-09-00:15:49,0.57691
60,2022-02-09-00:15:49,0.42140
61,2022-02-09-00:15:50,0.47404
62,2022-02-09-00:15:50,0.43321
63,2022-02-09-00:15:51,0.57481
64,2022-02-09-00:15:51,0.42675
65,2022-02-09-00:15:52,0.45048
66,2022-02-09-00:15:52,0.41050
67,2022-02-09-00:15:52,0.42446
68,2022-02-09-00:15:53,0.55309
69,2022-02-09-00:15:53,0.47707
70,2022-02-09-00:15:54,0.47303
71,2022-02-09-00:15:54,0.45905
72,2022-02-09-00:15:55,0.39914
73,2022-02-09-00:15:55,0.40661
74,2022-02-09-00:15:56,0.41885
75,2022-02-09-00:15:56,0.51151
76,2022-02-09-00:15:57,0.56288
77,2022-02-09-00:15:57,0.49672
78,2022-02-09-00:15:58,0.66741
79,2022-02-09-00:15:58,0.47852
80,2022-02-09-00:15:59,0.46791
81,2022-02-09-00:15:59,0.44328
82,2022-02-09-00:16:00,0.49572
83,2022-02-09-00:16:00,0.41542
84,2022-02-09-00:16:01,0.50416
85,2022-02-09-00:16:01,0.65617
86,2022-02-09-00:16:02,0.42926
87,2022-02-09-00:16:02,0.36723
88,2022-02-09-00:16:02,0.43130
89,2022-02-09-00:16:03,0.50548
90,2022-02-09-00:16:04,0.55127
91,2022-02-09-00:16:04,0.53162
92,2022-02-09-00:16:05,0.49795
93,2022-02-09-00:16:05,0.43597
94,2022-02-09-00:16:05,0.40713
95,2022-02-09-00:16:06,0.40320
96,2022-02-09-00:16:07,0.73678
97,2022-02-09-00:16:08,1.28241
98,2022-02-09-00:16:09,0.84768
