date,init_position,final_position,time
2022-01-05-07:32:58,-1,4,2.664640
2022-01-05-07:33:00,4,5,1.731265
2022-01-05-07:33:03,5,6,3.072125
2022-01-05-07:33:06,6,2,3.062102
2022-01-05-07:33:07,2,5,1.493579
2022-01-05-07:33:10,5,7,2.575972
2022-01-05-07:33:12,7,1,1.637916
2022-01-05-07:33:14,1,5,1.937109
2022-01-05-07:33:15,5,4,1.915799
2022-01-05-07:33:17,4,7,1.905856
2022-01-05-07:33:19,7,4,1.871791
2022-01-05-07:33:21,4,3,2.102698
2022-01-05-07:33:23,3,7,2.106614
2022-01-05-07:33:26,7,5,2.565639
2022-01-05-07:33:28,5,2,1.504565
2022-01-05-07:33:30,2,3,2.568450
2022-01-05-07:33:32,3,0,2.350462
2022-01-05-07:33:34,0,4,1.546902
2022-01-05-07:33:36,4,5,1.747870
2022-01-05-07:33:38,5,3,2.150926
2022-01-05-07:33:42,3,6,3.632572
2022-01-05-07:33:46,6,7,4.018350
2022-01-05-07:33:47,7,4,1.885592
2022-01-05-07:33:49,4,5,1.802489
2022-01-05-07:33:51,5,0,1.841190
2022-01-05-07:33:53,0,7,1.930651
2022-01-05-07:33:56,7,2,2.573575
