date,init_position,final_position,time
1,2022-01-07-22:38:26,-1,0,2.221741
2,2022-01-07-22:38:28,0,7,1.898138
3,2022-01-07-22:38:30,7,1,1.652688
4,2022-01-07-22:38:32,1,5,1.885851
5,2022-01-07-22:38:35,5,6,3.063851
6,2022-01-07-22:38:38,6,5,3.057112
7,2022-01-07-22:38:39,5,2,1.488965
8,2022-01-07-22:38:41,2,5,1.480651
9,2022-01-07-22:38:43,5,7,2.525867
10,2022-01-07-22:38:46,7,5,2.520051
11,2022-01-07-22:38:48,5,4,1.718819
12,2022-01-07-22:38:50,4,3,2.087027
13,2022-01-07-22:38:52,3,5,2.126012
14,2022-01-07-22:38:54,5,3,2.152838
15,2022-01-07-22:38:56,3,4,2.093458
16,2022-01-07-22:38:58,4,5,1.719985
17,2022-01-07-22:39:00,5,0,1.823005
18,2022-01-07-22:39:01,0,1,0.959210
19,2022-01-07-22:39:02,1,5,1.900767
20,2022-01-07-22:39:04,5,4,1.749332
21,2022-01-07-22:39:08,4,6,3.426921
22,2022-01-07-22:39:11,6,0,3.431292
23,2022-01-07-22:39:12,0,1,1.022620
24,2022-01-07-22:39:13,1,4,1.286280
25,2022-01-07-22:39:15,4,5,1.717153
26,2022-01-07-22:39:17,5,1,1.903897
27,2022-01-07-22:39:21,1,6,3.585502
28,2022-01-07-22:39:24,6,3,3.750923
29,2022-01-07-22:39:27,3,2,2.553722
30,2022-01-07-22:39:30,2,6,3.065139
31,2022-01-07-22:39:33,6,0,3.434386
32,2022-01-07-22:39:35,0,7,1.913021
33,2022-01-07-22:39:38,7,2,2.537878
34,2022-01-07-22:39:40,2,1,1.945504
35,2022-01-07-22:39:42,1,3,2.194406
36,2022-01-07-22:39:46,3,6,3.629087
37,2022-01-07-22:39:49,6,1,3.489468
38,2022-01-07-22:39:50,1,4,1.317985
39,2022-01-07-22:39:53,4,3,2.136782
40,2022-01-07-22:39:55,3,2,2.533501
41,2022-01-07-22:39:57,2,1,1.933020
42,2022-01-07-22:39:59,1,5,1.884148
43,2022-01-07-22:40:01,5,3,2.162275
44,2022-01-07-22:40:03,3,4,2.086049
45,2022-01-07-22:40:05,4,0,1.482437
46,2022-01-07-22:40:08,0,6,3.424089
47,2022-01-07-22:40:12,6,7,3.989566
48,2022-01-07-22:40:15,7,2,2.617677
49,2022-01-07-22:40:18,2,6,3.067061
50,2022-01-07-22:40:21,6,5,3.051682
51,2022-01-07-22:40:22,5,2,1.484698
52,2022-01-07-22:40:24,2,0,1.687791
53,2022-01-07-22:40:26,0,3,2.349455
54,2022-01-07-22:40:28,3,4,2.129491
55,2022-01-07-22:40:30,4,0,1.490691
56,2022-01-07-22:40:31,0,1,0.985582
57,2022-01-07-22:40:32,1,4,1.284057
58,2022-01-07-22:40:34,4,3,2.033060
59,2022-01-07-22:40:36,3,1,2.228173
60,2022-01-07-22:40:38,1,2,1.969181
61,2022-01-07-22:40:41,2,7,2.548593
62,2022-01-07-22:40:45,7,6,3.999712
63,2022-01-07-22:40:48,6,5,3.063602
64,2022-01-07-22:40:50,5,2,1.521037
65,2022-01-07-22:40:52,2,3,2.547090
66,2022-01-07-22:40:54,3,5,2.140964
