"iteration,date,init_position,final_position,time"
0,2022-01-27-13:12:13,-1,3,3.08553
1,2022-01-27-13:12:15,3,5,2.16420
2,2022-01-27-13:12:17,5,3,2.15942
3,2022-01-27-13:12:19,3,7,2.13140
4,2022-01-27-13:12:21,7,0,1.92753
5,2022-01-27-13:12:23,0,7,1.91902
6,2022-01-27-13:12:26,7,5,2.56086
7,2022-01-27-13:12:29,5,6,3.10459
8,2022-01-27-13:12:32,6,1,3.52777
9,2022-01-27-13:12:36,1,6,3.53059
10,2022-01-27-13:12:39,6,5,3.09077
11,2022-01-27-13:12:41,5,1,1.88733
12,2022-01-27-13:12:45,1,6,3.53282
13,2022-01-27-13:12:48,6,3,3.62600
14,2022-01-27-13:12:50,3,5,2.15190
15,2022-01-27-13:12:52,5,0,1.88188
16,2022-01-27-13:12:54,0,5,1.84989
17,2022-01-27-13:12:56,5,0,1.83461
18,2022-01-27-13:12:57,0,4,1.52527
19,2022-01-27-13:12:59,4,1,1.32453
20,2022-01-27-13:13:02,1,6,3.59528
21,2022-01-27-13:13:06,6,3,3.63736
22,2022-01-27-13:13:08,3,1,2.23291
23,2022-01-27-13:13:10,1,5,1.91937
24,2022-01-27-13:13:12,5,4,1.75363
25,2022-01-27-13:13:14,4,2,1.79109
26,2022-01-27-13:13:16,2,3,2.56099
27,2022-01-27-13:13:19,3,1,2.69633
28,2022-01-27-13:13:20,1,0,1.11390
29,2022-01-27-13:13:22,0,3,2.41538
30,2022-01-27-13:13:25,3,1,2.23981
31,2022-01-27-13:13:26,1,0,1.05458
32,2022-01-27-13:13:27,0,2,1.72797
33,2022-01-27-13:13:29,2,5,1.51655
34,2022-01-27-13:13:32,5,6,3.05143
35,2022-01-27-13:13:35,6,0,3.43377
36,2022-01-27-13:13:39,0,6,3.42208
37,2022-01-27-13:13:42,6,2,3.05094
38,2022-01-27-13:13:45,2,6,3.05091
39,2022-01-27-13:13:49,6,7,3.98159
40,2022-01-27-13:13:52,7,2,2.58635
41,2022-01-27-13:13:53,2,5,1.51881
42,2022-01-27-13:13:55,5,4,1.79040
43,2022-01-27-13:13:56,4,1,1.32337
44,2022-01-27-13:13:58,1,7,1.66758
45,2022-01-27-13:14:00,7,5,2.55089
46,2022-01-27-13:14:03,5,7,2.54537
47,2022-01-27-13:14:05,7,1,1.70383
48,2022-01-27-13:14:07,1,2,1.92465
49,2022-01-27-13:14:09,2,7,2.55045
50,2022-01-27-13:14:12,7,2,2.55904
51,2022-01-27-13:14:15,2,6,3.05464
52,2022-01-27-13:14:18,6,2,3.03464
53,2022-01-27-13:14:20,2,1,2.03425
54,2022-01-27-13:14:21,1,0,1.08611
