"iteration,date,init_position,final_position,time"
0,2022-01-27-20:02:09,-1,5,3.53574
1,2022-01-27-20:02:12,5,6,3.14333
2,2022-01-27-20:02:16,6,1,3.56599
3,2022-01-27-20:02:18,1,7,1.75358
4,2022-01-27-20:02:19,7,1,1.73120
5,2022-01-27-20:02:22,1,5,2.27892
6,2022-01-27-20:02:24,5,0,2.09571
7,2022-01-27-20:02:27,0,6,3.53736
8,2022-01-27-20:02:31,6,1,3.62534
9,2022-01-27-20:02:33,1,5,2.02150
10,2022-01-27-20:02:36,5,6,3.15166
11,2022-01-27-20:02:40,6,3,3.75353
12,2022-01-27-20:02:42,3,6,2.03415
13,2022-01-27-20:02:45,6,7,2.75293
14,2022-01-27-20:02:47,7,0,1.95937
15,2022-01-27-20:02:48,0,4,1.58695
16,2022-01-27-20:02:51,4,7,3.04403
17,2022-01-27-20:02:54,7,5,3.12980
18,2022-01-27-20:02:57,5,3,2.72418
19,2022-01-27-20:03:00,3,2,2.65904
20,2022-01-27-20:03:02,2,7,2.64042
21,2022-01-27-20:03:04,7,0,1.95242
22,2022-01-27-20:03:07,0,6,2.94750
23,2022-01-27-20:03:10,6,1,2.73103
24,2022-01-27-20:03:12,1,2,2.01729
25,2022-01-27-20:03:14,2,4,1.78600
26,2022-01-27-20:03:18,4,2,4.22148
27,2022-01-27-20:03:22,2,7,4.44212
28,2022-01-27-20:03:25,7,2,2.62777
29,2022-01-27-20:03:28,2,7,2.60114
30,2022-01-27-20:03:31,7,0,3.13055
31,2022-01-27-20:03:33,0,5,2.06419
32,2022-01-27-20:03:36,5,6,3.10387
33,2022-01-27-20:03:40,6,7,4.06612
34,2022-01-27-20:03:44,7,6,4.15663
35,2022-01-27-20:03:47,6,2,3.22106
36,2022-01-27-20:03:51,2,5,3.71806
37,2022-01-27-20:03:54,5,7,2.60682
38,2022-01-27-20:03:57,7,0,3.16488
39,2022-01-27-20:03:59,0,3,2.51046
40,2022-01-27-20:04:02,3,1,2.33633
41,2022-01-27-20:04:04,1,3,2.26090
42,2022-01-27-20:04:06,3,5,2.23526
43,2022-01-27-20:04:09,5,7,2.63469
44,2022-01-27-20:04:12,7,1,3.27898
45,2022-01-27-20:04:14,1,4,1.32746
46,2022-01-27-20:04:16,4,7,1.97309
47,2022-01-27-20:04:18,7,6,2.61869
48,2022-01-27-20:04:22,6,4,3.90168
49,2022-01-27-20:04:26,4,1,3.83793
50,2022-01-27-20:04:28,1,5,2.02140
51,2022-01-27-20:04:29,5,2,1.57579
52,2022-01-27-20:04:31,2,5,1.55980
53,2022-01-27-20:04:33,5,3,2.46278
54,2022-01-27-20:04:36,3,6,2.10806
55,2022-01-27-20:04:38,6,3,2.06539
56,2022-01-27-20:04:40,3,6,2.04927
