--- Start
Calibration finished !

Learning mode activated? 
False
iteration,date,init_position,final_position,time
0,2022-01-03-21:22:03,-1,1,2.717728
1,2022-01-03-21:22:04,1,0,1.050760
2,2022-01-03-21:22:06,0,5,2.103931
3,2022-01-03-21:22:09,5,4,3.448983
4,2022-01-03-21:22:13,4,5,3.463315
5,2022-01-03-21:22:17,5,2,4.264226
6,2022-01-03-21:22:23,2,3,6.177192
7,2022-01-03-21:22:27,3,7,3.508902
8,2022-01-03-21:22:30,7,6,2.774933
9,2022-01-03-21:22:33,6,2,3.432529
10,2022-01-03-21:22:35,2,0,1.900807
11,2022-01-03-21:22:38,0,5,2.851375
12,2022-01-03-21:22:40,5,0,2.219548
13,2022-01-03-21:22:44,0,5,3.626532
14,2022-01-03-21:22:46,5,7,2.841062
15,2022-01-03-21:22:50,7,6,3.305652
16,2022-01-03-21:22:53,6,2,3.528348
17,2022-01-03-21:22:57,2,6,3.626303
18,2022-01-03-21:23:00,6,1,3.150027
19,2022-01-03-21:23:05,1,6,4.978147
20,2022-01-03-21:23:09,6,1,3.987345
21,2022-01-03-21:23:12,1,5,2.519855
22,2022-01-03-21:23:14,5,0,2.248242
23,2022-01-03-21:23:16,0,4,1.709912
24,2022-01-03-21:23:18,4,7,2.287279
25,2022-01-03-21:23:20,7,1,2.177149
26,2022-01-03-21:23:22,1,0,1.664533
27,2022-01-03-21:23:24,0,3,2.716415
28,2022-01-03-21:23:27,3,0,2.756999
29,2022-01-03-21:23:30,0,5,2.309682
30,2022-01-03-21:23:32,5,7,2.827016
31,2022-01-03-21:23:35,7,6,2.780365
32,2022-01-03-21:23:39,6,3,4.240360
33,2022-01-03-21:23:43,3,6,3.859397
34,2022-01-03-21:23:47,6,5,3.587239
35,2022-01-03-21:23:50,5,6,3.469837
36,2022-01-03-21:23:56,6,3,5.642157
37,2022-01-03-21:23:59,3,5,2.616827
38,2022-01-03-21:24:01,5,2,1.987778
39,2022-01-03-21:24:03,2,1,2.307081
40,2022-01-03-21:24:05,1,2,2.182025
41,2022-01-03-21:24:09,2,3,3.494096
42,2022-01-03-21:24:11,3,2,2.690269
43,2022-01-03-21:24:15,2,6,3.503406
44,2022-01-03-21:24:19,6,4,3.908012
45,2022-01-03-21:24:21,4,3,2.224115
46,2022-01-03-21:24:25,3,7,3.970656
47,2022-01-03-21:24:28,7,0,3.262660
48,2022-01-03-21:24:30,0,2,2.420036
49,2022-01-03-21:24:33,2,5,2.325971
50,2022-01-03-21:24:36,5,3,2.824597
51,2022-01-03-21:24:39,3,7,3.608054
52,2022-01-03-21:24:42,7,5,2.974226
53,2022-01-03-21:24:45,5,7,2.737039
54,2022-01-03-21:24:48,7,5,2.847464
55,2022-01-03-21:24:50,5,1,2.654548
56,2022-01-03-21:24:52,1,0,1.260587
57,2022-01-03-21:24:56,0,3,4.494561
58,2022-01-03-21:25:00,3,1,4.061892
59,2022-01-03-21:25:02,1,4,2.126334
60,2022-01-03-21:25:07,4,6,4.281455
61,2022-01-03-21:25:11,6,4,3.787664
62,2022-01-03-21:25:13,4,5,2.055372
63,2022-01-03-21:25:15,5,1,2.621571
64,2022-01-03-21:25:17,1,7,2.099583
65,2022-01-03-21:25:20,7,2,2.783167
66,2022-01-03-21:25:22,2,5,1.875999
67,2022-01-03-21:25:27,5,2,4.575962
68,2022-01-03-21:25:31,2,3,4.675072
69,2022-01-03-21:25:34,3,2,3.086132
70,2022-01-03-21:25:39,2,6,4.194664
71,2022-01-03-21:25:41,6,5,2.837215
72,2022-01-03-21:25:43,5,0,2.012844
73,2022-01-03-21:25:47,0,3,4.116866
74,2022-01-03-21:25:51,3,5,3.505397
75,2022-01-03-21:25:54,5,3,3.051681
76,2022-01-03-21:25:57,3,6,2.499981
77,2022-01-03-21:26:01,6,1,4.042263
78,2022-01-03-21:26:03,1,5,2.058669
79,2022-01-03-21:26:06,5,7,2.895917
80,2022-01-03-21:26:09,7,6,3.208643
81,2022-01-03-21:26:12,6,5,3.403524
82,2022-01-03-21:26:15,5,0,2.795763
83,2022-01-03-21:26:17,0,2,1.884939
84,2022-01-03-21:26:20,2,3,2.891146
85,2022-01-03-21:26:22,3,0,2.615079
86,2022-01-03-21:26:25,0,2,2.256395
87,2022-01-03-21:26:28,2,7,3.003503
88,2022-01-03-21:26:30,7,3,2.821011
89,2022-01-03-21:26:33,3,6,2.505411
90,2022-01-03-21:26:37,6,1,3.789562
91,2022-01-03-21:26:38,1,0,1.205262
92,2022-01-03-21:26:40,0,2,2.340254
93,2022-01-03-21:26:44,2,6,3.508714
94,2022-01-03-21:26:47,6,5,3.399795
95,2022-01-03-21:26:50,5,1,2.795929
96,2022-01-03-21:26:55,1,3,4.616926
97,2022-01-03-21:26:59,3,1,4.215316
98,2022-01-03-21:27:01,1,3,2.498390
99,2022-01-03-21:27:04,3,6,2.243164
100,2022-01-03-21:27:07,6,0,3.417129
101,2022-01-03-21:27:09,0,4,1.698409
102,2022-01-03-21:27:11,4,3,2.499375
103,2022-01-03-21:27:14,3,5,2.907085
104,2022-01-03-21:27:17,5,6,3.377506
105,2022-01-03-21:27:22,6,2,4.088714
106,2022-01-03-21:27:25,2,3,3.629114
107,2022-01-03-21:27:29,3,7,3.759920
108,2022-01-03-21:27:33,7,5,3.648397
109,2022-01-03-21:27:37,5,3,4.543992
110,2022-01-03-21:27:41,3,2,3.454350
111,2022-01-03-21:27:43,2,4,2.320131
112,2022-01-03-21:27:45,4,5,2.171976
113,2022-01-03-21:27:48,5,3,3.195643
114,2022-01-03-21:27:51,3,2,2.922518
115,2022-01-03-21:27:55,2,3,3.868293
116,2022-01-03-21:27:58,3,1,2.998069
117,2022-01-03-21:28:00,1,2,2.375724
118,2022-01-03-21:28:02,2,5,1.728052
119,2022-01-03-21:28:05,5,7,3.017832
120,2022-01-03-21:28:09,7,2,3.539436
121,2022-01-03-21:28:11,2,5,1.936773
122,2022-01-03-21:28:14,5,6,3.802022
123,2022-01-03-21:28:19,6,2,4.155355
124,2022-01-03-21:28:21,2,7,2.719560
125,2022-01-03-21:28:24,7,0,2.389167
126,2022-01-03-21:28:27,0,6,3.591374
127,2022-01-03-21:28:30,6,1,2.990167
128,2022-01-03-21:28:32,1,4,1.946795
129,2022-01-03-21:28:34,4,1,1.509857
130,2022-01-03-21:28:36,1,5,2.587512
131,2022-01-03-21:28:39,5,1,2.597837
132,2022-01-03-21:28:40,1,4,1.485514
133,2022-01-03-21:28:43,4,1,2.160836
134,2022-01-03-21:28:46,1,2,2.950610
135,2022-01-03-21:28:50,2,3,3.937279
