date,init_position,final_position,time
2022-01-05-01:31:52,-1,4,3.278774
2022-01-05-01:31:54,4,3,2.137805
2022-01-05-01:31:58,3,4,3.689540
2022-01-05-01:31:59,4,1,1.328329
2022-01-05-01:32:02,1,6,2.815575
2022-01-05-01:32:05,6,5,2.772351
2022-01-05-01:32:07,5,1,1.960556
2022-01-05-01:32:08,1,4,1.324207
2022-01-05-01:32:12,4,2,4.138568
2022-01-05-01:32:16,2,1,4.133805
2022-01-05-01:32:18,1,7,1.658609
2022-01-05-01:32:20,7,0,1.927644
2022-01-05-01:32:23,0,6,3.508151
2022-01-05-01:32:27,6,4,3.587809
2022-01-05-01:32:29,4,3,2.064355
2022-01-05-01:32:33,3,2,4.254746
2022-01-05-01:32:37,2,5,3.564972
2022-01-05-01:32:39,5,3,2.236940
2022-01-05-01:32:41,3,5,2.189891
2022-01-05-01:32:43,5,1,1.924841
2022-01-05-01:32:47,1,6,3.575500
2022-01-05-01:32:49,6,7,2.565892
