"iteration,date,executiontime"
0,2022-02-08-13:02:59,2.37808
1,2022-02-08-13:02:59,0.38631
2,2022-02-08-13:03:00,0.73369
3,2022-02-08-13:03:01,0.58438
4,2022-02-08-13:03:01,0.58161
5,2022-02-08-13:03:02,0.54273
6,2022-02-08-13:03:03,0.60941
7,2022-02-08-13:03:04,1.01449
8,2022-02-08-13:03:04,0.71853
9,2022-02-08-13:03:05,0.84761
10,2022-02-08-13:03:06,0.67276
11,2022-02-08-13:03:07,0.81028
12,2022-02-08-13:03:07,0.91003
13,2022-02-08-13:03:08,0.59254
14,2022-02-08-13:03:09,0.82770
15,2022-02-08-13:03:10,1.05361
16,2022-02-08-13:03:11,0.72066
17,2022-02-08-13:03:11,0.51567
18,2022-02-08-13:03:12,0.57993
19,2022-02-08-13:03:12,0.38195
20,2022-02-08-13:03:13,1.09601
21,2022-02-08-13:03:14,1.01474
22,2022-02-08-13:03:15,0.74326
23,2022-02-08-13:03:16,0.57678
24,2022-02-08-13:03:16,0.47556
25,2022-02-08-13:03:16,0.41540
26,2022-02-08-13:03:17,0.78162
27,2022-02-08-13:03:18,0.52814
28,2022-02-08-13:03:18,0.56249
29,2022-02-08-13:03:19,0.83250
30,2022-02-08-13:03:20,0.42629
31,2022-02-08-13:03:21,0.91250
32,2022-02-08-13:03:21,0.74984
33,2022-02-08-13:03:22,0.94687
34,2022-02-08-13:03:23,0.81118
35,2022-02-08-13:03:24,0.62543
36,2022-02-08-13:03:24,0.51016
37,2022-02-08-13:03:25,0.81510
38,2022-02-08-13:03:26,0.74805
39,2022-02-08-13:03:26,0.44075
40,2022-02-08-13:03:27,0.67756
41,2022-02-08-13:03:28,0.70869
42,2022-02-08-13:03:28,0.41253
43,2022-02-08-13:03:29,0.72081
44,2022-02-08-13:03:30,0.93227
45,2022-02-08-13:03:30,0.84182
46,2022-02-08-13:03:31,0.58473
47,2022-02-08-13:03:32,0.85204
48,2022-02-08-13:03:33,0.71351
49,2022-02-08-13:03:33,0.40957
50,2022-02-08-13:03:34,0.51551
51,2022-02-08-13:03:34,0.61077
52,2022-02-08-13:03:35,0.79183
53,2022-02-08-13:03:36,0.82025
54,2022-02-08-13:03:36,0.37481
