timestamp,date,node,latency,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6
1644362088460269056,2022-02-08-23:14:48,10.1.1.11,17,-0.100,-0.100,-0.100,0.000,0.000,0.000
1644362089081298176,2022-02-08-23:14:49,10.1.1.11,30,-0.040,-0.040,-0.040,0.000,0.000,0.000
1644362089180581120,2022-02-08-23:14:49,10.1.1.11,29,-0.030,-0.030,-0.030,0.000,0.000,0.000
1644362089280939008,2022-02-08-23:14:49,10.1.1.11,28,-0.020,-0.020,-0.020,0.000,0.000,0.000
1644362089380659968,2022-02-08-23:14:49,10.1.1.11,27,-0.010,-0.010,-0.010,0.000,0.000,0.000
1644362089482039808,2022-02-08-23:14:49,10.1.1.11,26,0.000,0.000,0.000,0.000,0.000,0.000
1644362089580594176,2022-02-08-23:14:49,10.1.1.11,26,0.010,0.010,0.010,0.000,0.000,0.000
1644362089680504064,2022-02-08-23:14:49,10.1.1.11,24,0.020,0.020,0.020,0.000,0.000,0.000
1644362090300726784,2022-02-08-23:14:50,10.1.1.11,39,0.080,0.080,0.080,0.000,0.000,0.000
1644362090400839936,2022-02-08-23:14:50,10.1.1.11,39,0.090,0.090,0.090,0.000,0.000,0.000
1644362090579768832,2022-02-08-23:14:50,10.1.1.11,17,0.090,0.090,0.090,0.000,0.000,0.000
1644362090700380928,2022-02-08-23:14:50,10.1.1.11,37,0.080,0.080,0.080,0.000,0.000,0.000
1644362090800878080,2022-02-08-23:14:50,10.1.1.11,36,0.070,0.070,0.070,0.000,0.000,0.000
1644362090901211136,2022-02-08-23:14:50,10.1.1.11,36,0.060,0.060,0.060,0.000,0.000,0.000
1644362091600536064,2022-02-08-23:14:51,10.1.1.11,29,-0.010,-0.010,-0.010,0.000,0.000,0.000
1644362091699735040,2022-02-08-23:14:51,10.1.1.11,28,-0.020,-0.020,-0.020,0.000,0.000,0.000
1644362091800800000,2022-02-08-23:14:51,10.1.1.11,28,-0.030,-0.030,-0.030,0.000,0.000,0.000
1644362091899454208,2022-02-08-23:14:51,10.1.1.11,27,-0.040,-0.040,-0.040,0.000,0.000,0.000
1644362091999862016,2022-02-08-23:14:51,10.1.1.11,26,-0.050,-0.050,-0.050,0.000,0.000,0.000
1644362092100080896,2022-02-08-23:14:52,10.1.1.11,26,-0.060,-0.060,-0.060,0.000,0.000,0.000
1644362092199789056,2022-02-08-23:14:52,10.1.1.11,25,-0.070,-0.070,-0.070,0.000,0.000,0.000
1644362092299973888,2022-02-08-23:14:52,10.1.1.11,25,-0.080,-0.080,-0.080,0.000,0.000,0.000
1644362092699489024,2022-02-08-23:14:52,10.1.1.11,19,-0.080,-0.080,-0.080,0.000,0.000,0.000
1644362092820615936,2022-02-08-23:14:52,10.1.1.11,39,-0.070,-0.070,-0.070,0.000,0.000,0.000
1644362092919635968,2022-02-08-23:14:52,10.1.1.11,39,-0.060,-0.060,-0.060,0.000,0.000,0.000
