timestamp,date,node,latency,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6
1644011706094471936,2022-02-04-21:55:06,10.1.1.2,6,-0.100,-0.100,-0.100,0.000,0.000,0.000
1644011706308172032,2022-02-04-21:55:06,10.1.1.2,16,-0.100,-0.100,-0.100,0.000,0.000,0.000
1644011706508151040,2022-02-04-21:55:06,10.1.1.2,15,-0.100,-0.100,-0.100,0.000,0.000,0.000
1644011706697690880,2022-02-04-21:55:06,10.1.1.2,2,-0.100,-0.100,-0.100,0.000,0.000,0.000
1644011706914761984,2022-02-04-21:55:06,10.1.1.2,18,-0.100,-0.100,-0.100,0.000,0.000,0.000
1644011707107609088,2022-02-04-21:55:07,10.1.1.2,10,-0.100,-0.100,-0.100,0.000,0.000,0.000
1644011707317846016,2022-02-04-21:55:07,10.1.1.2,19,-0.100,-0.100,-0.100,0.000,0.000,0.000
1644011707507986176,2022-02-04-21:55:07,10.1.1.2,8,-0.100,-0.100,-0.100,0.000,0.000,0.000
1644011707708289024,2022-02-04-21:55:07,10.1.1.2,4,-0.100,-0.100,-0.100,0.000,0.000,0.000
1644011707909065984,2022-02-04-21:55:07,10.1.1.2,4,-0.100,-0.100,-0.100,0.000,0.000,0.000
1644011708111574016,2022-02-04-21:55:08,10.1.1.2,2,-0.100,-0.100,-0.100,0.000,0.000,0.000
1644011708313668864,2022-02-04-21:55:08,10.1.1.2,3,-0.100,-0.100,-0.100,0.000,0.000,0.000
1644011708514308096,2022-02-04-21:55:08,10.1.1.2,1,-0.100,-0.100,-0.100,0.000,0.000,0.000
1644011708714294784,2022-02-04-21:55:08,10.1.1.2,1,-0.100,-0.100,-0.100,0.000,0.000,0.000
1644011708932296960,2022-02-04-21:55:08,10.1.1.2,17,-0.100,-0.100,-0.100,0.000,0.000,0.000
1644011709131928064,2022-02-04-21:55:09,10.1.1.2,16,-0.100,-0.100,-0.100,0.000,0.000,0.000
1644011709334852864,2022-02-04-21:55:09,10.1.1.2,17,-0.100,-0.100,-0.100,0.000,0.000,0.000
1644011709543681024,2022-02-04-21:55:09,10.1.1.2,25,-0.100,-0.100,-0.100,0.000,0.000,0.000
1644011709721451008,2022-02-04-21:55:09,10.1.1.2,2,-0.100,-0.100,-0.100,0.000,0.000,0.000
