timestamp,date,init_position,final_position,latency
1643876899668313856,2022-02-03-08:28:19,-1,3,4029
1643876903702092032,2022-02-03-08:28:23,-1,4,4033
1643876903903184896,2022-02-03-08:28:23,-1,4,200
1643876904104551936,2022-02-03-08:28:24,-1,4,200
1643876904306713088,2022-02-03-08:28:24,-1,4,201
1643876906524564992,2022-02-03-08:28:26,-1,6,2217
1643876911958834944,2022-02-03-08:28:31,-1,2,5433
1643876917401232896,2022-02-03-08:28:37,-1,6,5441
1643876920629164032,2022-02-03-08:28:40,-1,0,3227
1643876926675318016,2022-02-03-08:28:46,-1,3,6045
1643876926876486912,2022-02-03-08:28:46,-1,3,200
1643876930507558144,2022-02-03-08:28:50,-1,1,3630
1643876936150612992,2022-02-03-08:28:56,-1,7,5642
1643876941182646016,2022-02-03-08:29:01,-1,3,5031
1643876946225178880,2022-02-03-08:29:06,-1,7,5042
1643876949060750848,2022-02-03-08:29:09,-1,9,2835
1643876953085138944,2022-02-03-08:29:13,-1,2,4024
1643876955098704128,2022-02-03-08:29:15,-1,8,2013
1643876955299735040,2022-02-03-08:29:15,-1,8,200
1643876958929337856,2022-02-03-08:29:18,-1,6,3629
1643876961952930816,2022-02-03-08:29:21,-1,0,3023
1643876966788242944,2022-02-03-08:29:26,-1,4,4833
1643876969006850048,2022-02-03-08:29:29,-1,6,2218
1643876974449059072,2022-02-03-08:29:34,-1,2,5441
1643876974651515904,2022-02-03-08:29:34,-1,2,201
1643876981711219968,2022-02-03-08:29:41,-1,3,7059
1643876988774785024,2022-02-03-08:29:48,-1,2,7063
1643876993005040896,2022-02-03-08:29:53,-1,7,4229
1643876998243709184,2022-02-03-08:29:58,-1,3,5238
1643877002078897920,2022-02-03-08:30:02,-1,4,3834
1643877004304739840,2022-02-03-08:30:04,-1,6,2225
1643877007331665152,2022-02-03-08:30:07,-1,9,3026
1643877011359357952,2022-02-03-08:30:11,-1,2,4026
1643877017595240960,2022-02-03-08:30:17,-1,0,6235
