iteration,date,time,measurement_period,machine/VNF,sys_cpu,totalmem,availablemem,percentmem,usedmem,freemem,activemem,inactivemem,buffers,cached,shared
0,2022-01-25,12:35:03,0.5,LocalHost,94.9,16664068096,4599541760,72.4,11196194816,1831374848,6106685440,1357815808,1357131776,2279366656,517963776
1,2022-01-25,12:35:03,0.5,LocalHost,98.7,16664068096,4507078656,73.0,11288653824,1738911744,6106685440,1357815808,1357131776,2279370752,517963776
2,2022-01-25,12:35:04,0.5,LocalHost,79.3,16664068096,4474785792,73.1,11320967168,1706467328,6106370048,1357873152,1357131776,2279501824,517926912
3,2022-01-25,12:35:04,0.5,LocalHost,36.4,16664068096,4474126336,73.2,11321622528,1705807872,6106370048,1357873152,1357131776,2279505920,517926912
4,2022-01-25,12:35:05,0.5,LocalHost,17.1,16664068096,4473720832,73.2,11322044416,1705246720,6106628096,1358024704,1357144064,2279632896,517926912
5,2022-01-25,12:35:05,0.5,LocalHost,14.2,16664068096,4473298944,73.2,11322511360,1704763392,6106423296,1358086144,1357144064,2279649280,517926912
6,2022-01-25,12:35:06,0.5,LocalHost,15.1,16664068096,4468969472,73.2,11326812160,1716068352,6106599424,1342431232,1357144064,2264043520,517926912
7,2022-01-25,12:35:06,0.5,LocalHost,16.0,16664068096,4468121600,73.2,11327643648,1715220480,6106644480,1342431232,1357144064,2264059904,517926912
8,2022-01-25,12:35:07,0.5,LocalHost,12.8,16664068096,4467859456,73.2,11327897600,1714806784,6106660864,1342578688,1357144064,2264219648,517926912
9,2022-01-25,12:35:08,0.5,LocalHost,11.8,16664068096,4467777536,73.2,11327946752,1714712576,6106660864,1342590976,1357144064,2264264704,517926912
10,2022-01-25,12:35:08,0.5,LocalHost,12.6,16664068096,4467875840,73.2,11327868928,1714548736,6106476544,1342853120,1357209600,2264440832,517926912
11,2022-01-25,12:35:09,0.5,LocalHost,15.3,16664068096,4467998720,73.2,11327705088,1714647040,6106550272,1342877696,1357209600,2264506368,517926912
12,2022-01-25,12:35:09,0.5,LocalHost,17.6,16664068096,4463603712,73.2,11332210688,1709985792,6107058176,1343131648,1357209600,2264662016,517926912
13,2022-01-25,12:35:10,0.5,LocalHost,18.4,16664068096,4463865856,73.2,11331899392,1710301184,6106636288,1343131648,1357209600,2264657920,517926912
14,2022-01-25,12:35:10,0.5,LocalHost,15.6,16664068096,4464197632,73.2,11331579904,1710469120,6106529792,1343291392,1357217792,2264801280,517926912
15,2022-01-25,12:35:11,0.5,LocalHost,14.8,16664068096,4464115712,73.2,11331620864,1710383104,6106566656,1343295488,1357217792,2264846336,517926912
16,2022-01-25,12:35:11,0.5,LocalHost,15.7,16664068096,4464070656,73.2,11331641344,1710166016,6106578944,1343467520,1357217792,2265042944,517926912
17,2022-01-25,12:35:12,0.5,LocalHost,14.5,16664068096,4463955968,73.2,11331772416,1709957120,6106394624,1343553536,1357217792,2265120768,517926912
18,2022-01-25,12:35:12,0.5,LocalHost,13.3,16664068096,4464369664,73.2,11331379200,1710014464,6106607616,1343905792,1357217792,2265456640,517926912
19,2022-01-25,12:35:13,0.5,LocalHost,11.4,16664068096,4464500736,73.2,11331223552,1710145536,6106636288,1343905792,1357217792,2265481216,517926912
20,2022-01-25,12:35:13,0.5,LocalHost,11.0,16664068096,4464377856,73.2,11331280896,1709907968,6106570752,1344020480,1357217792,2265661440,517926912
21,2022-01-25,12:35:14,0.5,LocalHost,18.9,16664068096,4464783360,73.2,11330928640,1710108672,6106583040,1344221184,1357295616,2265735168,517926912
22,2022-01-25,12:35:14,0.5,LocalHost,16.1,16664068096,4464836608,73.2,11330904064,1709940736,6106648576,1344389120,1357295616,2265927680,517926912
23,2022-01-25,12:35:15,0.5,LocalHost,16.8,16664068096,4464431104,73.2,11331284992,1709514752,6106451968,1344409600,1357295616,2265972736,517926912
24,2022-01-25,12:35:15,0.5,LocalHost,16.2,16664068096,4464173056,73.2,11331489792,1709080576,6106554368,1344577536,1357303808,2266193920,517926912
25,2022-01-25,12:35:16,0.5,LocalHost,16.4,16664068096,4464201728,73.2,11331444736,1709109248,6106554368,1344577536,1357303808,2266210304,517926912
26,2022-01-25,12:35:16,0.5,LocalHost,14.9,16664068096,4464484352,73.2,11331280896,1709076480,6106578944,1344851968,1357303808,2266406912,517926912
27,2022-01-25,12:35:17,0.5,LocalHost,12.3,16664068096,4464701440,73.2,11331047424,1709264896,6106632192,1344880640,1357303808,2266451968,517926912
28,2022-01-25,12:35:17,0.5,LocalHost,11.0,16664068096,4464820224,73.2,11330912256,1709244416,6106652672,1345019904,1357303808,2266607616,517926912
29,2022-01-25,12:35:18,0.5,LocalHost,18.2,16664068096,4464922624,73.2,11330809856,1709314048,6106996736,1345048576,1357303808,2266640384,517926912
30,2022-01-25,12:35:18,0.5,LocalHost,20.5,16664068096,4465311744,73.2,11330396160,1709531136,6106796032,1345220608,1357303808,2266836992,517926912
31,2022-01-25,12:35:19,0.5,LocalHost,16.9,16664068096,4465446912,73.2,11330256896,1709633536,6106877952,1345253376,1357303808,2266873856,517926912
32,2022-01-25,12:35:19,0.5,LocalHost,18.3,16664068096,4463374336,73.2,11332354048,1707380736,6107967488,1345433600,1357369344,2266963968,517926912
33,2022-01-25,12:35:20,0.5,LocalHost,13.5,16664068096,4463419392,73.2,11332313088,1707274240,6107553792,1345523712,1357369344,2267111424,517926912
34,2022-01-25,12:35:20,0.5,LocalHost,13.3,16664068096,4463722496,73.2,11332075520,1707307008,6107082752,1345769472,1357377536,2267308032,517926912
35,2022-01-25,12:35:21,0.5,LocalHost,13.0,16664068096,4463788032,73.2,11331981312,1707372544,6107082752,1345769472,1357377536,2267336704,517926912
36,2022-01-25,12:35:21,0.5,LocalHost,12.7,16664068096,4464017408,73.2,11331715072,1707474944,6107176960,1345892352,1357377536,2267500544,517926912
37,2022-01-25,12:35:22,0.5,LocalHost,14.1,16664068096,4464009216,73.2,11331706880,1707466752,6107176960,1345892352,1357377536,2267516928,517926912
38,2022-01-25,12:35:22,0.5,LocalHost,9.3,16664068096,4464103424,73.2,11331596288,1707372544,6107193344,1346072576,1357377536,2267721728,517926912
39,2022-01-25,12:35:23,0.5,LocalHost,11.2,16664068096,4464230400,73.2,11331432448,1707438080,6107193344,1346134016,1357377536,2267820032,517926912
40,2022-01-25,12:35:23,0.5,LocalHost,14.5,16664068096,4464263168,73.2,11331489792,1707241472,6107136000,1346355200,1357377536,2267959296,517926912
41,2022-01-25,12:35:24,0.5,LocalHost,16.8,16664068096,4464467968,73.2,11331231744,1707438080,6107140096,1346363392,1357377536,2268020736,517926912
42,2022-01-25,12:35:24,0.5,LocalHost,13.0,16664068096,4464652288,73.2,11331117056,1707372544,6107189248,1346609152,1357377536,2268200960,517926912
43,2022-01-25,12:35:25,0.5,LocalHost,13.4,16664068096,4464705536,73.2,11331059712,1707364352,6107189248,1346670592,1357443072,2268200960,517926912
44,2022-01-25,12:35:25,0.5,LocalHost,14.5,16664068096,4465065984,73.2,11330744320,1707438080,6107082752,1346895872,1357451264,2268434432,517926912
45,2022-01-25,12:35:26,0.5,LocalHost,9.7,16664068096,4464844800,73.2,11330891776,1707151360,6107082752,1346961408,1357451264,2268573696,517926912
46,2022-01-25,12:35:26,0.5,LocalHost,8.4,16664068096,4465004544,73.2,11330699264,1707282432,6107086848,1346985984,1357451264,2268635136,517926912
47,2022-01-25,12:35:27,0.5,LocalHost,15.2,16664068096,4464963584,73.2,11330662400,1707241472,6107353088,1346985984,1357451264,2268712960,517926912
48,2022-01-25,12:35:27,0.5,LocalHost,12.0,16664068096,4465274880,73.2,11330482176,1707241472,6107074560,1347276800,1357451264,2268893184,517926912
49,2022-01-25,12:35:28,0.5,LocalHost,13.7,16664068096,4465569792,73.2,11330174976,1707536384,6107074560,1347276800,1357451264,2268905472,517926912
50,2022-01-25,12:35:28,0.5,LocalHost,13.9,16664068096,4465979392,73.2,11329761280,1707737088,6107062272,1347477504,1357451264,2269118464,517926912
51,2022-01-25,12:35:29,0.5,LocalHost,14.1,16664068096,4466032640,73.2,11329687552,1707790336,6107062272,1347477504,1357451264,2269138944,517926912
52,2022-01-25,12:35:29,0.5,LocalHost,13.7,16664068096,4466098176,73.2,11329630208,1707597824,6107148288,1347731456,1357451264,2269388800,517926912
53,2022-01-25,12:35:30,0.5,LocalHost,16.3,16664068096,4464455680,73.2,11331325952,1705832448,6107934720,1347817472,1357451264,2269458432,517926912
54,2022-01-25,12:35:30,0.5,LocalHost,17.7,16664068096,4463927296,73.2,11331833856,1704980480,6107045888,1347985408,1357529088,2269724672,517926912
55,2022-01-25,12:35:31,0.5,LocalHost,9.1,16664068096,4464123904,73.2,11331661824,1705046016,6107295744,1348050944,1357529088,2269831168,517926912
56,2022-01-25,12:35:31,0.5,LocalHost,8.4,16664068096,4464373760,73.2,11331375104,1704980480,6107172864,1348349952,1357529088,2270183424,517926912
57,2022-01-25,12:35:32,0.5,LocalHost,9.2,16664068096,4464414720,73.2,11331321856,1705005056,6107172864,1348366336,1357529088,2270212096,517926912
58,2022-01-25,12:35:32,0.5,LocalHost,9.4,16664068096,4463828992,73.2,11331903488,1704189952,6107889664,1348591616,1357529088,2270445568,517926912
59,2022-01-25,12:35:33,0.5,LocalHost,12.4,16664068096,4464091136,73.2,11331653632,1704370176,6107185152,1348669440,1357529088,2270515200,517926912
60,2022-01-25,12:35:33,0.5,LocalHost,14.2,16664068096,4463976448,73.2,11331821568,1704038400,6107213824,1348882432,1357529088,2270679040,517926912
61,2022-01-25,12:35:34,0.5,LocalHost,12.4,16664068096,4464082944,73.2,11331706880,1704144896,6107213824,1348882432,1357529088,2270687232,517926912
62,2022-01-25,12:35:34,0.5,LocalHost,12.6,16664068096,4464181248,73.2,11331551232,1704062976,6107181056,1349062656,1357529088,2270924800,517926912
63,2022-01-25,12:35:35,0.5,LocalHost,13.8,16664068096,4464435200,73.2,11331305472,1704202240,6107455488,1349177344,1357529088,2271031296,517926912
64,2022-01-25,12:35:35,0.5,LocalHost,13.1,16664068096,4464140288,73.2,11331571712,1703837696,6107279360,1349242880,1357537280,2271121408,517926912
65,2022-01-25,12:35:36,0.5,LocalHost,13.3,16664068096,4463927296,73.2,11331784704,1703538688,6107287552,1349324800,1357594624,2271150080,517926912
66,2022-01-25,12:35:36,0.5,LocalHost,8.7,16664068096,4464152576,73.2,11331592192,1703481344,6107189248,1349541888,1357602816,2271391744,517926912
67,2022-01-25,12:35:37,0.5,LocalHost,10.4,16664068096,4464062464,73.2,11331686400,1703342080,6107201536,1349591040,1357602816,2271436800,517926912
68,2022-01-25,12:35:37,0.5,LocalHost,12.5,16664068096,4464287744,73.2,11331383296,1703481344,6107201536,1349677056,1357602816,2271600640,517926912
69,2022-01-25,12:35:38,0.5,LocalHost,15.3,16664068096,4463886336,73.2,11331829760,1702985728,6107066368,1349763072,1357602816,2271649792,517926912
70,2022-01-25,12:35:38,0.5,LocalHost,21.1,16664068096,4464594944,73.2,11331092480,1703542784,6107160576,1349914624,1357602816,2271830016,517926912
71,2022-01-25,12:35:39,0.5,LocalHost,18.3,16664068096,4464422912,73.2,11331252224,1703370752,6107160576,1349914624,1357602816,2271842304,517926912
