iteration,date,time,measurement_period,machine/VNF,sys_cpu,totalmem,availablemem,percentmem,usedmem,freemem,activemem,inactivemem,buffers,cached,shared
0,2022-01-23,20:04:24,0.5,LocalHost,95.1,16664068096,2074689536,87.5,13351129088,822984704,7500455936,645296128,344322048,2145632256,888135680
1,2022-01-23,20:04:24,0.5,LocalHost,99.0,16664068096,1998245888,88.0,13427572736,746283008,7501217792,645402624,344322048,2145890304,888135680
2,2022-01-23,20:04:25,0.5,LocalHost,98.2,16664068096,1946214400,88.3,13479596032,694206464,7500795904,645447680,344322048,2145943552,888135680
3,2022-01-23,20:04:25,0.5,LocalHost,84.5,16664068096,1931112448,88.4,13494673408,679047168,7500431360,645488640,344322048,2146025472,888135680
4,2022-01-23,20:04:26,0.5,LocalHost,37.3,16664068096,1930960896,88.4,13494829056,678813696,7499714560,645570560,344330240,2146095104,888135680
5,2022-01-23,20:04:26,0.5,LocalHost,17.2,16664068096,1930686464,88.4,13495132160,678445056,7499841536,645652480,344330240,2146160640,888135680
6,2022-01-23,20:04:27,0.5,LocalHost,14.6,16664068096,1931067392,88.4,13494743040,678735872,7499673600,645726208,344330240,2146258944,888135680
7,2022-01-23,20:04:27,0.5,LocalHost,15.6,16664068096,1929838592,88.4,13495980032,677437440,7500562432,645787648,344330240,2146320384,888135680
8,2022-01-23,20:04:28,0.5,LocalHost,19.8,16664068096,1929310208,88.4,13496508416,676868096,7500873728,645828608,344346624,2146344960,888135680
9,2022-01-23,20:04:28,0.5,LocalHost,17.3,16664068096,1928876032,88.4,13496934400,676368384,7501152256,645877760,344363008,2146402304,888135680
10,2022-01-23,20:04:29,0.5,LocalHost,17.5,16664068096,1928343552,88.4,13497458688,675737600,7500750848,645951488,344371200,2146500608,888135680
11,2022-01-23,20:04:29,0.5,LocalHost,17.9,16664068096,1925767168,88.4,13500047360,673095680,7501594624,646012928,344371200,2146553856,888135680
12,2022-01-23,20:04:30,0.5,LocalHost,16.6,16664068096,1926606848,88.4,13499203584,673906688,7501467648,646041600,344371200,2146586624,888135680
13,2022-01-23,20:04:30,0.5,LocalHost,20.1,16664068096,1925607424,88.4,13500207104,672821248,7502696448,646123520,344371200,2146668544,888135680
14,2022-01-23,20:04:31,0.5,LocalHost,20.0,16664068096,1926356992,88.4,13499457536,673492992,7501557760,646193152,344379392,2146738176,888135680
15,2022-01-23,20:04:31,0.5,LocalHost,16.0,16664068096,1926610944,88.4,13499207680,673673216,7501271040,646258688,344379392,2146807808,888135680
16,2022-01-23,20:04:32,0.5,LocalHost,19.5,16664068096,1923940352,88.5,13501845504,670822400,7501357056,646377472,344379392,2147020800,888135680
17,2022-01-23,20:04:32,0.5,LocalHost,17.9,16664068096,1924530176,88.5,13501280256,671338496,7501217792,646451200,344379392,2147069952,888135680
18,2022-01-23,20:04:33,0.5,LocalHost,17.6,16664068096,1924648960,88.5,13501161472,671342592,7501176832,646565888,344403968,2147160064,888135680
19,2022-01-23,20:04:33,0.5,LocalHost,16.5,16664068096,1925242880,88.4,13500567552,671887360,7501070336,646586368,344403968,2147209216,888135680
20,2022-01-23,20:04:34,0.5,LocalHost,17.1,16664068096,1925038080,88.4,13500772352,671596544,7500627968,646668288,344428544,2147270656,888135680
21,2022-01-23,20:04:34,0.5,LocalHost,14.6,16664068096,1924972544,88.4,13500846080,671481856,7501221888,646696960,344436736,2147303424,888135680
22,2022-01-23,20:04:35,0.5,LocalHost,19.6,16664068096,1925603328,88.4,13500211200,672034816,7501578240,646766592,344436736,2147385344,888135680
23,2022-01-23,20:04:35,0.5,LocalHost,21.0,16664068096,1925603328,88.4,13500203008,671989760,7501238272,646811648,344436736,2147438592,888135680
24,2022-01-23,20:04:36,0.5,LocalHost,20.6,16664068096,1925312512,88.4,13500493824,671625216,7501332480,646881280,344444928,2147504128,888135680
25,2022-01-23,20:04:36,0.5,LocalHost,16.5,16664068096,1926164480,88.4,13499650048,672403456,7501443072,646946816,344444928,2147569664,888135680
26,2022-01-23,20:04:37,0.5,LocalHost,17.1,16664068096,1926230016,88.4,13499580416,672399360,7501508608,647016448,344444928,2147643392,888135680
27,2022-01-23,20:04:37,0.5,LocalHost,19.0,16664068096,1926864896,88.4,13498953728,672985088,7501438976,647061504,344444928,2147684352,888135680
28,2022-01-23,20:04:38,0.5,LocalHost,15.7,16664068096,1926356992,88.4,13499449344,672395264,7501107200,647143424,344444928,2147778560,888135680
29,2022-01-23,20:04:38,0.5,LocalHost,18.1,16664068096,1925980160,88.4,13499826176,671989760,7501529088,647172096,344477696,2147774464,888135680
30,2022-01-23,20:04:39,0.5,LocalHost,16.7,16664068096,1926631424,88.4,13499187200,672509952,7501324288,647270400,344477696,2147893248,888135680
31,2022-01-23,20:04:39,0.5,LocalHost,17.1,16664068096,1926848512,88.4,13498966016,672722944,7501819904,647274496,344510464,2147868672,888135680
32,2022-01-23,20:04:40,0.5,LocalHost,17.1,16664068096,1926590464,88.4,13499219968,672296960,7502143488,647385088,344526848,2148024320,888135680
33,2022-01-23,20:04:40,0.5,LocalHost,16.8,16664068096,1926811648,88.4,13499002880,672501760,7502532608,647401472,344526848,2148036608,888135680
34,2022-01-23,20:04:41,0.5,LocalHost,19.4,16664068096,1909829632,88.5,13515984896,655417344,7520059392,647491584,344535040,2148130816,888135680
35,2022-01-23,20:04:41,0.5,LocalHost,17.1,16664068096,1908277248,88.5,13517541376,653828096,7519670272,647524352,344535040,2148163584,888135680
36,2022-01-23,20:04:42,0.5,LocalHost,20.1,16664068096,1903411200,88.6,13522382848,648736768,7519916032,647540736,344535040,2148413440,888135680
37,2022-01-23,20:04:42,0.5,LocalHost,15.8,16664068096,1904226304,88.6,13521584128,649535488,7520157696,647602176,344535040,2148413440,888135680
