iteration,date,time,measurement_period,machine/VNF,sys_cpu,totalmem,availablemem,percentmem,usedmem,freemem,activemem,inactivemem,buffers,cached,shared
0,2022-01-23,20:15:27,0.5,LocalHost,93.7,16664068096,2067701760,87.6,13357486080,802947072,7568752640,646500352,354832384,2148802560,888762368
1,2022-01-23,20:15:27,0.5,LocalHost,97.3,16664068096,2000261120,88.0,13424926720,735408128,7568691200,646594560,354832384,2148900864,888762368
2,2022-01-23,20:15:28,0.5,LocalHost,95.6,16664068096,1949696000,88.3,13474160640,684843008,7569235968,646594560,354832384,2150232064,890093568
3,2022-01-23,20:15:28,0.5,LocalHost,86.1,16664068096,1942364160,88.3,13481230336,677400576,7569174528,646696960,354832384,2150604800,890335232
4,2022-01-23,20:15:29,0.5,LocalHost,51.7,16664068096,1935425536,88.4,13488238592,670355456,7569420288,646803456,354832384,2150641664,890335232
5,2022-01-23,20:15:29,0.5,LocalHost,25.1,16664068096,1935519744,88.4,13488099328,670396416,7569346560,646840320,354832384,2150739968,890335232
6,2022-01-23,20:15:30,0.5,LocalHost,24.4,16664068096,1935409152,88.4,13488209920,670253056,7569121280,646873088,354840576,2150764544,890335232
7,2022-01-23,20:15:30,0.5,LocalHost,28.4,16664068096,1935761408,88.4,13489188864,670535680,7570001920,646922240,354840576,2149502976,889004032
8,2022-01-23,20:15:31,0.5,LocalHost,25.6,16664068096,1936646144,88.4,13488541696,671399936,7570370560,646942720,354840576,2149285888,888762368
9,2022-01-23,20:15:31,0.5,LocalHost,27.6,16664068096,1935495168,88.4,13489692672,670113792,7570059264,647036928,354840576,2149421056,888762368
10,2022-01-23,20:15:32,0.5,LocalHost,27.2,16664068096,1936388096,88.4,13488787456,670945280,7570071552,647057408,354914304,2149421056,888762368
11,2022-01-23,20:15:32,0.5,LocalHost,27.9,16664068096,1935642624,88.4,13489545216,670093312,7570550784,647127040,354914304,2149515264,888762368
12,2022-01-23,20:15:33,0.5,LocalHost,25.9,16664068096,1935261696,88.4,13489926144,669700096,7570464768,647139328,354914304,2149527552,888762368
13,2022-01-23,20:15:33,0.5,LocalHost,26.9,16664068096,1935716352,88.4,13489459200,670056448,7570784256,647225344,354914304,2149638144,888762368
14,2022-01-23,20:15:34,0.5,LocalHost,26.4,16664068096,1935904768,88.4,13489270784,670208000,7570972672,647262208,354914304,2149675008,888762368
15,2022-01-23,20:15:34,0.5,LocalHost,27.6,16664068096,1935486976,88.4,13489700864,669732864,7570345984,647319552,354914304,2149720064,888762368
16,2022-01-23,20:15:35,0.5,LocalHost,27.8,16664068096,1935302656,88.4,13489885184,669470720,7570366464,647385088,354922496,2149789696,888762368
17,2022-01-23,20:15:35,0.5,LocalHost,27.9,16664068096,1935310848,88.4,13489868800,669450240,7570759680,647413760,354922496,2149826560,888762368
18,2022-01-23,20:15:36,0.5,LocalHost,26.7,16664068096,1935446016,88.4,13489741824,669540352,7570550784,647458816,354922496,2149863424,888762368
19,2022-01-23,20:15:36,0.5,LocalHost,29.0,16664068096,1934925824,88.4,13490266112,668962816,7570739200,647516160,354922496,2149916672,888762368
20,2022-01-23,20:15:37,0.5,LocalHost,30.3,16664068096,1934950400,88.4,13490241536,668975104,7570907136,647528448,354930688,2149920768,888762368
21,2022-01-23,20:15:37,0.5,LocalHost,29.2,16664068096,1934450688,88.4,13490733056,668356608,7570894848,647614464,354971648,2150006784,888762368
22,2022-01-23,20:15:38,0.5,LocalHost,26.8,16664068096,1934135296,88.4,13491048448,668012544,7571578880,647643136,354971648,2150035456,888762368
23,2022-01-23,20:15:38,0.5,LocalHost,30.4,16664068096,1934471168,88.4,13490720768,668246016,7570677760,647712768,354971648,2150129664,888762368
