iteration,date,time,measurement_period,machine/VNF,sys_cpu,totalmem,availablemem,percentmem,usedmem,freemem,activemem,inactivemem,buffers,cached,shared
0,2022-01-24,15:44:14,0.5,LocalHost,96.5,16664068096,5832818688,65.0,10052198400,4064530432,4657926144,1217830912,267358208,2279981056,445087744
1,2022-01-24,15:44:15,0.5,LocalHost,98.5,16664068096,5832806400,65.0,10052206592,4064514048,4657790976,1217830912,267358208,2279989248,445087744
2,2022-01-24,15:44:15,0.5,LocalHost,65.3,16664068096,5830492160,65.0,10054475776,4062208000,4658216960,1217826816,267358208,2280026112,445136896
3,2022-01-24,15:44:16,0.5,LocalHost,15.2,16664068096,5830537216,65.0,10054430720,4062253056,4658229248,1217826816,267358208,2280026112,445136896
4,2022-01-24,15:44:16,0.5,LocalHost,3.6,16664068096,5829218304,65.0,10055737344,4060917760,4658540544,1217843200,267378688,2280034304,445136896
5,2022-01-24,15:44:17,0.5,LocalHost,4.2,16664068096,5834235904,65.0,10054451200,4065927168,4658282496,1217843200,267378688,2276311040,441409536
6,2022-01-24,15:44:17,0.5,LocalHost,3.4,16664068096,5830692864,65.0,10056433664,4062375936,4658544640,1217851392,267378688,2277879808,442970112
7,2022-01-24,15:44:18,0.5,LocalHost,8.2,16664068096,5828755456,65.0,10058309632,4060491776,4659503104,1217794048,267378688,2277888000,442970112
8,2022-01-24,15:44:18,0.5,LocalHost,1.3,16664068096,5829513216,65.0,10057601024,4061134848,4658647040,1217875968,267378688,2277953536,442970112
9,2022-01-24,15:44:19,0.5,LocalHost,4.9,16664068096,5829328896,65.0,10057781248,4060950528,4658614272,1217875968,267378688,2277957632,442970112
10,2022-01-24,15:44:19,0.5,LocalHost,14.7,16664068096,5829550080,65.0,10057519104,4061167616,4658618368,1217880064,267444224,2277937152,442970112
11,2022-01-24,15:44:20,0.5,LocalHost,15.0,16664068096,5829427200,65.0,10057641984,4061044736,4658659328,1217880064,267444224,2277937152,442970112
12,2022-01-24,15:44:20,0.5,LocalHost,10.5,16664068096,5829525504,65.0,10057519104,4061134848,4658622464,1217884160,267444224,2277969920,442970112
13,2022-01-24,15:44:21,0.5,LocalHost,11.6,16664068096,5829517312,65.0,10057527296,4061126656,4658622464,1217884160,267444224,2277969920,442970112
14,2022-01-24,15:44:21,0.5,LocalHost,10.6,16664068096,5829492736,65.0,10057596928,4061044736,4658671616,1217892352,267452416,2277974016,442970112
15,2022-01-24,15:44:22,0.5,LocalHost,4.6,16664068096,5829218304,65.0,10057859072,4060770304,4658946048,1217892352,267452416,2277986304,442970112
16,2022-01-24,15:44:22,0.5,LocalHost,3.1,16664068096,5830172672,65.0,10056900608,4061724672,4658679808,1217892352,267452416,2277990400,442970112
17,2022-01-24,15:44:23,0.5,LocalHost,7.1,16664068096,5829799936,65.0,10057273344,4061351936,4658679808,1217892352,267452416,2277990400,442970112
18,2022-01-24,15:44:23,0.5,LocalHost,5.2,16664068096,5829808128,65.0,10057252864,4061360128,4658679808,1217892352,267452416,2278002688,442970112
19,2022-01-24,15:44:24,0.5,LocalHost,4.2,16664068096,5829578752,65.0,10057510912,4061102080,4658688000,1217912832,267452416,2278002688,442970112
20,2022-01-24,15:44:24,0.5,LocalHost,3.9,16664068096,5829599232,65.0,10057478144,4061102080,4658716672,1217933312,267501568,2277986304,442970112
21,2022-01-24,15:44:25,0.5,LocalHost,2.6,16664068096,5829906432,65.0,10057162752,4061376512,4658749440,1217937408,267517952,2278010880,442970112
22,2022-01-24,15:44:25,0.5,LocalHost,5.1,16664068096,5829992448,65.0,10057076736,4061458432,4658749440,1217941504,267517952,2278014976,442970112
23,2022-01-24,15:44:26,0.5,LocalHost,3.4,16664068096,5830217728,65.0,10056847360,4061683712,4658749440,1217941504,267517952,2278019072,442970112
24,2022-01-24,15:44:26,0.5,LocalHost,4.6,16664068096,5829926912,65.0,10057129984,4061392896,4658749440,1217941504,267517952,2278027264,442970112
25,2022-01-24,15:44:27,0.5,LocalHost,11.6,16664068096,5829677056,65.0,10057371648,4061143040,4658749440,1217941504,267526144,2278027264,442970112
26,2022-01-24,15:44:27,0.5,LocalHost,3.9,16664068096,5830258688,65.0,10056777728,4061724672,4658749440,1217941504,267526144,2278039552,442970112
27,2022-01-24,15:44:28,0.5,LocalHost,3.9,16664068096,5829709824,65.0,10057322496,4061175808,4659015680,1217941504,267526144,2278043648,442970112
28,2022-01-24,15:44:28,0.5,LocalHost,12.9,16664068096,5830135808,65.0,10056966144,4061360128,4658933760,1218105344,267526144,2278215680,442970112
29,2022-01-24,15:44:29,0.5,LocalHost,4.6,16664068096,5830492160,65.0,10056609792,4061716480,4658933760,1218105344,267526144,2278215680,442970112
30,2022-01-24,15:44:29,0.5,LocalHost,2.4,16664068096,5830316032,65.0,10056765440,4061532160,4658810880,1218113536,267542528,2278227968,442970112
31,2022-01-24,15:44:30,0.5,LocalHost,5.5,16664068096,5829918720,65.0,10057101312,4061020160,4658958336,1218117632,267575296,2278371328,442970112
32,2022-01-24,15:44:30,0.5,LocalHost,2.9,16664068096,5830025216,65.0,10057003008,4061110272,4658860032,1218125824,267583488,2278371328,442970112
33,2022-01-24,15:44:31,0.5,LocalHost,7.5,16664068096,5829799936,65.0,10057228288,4060884992,4658860032,1218125824,267583488,2278371328,442970112
34,2022-01-24,15:44:31,0.5,LocalHost,8.0,16664068096,5830316032,65.0,10056695808,4061401088,4658860032,1218125824,267583488,2278387712,442970112
35,2022-01-24,15:44:32,0.5,LocalHost,7.0,16664068096,5829177344,65.0,10057830400,4060262400,4659126272,1218125824,267591680,2278383616,442970112
36,2022-01-24,15:44:32,0.5,LocalHost,5.1,16664068096,5830844416,65.0,10057732096,4061900800,4658847744,1218138112,267591680,2276843520,441397248
37,2022-01-24,15:44:33,0.5,LocalHost,8.0,16664068096,5830586368,65.0,10057990144,4061642752,4658847744,1218138112,267591680,2276843520,441397248
38,2022-01-24,15:44:33,0.5,LocalHost,14.0,16664068096,5830520832,65.0,10058047488,4061577216,4658847744,1218138112,267591680,2276851712,441397248
39,2022-01-24,15:44:34,0.5,LocalHost,12.3,16664068096,5830668288,65.0,10057904128,4061716480,4658855936,1218146304,267591680,2276855808,441397248
40,2022-01-24,15:44:34,0.5,LocalHost,12.1,16664068096,5830852608,65.0,10057695232,4061884416,4658855936,1218150400,267608064,2276880384,441397248
41,2022-01-24,15:44:35,0.5,LocalHost,5.1,16664068096,5831024640,65.0,10057523200,4062056448,4658880512,1218150400,267624448,2276864000,441397248
42,2022-01-24,15:44:35,0.5,LocalHost,5.1,16664068096,5831155712,65.0,10057379840,4062175232,4658888704,1218154496,267632640,2276880384,441397248
43,2022-01-24,15:44:36,0.5,LocalHost,5.5,16664068096,5830438912,65.0,10058100736,4061433856,4658905088,1218162688,267640832,2276892672,441397248
44,2022-01-24,15:44:36,0.5,LocalHost,4.4,16664068096,5830647808,65.0,10057900032,4061626368,4658663424,1218170880,267640832,2276900864,441397248
45,2022-01-24,15:44:37,0.5,LocalHost,4.5,16664068096,5830455296,65.0,10058088448,4061433856,4658839552,1218170880,267640832,2276904960,441397248
46,2022-01-24,15:44:37,0.5,LocalHost,3.6,16664068096,5830651904,65.0,10057879552,4061626368,4658663424,1218174976,267649024,2276913152,441397248
47,2022-01-24,15:44:38,0.5,LocalHost,4.6,16664068096,5830598656,65.0,10057932800,4061573120,4658929664,1218174976,267649024,2276913152,441397248
48,2022-01-24,15:44:38,0.5,LocalHost,6.5,16664068096,5830660096,65.0,10057572352,4061515776,4658995200,1218260992,267649024,2277330944,441393152
49,2022-01-24,15:44:39,0.5,LocalHost,9.9,16664068096,5831053312,65.0,10057428992,4061638656,4658679808,1218523136,267649024,2277351424,441393152
50,2022-01-24,15:44:39,0.5,LocalHost,4.4,16664068096,5830803456,65.0,10057748480,4061429760,4658782208,1218478080,267657216,2277232640,441397248
51,2022-01-24,15:44:40,0.5,LocalHost,4.4,16664068096,5830770688,65.0,10057793536,4061356032,4658991104,1218490368,267673600,2277244928,441397248
52,2022-01-24,15:44:40,0.5,LocalHost,4.4,16664068096,5831053312,65.0,10057506816,4061638656,4658806784,1218490368,267673600,2277249024,441397248
53,2022-01-24,15:44:41,0.5,LocalHost,4.9,16664068096,5830676480,65.0,10057883648,4061257728,4658806784,1218494464,267681792,2277244928,441397248
54,2022-01-24,15:44:41,0.5,LocalHost,2.6,16664068096,5831630848,65.0,10056925184,4062203904,4658814976,1218494464,267698176,2277240832,441397248
55,2022-01-24,15:44:42,0.5,LocalHost,4.1,16664068096,5831139328,65.0,10057412608,4061687808,4658655232,1218498560,267698176,2277269504,441397248
56,2022-01-24,15:44:42,0.5,LocalHost,3.9,16664068096,5831086080,65.0,10057457664,4061630464,4658835456,1218502656,267706368,2277273600,441397248
57,2022-01-24,15:44:43,0.5,LocalHost,3.6,16664068096,5831307264,65.0,10057240576,4061847552,4658835456,1218506752,267706368,2277273600,441397248
58,2022-01-24,15:44:43,0.5,LocalHost,3.6,16664068096,5831147520,65.0,10057383936,4061687808,4658835456,1218506752,267706368,2277289984,441397248
59,2022-01-24,15:44:44,0.5,LocalHost,5.4,16664068096,5831479296,65.0,10057048064,4062019584,4658835456,1218506752,267706368,2277294080,441397248
60,2022-01-24,15:44:44,0.5,LocalHost,4.4,16664068096,5831159808,65.0,10057367552,4061687808,4658843648,1218510848,267714560,2277298176,441397248
61,2022-01-24,15:44:45,0.5,LocalHost,3.7,16664068096,5830733824,65.0,10057801728,4061237248,4658868224,1218510848,267730944,2277298176,441397248
