iteration,date,time,measurement_period,machine/VNF,sys_cpu,totalmem,availablemem,percentmem,usedmem,freemem,activemem,inactivemem,buffers,cached,shared
0,2022-01-02,08:41:42,0.5,LocalHost,86.7,16679079936,5276672000,68.4,10856534016,581324800,4431405056,1486503936,1110200320,4131020800,210464768
1,2022-01-02,08:41:42,0.5,LocalHost,91.9,16679079936,5265883136,68.4,10867113984,570531840,4430630912,1486495744,1110200320,4131233792,210669568
2,2022-01-02,08:41:43,0.5,LocalHost,88.1,16679079936,5261570048,68.5,10871431168,566214656,4429664256,1486499840,1110200320,4131233792,210669568
3,2022-01-02,08:41:43,0.5,LocalHost,72.3,16679079936,5261717504,68.5,10871279616,566362112,4429770752,1486499840,1110200320,4131237888,210669568
4,2022-01-02,08:41:44,0.5,LocalHost,41.8,16679079936,5262024704,68.5,10870972416,566669312,4428697600,1486499840,1110200320,4131237888,210669568
5,2022-01-02,08:41:44,0.5,LocalHost,38.3,16679079936,5262131200,68.5,10870865920,566775808,4428165120,1486499840,1110200320,4131237888,210669568
6,2022-01-02,08:41:45,0.5,LocalHost,33.9,16679079936,5262135296,68.5,10870865920,566775808,4428201984,1486503936,1110200320,4131237888,210669568
7,2022-01-02,08:41:45,0.5,LocalHost,42.2,16679079936,5262200832,68.5,10870796288,566841344,4428009472,1486503936,1110200320,4131241984,210669568
8,2022-01-02,08:41:46,0.5,LocalHost,41.4,16679079936,5262200832,68.5,10870796288,566841344,4428009472,1486503936,1110200320,4131241984,210669568
9,2022-01-02,08:41:46,0.5,LocalHost,38.9,16679079936,5262458880,68.4,10870538240,567099392,4428599296,1486503936,1110200320,4131241984,210669568
10,2022-01-02,08:41:47,0.5,LocalHost,52.6,16679079936,5263265792,68.4,10869731328,567906304,4428066816,1486503936,1110200320,4131241984,210669568
11,2022-01-02,08:41:47,0.5,LocalHost,47.8,16679079936,5263331328,68.4,10869661696,567955456,4428128256,1486491648,1110208512,4131254272,210669568
12,2022-01-02,08:41:48,0.5,LocalHost,46.9,16679079936,5263331328,68.4,10869661696,567955456,4428128256,1486491648,1110208512,4131254272,210669568
13,2022-01-02,08:41:48,0.5,LocalHost,47.4,16679079936,5265674240,68.4,10867314688,570294272,4428120064,1486491648,1110208512,4131262464,210669568
14,2022-01-02,08:41:49,0.5,LocalHost,46.9,16679079936,5265911808,68.4,10867073024,570527744,4428128256,1486487552,1110216704,4131262464,210669568
15,2022-01-02,08:41:49,0.5,LocalHost,46.5,16679079936,5265776640,68.4,10867220480,570380288,4428185600,1486483456,1110216704,4131262464,210669568
16,2022-01-02,08:41:50,0.5,LocalHost,43.9,16679079936,5265985536,68.4,10867011584,570589184,4428025856,1486483456,1110216704,4131262464,210669568
17,2022-01-02,08:41:50,0.5,LocalHost,44.0,16679079936,5265727488,68.4,10867265536,570331136,4428185600,1486483456,1110216704,4131266560,210669568
18,2022-01-02,08:41:51,0.5,LocalHost,54.8,16679079936,5265727488,68.4,10867265536,570331136,4428185600,1486483456,1110216704,4131266560,210669568
19,2022-01-02,08:41:51,0.5,LocalHost,38.0,16679079936,5265727488,68.4,10867265536,570331136,4428185600,1486483456,1110216704,4131266560,210669568
20,2022-01-02,08:41:52,0.5,LocalHost,45.0,16679079936,5265727488,68.4,10867265536,570331136,4428185600,1486483456,1110220800,4131262464,210669568
21,2022-01-02,08:41:52,0.5,LocalHost,38.6,16679079936,5265547264,68.4,10867421184,570150912,4428185600,1486483456,1110245376,4131262464,210669568
22,2022-01-02,08:41:53,0.5,LocalHost,50.9,16679079936,5265547264,68.4,10867421184,570150912,4428185600,1486483456,1110245376,4131262464,210669568
23,2022-01-02,08:41:53,0.5,LocalHost,47.3,16679079936,5265240064,68.4,10867720192,569843712,4428185600,1486483456,1110245376,4131270656,210669568
24,2022-01-02,08:41:54,0.5,LocalHost,48.8,16679079936,5264990208,68.4,10867970048,569593856,4428386304,1486483456,1110245376,4131270656,210669568
25,2022-01-02,08:41:54,0.5,LocalHost,48.5,16679079936,5261889536,68.5,10871070720,566358016,4432191488,1486606336,1110249472,4131401728,210669568
26,2022-01-02,08:41:55,0.5,LocalHost,49.5,16679079936,5264547840,68.4,10868416512,569012224,4427997184,1486610432,1110249472,4131401728,210669568
