iteration,date,time,measurement_period,machine/VNF,sys_cpu,totalmem,availablemem,percentmem,usedmem,freemem,activemem,inactivemem,buffers,cached,shared
0,2022-01-02,04:29:45,0.5,LocalHost,89.6,16679079936,5872205824,64.8,10262630400,375136256,5332164608,1291300864,1305387008,4735926272,210259968
1,2022-01-02,04:29:45,0.5,LocalHost,98.5,16679079936,5830848512,65.0,10303983616,333774848,5335166976,1291296768,1305391104,4735930368,210259968
2,2022-01-02,04:29:46,0.5,LocalHost,99.5,16679079936,5794062336,65.3,10340786176,296972288,5330591744,1291304960,1305391104,4735930368,210259968
3,2022-01-02,04:29:46,0.5,LocalHost,95.5,16679079936,5769965568,65.4,10364887040,272871424,5330882560,1291300864,1305391104,4735930368,210259968
4,2022-01-02,04:29:47,0.5,LocalHost,70.3,16679079936,5768622080,65.4,10366230528,271527936,5329108992,1291300864,1305391104,4735930368,210259968
5,2022-01-02,04:29:47,0.5,LocalHost,44.6,16679079936,5767598080,65.4,10367254528,270495744,5327290368,1291304960,1305391104,4735938560,210259968
6,2022-01-02,04:29:48,0.5,LocalHost,30.1,16679079936,5767352320,65.4,10367500288,270249984,5327290368,1291304960,1305391104,4735938560,210259968
7,2022-01-02,04:29:48,0.5,LocalHost,32.0,16679079936,5767516160,65.4,10367336448,270413824,5327278080,1291304960,1305391104,4735938560,210259968
8,2022-01-02,04:29:49,0.5,LocalHost,28.2,16679079936,5767520256,65.4,10367328256,270413824,5327278080,1291304960,1305391104,4735946752,210259968
9,2022-01-02,04:29:49,0.5,LocalHost,26.8,16679079936,5767507968,65.4,10367340544,270397440,5327278080,1291304960,1305391104,4735950848,210259968
10,2022-01-02,04:29:50,0.5,LocalHost,28.3,16679079936,5767475200,65.4,10367373312,270364672,5327130624,1291304960,1305391104,4735950848,210259968
11,2022-01-02,04:29:50,0.5,LocalHost,42.3,16679079936,5767479296,65.4,10367369216,270364672,5327130624,1291304960,1305391104,4735954944,210259968
12,2022-01-02,04:29:51,0.5,LocalHost,44.0,16679079936,5767479296,65.4,10367361024,270364672,5327130624,1291304960,1305399296,4735954944,210259968
13,2022-01-02,04:29:51,0.5,LocalHost,37.8,16679079936,5767020544,65.4,10367819776,269905920,5327167488,1291304960,1305407488,4735946752,210259968
