iteration,date,time,measurement_period,machine/VNF,sys_cpu,totalmem,availablemem,percentmem,usedmem,freemem,activemem,inactivemem,buffers,cached,shared
0,2021-12-28,06:49:44,0.5,LocalHost,86.9,16679079936,5180379136,68.9,10942054400,423743488,4409470976,1418895360,1102643200,4210638848,221573120
1,2021-12-28,06:49:45,0.5,LocalHost,75.6,16679079936,5166886912,69.0,10955546624,410251264,4409978880,1418895360,1102643200,4210638848,221573120
2,2021-12-28,06:49:45,0.5,LocalHost,78.6,16679079936,5155950592,69.1,10966482944,399314944,4409524224,1418895360,1102643200,4210638848,221573120
3,2021-12-28,06:49:46,0.5,LocalHost,66.8,16679079936,5151723520,69.1,10970710016,395087872,4409524224,1418895360,1102643200,4210638848,221573120
4,2021-12-28,06:49:46,0.5,LocalHost,53.4,16679079936,5148708864,69.1,10973720576,392073216,4409524224,1418895360,1102643200,4210642944,221573120
5,2021-12-28,06:49:47,0.5,LocalHost,46.6,16679079936,5148708864,69.1,10973720576,392073216,4409524224,1418895360,1102643200,4210642944,221573120
6,2021-12-28,06:49:47,0.5,LocalHost,43.7,16679079936,5148684288,69.1,10973745152,392048640,4409524224,1418895360,1102643200,4210642944,221573120
7,2021-12-28,06:49:48,0.5,LocalHost,38.9,16679079936,5148684288,69.1,10973736960,392048640,4409524224,1418895360,1102655488,4210638848,221573120
8,2021-12-28,06:49:48,0.5,LocalHost,41.5,16679079936,5147942912,69.1,10974478336,391294976,4409630720,1418899456,1102655488,4210651136,221573120
9,2021-12-28,06:49:49,0.5,LocalHost,46.3,16679079936,5147881472,69.1,10974539776,391233536,4409630720,1418899456,1102655488,4210651136,221573120
10,2021-12-28,06:49:49,0.5,LocalHost,42.8,16679079936,5147881472,69.1,10974527488,391233536,4409630720,1418899456,1102667776,4210651136,221573120
11,2021-12-28,06:49:50,0.5,LocalHost,37.5,16679079936,5146877952,69.1,10975555584,390193152,4409769984,1418936320,1102688256,4210642944,221573120
12,2021-12-28,06:49:50,0.5,LocalHost,42.3,16679079936,5145759744,69.1,10976710656,389029888,4409671680,1418940416,1102688256,4210651136,221573120
13,2021-12-28,06:49:51,0.5,LocalHost,41.8,16679079936,5146017792,69.1,10976448512,389287936,4409671680,1418940416,1102688256,4210655232,221573120
14,2021-12-28,06:49:51,0.5,LocalHost,48.1,16679079936,5146017792,69.1,10976448512,389287936,4409671680,1418940416,1102688256,4210655232,221573120
15,2021-12-28,06:49:52,0.5,LocalHost,43.2,16679079936,5146017792,69.1,10976448512,389287936,4409671680,1418940416,1102688256,4210655232,221573120
16,2021-12-28,06:49:52,0.5,LocalHost,48.1,16679079936,5146017792,69.1,10976448512,389287936,4409671680,1418940416,1102688256,4210655232,221573120
17,2021-12-28,06:49:53,0.5,LocalHost,41.9,16679079936,5146017792,69.1,10976440320,389287936,4409671680,1418940416,1102704640,4210647040,221573120
18,2021-12-28,06:49:53,0.5,LocalHost,42.6,16679079936,5147181056,69.1,10975264768,390451200,4409524224,1418940416,1102704640,4210659328,221573120
19,2021-12-28,06:49:54,0.5,LocalHost,39.4,16679079936,5147189248,69.1,10975264768,390451200,4409577472,1418940416,1102704640,4210659328,221573120
20,2021-12-28,06:49:54,0.5,LocalHost,38.9,16679079936,5146304512,69.1,10976165888,389550080,4411670528,1418948608,1102712832,4210651136,221573120
21,2021-12-28,06:49:55,0.5,LocalHost,48.0,16679079936,5145296896,69.2,10977165312,388526080,4412063744,1418948608,1102729216,4210659328,221573120
22,2021-12-28,06:49:55,0.5,LocalHost,40.8,16679079936,5145133056,69.2,10977320960,388362240,4411703296,1418948608,1102733312,4210663424,221573120
23,2021-12-28,06:49:56,0.5,LocalHost,40.5,16679079936,5145133056,69.2,10977320960,388362240,4411703296,1418948608,1102733312,4210663424,221573120
24,2021-12-28,06:49:56,0.5,LocalHost,38.8,16679079936,5145133056,69.2,10977320960,388362240,4411703296,1418948608,1102733312,4210663424,221573120
25,2021-12-28,06:49:57,0.5,LocalHost,39.3,16679079936,5145133056,69.2,10977320960,388362240,4411703296,1418948608,1102733312,4210663424,221573120
26,2021-12-28,06:49:57,0.5,LocalHost,39.4,16679079936,5144748032,69.2,10977705984,387977216,4411703296,1418948608,1102733312,4210663424,221573120
27,2021-12-28,06:49:58,0.5,LocalHost,38.7,16679079936,5144756224,69.2,10977701888,387977216,4411179008,1418948608,1102745600,4210655232,221573120
28,2021-12-28,06:49:58,0.5,LocalHost,50.4,16679079936,5144330240,69.2,10978111488,387551232,4410691584,1418948608,1102745600,4210671616,221573120
29,2021-12-28,06:49:59,0.5,LocalHost,40.6,16679079936,5144334336,69.2,10978111488,387551232,4410814464,1418952704,1102745600,4210671616,221573120
30,2021-12-28,06:49:59,0.5,LocalHost,39.4,16679079936,5146685440,69.1,10975784960,389877760,4412317696,1418960896,1102753792,4210663424,221573120
31,2021-12-28,06:50:00,0.5,LocalHost,39.9,16679079936,5146263552,69.1,10976206848,389447680,4412424192,1418960896,1102770176,4210655232,221573120
32,2021-12-28,06:50:00,0.5,LocalHost,39.9,16679079936,5154058240,69.1,10977075200,397230080,4412440576,1418960896,1102774272,4202000384,212897792
33,2021-12-28,06:50:01,0.5,LocalHost,43.6,16679079936,5154058240,69.1,10977075200,397230080,4412440576,1419022336,1102774272,4202000384,212897792
34,2021-12-28,06:50:01,0.5,LocalHost,49.3,16679079936,5154095104,69.1,10977173504,397258752,4412444672,1418964992,1102774272,4201873408,212770816
35,2021-12-28,06:50:02,0.5,LocalHost,38.5,16679079936,5154041856,69.1,10977226752,397205504,4412444672,1418964992,1102774272,4201873408,212770816
36,2021-12-28,06:50:02,0.5,LocalHost,37.8,16679079936,5154041856,69.1,10977222656,397205504,4412444672,1418964992,1102774272,4201877504,212770816
37,2021-12-28,06:50:03,0.5,LocalHost,39.4,16679079936,5154041856,69.1,10977210368,397205504,4412444672,1418964992,1102790656,4201873408,212770816
38,2021-12-28,06:50:03,0.5,LocalHost,44.3,16679079936,5154066432,69.1,10977181696,397230080,4412178432,1418964992,1102790656,4201877504,212770816
39,2021-12-28,06:50:04,0.5,LocalHost,43.0,16679079936,5153832960,69.1,10977439744,396972032,4412583936,1418969088,1102790656,4201877504,212770816
40,2021-12-28,06:50:04,0.5,LocalHost,39.9,16679079936,5153968128,69.1,10977304576,397107200,4412465152,1418969088,1102790656,4201877504,212770816
41,2021-12-28,06:50:05,0.5,LocalHost,48.4,16679079936,5153296384,69.1,10977968128,396431360,4412669952,1418973184,1102798848,4201881600,212770816
42,2021-12-28,06:50:05,0.5,LocalHost,49.9,16679079936,5153304576,69.1,10977943552,396439552,4412465152,1418973184,1102815232,4201881600,212770816
43,2021-12-28,06:50:06,0.5,LocalHost,42.4,16679079936,5153439744,69.1,10977800192,396439552,4412469248,1419104256,1102827520,4202012672,212770816
44,2021-12-28,06:50:06,0.5,LocalHost,46.9,16679079936,5153443840,69.1,10977800192,396439552,4412473344,1419104256,1102827520,4202012672,212770816
45,2021-12-28,06:50:07,0.5,LocalHost,41.1,16679079936,5153443840,69.1,10977800192,396439552,4412473344,1419104256,1102827520,4202012672,212770816
46,2021-12-28,06:50:07,0.5,LocalHost,40.9,16679079936,5153443840,69.1,10977796096,396439552,4412473344,1419104256,1102827520,4202016768,212770816
47,2021-12-28,06:50:08,0.5,LocalHost,40.8,16679079936,5153443840,69.1,10977779712,396439552,4412473344,1419104256,1102843904,4202016768,212770816
48,2021-12-28,06:50:08,0.5,LocalHost,41.3,16679079936,5149048832,69.1,10982174720,392044544,4416466944,1419104256,1102843904,4202016768,212770816
49,2021-12-28,06:50:09,0.5,LocalHost,44.0,16679079936,5152718848,69.1,10978529280,395689984,4412469248,1419108352,1102843904,4202016768,212770816
50,2021-12-28,06:50:09,0.5,LocalHost,41.7,16679079936,5152505856,69.1,10978766848,395452416,4412518400,1419108352,1102843904,4202016768,212770816
51,2021-12-28,06:50:10,0.5,LocalHost,36.5,16679079936,5152669696,69.1,10978603008,395616256,4412727296,1419108352,1102843904,4202016768,212770816
52,2021-12-28,06:50:10,0.5,LocalHost,46.6,16679079936,5152669696,69.1,10978582528,395616256,4412518400,1419108352,1102860288,4202020864,212770816
53,2021-12-28,06:50:11,0.5,LocalHost,39.5,16679079936,5152669696,69.1,10978574336,395616256,4412518400,1419108352,1102868480,4202020864,212770816
54,2021-12-28,06:50:11,0.5,LocalHost,45.3,16679079936,5152673792,69.1,10978557952,395620352,4412518400,1419108352,1102876672,4202024960,212770816
55,2021-12-28,06:50:12,0.5,LocalHost,43.0,16679079936,5152673792,69.1,10978557952,395620352,4412518400,1419108352,1102876672,4202024960,212770816
56,2021-12-28,06:50:12,0.5,LocalHost,38.0,16679079936,5152931840,69.1,10978295808,395878400,4412518400,1419108352,1102876672,4202029056,212770816
57,2021-12-28,06:50:13,0.5,LocalHost,37.2,16679079936,5153714176,69.1,10977521664,396652544,4411813888,1419108352,1102888960,4202016768,212770816
58,2021-12-28,06:50:13,0.5,LocalHost,38.9,16679079936,5151027200,69.1,10980196352,393965568,4415541248,1419108352,1102888960,4202029056,212770816
59,2021-12-28,06:50:14,0.5,LocalHost,47.0,16679079936,5154508800,69.1,10976727040,397430784,4411944960,1419116544,1102888960,4202033152,212770816
60,2021-12-28,06:50:14,0.5,LocalHost,47.0,16679079936,5154643968,69.1,10976620544,397537280,4411850752,1419116544,1102888960,4202033152,212770816
61,2021-12-28,06:50:15,0.5,LocalHost,41.8,16679079936,5154009088,69.1,10977259520,396898304,4411383808,1419120640,1102888960,4202033152,212770816
62,2021-12-28,06:50:15,0.5,LocalHost,43.4,16679079936,5154009088,69.1,10977259520,396898304,4411383808,1419120640,1102888960,4202033152,212770816
63,2021-12-28,06:50:16,0.5,LocalHost,41.1,16679079936,5154009088,69.1,10977243136,396898304,4411383808,1419120640,1102905344,4202033152,212770816
64,2021-12-28,06:50:16,0.5,LocalHost,35.9,16679079936,5153976320,69.1,10977259520,396865536,4411383808,1419120640,1102917632,4202037248,212770816
65,2021-12-28,06:50:17,0.5,LocalHost,41.4,16679079936,5153976320,69.1,10977247232,396865536,4411383808,1419120640,1102934016,4202033152,212770816
66,2021-12-28,06:50:17,0.5,LocalHost,40.6,16679079936,5154004992,69.1,10977214464,396894208,4411383808,1419120640,1102934016,4202037248,212770816
67,2021-12-28,06:50:18,0.5,LocalHost,39.1,16679079936,5153402880,69.1,10977820672,396271616,4411092992,1419124736,1102950400,4202037248,212770816
68,2021-12-28,06:50:18,0.5,LocalHost,39.0,16679079936,5153800192,69.1,10977456128,396632064,4411432960,1419128832,1102950400,4202041344,212770816
69,2021-12-28,06:50:19,0.5,LocalHost,36.6,16679079936,5154422784,69.1,10976833536,397254656,4411351040,1419128832,1102950400,4202041344,212770816
70,2021-12-28,06:50:19,0.5,LocalHost,48.8,16679079936,5154562048,69.1,10976698368,397389824,4411432960,1419132928,1102950400,4202041344,212770816
71,2021-12-28,06:50:20,0.5,LocalHost,41.2,16679079936,5154144256,69.1,10977116160,396972032,4411473920,1419132928,1102950400,4202041344,212770816
72,2021-12-28,06:50:20,0.5,LocalHost,39.8,16679079936,5154193408,69.1,10977062912,397021184,4411432960,1419132928,1102950400,4202045440,212770816
73,2021-12-28,06:50:21,0.5,LocalHost,41.7,16679079936,5154193408,69.1,10977062912,397021184,4411432960,1419132928,1102950400,4202045440,212770816
74,2021-12-28,06:50:21,0.5,LocalHost,40.7,16679079936,5154193408,69.1,10977058816,397021184,4411432960,1419132928,1102954496,4202045440,212770816
75,2021-12-28,06:50:22,0.5,LocalHost,42.7,16679079936,5154193408,69.1,10977058816,397021184,4411432960,1419132928,1102974976,4202024960,212770816
76,2021-12-28,06:50:22,0.5,LocalHost,39.1,16679079936,5154193408,69.1,10977038336,397021184,4411432960,1419132928,1102974976,4202045440,212770816
77,2021-12-28,06:50:23,0.5,LocalHost,42.4,16679079936,5154193408,69.1,10977021952,397021184,4411432960,1419132928,1102987264,4202049536,212770816
78,2021-12-28,06:50:23,0.5,LocalHost,52.0,16679079936,5154193408,69.1,10977021952,397021184,4411432960,1419132928,1102987264,4202049536,212770816
79,2021-12-28,06:50:24,0.5,LocalHost,40.4,16679079936,5155115008,69.1,10976100352,397942784,4411359232,1419132928,1102987264,4202049536,212770816
80,2021-12-28,06:50:24,0.5,LocalHost,41.8,16679079936,5155090432,69.1,10976145408,397897728,4411449344,1419137024,1102987264,4202049536,212770816
81,2021-12-28,06:50:25,0.5,LocalHost,39.8,16679079936,5156130816,69.1,10975100928,398938112,4411428864,1419137024,1102987264,4202053632,212770816
82,2021-12-28,06:50:25,0.5,LocalHost,40.2,16679079936,5156134912,69.1,10975117312,398921728,4411912192,1419141120,1102987264,4202053632,212770816
83,2021-12-28,06:50:26,0.5,LocalHost,38.5,16679079936,5156134912,69.1,10975117312,398921728,4411912192,1419141120,1102987264,4202053632,212770816
84,2021-12-28,06:50:26,0.5,LocalHost,41.7,16679079936,5156139008,69.1,10975113216,398921728,4411912192,1419145216,1102987264,4202057728,212770816
85,2021-12-28,06:50:27,0.5,LocalHost,41.5,16679079936,5156139008,69.1,10975113216,398921728,4411936768,1419145216,1103007744,4202037248,212770816
86,2021-12-28,06:50:27,0.5,LocalHost,40.9,16679079936,5155991552,69.1,10975281152,398663680,4412051456,1419214848,1103020032,4202115072,212770816
87,2021-12-28,06:50:28,0.5,LocalHost,39.4,16679079936,5155430400,69.1,10975830016,398098432,4412055552,1419214848,1103028224,4202123264,212770816
88,2021-12-28,06:50:28,0.5,LocalHost,41.2,16679079936,5155430400,69.1,10975825920,398098432,4412055552,1419214848,1103028224,4202127360,212770816
89,2021-12-28,06:50:29,0.5,LocalHost,50.0,16679079936,5154992128,69.1,10976268288,397656064,4412104704,1419214848,1103028224,4202127360,212770816
90,2021-12-28,06:50:29,0.5,LocalHost,43.8,16679079936,5154783232,69.1,10976489472,397434880,4412067840,1419218944,1103028224,4202127360,212770816
91,2021-12-28,06:50:30,0.5,LocalHost,39.7,16679079936,5155516416,69.1,10975756288,398168064,4412395520,1419218944,1103028224,4202127360,212770816
92,2021-12-28,06:50:30,0.5,LocalHost,41.0,16679079936,5155692544,69.1,10975576064,398344192,4412755968,1419218944,1103028224,4202131456,212770816
93,2021-12-28,06:50:31,0.5,LocalHost,40.4,16679079936,5155692544,69.1,10975576064,398344192,4412755968,1419218944,1103028224,4202131456,212770816
94,2021-12-28,06:50:31,0.5,LocalHost,37.2,16679079936,5155692544,69.1,10975576064,398344192,4412755968,1419218944,1103028224,4202131456,212770816
95,2021-12-28,06:50:32,0.5,LocalHost,38.8,16679079936,5155692544,69.1,10975576064,398344192,4412755968,1419218944,1103028224,4202131456,212770816
96,2021-12-28,06:50:32,0.5,LocalHost,42.5,16679079936,5155692544,69.1,10975571968,398344192,4412755968,1419218944,1103036416,4202127360,212770816
97,2021-12-28,06:50:33,0.5,LocalHost,42.9,16679079936,5155692544,69.1,10975567872,398344192,4412755968,1419218944,1103060992,4202106880,212770816
98,2021-12-28,06:50:33,0.5,LocalHost,40.7,16679079936,5155692544,69.1,10975535104,398344192,4412755968,1419218944,1103065088,4202135552,212770816
99,2021-12-28,06:50:34,0.5,LocalHost,41.9,16679079936,5155475456,69.1,10975793152,398086144,4412866560,1419227136,1103065088,4202135552,212770816
100,2021-12-28,06:50:34,0.5,LocalHost,47.1,16679079936,5155209216,69.1,10976063488,397815808,4412850176,1419223040,1103065088,4202135552,212770816
101,2021-12-28,06:50:35,0.5,LocalHost,40.8,16679079936,5154955264,69.1,10976317440,397557760,4412715008,1419227136,1103065088,4202139648,212770816
102,2021-12-28,06:50:35,0.5,LocalHost,42.5,16679079936,5154955264,69.1,10976317440,397557760,4412850176,1419227136,1103065088,4202139648,212770816
103,2021-12-28,06:50:36,0.5,LocalHost,45.4,16679079936,5154955264,69.1,10976317440,397557760,4412850176,1419227136,1103065088,4202139648,212770816
104,2021-12-28,06:50:36,0.5,LocalHost,39.9,16679079936,5155143680,69.1,10976129024,397676544,4412891136,1419214848,1103134720,4202139648,212770816
105,2021-12-28,06:50:37,0.5,LocalHost,41.6,16679079936,5155282944,69.1,10975985664,397815808,4412891136,1419214848,1103134720,4202143744,212770816
106,2021-12-28,06:50:37,0.5,LocalHost,37.8,16679079936,5154807808,69.1,10976460800,397340672,4412932096,1419214848,1103138816,4202139648,212770816
107,2021-12-28,06:50:38,0.5,LocalHost,37.3,16679079936,5154807808,69.1,10976436224,397340672,4412932096,1419214848,1103163392,4202139648,212770816
108,2021-12-28,06:50:38,0.5,LocalHost,37.8,16679079936,5154807808,69.1,10976415744,397340672,4412702720,1419214848,1103179776,4202143744,212770816
109,2021-12-28,06:50:39,0.5,LocalHost,45.3,16679079936,5153443840,69.1,10977796096,395952128,4412727296,1419214848,1103187968,4202143744,212770816
110,2021-12-28,06:50:39,0.5,LocalHost,39.6,16679079936,5153624064,69.1,10977615872,396128256,4412727296,1419218944,1103187968,4202147840,212770816
111,2021-12-28,06:50:40,0.5,LocalHost,42.7,16679079936,5153095680,69.1,10978152448,395591680,4412940288,1419218944,1103187968,4202147840,212770816
112,2021-12-28,06:50:40,0.5,LocalHost,41.9,16679079936,5153120256,69.1,10978140160,395599872,4412751872,1419218944,1103187968,4202151936,212770816
113,2021-12-28,06:50:41,0.5,LocalHost,41.7,16679079936,5153120256,69.1,10978140160,395599872,4412751872,1419218944,1103187968,4202151936,212770816
114,2021-12-28,06:50:41,0.5,LocalHost,41.6,16679079936,5153124352,69.1,10978136064,395599872,4412751872,1419223040,1103187968,4202156032,212770816
115,2021-12-28,06:50:42,0.5,LocalHost,39.1,16679079936,5153124352,69.1,10978136064,395599872,4412751872,1419223040,1103187968,4202156032,212770816
116,2021-12-28,06:50:42,0.5,LocalHost,39.3,16679079936,5150978048,69.1,10980282368,393453568,4412751872,1419223040,1103187968,4202156032,212770816
117,2021-12-28,06:50:43,0.5,LocalHost,39.5,16679079936,5150978048,69.1,10980274176,393453568,4412751872,1419223040,1103204352,4202147840,212770816
118,2021-12-28,06:50:43,0.5,LocalHost,39.8,16679079936,5150978048,69.1,10980265984,393453568,4412751872,1419223040,1103216640,4202143744,212770816
119,2021-12-28,06:50:44,0.5,LocalHost,42.4,16679079936,5151858688,69.1,10979393536,394321920,4412305408,1419227136,1103220736,4202143744,212770816
120,2021-12-28,06:50:44,0.5,LocalHost,38.8,16679079936,5151629312,69.1,10979635200,394063872,4412588032,1419231232,1103220736,4202160128,212770816
121,2021-12-28,06:50:45,0.5,LocalHost,37.5,16679079936,5151182848,69.1,10980085760,393613312,4412469248,1419227136,1103220736,4202160128,212770816
122,2021-12-28,06:50:45,0.5,LocalHost,40.2,16679079936,5150314496,69.1,10980958208,392740864,4412637184,1419227136,1103220736,4202160128,212770816
123,2021-12-28,06:50:46,0.5,LocalHost,38.5,16679079936,5150375936,69.1,10980896768,392802304,4412764160,1419227136,1103220736,4202160128,212770816
124,2021-12-28,06:50:46,0.5,LocalHost,38.6,16679079936,5150728192,69.1,10980540416,393154560,4412600320,1419227136,1103220736,4202164224,212770816
125,2021-12-28,06:50:47,0.5,LocalHost,40.6,16679079936,5147365376,69.1,10983903232,389791744,4416593920,1419227136,1103220736,4202164224,212770816
126,2021-12-28,06:50:47,0.5,LocalHost,40.4,16679079936,5151412224,69.1,10979860480,393814016,4412600320,1419231232,1103224832,4202180608,212770816
127,2021-12-28,06:50:48,0.5,LocalHost,45.1,16679079936,5151412224,69.1,10979844096,393814016,4412600320,1419231232,1103249408,4202172416,212770816
128,2021-12-28,06:50:48,0.5,LocalHost,47.7,16679079936,5151412224,69.1,10979827712,393814016,4412600320,1419231232,1103249408,4202188800,212770816
129,2021-12-28,06:50:49,0.5,LocalHost,42.7,16679079936,5151752192,69.1,10979495936,394145792,4412522496,1419235328,1103261696,4202176512,212770816
130,2021-12-28,06:50:49,0.5,LocalHost,42.0,16679079936,5151961088,69.1,10979299328,394330112,4412628992,1419235328,1103261696,4202188800,212770816
131,2021-12-28,06:50:50,0.5,LocalHost,36.9,16679079936,5151879168,69.1,10979381248,394248192,4412362752,1419235328,1103265792,4202184704,212770816
132,2021-12-28,06:50:50,0.5,LocalHost,45.6,16679079936,5151711232,69.1,10979549184,394076160,4412637184,1419231232,1103265792,4202188800,212770816
