iteration,date,time,measurement_period,machine/VNF,sys_cpu,totalmem,availablemem,percentmem,usedmem,freemem,activemem,inactivemem,buffers,cached,shared
0,2022-01-01,19:10:38,0.5,ROS_VNF_driver,6.4,2084077568,1653374976,20.7,270143488,1357176832,359198720,222416896,30695424,426061824,880640
1,2022-01-01,19:10:38,0.5,ROS_VNF_driver,7.4,2084077568,1653374976,20.7,270143488,1357176832,359198720,222416896,30695424,426061824,880640
2,2022-01-01,19:10:39,0.5,ROS_VNF_driver,3.3,2084077568,1653374976,20.7,270143488,1357176832,359198720,222416896,30695424,426061824,880640
3,2022-01-01,19:10:39,0.5,ROS_VNF_driver,4.3,2084077568,1653374976,20.7,270143488,1357176832,359198720,222416896,30695424,426061824,880640
4,2022-01-01,19:10:40,0.5,ROS_VNF_driver,3.3,2084077568,1653374976,20.7,270143488,1357176832,359198720,222416896,30695424,426061824,880640
5,2022-01-01,19:10:40,0.5,ROS_VNF_driver,1.1,2084077568,1653374976,20.7,270143488,1357176832,359198720,222416896,30695424,426061824,880640
6,2022-01-01,19:10:41,0.5,ROS_VNF_driver,7.4,2084077568,1662664704,20.2,260853760,1366466560,351285248,222416896,30695424,426061824,880640
7,2022-01-01,19:10:41,0.5,ROS_VNF_driver,2.2,2084077568,1662791680,20.2,260734976,1366605824,351186944,222416896,30695424,426041344,880640
8,2022-01-01,19:10:42,0.5,ROS_VNF_driver,4.4,2084077568,1662791680,20.2,260734976,1366605824,351186944,222416896,30695424,426041344,880640
9,2022-01-01,19:10:42,0.5,ROS_VNF_driver,2.2,2084077568,1662791680,20.2,260722688,1366605824,351186944,222416896,30707712,426041344,880640
10,2022-01-01,19:10:43,0.5,ROS_VNF_driver,2.2,2084077568,1662791680,20.2,260722688,1366605824,351186944,222416896,30707712,426041344,880640
11,2022-01-01,19:10:43,0.5,ROS_VNF_driver,1.1,2084077568,1662791680,20.2,260722688,1366605824,351186944,222416896,30707712,426041344,880640
12,2022-01-01,19:10:44,0.5,ROS_VNF_driver,4.2,2084077568,1662791680,20.2,260722688,1366605824,351186944,222416896,30707712,426041344,880640
13,2022-01-01,19:10:44,0.5,ROS_VNF_driver,4.0,2084077568,1662791680,20.2,260722688,1366605824,351186944,222416896,30707712,426041344,880640
14,2022-01-01,19:10:45,0.5,ROS_VNF_driver,3.3,2084077568,1662791680,20.2,260722688,1366605824,351186944,222416896,30707712,426041344,880640
15,2022-01-01,19:10:45,0.5,ROS_VNF_driver,2.3,2084077568,1662791680,20.2,260722688,1366605824,351186944,222416896,30707712,426041344,880640
16,2022-01-01,19:10:46,0.5,ROS_VNF_driver,2.1,2084077568,1662791680,20.2,260722688,1366605824,351186944,222416896,30707712,426041344,880640
17,2022-01-01,19:10:46,0.5,ROS_VNF_driver,4.3,2084077568,1662791680,20.2,260722688,1366605824,351186944,222416896,30707712,426041344,880640
18,2022-01-01,19:10:47,0.5,ROS_VNF_driver,3.2,2084077568,1662791680,20.2,260722688,1366605824,351186944,222416896,30707712,426041344,880640
19,2022-01-01,19:10:47,0.5,ROS_VNF_driver,1.2,2084077568,1662791680,20.2,260722688,1366605824,351186944,222416896,30707712,426041344,880640
