iteration,date,time,measurement_period,machine/VNF,sys_cpu,totalmem,availablemem,percentmem,usedmem,freemem,activemem,inactivemem,buffers,cached,shared
0,2021-12-29,20:16:18,0.5,ROS_VNF_interface,0.0,2084077568,1724923904,17.2,204115968,1557848064,180903936,221921280,20369408,301744128,806912
1,2021-12-29,20:16:18,0.5,ROS_VNF_interface,0.0,2084077568,1724923904,17.2,204115968,1557848064,180903936,221921280,20369408,301744128,806912
2,2021-12-29,20:16:19,0.5,ROS_VNF_interface,0.0,2084077568,1724923904,17.2,204115968,1557848064,180903936,221921280,20369408,301744128,806912
3,2021-12-29,20:16:19,0.5,ROS_VNF_interface,0.0,2084077568,1724923904,17.2,204115968,1557848064,180903936,221921280,20369408,301744128,806912
4,2021-12-29,20:16:20,0.5,ROS_VNF_interface,0.0,2084077568,1724923904,17.2,204115968,1557848064,180903936,221921280,20369408,301744128,806912
5,2021-12-29,20:16:20,0.5,ROS_VNF_interface,0.0,2084077568,1724923904,17.2,204115968,1557848064,180903936,221921280,20369408,301744128,806912
6,2021-12-29,20:16:21,0.5,ROS_VNF_interface,0.0,2084077568,1734078464,16.8,194969600,1566994432,171732992,221929472,20369408,301744128,806912
7,2021-12-29,20:16:21,0.5,ROS_VNF_interface,0.0,2084077568,1734086656,16.8,194961408,1567002624,171732992,221929472,20369408,301744128,806912
8,2021-12-29,20:16:22,0.5,ROS_VNF_interface,0.0,2084077568,1734086656,16.8,194953216,1567002624,171732992,221929472,20377600,301744128,806912
9,2021-12-29,20:16:22,0.5,ROS_VNF_interface,0.0,2084077568,1734086656,16.8,194953216,1567002624,171732992,221929472,20377600,301744128,806912
10,2021-12-29,20:16:23,0.5,ROS_VNF_interface,0.0,2084077568,1734086656,16.8,194953216,1567002624,171732992,221929472,20377600,301744128,806912
11,2021-12-29,20:16:23,0.5,ROS_VNF_interface,0.0,2084077568,1734086656,16.8,194953216,1567002624,171732992,221929472,20377600,301744128,806912
12,2021-12-29,20:16:24,0.5,ROS_VNF_interface,0.0,2084077568,1734086656,16.8,194953216,1567002624,171732992,221929472,20377600,301744128,806912
