iteration,date,time,measurement_period,machine/VNF,sys_cpu,totalmem,availablemem,percentmem,usedmem,freemem,activemem,inactivemem,buffers,cached,shared
0,2022-01-02,03:29:45,0.5,ROS_VNF_driver,18.4,2084077568,1327038464,36.3,590508032,971128832,663707648,254410752,32641024,489799680,1228800
1,2022-01-02,03:29:46,0.5,ROS_VNF_driver,10.7,2084077568,1327038464,36.3,590508032,971128832,663707648,254410752,32641024,489799680,1228800
2,2022-01-02,03:29:46,0.5,ROS_VNF_driver,21.3,2084077568,1327038464,36.3,590508032,971128832,663707648,254410752,32641024,489799680,1228800
3,2022-01-02,03:29:47,0.5,ROS_VNF_driver,14.6,2084077568,1327038464,36.3,590508032,971128832,663707648,254410752,32641024,489799680,1228800
4,2022-01-02,03:29:47,0.5,ROS_VNF_driver,6.5,2084077568,1327079424,36.3,590475264,971161600,663822336,254418944,32641024,489799680,1228800
5,2022-01-02,03:29:48,0.5,ROS_VNF_driver,6.6,2084077568,1327079424,36.3,590475264,971161600,663822336,254418944,32641024,489799680,1228800
6,2022-01-02,03:29:48,0.5,ROS_VNF_driver,10.5,2084077568,1327079424,36.3,590475264,971161600,663822336,254418944,32641024,489799680,1228800
7,2022-01-02,03:29:49,0.5,ROS_VNF_driver,12.8,2084077568,1336233984,35.9,581324800,980316160,656031744,254418944,32641024,489795584,1228800
8,2022-01-02,03:29:49,0.5,ROS_VNF_driver,15.1,2084077568,1336233984,35.9,581312512,980316160,656031744,254418944,32653312,489795584,1228800
9,2022-01-02,03:29:50,0.5,ROS_VNF_driver,11.8,2084077568,1336233984,35.9,581312512,980316160,656031744,254418944,32653312,489795584,1228800
10,2022-01-02,03:29:50,0.5,ROS_VNF_driver,13.8,2084077568,1336233984,35.9,581312512,980316160,656031744,254418944,32653312,489795584,1228800
11,2022-01-02,03:29:51,0.5,ROS_VNF_driver,10.0,2084077568,1336233984,35.9,581312512,980316160,656031744,254418944,32653312,489795584,1228800
12,2022-01-02,03:29:51,0.5,ROS_VNF_driver,12.3,2084077568,1336225792,35.9,581320704,980307968,656031744,254418944,32653312,489795584,1228800
13,2022-01-02,03:29:52,0.5,ROS_VNF_driver,10.8,2084077568,1336225792,35.9,581320704,980307968,656093184,254418944,32653312,489795584,1228800
14,2022-01-02,03:29:52,0.5,ROS_VNF_driver,13.3,2084077568,1336225792,35.9,581320704,980307968,656093184,254418944,32653312,489795584,1228800
15,2022-01-02,03:29:53,0.5,ROS_VNF_driver,16.7,2084077568,1336205312,35.9,581353472,980275200,656154624,254418944,32653312,489795584,1228800
16,2022-01-02,03:29:53,0.5,ROS_VNF_driver,16.7,2084077568,1336205312,35.9,581353472,980275200,656154624,254418944,32653312,489795584,1228800
17,2022-01-02,03:29:54,0.5,ROS_VNF_driver,15.0,2084077568,1336205312,35.9,581353472,980275200,656216064,254418944,32653312,489795584,1228800
18,2022-01-02,03:29:54,0.5,ROS_VNF_driver,15.4,2084077568,1336205312,35.9,581353472,980275200,656216064,254418944,32653312,489795584,1228800
19,2022-01-02,03:29:55,0.5,ROS_VNF_driver,12.8,2084077568,1336180736,35.9,581378048,980242432,656338944,254418944,32661504,489795584,1228800
20,2022-01-02,03:29:55,0.5,ROS_VNF_driver,15.9,2084077568,1336213504,35.9,581345280,980275200,656338944,254418944,32661504,489795584,1228800
21,2022-01-02,03:29:56,0.5,ROS_VNF_driver,10.4,2084077568,1336180736,35.9,581378048,980242432,656371712,254418944,32661504,489795584,1228800
22,2022-01-02,03:29:56,0.5,ROS_VNF_driver,18.1,2084077568,1336180736,35.9,581378048,980242432,656371712,254418944,32661504,489795584,1228800
23,2022-01-02,03:29:57,0.5,ROS_VNF_driver,15.7,2084077568,1336180736,35.9,581378048,980242432,656371712,254418944,32661504,489795584,1228800
24,2022-01-02,03:29:57,0.5,ROS_VNF_driver,11.2,2084077568,1336180736,35.9,581378048,980242432,656371712,254418944,32661504,489795584,1228800
25,2022-01-02,03:29:58,0.5,ROS_VNF_driver,10.5,2084077568,1336180736,35.9,581378048,980242432,656371712,254418944,32661504,489795584,1228800
26,2022-01-02,03:29:58,0.5,ROS_VNF_driver,16.5,2084077568,1336213504,35.9,581345280,980275200,656371712,254418944,32661504,489795584,1228800
27,2022-01-02,03:29:59,0.5,ROS_VNF_driver,13.1,2084077568,1336279040,35.9,581279744,980340736,656433152,254418944,32661504,489795584,1228800
28,2022-01-02,03:29:59,0.5,ROS_VNF_driver,13.1,2084077568,1336279040,35.9,581279744,980340736,656433152,254418944,32661504,489795584,1228800
29,2022-01-02,03:30:00,0.5,ROS_VNF_driver,12.2,2084077568,1336279040,35.9,581275648,980340736,656433152,254418944,32661504,489799680,1228800
30,2022-01-02,03:30:00,0.5,ROS_VNF_driver,14.5,2084077568,1336279040,35.9,581275648,980340736,656433152,254418944,32669696,489791488,1228800
31,2022-01-02,03:30:01,0.5,ROS_VNF_driver,19.3,2084077568,1336320000,35.9,581234688,980373504,656490496,254423040,32669696,489799680,1228800
32,2022-01-02,03:30:01,0.5,ROS_VNF_driver,18.1,2084077568,1336320000,35.9,581234688,980373504,656490496,254423040,32669696,489799680,1228800
33,2022-01-02,03:30:02,0.5,ROS_VNF_driver,19.8,2084077568,1336287232,35.9,581267456,980340736,656490496,254423040,32669696,489799680,1228800
34,2022-01-02,03:30:02,0.5,ROS_VNF_driver,13.6,2084077568,1336287232,35.9,581267456,980340736,656490496,254423040,32669696,489799680,1228800
35,2022-01-02,03:30:03,0.5,ROS_VNF_driver,8.6,2084077568,1336287232,35.9,581267456,980340736,656490496,254423040,32669696,489799680,1228800
36,2022-01-02,03:30:03,0.5,ROS_VNF_driver,15.5,2084077568,1336287232,35.9,581267456,980340736,656490496,254423040,32669696,489799680,1228800
37,2022-01-02,03:30:04,0.5,ROS_VNF_driver,23.3,2084077568,1336692736,35.9,581300224,980307968,656097280,254857216,32669696,489799680,1228800
