iteration,date,time,measurement_period,machine/VNF,sys_cpu,totalmem,availablemem,percentmem,usedmem,freemem,activemem,inactivemem,buffers,cached,shared
0,2022-01-02,04:55:30,0.5,ROS_VNF_driver,25.6,2084077568,1329766400,36.2,589615104,967532544,666640384,256856064,35442688,491487232,1228800
1,2022-01-02,04:55:31,0.5,ROS_VNF_driver,14.6,2084077568,1329766400,36.2,589615104,967532544,666640384,256856064,35442688,491487232,1228800
2,2022-01-02,04:55:31,0.5,ROS_VNF_driver,15.0,2084077568,1329766400,36.2,589615104,967532544,666640384,256856064,35442688,491487232,1228800
3,2022-01-02,04:55:32,0.5,ROS_VNF_driver,12.7,2084077568,1329766400,36.2,589615104,967532544,666640384,256856064,35442688,491487232,1228800
4,2022-01-02,04:55:32,0.5,ROS_VNF_driver,16.2,2084077568,1329733632,36.2,589647872,967499776,666701824,256856064,35442688,491487232,1228800
5,2022-01-02,04:55:33,0.5,ROS_VNF_driver,16.0,2084077568,1329766400,36.2,589615104,967532544,666701824,256856064,35442688,491487232,1228800
6,2022-01-02,04:55:33,0.5,ROS_VNF_driver,19.3,2084077568,1338830848,35.8,580550656,976596992,659132416,256856064,35442688,491487232,1228800
7,2022-01-02,04:55:34,0.5,ROS_VNF_driver,7.9,2084077568,1338830848,35.8,580550656,976596992,659132416,256856064,35442688,491487232,1228800
8,2022-01-02,04:55:34,0.5,ROS_VNF_driver,12.5,2084077568,1338888192,35.8,580493312,976654336,659058688,256856064,35442688,491487232,1228800
9,2022-01-02,04:55:35,0.5,ROS_VNF_driver,12.5,2084077568,1338880000,35.8,580493312,976646144,659058688,256856064,35450880,491487232,1228800
10,2022-01-02,04:55:35,0.5,ROS_VNF_driver,17.3,2084077568,1338978304,35.8,580395008,976744448,659144704,256856064,35450880,491487232,1228800
11,2022-01-02,04:55:36,0.5,ROS_VNF_driver,12.0,2084077568,1338978304,35.8,580395008,976744448,659316736,256856064,35450880,491487232,1228800
12,2022-01-02,04:55:36,0.5,ROS_VNF_driver,12.2,2084077568,1338945536,35.8,580427776,976711680,659365888,256856064,35450880,491487232,1228800
13,2022-01-02,04:55:37,0.5,ROS_VNF_driver,14.3,2084077568,1338945536,35.8,580427776,976711680,659365888,256856064,35450880,491487232,1228800
14,2022-01-02,04:55:37,0.5,ROS_VNF_driver,11.9,2084077568,1338945536,35.8,580427776,976711680,659365888,256856064,35450880,491487232,1228800
15,2022-01-02,04:55:38,0.5,ROS_VNF_driver,18.8,2084077568,1338945536,35.8,580427776,976711680,659537920,256856064,35450880,491487232,1228800
16,2022-01-02,04:55:38,0.5,ROS_VNF_driver,12.8,2084077568,1338953728,35.8,580427776,976711680,659550208,256856064,35450880,491487232,1228800
17,2022-01-02,04:55:39,0.5,ROS_VNF_driver,11.5,2084077568,1338953728,35.8,580427776,976711680,659550208,256856064,35450880,491487232,1228800
18,2022-01-02,04:55:39,0.5,ROS_VNF_driver,12.8,2084077568,1338953728,35.8,580427776,976711680,659550208,256856064,35450880,491487232,1228800
19,2022-01-02,04:55:40,0.5,ROS_VNF_driver,10.8,2084077568,1338953728,35.8,580427776,976711680,659550208,256856064,35450880,491487232,1228800
20,2022-01-02,04:55:40,0.5,ROS_VNF_driver,16.5,2084077568,1338920960,35.8,580452352,976678912,659550208,256856064,35459072,491487232,1228800
21,2022-01-02,04:55:41,0.5,ROS_VNF_driver,11.2,2084077568,1338920960,35.8,580452352,976678912,659550208,256856064,35459072,491487232,1228800
22,2022-01-02,04:55:41,0.5,ROS_VNF_driver,11.4,2084077568,1338920960,35.8,580452352,976678912,659550208,256856064,35459072,491487232,1228800
23,2022-01-02,04:55:42,0.5,ROS_VNF_driver,10.4,2084077568,1338920960,35.8,580452352,976678912,659550208,256856064,35459072,491487232,1228800
24,2022-01-02,04:55:42,0.5,ROS_VNF_driver,19.0,2084077568,1338920960,35.8,580452352,976678912,659550208,256856064,35459072,491487232,1228800
25,2022-01-02,04:55:43,0.5,ROS_VNF_driver,17.1,2084077568,1338920960,35.8,580452352,976678912,659550208,256856064,35459072,491487232,1228800
26,2022-01-02,04:55:43,0.5,ROS_VNF_driver,12.5,2084077568,1338961920,35.8,580419584,976711680,659673088,256856064,35459072,491487232,1228800
27,2022-01-02,04:55:44,0.5,ROS_VNF_driver,7.7,2084077568,1338961920,35.8,580419584,976711680,659673088,256856064,35459072,491487232,1228800
28,2022-01-02,04:55:44,0.5,ROS_VNF_driver,4.5,2084077568,1339027456,35.7,580354048,976777216,659795968,256856064,35459072,491487232,1228800
29,2022-01-02,04:55:45,0.5,ROS_VNF_driver,13.3,2084077568,1338736640,35.8,580644864,976486400,660250624,256856064,35459072,491487232,1228800
30,2022-01-02,04:55:45,0.5,ROS_VNF_driver,9.8,2084077568,1338699776,35.8,580677632,976445440,660283392,256860160,35459072,491495424,1228800
31,2022-01-02,04:55:46,0.5,ROS_VNF_driver,17.9,2084077568,1338699776,35.8,580669440,976445440,660283392,256860160,35467264,491495424,1228800
32,2022-01-02,04:55:46,0.5,ROS_VNF_driver,15.5,2084077568,1338732544,35.8,580636672,976478208,660283392,256860160,35467264,491495424,1228800
33,2022-01-02,04:55:47,0.5,ROS_VNF_driver,9.8,2084077568,1338765312,35.8,580603904,976510976,660283392,256860160,35467264,491495424,1228800
34,2022-01-02,04:55:47,0.5,ROS_VNF_driver,13.3,2084077568,1338765312,35.8,580603904,976510976,660283392,256860160,35467264,491495424,1228800
35,2022-01-02,04:55:48,0.5,ROS_VNF_driver,12.9,2084077568,1338765312,35.8,580603904,976510976,660283392,256860160,35467264,491495424,1228800
36,2022-01-02,04:55:48,0.5,ROS_VNF_driver,13.8,2084077568,1338740736,35.8,580628480,976486400,659873792,256860160,35467264,491495424,1228800
37,2022-01-02,04:55:49,0.5,ROS_VNF_driver,9.6,2084077568,1338789888,35.8,580579328,976535552,659873792,256860160,35467264,491495424,1228800
38,2022-01-02,04:55:49,0.5,ROS_VNF_driver,12.8,2084077568,1338789888,35.8,580579328,976535552,659873792,256860160,35467264,491495424,1228800
