iteration,date,time,measurement_period,machine/VNF,sys_cpu,totalmem,availablemem,percentmem,usedmem,freemem,activemem,inactivemem,buffers,cached,shared
0,2022-01-01,23:30:44,0.5,ROS_VNF_driver,12.3,2084077568,1458458624,30.0,460017664,1160089600,546852864,202821632,31838208,432132096,1089536
1,2022-01-01,23:30:45,0.5,ROS_VNF_driver,8.7,2084077568,1458458624,30.0,460017664,1160089600,546852864,202821632,31838208,432132096,1089536
2,2022-01-01,23:30:45,0.5,ROS_VNF_driver,8.7,2084077568,1458458624,30.0,460017664,1160089600,546852864,202821632,31838208,432132096,1089536
3,2022-01-01,23:30:46,0.5,ROS_VNF_driver,9.0,2084077568,1458458624,30.0,460017664,1160089600,546852864,202821632,31838208,432132096,1089536
4,2022-01-01,23:30:46,0.5,ROS_VNF_driver,8.6,2084077568,1458458624,30.0,460017664,1160089600,546852864,202821632,31838208,432132096,1089536
5,2022-01-01,23:30:47,0.5,ROS_VNF_driver,6.1,2084077568,1458458624,30.0,460017664,1160089600,546852864,202821632,31838208,432132096,1089536
6,2022-01-01,23:30:47,0.5,ROS_VNF_driver,11.6,2084077568,1458458624,30.0,460017664,1160089600,546852864,202821632,31838208,432132096,1089536
7,2022-01-01,23:30:48,0.5,ROS_VNF_driver,11.3,2084077568,1467371520,29.6,451125248,1169010688,539127808,202825728,31838208,432103424,1089536
8,2022-01-01,23:30:48,0.5,ROS_VNF_driver,14.3,2084077568,1467371520,29.6,451125248,1169010688,539127808,202825728,31838208,432103424,1089536
9,2022-01-01,23:30:49,0.5,ROS_VNF_driver,13.9,2084077568,1467371520,29.6,451112960,1169010688,539127808,202825728,31846400,432107520,1089536
10,2022-01-01,23:30:49,0.5,ROS_VNF_driver,11.0,2084077568,1467371520,29.6,451112960,1169010688,539127808,202825728,31846400,432107520,1089536
11,2022-01-01,23:30:50,0.5,ROS_VNF_driver,7.7,2084077568,1467371520,29.6,451112960,1169010688,539127808,202825728,31846400,432107520,1089536
12,2022-01-01,23:30:50,0.5,ROS_VNF_driver,9.0,2084077568,1467371520,29.6,451112960,1169010688,539189248,202825728,31846400,432107520,1089536
13,2022-01-01,23:30:51,0.5,ROS_VNF_driver,11.1,2084077568,1467371520,29.6,451112960,1169010688,539189248,202825728,31846400,432107520,1089536
14,2022-01-01,23:30:51,0.5,ROS_VNF_driver,6.6,2084077568,1467371520,29.6,451112960,1169010688,539189248,202825728,31846400,432107520,1089536
15,2022-01-01,23:30:52,0.5,ROS_VNF_driver,11.1,2084077568,1467371520,29.6,451112960,1169010688,539189248,202825728,31846400,432107520,1089536
16,2022-01-01,23:30:52,0.5,ROS_VNF_driver,12.2,2084077568,1467371520,29.6,451112960,1169010688,539189248,202825728,31846400,432107520,1089536
17,2022-01-01,23:30:53,0.5,ROS_VNF_driver,8.9,2084077568,1467371520,29.6,451112960,1169010688,539189248,202825728,31846400,432107520,1089536
18,2022-01-01,23:30:53,0.5,ROS_VNF_driver,12.2,2084077568,1467371520,29.6,451112960,1169010688,539189248,202825728,31846400,432107520,1089536
19,2022-01-01,23:30:54,0.5,ROS_VNF_driver,12.5,2084077568,1467371520,29.6,451112960,1169010688,539189248,202825728,31846400,432107520,1089536
20,2022-01-01,23:30:54,0.5,ROS_VNF_driver,12.5,2084077568,1467371520,29.6,451112960,1169010688,539189248,202825728,31854592,432099328,1089536
21,2022-01-01,23:30:55,0.5,ROS_VNF_driver,8.7,2084077568,1467371520,29.6,451104768,1169010688,539189248,202825728,31854592,432107520,1089536
22,2022-01-01,23:30:55,0.5,ROS_VNF_driver,12.2,2084077568,1467371520,29.6,451104768,1169010688,539189248,202825728,31854592,432107520,1089536
23,2022-01-01,23:30:56,0.5,ROS_VNF_driver,13.4,2084077568,1467371520,29.6,451104768,1169010688,539189248,202825728,31854592,432107520,1089536
24,2022-01-01,23:30:56,0.5,ROS_VNF_driver,10.3,2084077568,1467371520,29.6,451104768,1169010688,539189248,202825728,31854592,432107520,1089536
25,2022-01-01,23:30:57,0.5,ROS_VNF_driver,8.9,2084077568,1467371520,29.6,451104768,1169010688,539189248,202825728,31854592,432107520,1089536
26,2022-01-01,23:30:57,0.5,ROS_VNF_driver,8.9,2084077568,1467371520,29.6,451104768,1169010688,539189248,202825728,31854592,432107520,1089536
27,2022-01-01,23:30:58,0.5,ROS_VNF_driver,6.6,2084077568,1467371520,29.6,451104768,1169010688,539189248,202825728,31854592,432107520,1089536
28,2022-01-01,23:30:58,0.5,ROS_VNF_driver,12.3,2084077568,1467105280,29.6,451371008,1168744448,539619328,202825728,31854592,432107520,1089536
29,2022-01-01,23:30:59,0.5,ROS_VNF_driver,10.8,2084077568,1467125760,29.6,451366912,1168744448,539676672,202829824,31854592,432111616,1089536
30,2022-01-01,23:30:59,0.5,ROS_VNF_driver,2.5,2084077568,1467125760,29.6,451366912,1168744448,539676672,202829824,31854592,432111616,1089536
31,2022-01-01,23:31:00,0.5,ROS_VNF_driver,10.3,2084077568,1467125760,29.6,451358720,1168744448,539676672,202829824,31862784,432111616,1089536
32,2022-01-01,23:31:00,0.5,ROS_VNF_driver,10.0,2084077568,1467125760,29.6,451358720,1168744448,539676672,202829824,31862784,432111616,1089536
33,2022-01-01,23:31:01,0.5,ROS_VNF_driver,11.1,2084077568,1467125760,29.6,451358720,1168744448,539676672,202829824,31862784,432111616,1089536
34,2022-01-01,23:31:01,0.5,ROS_VNF_driver,10.0,2084077568,1467125760,29.6,451358720,1168744448,539676672,202829824,31862784,432111616,1089536
35,2022-01-01,23:31:02,0.5,ROS_VNF_driver,14.3,2084077568,1467400192,29.6,451092480,1169010688,539213824,202829824,31862784,432111616,1089536
36,2022-01-01,23:31:02,0.5,ROS_VNF_driver,10.1,2084077568,1467400192,29.6,451092480,1169010688,539213824,202829824,31862784,432111616,1089536
37,2022-01-01,23:31:03,0.5,ROS_VNF_driver,7.3,2084077568,1467400192,29.6,451092480,1169010688,539213824,202829824,31862784,432111616,1089536
38,2022-01-01,23:31:03,0.5,ROS_VNF_driver,9.8,2084077568,1467400192,29.6,451092480,1169010688,539213824,202829824,31862784,432111616,1089536
39,2022-01-01,23:31:04,0.5,ROS_VNF_driver,7.7,2084077568,1467400192,29.6,451092480,1169010688,539213824,202829824,31862784,432111616,1089536
40,2022-01-01,23:31:04,0.5,ROS_VNF_driver,7.7,2084077568,1467400192,29.6,451092480,1169010688,539213824,202829824,31862784,432111616,1089536
41,2022-01-01,23:31:05,0.5,ROS_VNF_driver,8.9,2084077568,1467400192,29.6,451092480,1169010688,539213824,202829824,31862784,432111616,1089536
42,2022-01-01,23:31:05,0.5,ROS_VNF_driver,13.6,2084077568,1467400192,29.6,451092480,1169010688,539213824,202829824,31870976,432103424,1089536
43,2022-01-01,23:31:06,0.5,ROS_VNF_driver,13.3,2084077568,1467408384,29.6,451084288,1169010688,539222016,202829824,31870976,432111616,1089536
44,2022-01-01,23:31:06,0.5,ROS_VNF_driver,5.3,2084077568,1467408384,29.6,451084288,1169010688,539222016,202829824,31870976,432111616,1089536
45,2022-01-01,23:31:07,0.5,ROS_VNF_driver,9.0,2084077568,1467408384,29.6,451084288,1169010688,539222016,202829824,31870976,432111616,1089536
46,2022-01-01,23:31:07,0.5,ROS_VNF_driver,7.8,2084077568,1467408384,29.6,451084288,1169010688,539222016,202829824,31870976,432111616,1089536
47,2022-01-01,23:31:08,0.5,ROS_VNF_driver,14.9,2084077568,1467600896,29.6,451084288,1169010688,539029504,203022336,31870976,432111616,1089536
48,2022-01-01,23:31:08,0.5,ROS_VNF_driver,8.9,2084077568,1467600896,29.6,451084288,1169010688,539029504,203022336,31870976,432111616,1089536
49,2022-01-01,23:31:09,0.5,ROS_VNF_driver,10.1,2084077568,1467637760,29.6,451084288,1169010688,538992640,203059200,31870976,432111616,1089536
50,2022-01-01,23:31:09,0.5,ROS_VNF_driver,5.0,2084077568,1467637760,29.6,451084288,1169010688,538992640,203059200,31870976,432111616,1089536
51,2022-01-01,23:31:10,0.5,ROS_VNF_driver,5.0,2084077568,1467637760,29.6,451084288,1169010688,538992640,203059200,31870976,432111616,1089536
52,2022-01-01,23:31:10,0.5,ROS_VNF_driver,8.4,2084077568,1467637760,29.6,451084288,1169010688,538992640,203059200,31870976,432111616,1089536
53,2022-01-01,23:31:11,0.5,ROS_VNF_driver,3.8,2084077568,1467637760,29.6,451076096,1169010688,538992640,203059200,31879168,432111616,1089536
54,2022-01-01,23:31:11,0.5,ROS_VNF_driver,10.1,2084077568,1467637760,29.6,451076096,1169010688,538992640,203059200,31879168,432111616,1089536
55,2022-01-01,23:31:12,0.5,ROS_VNF_driver,7.2,2084077568,1467637760,29.6,451076096,1169010688,538992640,203059200,31879168,432111616,1089536
56,2022-01-01,23:31:12,0.5,ROS_VNF_driver,13.2,2084077568,1467637760,29.6,451076096,1169010688,538992640,203059200,31879168,432111616,1089536
57,2022-01-01,23:31:13,0.5,ROS_VNF_driver,5.0,2084077568,1467400192,29.6,451325952,1168752640,538992640,203067392,31879168,432119808,1089536
58,2022-01-01,23:31:13,0.5,ROS_VNF_driver,11.1,2084077568,1467400192,29.6,451325952,1168752640,538992640,203067392,31879168,432119808,1089536
59,2022-01-01,23:31:14,0.5,ROS_VNF_driver,11.5,2084077568,1467400192,29.6,451325952,1168752640,538992640,203067392,31879168,432119808,1089536
60,2022-01-01,23:31:14,0.5,ROS_VNF_driver,8.0,2084077568,1467400192,29.6,451325952,1168752640,538992640,203067392,31879168,432119808,1089536
