iteration,date,time,measurement_period,machine/VNF,sys_cpu,totalmem,availablemem,percentmem,usedmem,freemem,activemem,inactivemem,buffers,cached,shared
0,2021-12-28,02:34:54,0.5,ROS_VNF_driver,8.7,2084077568,1461305344,29.9,460656640,1150341120,545746944,215003136,32034816,441044992,1089536
1,2021-12-28,02:34:54,0.5,ROS_VNF_driver,13.1,2084077568,1461305344,29.9,460656640,1150341120,545746944,215003136,32034816,441044992,1089536
2,2021-12-28,02:34:55,0.5,ROS_VNF_driver,7.6,2084077568,1461305344,29.9,460656640,1150341120,545746944,215003136,32034816,441044992,1089536
3,2021-12-28,02:34:55,0.5,ROS_VNF_driver,11.4,2084077568,1461305344,29.9,460656640,1150341120,545746944,215003136,32034816,441044992,1089536
4,2021-12-28,02:34:56,0.5,ROS_VNF_driver,9.0,2084077568,1461305344,29.9,460656640,1150341120,545746944,215003136,32034816,441044992,1089536
5,2021-12-28,02:34:56,0.5,ROS_VNF_driver,10.1,2084077568,1461305344,29.9,460656640,1150341120,545746944,215003136,32034816,441044992,1089536
6,2021-12-28,02:34:57,0.5,ROS_VNF_driver,13.4,2084077568,1468903424,29.5,453066752,1157931008,537923584,215011328,32034816,441044992,1089536
7,2021-12-28,02:34:57,0.5,ROS_VNF_driver,6.5,2084077568,1468903424,29.5,453066752,1157931008,537923584,215011328,32034816,441044992,1089536
8,2021-12-28,02:34:58,0.5,ROS_VNF_driver,9.0,2084077568,1468964864,29.5,453050368,1157947392,537903104,215056384,32034816,441044992,1089536
9,2021-12-28,02:34:58,0.5,ROS_VNF_driver,7.8,2084077568,1468964864,29.5,453042176,1157947392,537903104,215056384,32043008,441044992,1089536
10,2021-12-28,02:34:59,0.5,ROS_VNF_driver,11.2,2084077568,1468964864,29.5,453042176,1157947392,537903104,215056384,32043008,441044992,1089536
11,2021-12-28,02:34:59,0.5,ROS_VNF_driver,10.1,2084077568,1468964864,29.5,453042176,1157947392,537903104,215056384,32043008,441044992,1089536
12,2021-12-28,02:35:00,0.5,ROS_VNF_driver,10.3,2084077568,1468964864,29.5,453042176,1157947392,537903104,215056384,32043008,441044992,1089536
13,2021-12-28,02:35:00,0.5,ROS_VNF_driver,6.5,2084077568,1468964864,29.5,453042176,1157947392,537903104,215056384,32043008,441044992,1089536
14,2021-12-28,02:35:01,0.5,ROS_VNF_driver,11.2,2084077568,1468973056,29.5,453042176,1157947392,537964544,215056384,32043008,441044992,1089536
15,2021-12-28,02:35:01,0.5,ROS_VNF_driver,11.1,2084077568,1468973056,29.5,453042176,1157947392,537964544,215056384,32043008,441044992,1089536
16,2021-12-28,02:35:02,0.5,ROS_VNF_driver,10.3,2084077568,1468973056,29.5,453042176,1157947392,537964544,215056384,32043008,441044992,1089536
17,2021-12-28,02:35:02,0.5,ROS_VNF_driver,4.7,2084077568,1468973056,29.5,453042176,1157947392,537964544,215056384,32043008,441044992,1089536
18,2021-12-28,02:35:03,0.5,ROS_VNF_driver,2.2,2084077568,1468973056,29.5,453042176,1157947392,537964544,215056384,32043008,441044992,1089536
19,2021-12-28,02:35:03,0.5,ROS_VNF_driver,3.3,2084077568,1468973056,29.5,453042176,1157947392,537964544,215056384,32043008,441044992,1089536
20,2021-12-28,02:35:04,0.5,ROS_VNF_driver,4.4,2084077568,1468981248,29.5,453033984,1157947392,537980928,215056384,32051200,441044992,1089536
21,2021-12-28,02:35:04,0.5,ROS_VNF_driver,5.4,2084077568,1468981248,29.5,453033984,1157947392,537980928,215056384,32051200,441044992,1089536
22,2021-12-28,02:35:05,0.5,ROS_VNF_driver,2.2,2084077568,1468981248,29.5,453033984,1157947392,537985024,215056384,32051200,441044992,1089536
23,2021-12-28,02:35:05,0.5,ROS_VNF_driver,3.3,2084077568,1468981248,29.5,453033984,1157947392,537985024,215056384,32051200,441044992,1089536
24,2021-12-28,02:35:06,0.5,ROS_VNF_driver,4.4,2084077568,1468981248,29.5,453033984,1157947392,537985024,215056384,32051200,441044992,1089536
25,2021-12-28,02:35:06,0.5,ROS_VNF_driver,4.4,2084077568,1468981248,29.5,453033984,1157947392,537985024,215056384,32051200,441044992,1089536
26,2021-12-28,02:35:07,0.5,ROS_VNF_driver,1.1,2084077568,1468981248,29.5,453033984,1157947392,537985024,215056384,32051200,441044992,1089536
27,2021-12-28,02:35:07,0.5,ROS_VNF_driver,2.3,2084077568,1468981248,29.5,453033984,1157947392,537985024,215056384,32051200,441044992,1089536
28,2021-12-28,02:35:08,0.5,ROS_VNF_driver,5.4,2084077568,1468973056,29.5,453038080,1157939200,537985024,215056384,32051200,441049088,1089536
29,2021-12-28,02:35:08,0.5,ROS_VNF_driver,3.4,2084077568,1468973056,29.5,453038080,1157939200,537985024,215056384,32051200,441049088,1089536
30,2021-12-28,02:35:09,0.5,ROS_VNF_driver,12.2,2084077568,1468973056,29.5,453038080,1157939200,537985024,215056384,32051200,441049088,1089536
31,2021-12-28,02:35:09,0.5,ROS_VNF_driver,10.3,2084077568,1468973056,29.5,453038080,1157939200,537985024,215056384,32059392,441040896,1089536
32,2021-12-28,02:35:10,0.5,ROS_VNF_driver,10.0,2084077568,1468973056,29.5,453029888,1157939200,537985024,215056384,32059392,441049088,1089536
33,2021-12-28,02:35:10,0.5,ROS_VNF_driver,10.1,2084077568,1468973056,29.5,453029888,1157939200,537985024,215056384,32059392,441049088,1089536
34,2021-12-28,02:35:11,0.5,ROS_VNF_driver,11.1,2084077568,1468973056,29.5,453029888,1157939200,537985024,215056384,32059392,441049088,1089536
35,2021-12-28,02:35:11,0.5,ROS_VNF_driver,6.6,2084077568,1468973056,29.5,453029888,1157939200,537985024,215056384,32059392,441049088,1089536
36,2021-12-28,02:35:12,0.5,ROS_VNF_driver,11.1,2084077568,1468973056,29.5,453029888,1157939200,537985024,215056384,32059392,441049088,1089536
37,2021-12-28,02:35:12,0.5,ROS_VNF_driver,7.9,2084077568,1468973056,29.5,453029888,1157939200,537985024,215056384,32059392,441049088,1089536
38,2021-12-28,02:35:13,0.5,ROS_VNF_driver,11.1,2084077568,1468973056,29.5,453029888,1157939200,537985024,215056384,32059392,441049088,1089536
39,2021-12-28,02:35:13,0.5,ROS_VNF_driver,14.6,2084077568,1468973056,29.5,453029888,1157939200,537985024,215056384,32059392,441049088,1089536
40,2021-12-28,02:35:14,0.5,ROS_VNF_driver,9.0,2084077568,1468977152,29.5,453029888,1157939200,537985024,215060480,32059392,441049088,1089536
41,2021-12-28,02:35:14,0.5,ROS_VNF_driver,11.1,2084077568,1468977152,29.5,453029888,1157939200,537985024,215060480,32059392,441049088,1089536
42,2021-12-28,02:35:15,0.5,ROS_VNF_driver,11.1,2084077568,1468985344,29.5,453021696,1157939200,538001408,215060480,32067584,441049088,1089536
43,2021-12-28,02:35:15,0.5,ROS_VNF_driver,12.3,2084077568,1468985344,29.5,453021696,1157939200,538001408,215060480,32067584,441049088,1089536
44,2021-12-28,02:35:16,0.5,ROS_VNF_driver,12.5,2084077568,1468985344,29.5,453021696,1157939200,538001408,215060480,32067584,441049088,1089536
45,2021-12-28,02:35:16,0.5,ROS_VNF_driver,6.8,2084077568,1468985344,29.5,453021696,1157939200,538001408,215060480,32067584,441049088,1089536
46,2021-12-28,02:35:17,0.5,ROS_VNF_driver,2.2,2084077568,1468985344,29.5,453029888,1157931008,538009600,215060480,32067584,441049088,1089536
47,2021-12-28,02:35:17,0.5,ROS_VNF_driver,3.4,2084077568,1468985344,29.5,453029888,1157931008,538009600,215060480,32067584,441049088,1089536
48,2021-12-28,02:35:18,0.5,ROS_VNF_driver,4.4,2084077568,1468985344,29.5,453029888,1157931008,538009600,215060480,32067584,441049088,1089536
49,2021-12-28,02:35:18,0.5,ROS_VNF_driver,2.3,2084077568,1468985344,29.5,453029888,1157931008,538009600,215060480,32067584,441049088,1089536
50,2021-12-28,02:35:19,0.5,ROS_VNF_driver,4.4,2084077568,1468985344,29.5,453029888,1157931008,538009600,215060480,32067584,441049088,1089536
51,2021-12-28,02:35:19,0.5,ROS_VNF_driver,4.4,2084077568,1468985344,29.5,453029888,1157931008,538009600,215060480,32067584,441049088,1089536
52,2021-12-28,02:35:20,0.5,ROS_VNF_driver,5.4,2084077568,1468985344,29.5,453029888,1157931008,538009600,215060480,32067584,441049088,1089536
53,2021-12-28,02:35:20,0.5,ROS_VNF_driver,3.3,2084077568,1468985344,29.5,453021696,1157931008,538009600,215060480,32075776,441049088,1089536
54,2021-12-28,02:35:21,0.5,ROS_VNF_driver,4.4,2084077568,1468985344,29.5,453021696,1157931008,538009600,215060480,32075776,441049088,1089536
55,2021-12-28,02:35:21,0.5,ROS_VNF_driver,2.3,2084077568,1468985344,29.5,453021696,1157931008,538009600,215060480,32075776,441049088,1089536
56,2021-12-28,02:35:22,0.5,ROS_VNF_driver,0.0,2084077568,1468985344,29.5,453021696,1157931008,538009600,215060480,32075776,441049088,1089536
57,2021-12-28,02:35:22,0.5,ROS_VNF_driver,5.8,2084077568,1468985344,29.5,453021696,1157931008,538009600,215060480,32075776,441049088,1089536
58,2021-12-28,02:35:23,0.5,ROS_VNF_driver,9.0,2084077568,1468985344,29.5,453017600,1157931008,538009600,215060480,32075776,441053184,1089536
59,2021-12-28,02:35:23,0.5,ROS_VNF_driver,12.3,2084077568,1468985344,29.5,453017600,1157931008,538009600,215060480,32075776,441053184,1089536
60,2021-12-28,02:35:24,0.5,ROS_VNF_driver,10.0,2084077568,1468985344,29.5,453017600,1157931008,538009600,215060480,32075776,441053184,1089536
61,2021-12-28,02:35:24,0.5,ROS_VNF_driver,10.1,2084077568,1468985344,29.5,453017600,1157931008,538009600,215060480,32075776,441053184,1089536
62,2021-12-28,02:35:25,0.5,ROS_VNF_driver,12.2,2084077568,1468993536,29.5,453017600,1157931008,538017792,215060480,32075776,441053184,1089536
63,2021-12-28,02:35:25,0.5,ROS_VNF_driver,8.7,2084077568,1468993536,29.5,453017600,1157931008,538017792,215060480,32075776,441053184,1089536
64,2021-12-28,02:35:26,0.5,ROS_VNF_driver,11.2,2084077568,1468993536,29.5,453009408,1157931008,538017792,215060480,32083968,441053184,1089536
65,2021-12-28,02:35:26,0.5,ROS_VNF_driver,5.3,2084077568,1468993536,29.5,453009408,1157931008,538017792,215060480,32083968,441053184,1089536
66,2021-12-28,02:35:27,0.5,ROS_VNF_driver,7.7,2084077568,1468993536,29.5,453009408,1157931008,538017792,215060480,32083968,441053184,1089536
67,2021-12-28,02:35:27,0.5,ROS_VNF_driver,11.0,2084077568,1468993536,29.5,453009408,1157931008,538017792,215060480,32083968,441053184,1089536
68,2021-12-28,02:35:28,0.5,ROS_VNF_driver,10.0,2084077568,1468993536,29.5,453009408,1157931008,538017792,215060480,32083968,441053184,1089536
69,2021-12-28,02:35:28,0.5,ROS_VNF_driver,11.1,2084077568,1468993536,29.5,453009408,1157931008,538017792,215060480,32083968,441053184,1089536
70,2021-12-28,02:35:29,0.5,ROS_VNF_driver,11.0,2084077568,1468993536,29.5,453009408,1157931008,538017792,215060480,32083968,441053184,1089536
71,2021-12-28,02:35:29,0.5,ROS_VNF_driver,11.1,2084077568,1468993536,29.5,453009408,1157931008,538017792,215060480,32083968,441053184,1089536
72,2021-12-28,02:35:30,0.5,ROS_VNF_driver,13.3,2084077568,1468993536,29.5,453009408,1157931008,538017792,215060480,32083968,441053184,1089536
73,2021-12-28,02:35:30,0.5,ROS_VNF_driver,2.3,2084077568,1468993536,29.5,453009408,1157931008,538017792,215060480,32083968,441053184,1089536
74,2021-12-28,02:35:31,0.5,ROS_VNF_driver,5.4,2084077568,1469001728,29.5,453009408,1157931008,538079232,215060480,32083968,441053184,1089536
75,2021-12-28,02:35:31,0.5,ROS_VNF_driver,2.2,2084077568,1469001728,29.5,453001216,1157931008,538079232,215060480,32092160,441053184,1089536
76,2021-12-28,02:35:32,0.5,ROS_VNF_driver,3.3,2084077568,1469001728,29.5,453001216,1157931008,538079232,215060480,32092160,441053184,1089536
77,2021-12-28,02:35:32,0.5,ROS_VNF_driver,4.4,2084077568,1469001728,29.5,453001216,1157931008,538079232,215060480,32092160,441053184,1089536
78,2021-12-28,02:35:33,0.5,ROS_VNF_driver,3.3,2084077568,1469001728,29.5,453001216,1157931008,538079232,215060480,32092160,441053184,1089536
79,2021-12-28,02:35:33,0.5,ROS_VNF_driver,3.4,2084077568,1469001728,29.5,453001216,1157931008,538079232,215060480,32092160,441053184,1089536
80,2021-12-28,02:35:34,0.5,ROS_VNF_driver,1.1,2084077568,1469001728,29.5,453001216,1157931008,538079232,215060480,32092160,441053184,1089536
81,2021-12-28,02:35:34,0.5,ROS_VNF_driver,4.4,2084077568,1469001728,29.5,453001216,1157931008,538079232,215060480,32092160,441053184,1089536
82,2021-12-28,02:35:35,0.5,ROS_VNF_driver,3.3,2084077568,1469009920,29.5,453001216,1157931008,538095616,215060480,32092160,441053184,1089536
83,2021-12-28,02:35:35,0.5,ROS_VNF_driver,3.3,2084077568,1469009920,29.5,453001216,1157931008,538095616,215060480,32092160,441053184,1089536
84,2021-12-28,02:35:36,0.5,ROS_VNF_driver,2.2,2084077568,1469009920,29.5,453001216,1157931008,538095616,215060480,32092160,441053184,1089536
85,2021-12-28,02:35:36,0.5,ROS_VNF_driver,5.9,2084077568,1469009920,29.5,453001216,1157931008,538095616,215060480,32092160,441053184,1089536
86,2021-12-28,02:35:37,0.5,ROS_VNF_driver,14.6,2084077568,1469009920,29.5,452988928,1157931008,538095616,215060480,32100352,441057280,1089536
87,2021-12-28,02:35:37,0.5,ROS_VNF_driver,13.6,2084077568,1469009920,29.5,452988928,1157931008,538095616,215060480,32100352,441057280,1089536
88,2021-12-28,02:35:38,0.5,ROS_VNF_driver,14.5,2084077568,1469009920,29.5,452988928,1157931008,538095616,215060480,32100352,441057280,1089536
89,2021-12-28,02:35:38,0.5,ROS_VNF_driver,12.5,2084077568,1469009920,29.5,452988928,1157931008,538095616,215060480,32100352,441057280,1089536
90,2021-12-28,02:35:39,0.5,ROS_VNF_driver,8.9,2084077568,1469009920,29.5,452988928,1157931008,538095616,215060480,32100352,441057280,1089536
91,2021-12-28,02:35:39,0.5,ROS_VNF_driver,13.4,2084077568,1469009920,29.5,452988928,1157931008,538095616,215060480,32100352,441057280,1089536
92,2021-12-28,02:35:40,0.5,ROS_VNF_driver,11.1,2084077568,1469009920,29.5,452988928,1157931008,538095616,215060480,32100352,441057280,1089536
93,2021-12-28,02:35:40,0.5,ROS_VNF_driver,10.0,2084077568,1469009920,29.5,452988928,1157931008,538095616,215060480,32100352,441057280,1089536
94,2021-12-28,02:35:41,0.5,ROS_VNF_driver,7.8,2084077568,1469009920,29.5,452988928,1157931008,538095616,215060480,32100352,441057280,1089536
95,2021-12-28,02:35:41,0.5,ROS_VNF_driver,14.5,2084077568,1469009920,29.5,452988928,1157931008,538095616,215060480,32100352,441057280,1089536
96,2021-12-28,02:35:42,0.5,ROS_VNF_driver,10.8,2084077568,1469009920,29.5,452988928,1157931008,538095616,215060480,32108544,441049088,1089536
97,2021-12-28,02:35:42,0.5,ROS_VNF_driver,15.7,2084077568,1469018112,29.5,452997120,1157898240,538128384,215068672,32124928,441057280,1089536
