iteration,date,time,measurement_period,machine/VNF,sys_cpu,totalmem,availablemem,percentmem,usedmem,freemem,activemem,inactivemem,buffers,cached,shared
0,2022-01-02,04:22:05,0.5,ROS_VNF_control,7.4,2084077568,751980544,63.9,1159843840,373174272,1242529792,259944448,33386496,517672960,1241088
1,2022-01-02,04:22:06,0.5,ROS_VNF_control,4.0,2084077568,751980544,63.9,1159843840,373174272,1242529792,259944448,33386496,517672960,1241088
2,2022-01-02,04:22:06,0.5,ROS_VNF_control,4.1,2084077568,751980544,63.9,1159843840,373174272,1242529792,259944448,33386496,517672960,1241088
3,2022-01-02,04:22:07,0.5,ROS_VNF_control,4.0,2084077568,751980544,63.9,1159843840,373174272,1242529792,259944448,33386496,517672960,1241088
4,2022-01-02,04:22:07,0.5,ROS_VNF_control,2.1,2084077568,751980544,63.9,1159843840,373174272,1242529792,259944448,33386496,517672960,1241088
5,2022-01-02,04:22:08,0.5,ROS_VNF_control,4.0,2084077568,751980544,63.9,1159843840,373174272,1242529792,259944448,33386496,517672960,1241088
6,2022-01-02,04:22:08,0.5,ROS_VNF_control,1.0,2084077568,751980544,63.9,1159843840,373174272,1242529792,259944448,33386496,517672960,1241088
7,2022-01-02,04:22:09,0.5,ROS_VNF_control,2.1,2084077568,761044992,63.5,1150779392,382238720,1234616320,259944448,33386496,517672960,1241088
8,2022-01-02,04:22:09,0.5,ROS_VNF_control,3.1,2084077568,761044992,63.5,1150779392,382238720,1234616320,259944448,33386496,517672960,1241088
9,2022-01-02,04:22:10,0.5,ROS_VNF_control,4.0,2084077568,761135104,63.5,1150676992,382328832,1234608128,259944448,33398784,517672960,1241088
10,2022-01-02,04:22:10,0.5,ROS_VNF_control,1.0,2084077568,761135104,63.5,1150676992,382328832,1234608128,259944448,33398784,517672960,1241088
11,2022-01-02,04:22:11,0.5,ROS_VNF_control,3.1,2084077568,761135104,63.5,1150676992,382328832,1234608128,259944448,33398784,517672960,1241088
12,2022-01-02,04:22:11,0.5,ROS_VNF_control,3.1,2084077568,761135104,63.5,1150676992,382328832,1234608128,259944448,33398784,517672960,1241088
13,2022-01-02,04:22:12,0.5,ROS_VNF_control,4.0,2084077568,761135104,63.5,1150676992,382328832,1234608128,259944448,33398784,517672960,1241088
14,2022-01-02,04:22:12,0.5,ROS_VNF_control,3.1,2084077568,761114624,63.5,1150709760,382296064,1234620416,259944448,33398784,517672960,1241088
15,2022-01-02,04:22:13,0.5,ROS_VNF_control,5.1,2084077568,761114624,63.5,1150709760,382296064,1234620416,259944448,33398784,517672960,1241088
16,2022-01-02,04:22:13,0.5,ROS_VNF_control,1.0,2084077568,761114624,63.5,1150709760,382296064,1234620416,259944448,33398784,517672960,1241088
17,2022-01-02,04:22:14,0.5,ROS_VNF_control,4.0,2084077568,761114624,63.5,1150709760,382296064,1234620416,259944448,33398784,517672960,1241088
18,2022-01-02,04:22:14,0.5,ROS_VNF_control,2.0,2084077568,761114624,63.5,1150709760,382296064,1234620416,259944448,33398784,517672960,1241088
