iteration,date,time,measurement_period,machine/VNF,sys_cpu,totalmem,availablemem,percentmem,usedmem,freemem,activemem,inactivemem,buffers,cached,shared
0,2021-12-23,17:18:05,0.5,ROS_VNF_command,0.0,2084077568,1724948480,17.2,204718080,1551331328,180113408,228089856,20361216,307666944,802816
1,2021-12-23,17:18:05,0.5,ROS_VNF_command,0.0,2084077568,1724948480,17.2,204718080,1551331328,180113408,228089856,20361216,307666944,802816
2,2021-12-23,17:18:06,0.5,ROS_VNF_command,1.0,2084077568,1724948480,17.2,204718080,1551331328,180113408,228089856,20361216,307666944,802816
3,2021-12-23,17:18:06,0.5,ROS_VNF_command,0.0,2084077568,1724948480,17.2,204718080,1551331328,180113408,228089856,20361216,307666944,802816
4,2021-12-23,17:18:07,0.5,ROS_VNF_command,0.0,2084077568,1724948480,17.2,204718080,1551331328,180113408,228089856,20361216,307666944,802816
5,2021-12-23,17:18:07,0.5,ROS_VNF_command,1.0,2084077568,1724948480,17.2,204718080,1551331328,180113408,228089856,20361216,307666944,802816
6,2021-12-23,17:18:08,0.5,ROS_VNF_command,0.0,2084077568,1734045696,16.8,195620864,1560428544,171081728,228089856,20361216,307666944,802816
7,2021-12-23,17:18:08,0.5,ROS_VNF_command,0.0,2084077568,1734045696,16.8,195620864,1560428544,171081728,228089856,20361216,307666944,802816
8,2021-12-23,17:18:09,0.5,ROS_VNF_command,0.0,2084077568,1734111232,16.8,195555328,1560485888,171053056,228098048,20369408,307666944,802816
9,2021-12-23,17:18:10,0.5,ROS_VNF_command,0.0,2084077568,1734111232,16.8,195555328,1560485888,171053056,228098048,20369408,307666944,802816
10,2021-12-23,17:18:10,0.5,ROS_VNF_command,1.0,2084077568,1734111232,16.8,195555328,1560485888,171053056,228098048,20369408,307666944,802816
11,2021-12-23,17:18:11,0.5,ROS_VNF_command,0.0,2084077568,1734111232,16.8,195555328,1560485888,171053056,228098048,20369408,307666944,802816
12,2021-12-23,17:18:11,0.5,ROS_VNF_command,0.0,2084077568,1734111232,16.8,195555328,1560485888,171053056,228098048,20369408,307666944,802816
13,2021-12-23,17:18:12,0.5,ROS_VNF_command,0.0,2084077568,1734111232,16.8,195555328,1560485888,171053056,228098048,20369408,307666944,802816
14,2021-12-23,17:18:12,0.5,ROS_VNF_command,0.0,2084077568,1734111232,16.8,195555328,1560485888,171053056,228098048,20369408,307666944,802816
15,2021-12-23,17:18:13,0.5,ROS_VNF_command,0.0,2084077568,1734111232,16.8,195555328,1560485888,171053056,228098048,20369408,307666944,802816
16,2021-12-23,17:18:13,0.5,ROS_VNF_command,0.0,2084077568,1734111232,16.8,195555328,1560485888,171053056,228098048,20369408,307666944,802816
17,2021-12-23,17:18:14,0.5,ROS_VNF_command,0.0,2084077568,1734111232,16.8,195555328,1560485888,171053056,228098048,20369408,307666944,802816
18,2021-12-23,17:18:14,0.5,ROS_VNF_command,0.0,2084077568,1734111232,16.8,195555328,1560485888,171053056,228098048,20369408,307666944,802816
19,2021-12-23,17:18:15,0.5,ROS_VNF_command,0.0,2084077568,1734111232,16.8,195555328,1560485888,171053056,228098048,20377600,307658752,802816
20,2021-12-23,17:18:15,0.5,ROS_VNF_command,0.0,2084077568,1734111232,16.8,195547136,1560485888,171053056,228098048,20377600,307666944,802816
21,2021-12-23,17:18:16,0.5,ROS_VNF_command,0.0,2084077568,1734111232,16.8,195547136,1560485888,171053056,228098048,20377600,307666944,802816
22,2021-12-23,17:18:16,0.5,ROS_VNF_command,1.0,2084077568,1734111232,16.8,195547136,1560485888,171053056,228098048,20377600,307666944,802816
23,2021-12-23,17:18:17,0.5,ROS_VNF_command,0.0,2084077568,1734111232,16.8,195547136,1560485888,171053056,228098048,20377600,307666944,802816
24,2021-12-23,17:18:17,0.5,ROS_VNF_command,0.0,2084077568,1734111232,16.8,195547136,1560485888,171053056,228098048,20377600,307666944,802816
25,2021-12-23,17:18:18,0.5,ROS_VNF_command,0.0,2084077568,1734111232,16.8,195547136,1560485888,171053056,228098048,20377600,307666944,802816
26,2021-12-23,17:18:18,0.5,ROS_VNF_command,0.0,2084077568,1734111232,16.8,195547136,1560485888,171053056,228098048,20377600,307666944,802816
27,2021-12-23,17:18:19,0.5,ROS_VNF_command,0.0,2084077568,1734111232,16.8,195547136,1560485888,171053056,228098048,20377600,307666944,802816
28,2021-12-23,17:18:19,0.5,ROS_VNF_command,0.0,2084077568,1734111232,16.8,195547136,1560485888,171053056,228098048,20377600,307666944,802816
29,2021-12-23,17:18:20,0.5,ROS_VNF_command,0.9,2084077568,1734111232,16.8,195534848,1560485888,171053056,228098048,20385792,307671040,802816
30,2021-12-23,17:18:20,0.5,ROS_VNF_command,0.0,2084077568,1734111232,16.8,195534848,1560485888,171053056,228098048,20385792,307671040,802816
31,2021-12-23,17:18:21,0.5,ROS_VNF_command,0.0,2084077568,1734111232,16.8,195534848,1560485888,171053056,228098048,20385792,307671040,802816
32,2021-12-23,17:18:21,0.5,ROS_VNF_command,0.0,2084077568,1734111232,16.8,195534848,1560485888,171053056,228098048,20385792,307671040,802816
