iteration,date,time,measurement_period,machine/VNF,sys_cpu,totalmem,availablemem,percentmem,usedmem,freemem,activemem,inactivemem,buffers,cached,shared
0,2022-01-02,10:51:21,0.5,ROS_VNF_control,4.1,2084077568,442863616,78.8,1467973632,111132672,1533100032,213909504,33378304,471592960,1368064
1,2022-01-02,10:51:21,0.5,ROS_VNF_control,3.1,2084077568,442863616,78.8,1467973632,111132672,1533100032,213909504,33378304,471592960,1368064
2,2022-01-02,10:51:22,0.5,ROS_VNF_control,2.1,2084077568,442863616,78.8,1467973632,111132672,1533100032,213909504,33378304,471592960,1368064
3,2022-01-02,10:51:22,0.5,ROS_VNF_control,3.1,2084077568,442863616,78.8,1467973632,111132672,1533100032,213909504,33378304,471592960,1368064
4,2022-01-02,10:51:23,0.5,ROS_VNF_control,2.1,2084077568,442863616,78.8,1467973632,111132672,1533100032,213909504,33378304,471592960,1368064
5,2022-01-02,10:51:23,0.5,ROS_VNF_control,3.1,2084077568,442863616,78.8,1467973632,111132672,1533100032,213909504,33378304,471592960,1368064
6,2022-01-02,10:51:24,0.5,ROS_VNF_control,1.0,2084077568,442863616,78.8,1467973632,111132672,1533100032,213909504,33378304,471592960,1368064
7,2022-01-02,10:51:24,0.5,ROS_VNF_control,4.1,2084077568,452808704,78.3,1458044928,121090048,1524703232,213909504,33378304,471564288,1368064
8,2022-01-02,10:51:25,0.5,ROS_VNF_control,3.1,2084077568,452808704,78.3,1458044928,121090048,1524703232,213909504,33378304,471564288,1368064
9,2022-01-02,10:51:25,0.5,ROS_VNF_control,4.0,2084077568,452808704,78.3,1458036736,121090048,1524703232,213909504,33386496,471564288,1368064
10,2022-01-02,10:51:26,0.5,ROS_VNF_control,1.0,2084077568,452808704,78.3,1458036736,121090048,1524703232,213909504,33386496,471564288,1368064
11,2022-01-02,10:51:26,0.5,ROS_VNF_control,2.1,2084077568,452808704,78.3,1458036736,121090048,1524703232,213909504,33386496,471564288,1368064
12,2022-01-02,10:51:27,0.5,ROS_VNF_control,2.1,2084077568,452808704,78.3,1458036736,121090048,1524703232,213909504,33386496,471564288,1368064
13,2022-01-02,10:51:27,0.5,ROS_VNF_control,2.1,2084077568,452808704,78.3,1458036736,121090048,1524764672,213909504,33386496,471564288,1368064
14,2022-01-02,10:51:28,0.5,ROS_VNF_control,3.1,2084077568,452808704,78.3,1458036736,121090048,1524764672,213909504,33386496,471564288,1368064
15,2022-01-02,10:51:28,0.5,ROS_VNF_control,5.1,2084077568,452808704,78.3,1458036736,121090048,1524764672,213909504,33386496,471564288,1368064
16,2022-01-02,10:51:29,0.5,ROS_VNF_control,1.0,2084077568,452808704,78.3,1458036736,121090048,1524764672,213909504,33386496,471564288,1368064
17,2022-01-02,10:51:29,0.5,ROS_VNF_control,1.0,2084077568,452808704,78.3,1458036736,121090048,1524764672,213909504,33386496,471564288,1368064
18,2022-01-02,10:51:30,0.5,ROS_VNF_control,2.1,2084077568,452808704,78.3,1458036736,121090048,1524764672,213909504,33386496,471564288,1368064
19,2022-01-02,10:51:30,0.5,ROS_VNF_control,5.9,2084077568,452808704,78.3,1458036736,121090048,1524764672,213909504,33386496,471564288,1368064
20,2022-01-02,10:51:31,0.5,ROS_VNF_control,1.0,2084077568,452825088,78.3,1458028544,121090048,1524781056,213909504,33394688,471564288,1368064
21,2022-01-02,10:51:31,0.5,ROS_VNF_control,3.1,2084077568,452825088,78.3,1458028544,121090048,1524781056,213909504,33394688,471564288,1368064
22,2022-01-02,10:51:32,0.5,ROS_VNF_control,3.1,2084077568,452825088,78.3,1458028544,121090048,1524781056,213909504,33394688,471564288,1368064
23,2022-01-02,10:51:32,0.5,ROS_VNF_control,1.0,2084077568,452825088,78.3,1458028544,121090048,1524781056,213909504,33394688,471564288,1368064
24,2022-01-02,10:51:33,0.5,ROS_VNF_control,2.1,2084077568,452825088,78.3,1458028544,121090048,1524781056,213909504,33394688,471564288,1368064
25,2022-01-02,10:51:33,0.5,ROS_VNF_control,2.0,2084077568,452825088,78.3,1458028544,121090048,1524781056,213909504,33394688,471564288,1368064
26,2022-01-02,10:51:34,0.5,ROS_VNF_control,3.1,2084077568,452825088,78.3,1458028544,121090048,1524781056,213909504,33394688,471564288,1368064
27,2022-01-02,10:51:34,0.5,ROS_VNF_control,3.1,2084077568,452825088,78.3,1458028544,121090048,1524781056,213909504,33394688,471564288,1368064
