iteration,date,time,measurement_period,machine/VNF,sys_cpu,totalmem,availablemem,percentmem,usedmem,freemem,activemem,inactivemem,buffers,cached,shared
0,2022-01-01,19:43:59,0.5,ROS_VNF_control,3.1,2084077568,1557999616,25.2,365076480,1230946304,454582272,250101760,33595392,454459392,880640
1,2022-01-01,19:43:59,0.5,ROS_VNF_control,1.0,2084077568,1557999616,25.2,365076480,1230946304,454582272,250101760,33595392,454459392,880640
2,2022-01-01,19:44:00,0.5,ROS_VNF_control,0.0,2084077568,1557999616,25.2,365076480,1230946304,454582272,250101760,33595392,454459392,880640
3,2022-01-01,19:44:00,0.5,ROS_VNF_control,0.0,2084077568,1557999616,25.2,365076480,1230946304,454582272,250101760,33595392,454459392,880640
4,2022-01-01,19:44:01,0.5,ROS_VNF_control,2.0,2084077568,1557999616,25.2,365076480,1230946304,454582272,250101760,33595392,454459392,880640
5,2022-01-01,19:44:01,0.5,ROS_VNF_control,1.0,2084077568,1557999616,25.2,365076480,1230946304,454582272,250101760,33595392,454459392,880640
6,2022-01-01,19:44:02,0.5,ROS_VNF_control,1.1,2084077568,1567911936,24.8,355164160,1240858624,446361600,250101760,33595392,454459392,880640
7,2022-01-01,19:44:02,0.5,ROS_VNF_control,1.0,2084077568,1567928320,24.8,355147776,1240875008,446324736,250101760,33595392,454459392,880640
8,2022-01-01,19:44:03,0.5,ROS_VNF_control,0.0,2084077568,1567928320,24.8,355147776,1240875008,446324736,250101760,33595392,454459392,880640
9,2022-01-01,19:44:03,0.5,ROS_VNF_control,0.0,2084077568,1567928320,24.8,355135488,1240875008,446324736,250101760,33603584,454463488,880640
10,2022-01-01,19:44:04,0.5,ROS_VNF_control,0.0,2084077568,1567928320,24.8,355135488,1240875008,446324736,250101760,33603584,454463488,880640
11,2022-01-01,19:44:04,0.5,ROS_VNF_control,0.0,2084077568,1567928320,24.8,355135488,1240875008,446324736,250101760,33603584,454463488,880640
12,2022-01-01,19:44:05,0.5,ROS_VNF_control,1.0,2084077568,1567928320,24.8,355135488,1240875008,446324736,250101760,33603584,454463488,880640
13,2022-01-01,19:44:05,0.5,ROS_VNF_control,1.0,2084077568,1567928320,24.8,355135488,1240875008,446324736,250101760,33603584,454463488,880640
14,2022-01-01,19:44:06,0.5,ROS_VNF_control,1.0,2084077568,1567928320,24.8,355135488,1240875008,446324736,250101760,33603584,454463488,880640
15,2022-01-01,19:44:06,0.5,ROS_VNF_control,0.0,2084077568,1567928320,24.8,355135488,1240875008,446324736,250101760,33603584,454463488,880640
16,2022-01-01,19:44:07,0.5,ROS_VNF_control,2.0,2084077568,1567928320,24.8,355135488,1240875008,446324736,250101760,33603584,454463488,880640
17,2022-01-01,19:44:07,0.5,ROS_VNF_control,0.0,2084077568,1567928320,24.8,355135488,1240875008,446324736,250101760,33603584,454463488,880640
18,2022-01-01,19:44:08,0.5,ROS_VNF_control,0.0,2084077568,1567928320,24.8,355135488,1240875008,446324736,250101760,33603584,454463488,880640
19,2022-01-01,19:44:08,0.5,ROS_VNF_control,1.0,2084077568,1567928320,24.8,355135488,1240875008,446324736,250101760,33603584,454463488,880640
20,2022-01-01,19:44:09,0.5,ROS_VNF_control,0.0,2084077568,1567928320,24.8,355127296,1240875008,446324736,250101760,33611776,454463488,880640
21,2022-01-01,19:44:09,0.5,ROS_VNF_control,0.0,2084077568,1567944704,24.8,355127296,1240875008,446341120,250101760,33611776,454463488,880640
22,2022-01-01,19:44:10,0.5,ROS_VNF_control,2.0,2084077568,1567944704,24.8,355127296,1240875008,446341120,250101760,33611776,454463488,880640
23,2022-01-01,19:44:10,0.5,ROS_VNF_control,0.0,2084077568,1567944704,24.8,355127296,1240875008,446341120,250101760,33611776,454463488,880640
24,2022-01-01,19:44:11,0.5,ROS_VNF_control,1.0,2084077568,1567944704,24.8,355127296,1240875008,446341120,250101760,33611776,454463488,880640
25,2022-01-01,19:44:11,0.5,ROS_VNF_control,0.0,2084077568,1567944704,24.8,355127296,1240875008,446341120,250101760,33611776,454463488,880640
26,2022-01-01,19:44:12,0.5,ROS_VNF_control,0.0,2084077568,1567944704,24.8,355127296,1240875008,446341120,250101760,33611776,454463488,880640
27,2022-01-01,19:44:12,0.5,ROS_VNF_control,0.0,2084077568,1567944704,24.8,355127296,1240875008,446341120,250101760,33611776,454463488,880640
28,2022-01-01,19:44:13,0.5,ROS_VNF_control,1.0,2084077568,1567944704,24.8,355127296,1240875008,446341120,250101760,33611776,454463488,880640
29,2022-01-01,19:44:13,0.5,ROS_VNF_control,1.0,2084077568,1567682560,24.8,355385344,1240608768,446832640,250101760,33611776,454471680,880640
30,2022-01-01,19:44:14,0.5,ROS_VNF_control,0.0,2084077568,1567682560,24.8,355385344,1240608768,446832640,250101760,33611776,454471680,880640
31,2022-01-01,19:44:14,0.5,ROS_VNF_control,1.0,2084077568,1567682560,24.8,355377152,1240608768,446832640,250101760,33619968,454471680,880640
32,2022-01-01,19:44:15,0.5,ROS_VNF_control,2.0,2084077568,1567682560,24.8,355377152,1240608768,446832640,250101760,33619968,454471680,880640
33,2022-01-01,19:44:16,0.5,ROS_VNF_control,0.0,2084077568,1567682560,24.8,355377152,1240608768,446832640,250101760,33619968,454471680,880640
34,2022-01-01,19:44:16,0.5,ROS_VNF_control,1.0,2084077568,1567682560,24.8,355377152,1240608768,446832640,250101760,33619968,454471680,880640
35,2022-01-01,19:44:17,0.5,ROS_VNF_control,1.0,2084077568,1567682560,24.8,355377152,1240608768,446832640,250101760,33619968,454471680,880640
36,2022-01-01,19:44:17,0.5,ROS_VNF_control,2.0,2084077568,1567682560,24.8,355377152,1240608768,446402560,250101760,33619968,454471680,880640
