iteration,date,time,measurement_period,machine/VNF,sys_cpu,totalmem,availablemem,percentmem,usedmem,freemem,activemem,inactivemem,buffers,cached,shared
0,2021-12-27,19:56:43,0.5,ROS_VNF_control,0.0,2084077568,1561108480,25.1,361226240,1272225792,452079616,214642688,30990336,419635200,880640
1,2021-12-27,19:56:43,0.5,ROS_VNF_control,0.0,2084077568,1561108480,25.1,361226240,1272225792,452079616,214642688,30990336,419635200,880640
2,2021-12-27,19:56:44,0.5,ROS_VNF_control,0.0,2084077568,1561108480,25.1,361226240,1272225792,452079616,214642688,30990336,419635200,880640
3,2021-12-27,19:56:44,0.5,ROS_VNF_control,0.0,2084077568,1561108480,25.1,361226240,1272225792,452079616,214642688,30990336,419635200,880640
4,2021-12-27,19:56:45,0.5,ROS_VNF_control,0.0,2084077568,1561108480,25.1,361226240,1272225792,452079616,214642688,30990336,419635200,880640
5,2021-12-27,19:56:45,0.5,ROS_VNF_control,0.0,2084077568,1561108480,25.1,361226240,1272225792,452079616,214642688,30990336,419635200,880640
6,2021-12-27,19:56:46,0.5,ROS_VNF_control,1.0,2084077568,1569107968,24.7,353226752,1280225280,443908096,214642688,30990336,419635200,880640
7,2021-12-27,19:56:46,0.5,ROS_VNF_control,0.0,2084077568,1569173504,24.7,353169408,1280282624,443891712,214650880,30990336,419635200,880640
8,2021-12-27,19:56:47,0.5,ROS_VNF_control,0.0,2084077568,1569239040,24.7,353103872,1280348160,443863040,214650880,30990336,419635200,880640
9,2021-12-27,19:56:47,0.5,ROS_VNF_control,0.0,2084077568,1569239040,24.7,353095680,1280348160,443863040,214650880,30998528,419635200,880640
10,2021-12-27,19:56:48,0.5,ROS_VNF_control,0.0,2084077568,1569239040,24.7,353095680,1280348160,443863040,214650880,30998528,419635200,880640
11,2021-12-27,19:56:48,0.5,ROS_VNF_control,0.0,2084077568,1569239040,24.7,353095680,1280348160,443863040,214650880,30998528,419635200,880640
12,2021-12-27,19:56:49,0.5,ROS_VNF_control,0.0,2084077568,1569239040,24.7,353095680,1280348160,443863040,214650880,30998528,419635200,880640
13,2021-12-27,19:56:49,0.5,ROS_VNF_control,0.0,2084077568,1569239040,24.7,353095680,1280348160,443863040,214650880,30998528,419635200,880640
14,2021-12-27,19:56:50,0.5,ROS_VNF_control,0.0,2084077568,1569239040,24.7,353095680,1280348160,443863040,214650880,30998528,419635200,880640
15,2021-12-27,19:56:50,0.5,ROS_VNF_control,0.0,2084077568,1569239040,24.7,353095680,1280348160,443863040,214650880,30998528,419635200,880640
16,2021-12-27,19:56:51,0.5,ROS_VNF_control,0.0,2084077568,1569239040,24.7,353095680,1280348160,443863040,214650880,30998528,419635200,880640
17,2021-12-27,19:56:51,0.5,ROS_VNF_control,1.0,2084077568,1569239040,24.7,353095680,1280348160,443863040,214650880,30998528,419635200,880640
18,2021-12-27,19:56:52,0.5,ROS_VNF_control,0.0,2084077568,1569239040,24.7,353095680,1280348160,443863040,214650880,30998528,419635200,880640
19,2021-12-27,19:56:52,0.5,ROS_VNF_control,0.0,2084077568,1569239040,24.7,353095680,1280348160,443863040,214650880,30998528,419635200,880640
20,2021-12-27,19:56:53,0.5,ROS_VNF_control,0.0,2084077568,1569239040,24.7,353087488,1280348160,443863040,214650880,31006720,419635200,880640
21,2021-12-27,19:56:53,0.5,ROS_VNF_control,0.0,2084077568,1569239040,24.7,353087488,1280348160,443863040,214650880,31006720,419635200,880640
22,2021-12-27,19:56:54,0.5,ROS_VNF_control,0.0,2084077568,1569239040,24.7,353087488,1280348160,443863040,214650880,31006720,419635200,880640
23,2021-12-27,19:56:54,0.5,ROS_VNF_control,0.0,2084077568,1569239040,24.7,353087488,1280348160,443863040,214650880,31006720,419635200,880640
24,2021-12-27,19:56:55,0.5,ROS_VNF_control,1.0,2084077568,1569239040,24.7,353087488,1280348160,443863040,214650880,31006720,419635200,880640
25,2021-12-27,19:56:55,0.5,ROS_VNF_control,0.0,2084077568,1569239040,24.7,353087488,1280348160,443863040,214650880,31006720,419635200,880640
26,2021-12-27,19:56:56,0.5,ROS_VNF_control,1.0,2084077568,1569239040,24.7,353087488,1280348160,443863040,214650880,31006720,419635200,880640
27,2021-12-27,19:56:56,0.5,ROS_VNF_control,0.0,2084077568,1569239040,24.7,353087488,1280348160,443863040,214650880,31006720,419635200,880640
28,2021-12-27,19:56:57,0.5,ROS_VNF_control,0.0,2084077568,1569239040,24.7,353087488,1280348160,443863040,214650880,31006720,419635200,880640
29,2021-12-27,19:56:57,0.5,ROS_VNF_control,0.0,2084077568,1569239040,24.7,353083392,1280348160,443863040,214650880,31006720,419639296,880640
30,2021-12-27,19:56:58,0.5,ROS_VNF_control,0.0,2084077568,1569239040,24.7,353083392,1280348160,443863040,214650880,31006720,419639296,880640
31,2021-12-27,19:56:58,0.5,ROS_VNF_control,0.0,2084077568,1569239040,24.7,353083392,1280348160,443863040,214650880,31014912,419631104,880640
32,2021-12-27,19:56:59,0.5,ROS_VNF_control,0.0,2084077568,1569243136,24.7,353075200,1280348160,443863040,214654976,31014912,419639296,880640
33,2021-12-27,19:56:59,0.5,ROS_VNF_control,1.0,2084077568,1569243136,24.7,353075200,1280348160,443863040,214654976,31014912,419639296,880640
34,2021-12-27,19:57:00,0.5,ROS_VNF_control,0.0,2084077568,1569243136,24.7,353075200,1280348160,443863040,214654976,31014912,419639296,880640
35,2021-12-27,19:57:00,0.5,ROS_VNF_control,0.0,2084077568,1569243136,24.7,353075200,1280348160,443863040,214654976,31014912,419639296,880640
36,2021-12-27,19:57:01,0.5,ROS_VNF_control,0.0,2084077568,1569243136,24.7,353075200,1280348160,443863040,214654976,31014912,419639296,880640
37,2021-12-27,19:57:01,0.5,ROS_VNF_control,0.0,2084077568,1569243136,24.7,353075200,1280348160,443863040,214654976,31014912,419639296,880640
38,2021-12-27,19:57:02,0.5,ROS_VNF_control,1.0,2084077568,1569243136,24.7,353075200,1280348160,443863040,214654976,31014912,419639296,880640
39,2021-12-27,19:57:02,0.5,ROS_VNF_control,0.0,2084077568,1569243136,24.7,353075200,1280348160,443863040,214654976,31014912,419639296,880640
40,2021-12-27,19:57:03,0.5,ROS_VNF_control,0.0,2084077568,1569243136,24.7,353075200,1280348160,443863040,214654976,31014912,419639296,880640
41,2021-12-27,19:57:03,0.5,ROS_VNF_control,0.0,2084077568,1569243136,24.7,353075200,1280348160,443863040,214654976,31014912,419639296,880640
42,2021-12-27,19:57:04,0.5,ROS_VNF_control,0.0,2084077568,1569243136,24.7,353067008,1280348160,443863040,214654976,31023104,419639296,880640
43,2021-12-27,19:57:04,0.5,ROS_VNF_control,0.0,2084077568,1569243136,24.7,353067008,1280348160,443863040,214654976,31023104,419639296,880640
44,2021-12-27,19:57:05,0.5,ROS_VNF_control,1.0,2084077568,1569243136,24.7,353067008,1280348160,443863040,214654976,31023104,419639296,880640
45,2021-12-27,19:57:05,0.5,ROS_VNF_control,0.0,2084077568,1569243136,24.7,353067008,1280348160,443863040,214654976,31023104,419639296,880640
46,2021-12-27,19:57:06,0.5,ROS_VNF_control,0.0,2084077568,1569243136,24.7,353067008,1280348160,443863040,214654976,31023104,419639296,880640
47,2021-12-27,19:57:06,0.5,ROS_VNF_control,0.0,2084077568,1569243136,24.7,353067008,1280348160,443863040,214654976,31023104,419639296,880640
48,2021-12-27,19:57:07,0.5,ROS_VNF_control,0.0,2084077568,1569243136,24.7,353067008,1280348160,443863040,214654976,31023104,419639296,880640
49,2021-12-27,19:57:07,0.5,ROS_VNF_control,0.0,2084077568,1569243136,24.7,353067008,1280348160,443863040,214654976,31023104,419639296,880640
50,2021-12-27,19:57:08,0.5,ROS_VNF_control,0.0,2084077568,1569243136,24.7,353067008,1280348160,443863040,214654976,31023104,419639296,880640
51,2021-12-27,19:57:08,0.5,ROS_VNF_control,0.0,2084077568,1569243136,24.7,353067008,1280348160,443863040,214654976,31023104,419639296,880640
52,2021-12-27,19:57:09,0.5,ROS_VNF_control,0.0,2084077568,1569243136,24.7,353067008,1280348160,443863040,214654976,31023104,419639296,880640
53,2021-12-27,19:57:09,0.5,ROS_VNF_control,0.0,2084077568,1569243136,24.7,353067008,1280348160,443863040,214654976,31031296,419631104,880640
54,2021-12-27,19:57:10,0.5,ROS_VNF_control,0.0,2084077568,1569243136,24.7,353058816,1280348160,443863040,214654976,31031296,419639296,880640
55,2021-12-27,19:57:10,0.5,ROS_VNF_control,0.0,2084077568,1569243136,24.7,353058816,1280348160,443863040,214654976,31031296,419639296,880640
56,2021-12-27,19:57:11,0.5,ROS_VNF_control,0.0,2084077568,1569243136,24.7,353058816,1280348160,443863040,214654976,31031296,419639296,880640
57,2021-12-27,19:57:11,0.5,ROS_VNF_control,0.0,2084077568,1569243136,24.7,353058816,1280348160,443863040,214654976,31031296,419639296,880640
58,2021-12-27,19:57:12,0.5,ROS_VNF_control,0.0,2084077568,1569243136,24.7,353054720,1280348160,443863040,214654976,31031296,419643392,880640
59,2021-12-27,19:57:12,0.5,ROS_VNF_control,0.0,2084077568,1569243136,24.7,353054720,1280348160,443863040,214654976,31031296,419643392,880640
60,2021-12-27,19:57:13,0.5,ROS_VNF_control,0.0,2084077568,1569243136,24.7,353054720,1280348160,443863040,214654976,31031296,419643392,880640
61,2021-12-27,19:57:13,0.5,ROS_VNF_control,0.0,2084077568,1569247232,24.7,353054720,1280348160,443863040,214659072,31031296,419643392,880640
62,2021-12-27,19:57:14,0.5,ROS_VNF_control,0.0,2084077568,1569247232,24.7,353054720,1280348160,443863040,214659072,31031296,419643392,880640
63,2021-12-27,19:57:14,0.5,ROS_VNF_control,0.0,2084077568,1569247232,24.7,353054720,1280348160,443863040,214659072,31031296,419643392,880640
64,2021-12-27,19:57:15,0.5,ROS_VNF_control,0.0,2084077568,1569247232,24.7,353046528,1280348160,443863040,214659072,31039488,419643392,880640
65,2021-12-27,19:57:15,0.5,ROS_VNF_control,0.0,2084077568,1569247232,24.7,353046528,1280348160,443863040,214659072,31039488,419643392,880640
66,2021-12-27,19:57:16,0.5,ROS_VNF_control,0.0,2084077568,1569247232,24.7,353046528,1280348160,443863040,214659072,31039488,419643392,880640
67,2021-12-27,19:57:16,0.5,ROS_VNF_control,1.0,2084077568,1569247232,24.7,353046528,1280348160,443863040,214659072,31039488,419643392,880640
68,2021-12-27,19:57:17,0.5,ROS_VNF_control,0.0,2084077568,1569247232,24.7,353046528,1280348160,443863040,214659072,31039488,419643392,880640
69,2021-12-27,19:57:17,0.5,ROS_VNF_control,0.0,2084077568,1569247232,24.7,353046528,1280348160,443863040,214659072,31039488,419643392,880640
70,2021-12-27,19:57:18,0.5,ROS_VNF_control,0.0,2084077568,1569247232,24.7,353046528,1280348160,443863040,214659072,31039488,419643392,880640
71,2021-12-27,19:57:18,0.5,ROS_VNF_control,1.0,2084077568,1569247232,24.7,353046528,1280348160,443863040,214659072,31039488,419643392,880640
72,2021-12-27,19:57:19,0.5,ROS_VNF_control,1.0,2084077568,1569247232,24.7,353046528,1280348160,443863040,214659072,31039488,419643392,880640
73,2021-12-27,19:57:19,0.5,ROS_VNF_control,0.0,2084077568,1569247232,24.7,353046528,1280348160,443863040,214659072,31039488,419643392,880640
74,2021-12-27,19:57:20,0.5,ROS_VNF_control,0.0,2084077568,1569247232,24.7,353046528,1280348160,443863040,214659072,31039488,419643392,880640
75,2021-12-27,19:57:20,0.5,ROS_VNF_control,0.0,2084077568,1569247232,24.7,353046528,1280348160,443863040,214659072,31047680,419635200,880640
76,2021-12-27,19:57:21,0.5,ROS_VNF_control,0.0,2084077568,1569304576,24.7,353038336,1280348160,443920384,214663168,31047680,419643392,880640
77,2021-12-27,19:57:21,0.5,ROS_VNF_control,0.0,2084077568,1569304576,24.7,353038336,1280348160,443920384,214663168,31047680,419643392,880640
78,2021-12-27,19:57:22,0.5,ROS_VNF_control,0.0,2084077568,1569304576,24.7,353038336,1280348160,443920384,214663168,31047680,419643392,880640
79,2021-12-27,19:57:22,0.5,ROS_VNF_control,1.0,2084077568,1569304576,24.7,353038336,1280348160,443920384,214663168,31047680,419643392,880640
80,2021-12-27,19:57:23,0.5,ROS_VNF_control,0.0,2084077568,1569304576,24.7,353038336,1280348160,443920384,214663168,31047680,419643392,880640
81,2021-12-27,19:57:23,0.5,ROS_VNF_control,0.0,2084077568,1569304576,24.7,353038336,1280348160,443920384,214663168,31047680,419643392,880640
82,2021-12-27,19:57:24,0.5,ROS_VNF_control,0.0,2084077568,1569304576,24.7,353038336,1280348160,443920384,214663168,31047680,419643392,880640
83,2021-12-27,19:57:24,0.5,ROS_VNF_control,0.0,2084077568,1569304576,24.7,353038336,1280348160,443920384,214663168,31047680,419643392,880640
84,2021-12-27,19:57:25,0.5,ROS_VNF_control,0.0,2084077568,1569304576,24.7,353038336,1280348160,443920384,214663168,31047680,419643392,880640
85,2021-12-27,19:57:25,0.5,ROS_VNF_control,0.0,2084077568,1569304576,24.7,353038336,1280348160,443920384,214663168,31047680,419643392,880640
86,2021-12-27,19:57:26,0.5,ROS_VNF_control,1.9,2084077568,1569308672,24.7,353030144,1280356352,443920384,214663168,31055872,419635200,880640
87,2021-12-27,19:57:26,0.5,ROS_VNF_control,1.0,2084077568,1569308672,24.7,353030144,1280356352,443920384,214663168,31055872,419635200,880640
88,2021-12-27,19:57:27,0.5,ROS_VNF_control,0.0,2084077568,1569308672,24.7,353026048,1280356352,443920384,214663168,31055872,419639296,880640
89,2021-12-27,19:57:27,0.5,ROS_VNF_control,0.0,2084077568,1569308672,24.7,353026048,1280356352,443920384,214663168,31055872,419639296,880640
90,2021-12-27,19:57:28,0.5,ROS_VNF_control,0.0,2084077568,1569308672,24.7,353026048,1280356352,443920384,214663168,31055872,419639296,880640
91,2021-12-27,19:57:28,0.5,ROS_VNF_control,1.0,2084077568,1569308672,24.7,353026048,1280356352,443920384,214663168,31055872,419639296,880640
92,2021-12-27,19:57:29,0.5,ROS_VNF_control,0.0,2084077568,1569312768,24.7,353026048,1280356352,443920384,214667264,31055872,419639296,880640
93,2021-12-27,19:57:29,0.5,ROS_VNF_control,0.0,2084077568,1569312768,24.7,353026048,1280356352,443920384,214667264,31055872,419639296,880640
94,2021-12-27,19:57:30,0.5,ROS_VNF_control,0.0,2084077568,1569312768,24.7,353026048,1280356352,443920384,214667264,31055872,419639296,880640
95,2021-12-27,19:57:30,0.5,ROS_VNF_control,0.0,2084077568,1569312768,24.7,353026048,1280356352,443920384,214667264,31055872,419639296,880640
96,2021-12-27,19:57:31,0.5,ROS_VNF_control,0.0,2084077568,1569312768,24.7,353026048,1280356352,443920384,214667264,31055872,419639296,880640
97,2021-12-27,19:57:31,0.5,ROS_VNF_control,1.0,2084077568,1569312768,24.7,353026048,1280356352,443920384,214667264,31064064,419631104,880640
98,2021-12-27,19:57:32,0.5,ROS_VNF_control,0.0,2084077568,1569312768,24.7,353017856,1280356352,443920384,214667264,31064064,419639296,880640
99,2021-12-27,19:57:32,0.5,ROS_VNF_control,0.0,2084077568,1569312768,24.7,353017856,1280356352,443920384,214667264,31064064,419639296,880640
100,2021-12-27,19:57:33,0.5,ROS_VNF_control,0.0,2084077568,1569312768,24.7,353017856,1280356352,443920384,214667264,31064064,419639296,880640
101,2021-12-27,19:57:33,0.5,ROS_VNF_control,0.0,2084077568,1569312768,24.7,353017856,1280356352,443920384,214667264,31064064,419639296,880640
102,2021-12-27,19:57:34,0.5,ROS_VNF_control,0.0,2084077568,1569312768,24.7,353017856,1280356352,443920384,214667264,31064064,419639296,880640
103,2021-12-27,19:57:34,0.5,ROS_VNF_control,0.0,2084077568,1569312768,24.7,353017856,1280356352,443920384,214667264,31064064,419639296,880640
104,2021-12-27,19:57:35,0.5,ROS_VNF_control,0.0,2084077568,1569312768,24.7,353017856,1280356352,443920384,214667264,31064064,419639296,880640
105,2021-12-27,19:57:35,0.5,ROS_VNF_control,0.0,2084077568,1569312768,24.7,353017856,1280356352,443920384,214667264,31064064,419639296,880640
106,2021-12-27,19:57:36,0.5,ROS_VNF_control,0.0,2084077568,1569312768,24.7,353017856,1280356352,443920384,214667264,31064064,419639296,880640
107,2021-12-27,19:57:36,0.5,ROS_VNF_control,0.0,2084077568,1569312768,24.7,353017856,1280356352,443920384,214667264,31064064,419639296,880640
108,2021-12-27,19:57:37,0.5,ROS_VNF_control,0.0,2084077568,1569312768,24.7,353009664,1280356352,443920384,214667264,31072256,419639296,880640
109,2021-12-27,19:57:37,0.5,ROS_VNF_control,0.0,2084077568,1569312768,24.7,353009664,1280356352,443920384,214667264,31072256,419639296,880640
110,2021-12-27,19:57:38,0.5,ROS_VNF_control,1.0,2084077568,1569312768,24.7,353009664,1280356352,443920384,214667264,31072256,419639296,880640
111,2021-12-27,19:57:38,0.5,ROS_VNF_control,0.0,2084077568,1569312768,24.7,353009664,1280356352,443920384,214667264,31072256,419639296,880640
112,2021-12-27,19:57:39,0.5,ROS_VNF_control,0.0,2084077568,1569312768,24.7,353009664,1280356352,443920384,214667264,31072256,419639296,880640
113,2021-12-27,19:57:39,0.5,ROS_VNF_control,0.0,2084077568,1569312768,24.7,353009664,1280356352,443920384,214667264,31072256,419639296,880640
114,2021-12-27,19:57:40,0.5,ROS_VNF_control,0.0,2084077568,1569312768,24.7,353009664,1280356352,443920384,214667264,31072256,419639296,880640
115,2021-12-27,19:57:40,0.5,ROS_VNF_control,0.0,2084077568,1569312768,24.7,353009664,1280356352,443920384,214667264,31072256,419639296,880640
116,2021-12-27,19:57:41,0.5,ROS_VNF_control,0.0,2084077568,1569312768,24.7,353005568,1280356352,443920384,214667264,31072256,419643392,880640
117,2021-12-27,19:57:41,0.5,ROS_VNF_control,0.0,2084077568,1569312768,24.7,353005568,1280356352,443920384,214667264,31072256,419643392,880640
118,2021-12-27,19:57:42,0.5,ROS_VNF_control,0.0,2084077568,1569312768,24.7,353005568,1280356352,443920384,214667264,31072256,419643392,880640
119,2021-12-27,19:57:42,0.5,ROS_VNF_control,0.0,2084077568,1569312768,24.7,353005568,1280356352,443920384,214667264,31080448,419635200,880640
120,2021-12-27,19:57:43,0.5,ROS_VNF_control,0.0,2084077568,1569312768,24.7,352997376,1280356352,443920384,214667264,31080448,419643392,880640
121,2021-12-27,19:57:43,0.5,ROS_VNF_control,1.0,2084077568,1569312768,24.7,352997376,1280356352,443920384,214667264,31080448,419643392,880640
122,2021-12-27,19:57:44,0.5,ROS_VNF_control,0.0,2084077568,1569312768,24.7,352997376,1280356352,443920384,214667264,31080448,419643392,880640
123,2021-12-27,19:57:44,0.5,ROS_VNF_control,0.0,2084077568,1569312768,24.7,352997376,1280356352,443920384,214667264,31080448,419643392,880640
124,2021-12-27,19:57:45,0.5,ROS_VNF_control,1.0,2084077568,1569325056,24.7,352997376,1280356352,443928576,214671360,31080448,419643392,880640
125,2021-12-27,19:57:45,0.5,ROS_VNF_control,1.0,2084077568,1569325056,24.7,352997376,1280356352,443928576,214671360,31080448,419643392,880640
126,2021-12-27,19:57:46,0.5,ROS_VNF_control,0.0,2084077568,1569325056,24.7,352997376,1280356352,443928576,214671360,31080448,419643392,880640
127,2021-12-27,19:57:46,0.5,ROS_VNF_control,0.0,2084077568,1569325056,24.7,352997376,1280356352,443928576,214671360,31080448,419643392,880640
128,2021-12-27,19:57:47,0.5,ROS_VNF_control,0.0,2084077568,1569325056,24.7,352997376,1280356352,443928576,214671360,31080448,419643392,880640
129,2021-12-27,19:57:47,0.5,ROS_VNF_control,0.0,2084077568,1569325056,24.7,352997376,1280356352,443928576,214671360,31080448,419643392,880640
130,2021-12-27,19:57:48,0.5,ROS_VNF_control,1.0,2084077568,1569325056,24.7,352989184,1280356352,443928576,214671360,31088640,419643392,880640
131,2021-12-27,19:57:49,0.5,ROS_VNF_control,0.0,2084077568,1569325056,24.7,352989184,1280356352,443928576,214671360,31088640,419643392,880640
132,2021-12-27,19:57:49,0.5,ROS_VNF_control,0.0,2084077568,1569325056,24.7,352989184,1280356352,443928576,214671360,31088640,419643392,880640
133,2021-12-27,19:57:50,0.5,ROS_VNF_control,0.0,2084077568,1569325056,24.7,352989184,1280356352,443928576,214671360,31088640,419643392,880640
134,2021-12-27,19:57:50,0.5,ROS_VNF_control,0.0,2084077568,1569325056,24.7,352989184,1280356352,443928576,214671360,31088640,419643392,880640
135,2021-12-27,19:57:51,0.5,ROS_VNF_control,0.0,2084077568,1569325056,24.7,352989184,1280356352,443928576,214671360,31088640,419643392,880640
136,2021-12-27,19:57:51,0.5,ROS_VNF_control,0.0,2084077568,1569325056,24.7,352989184,1280356352,443928576,214671360,31088640,419643392,880640
137,2021-12-27,19:57:52,0.5,ROS_VNF_control,0.0,2084077568,1569325056,24.7,352989184,1280356352,443928576,214671360,31088640,419643392,880640
138,2021-12-27,19:57:52,0.5,ROS_VNF_control,0.0,2084077568,1569325056,24.7,352989184,1280356352,443928576,214671360,31088640,419643392,880640
139,2021-12-27,19:57:53,0.5,ROS_VNF_control,0.0,2084077568,1569325056,24.7,352989184,1280356352,443928576,214671360,31088640,419643392,880640
140,2021-12-27,19:57:53,0.5,ROS_VNF_control,0.0,2084077568,1569325056,24.7,352989184,1280356352,443928576,214671360,31088640,419643392,880640
141,2021-12-27,19:57:54,0.5,ROS_VNF_control,0.0,2084077568,1569325056,24.7,352980992,1280356352,443928576,214671360,31096832,419643392,880640
142,2021-12-27,19:57:54,0.5,ROS_VNF_control,0.0,2084077568,1569325056,24.7,352980992,1280356352,443928576,214671360,31096832,419643392,880640
143,2021-12-27,19:57:55,0.5,ROS_VNF_control,1.0,2084077568,1569325056,24.7,352980992,1280356352,443928576,214671360,31096832,419643392,880640
144,2021-12-27,19:57:55,0.5,ROS_VNF_control,0.0,2084077568,1569325056,24.7,352976896,1280356352,443928576,214671360,31096832,419647488,880640
145,2021-12-27,19:57:56,0.5,ROS_VNF_control,0.0,2084077568,1569325056,24.7,352976896,1280356352,443928576,214671360,31096832,419647488,880640
146,2021-12-27,19:57:56,0.5,ROS_VNF_control,0.0,2084077568,1569325056,24.7,352976896,1280356352,443928576,214671360,31096832,419647488,880640
147,2021-12-27,19:57:57,0.5,ROS_VNF_control,0.0,2084077568,1569325056,24.7,352976896,1280356352,443928576,214671360,31096832,419647488,880640
148,2021-12-27,19:57:57,0.5,ROS_VNF_control,0.0,2084077568,1569325056,24.7,352976896,1280356352,443928576,214671360,31096832,419647488,880640
149,2021-12-27,19:57:58,0.5,ROS_VNF_control,0.0,2084077568,1569325056,24.7,352976896,1280356352,443928576,214671360,31096832,419647488,880640
150,2021-12-27,19:57:58,0.5,ROS_VNF_control,0.0,2084077568,1569325056,24.7,352976896,1280356352,443928576,214671360,31096832,419647488,880640
151,2021-12-27,19:57:59,0.5,ROS_VNF_control,1.0,2084077568,1569325056,24.7,352976896,1280356352,443928576,214671360,31096832,419647488,880640
152,2021-12-27,19:57:59,0.5,ROS_VNF_control,1.0,2084077568,1569325056,24.7,352976896,1280356352,443928576,214671360,31105024,419639296,880640
153,2021-12-27,19:58:00,0.5,ROS_VNF_control,0.0,2084077568,1569325056,24.7,352968704,1280356352,443928576,214671360,31105024,419647488,880640
154,2021-12-27,19:58:00,0.5,ROS_VNF_control,1.0,2084077568,1569325056,24.7,352968704,1280356352,443928576,214671360,31105024,419647488,880640
155,2021-12-27,19:58:01,0.5,ROS_VNF_control,0.0,2084077568,1569325056,24.7,352968704,1280356352,443928576,214671360,31105024,419647488,880640
156,2021-12-27,19:58:01,0.5,ROS_VNF_control,0.0,2084077568,1569325056,24.7,352968704,1280356352,443928576,214671360,31105024,419647488,880640
157,2021-12-27,19:58:02,0.5,ROS_VNF_control,0.0,2084077568,1569325056,24.7,352968704,1280356352,443928576,214671360,31105024,419647488,880640
158,2021-12-27,19:58:02,0.5,ROS_VNF_control,0.0,2084077568,1569325056,24.7,352968704,1280356352,443928576,214671360,31105024,419647488,880640
159,2021-12-27,19:58:03,0.5,ROS_VNF_control,0.0,2084077568,1569325056,24.7,352968704,1280356352,443928576,214671360,31105024,419647488,880640
