iteration,date,time,measurement_period,machine/VNF,sys_cpu,totalmem,availablemem,percentmem,usedmem,freemem,activemem,inactivemem,buffers,cached,shared
0,2022-01-01,23:30:44,0.5,ROS_VNF_control,4.2,2084077568,1080008704,48.2,835534848,776949760,926085120,198959104,31854592,439738368,1085440
1,2022-01-01,23:30:45,0.5,ROS_VNF_control,3.0,2084077568,1080008704,48.2,835534848,776949760,926085120,198959104,31854592,439738368,1085440
2,2022-01-01,23:30:45,0.5,ROS_VNF_control,1.0,2084077568,1080008704,48.2,835534848,776949760,926085120,198959104,31854592,439738368,1085440
3,2022-01-01,23:30:46,0.5,ROS_VNF_control,2.1,2084077568,1080008704,48.2,835522560,776949760,926089216,198959104,31866880,439738368,1085440
4,2022-01-01,23:30:46,0.5,ROS_VNF_control,2.1,2084077568,1080008704,48.2,835522560,776949760,926089216,198959104,31866880,439738368,1085440
5,2022-01-01,23:30:47,0.5,ROS_VNF_control,1.0,2084077568,1080008704,48.2,835522560,776949760,926089216,198959104,31866880,439738368,1085440
6,2022-01-01,23:30:47,0.5,ROS_VNF_control,3.0,2084077568,1089298432,47.7,826232832,786239488,918175744,198959104,31866880,439738368,1085440
7,2022-01-01,23:30:48,0.5,ROS_VNF_control,3.1,2084077568,1089433600,47.7,826109952,786362368,918151168,198959104,31866880,439738368,1085440
8,2022-01-01,23:30:48,0.5,ROS_VNF_control,2.1,2084077568,1089433600,47.7,826109952,786362368,918151168,198959104,31866880,439738368,1085440
9,2022-01-01,23:30:49,0.5,ROS_VNF_control,1.1,2084077568,1089433600,47.7,826109952,786362368,918151168,198959104,31866880,439738368,1085440
10,2022-01-01,23:30:49,0.5,ROS_VNF_control,1.0,2084077568,1089433600,47.7,826109952,786362368,918151168,198959104,31866880,439738368,1085440
11,2022-01-01,23:30:50,0.5,ROS_VNF_control,0.0,2084077568,1089433600,47.7,826109952,786362368,918151168,198959104,31866880,439738368,1085440
12,2022-01-01,23:30:50,0.5,ROS_VNF_control,3.1,2084077568,1089433600,47.7,826109952,786362368,918151168,198959104,31866880,439738368,1085440
13,2022-01-01,23:30:51,0.5,ROS_VNF_control,2.1,2084077568,1089433600,47.7,826109952,786362368,918151168,198959104,31866880,439738368,1085440
14,2022-01-01,23:30:51,0.5,ROS_VNF_control,3.0,2084077568,1089433600,47.7,826109952,786362368,918151168,198959104,31875072,439730176,1085440
15,2022-01-01,23:30:52,0.5,ROS_VNF_control,3.1,2084077568,1089441792,47.7,826101760,786362368,918212608,198959104,31875072,439738368,1085440
16,2022-01-01,23:30:52,0.5,ROS_VNF_control,1.0,2084077568,1089441792,47.7,826101760,786362368,918212608,198959104,31875072,439738368,1085440
17,2022-01-01,23:30:53,0.5,ROS_VNF_control,3.1,2084077568,1089441792,47.7,826101760,786362368,918212608,198959104,31875072,439738368,1085440
18,2022-01-01,23:30:53,0.5,ROS_VNF_control,1.0,2084077568,1089441792,47.7,826101760,786362368,918212608,198959104,31875072,439738368,1085440
19,2022-01-01,23:30:54,0.5,ROS_VNF_control,5.0,2084077568,1089441792,47.7,826101760,786362368,918212608,198959104,31875072,439738368,1085440
20,2022-01-01,23:30:54,0.5,ROS_VNF_control,2.1,2084077568,1089441792,47.7,826101760,786362368,918212608,198959104,31875072,439738368,1085440
21,2022-01-01,23:30:55,0.5,ROS_VNF_control,0.0,2084077568,1089441792,47.7,826101760,786362368,918212608,198959104,31875072,439738368,1085440
22,2022-01-01,23:30:55,0.5,ROS_VNF_control,1.0,2084077568,1089441792,47.7,826101760,786362368,918212608,198959104,31875072,439738368,1085440
23,2022-01-01,23:30:56,0.5,ROS_VNF_control,4.1,2084077568,1089441792,47.7,826101760,786362368,918212608,198959104,31875072,439738368,1085440
24,2022-01-01,23:30:56,0.5,ROS_VNF_control,2.0,2084077568,1089441792,47.7,826101760,786362368,918212608,198959104,31875072,439738368,1085440
25,2022-01-01,23:30:57,0.5,ROS_VNF_control,1.0,2084077568,1089454080,47.7,826093568,786362368,918224896,198971392,31883264,439738368,1085440
26,2022-01-01,23:30:57,0.5,ROS_VNF_control,1.0,2084077568,1089454080,47.7,826093568,786362368,918224896,198971392,31883264,439738368,1085440
27,2022-01-01,23:30:58,0.5,ROS_VNF_control,1.0,2084077568,1089454080,47.7,826093568,786362368,918224896,198971392,31883264,439738368,1085440
28,2022-01-01,23:30:58,0.5,ROS_VNF_control,0.0,2084077568,1089454080,47.7,826093568,786362368,918224896,198971392,31883264,439738368,1085440
29,2022-01-01,23:30:59,0.5,ROS_VNF_control,2.0,2084077568,1089454080,47.7,826089472,786362368,918224896,198971392,31883264,439742464,1085440
30,2022-01-01,23:30:59,0.5,ROS_VNF_control,1.0,2084077568,1089454080,47.7,826089472,786362368,918224896,198971392,31883264,439742464,1085440
31,2022-01-01,23:31:00,0.5,ROS_VNF_control,3.0,2084077568,1089454080,47.7,826089472,786362368,918224896,198971392,31883264,439742464,1085440
32,2022-01-01,23:31:00,0.5,ROS_VNF_control,2.1,2084077568,1089454080,47.7,826089472,786362368,918224896,198971392,31883264,439742464,1085440
33,2022-01-01,23:31:01,0.5,ROS_VNF_control,0.0,2084077568,1089454080,47.7,826089472,786362368,918224896,198971392,31883264,439742464,1085440
34,2022-01-01,23:31:01,0.5,ROS_VNF_control,2.1,2084077568,1089454080,47.7,826089472,786362368,918224896,198971392,31883264,439742464,1085440
35,2022-01-01,23:31:02,0.5,ROS_VNF_control,3.0,2084077568,1089454080,47.7,826089472,786362368,918224896,198971392,31883264,439742464,1085440
36,2022-01-01,23:31:02,0.5,ROS_VNF_control,3.1,2084077568,1089454080,47.7,826081280,786362368,918224896,198971392,31891456,439742464,1085440
37,2022-01-01,23:31:03,0.5,ROS_VNF_control,0.0,2084077568,1089454080,47.7,826081280,786362368,918224896,198971392,31891456,439742464,1085440
38,2022-01-01,23:31:03,0.5,ROS_VNF_control,1.0,2084077568,1089454080,47.7,826081280,786362368,918224896,198971392,31891456,439742464,1085440
39,2022-01-01,23:31:04,0.5,ROS_VNF_control,1.0,2084077568,1089454080,47.7,826081280,786362368,918224896,198971392,31891456,439742464,1085440
40,2022-01-01,23:31:04,0.5,ROS_VNF_control,3.1,2084077568,1089454080,47.7,826081280,786362368,918224896,198971392,31891456,439742464,1085440
41,2022-01-01,23:31:05,0.5,ROS_VNF_control,3.0,2084077568,1089454080,47.7,826081280,786362368,918224896,198971392,31891456,439742464,1085440
42,2022-01-01,23:31:05,0.5,ROS_VNF_control,2.1,2084077568,1089454080,47.7,826081280,786362368,918224896,198971392,31891456,439742464,1085440
43,2022-01-01,23:31:06,0.5,ROS_VNF_control,1.0,2084077568,1089454080,47.7,826081280,786362368,918224896,198971392,31891456,439742464,1085440
44,2022-01-01,23:31:06,0.5,ROS_VNF_control,2.1,2084077568,1089454080,47.7,826081280,786362368,918224896,198971392,31891456,439742464,1085440
45,2022-01-01,23:31:07,0.5,ROS_VNF_control,2.1,2084077568,1089454080,47.7,826081280,786362368,918224896,198971392,31891456,439742464,1085440
46,2022-01-01,23:31:07,0.5,ROS_VNF_control,1.0,2084077568,1089474560,47.7,826081280,786362368,918241280,198975488,31891456,439742464,1085440
47,2022-01-01,23:31:08,0.5,ROS_VNF_control,4.0,2084077568,1089474560,47.7,826073088,786362368,918241280,198975488,31899648,439742464,1085440
48,2022-01-01,23:31:08,0.5,ROS_VNF_control,3.0,2084077568,1089474560,47.7,826073088,786362368,918241280,198975488,31899648,439742464,1085440
49,2022-01-01,23:31:09,0.5,ROS_VNF_control,3.0,2084077568,1089474560,47.7,826073088,786362368,918241280,198975488,31899648,439742464,1085440
50,2022-01-01,23:31:09,0.5,ROS_VNF_control,0.0,2084077568,1089810432,47.7,826073088,786362368,917934080,199303168,31899648,439742464,1085440
51,2022-01-01,23:31:10,0.5,ROS_VNF_control,2.0,2084077568,1089810432,47.7,826073088,786362368,917934080,199303168,31899648,439742464,1085440
52,2022-01-01,23:31:10,0.5,ROS_VNF_control,3.0,2084077568,1089810432,47.7,826073088,786362368,917934080,199303168,31899648,439742464,1085440
53,2022-01-01,23:31:11,0.5,ROS_VNF_control,3.0,2084077568,1089810432,47.7,826073088,786362368,917934080,199303168,31899648,439742464,1085440
54,2022-01-01,23:31:11,0.5,ROS_VNF_control,2.1,2084077568,1089810432,47.7,826073088,786362368,917934080,199303168,31899648,439742464,1085440
55,2022-01-01,23:31:12,0.5,ROS_VNF_control,1.0,2084077568,1089810432,47.7,826073088,786362368,917934080,199303168,31899648,439742464,1085440
56,2022-01-01,23:31:12,0.5,ROS_VNF_control,4.0,2084077568,1089810432,47.7,826073088,786362368,917934080,199303168,31899648,439742464,1085440
57,2022-01-01,23:31:13,0.5,ROS_VNF_control,2.0,2084077568,1089810432,47.7,826073088,786362368,917934080,199303168,31899648,439742464,1085440
58,2022-01-01,23:31:13,0.5,ROS_VNF_control,3.0,2084077568,1089810432,47.7,826060800,786362368,917934080,199303168,31907840,439746560,1085440
59,2022-01-01,23:31:14,0.5,ROS_VNF_control,4.0,2084077568,1089810432,47.7,826060800,786362368,917934080,199303168,31907840,439746560,1085440
60,2022-01-01,23:31:14,0.5,ROS_VNF_control,2.1,2084077568,1089810432,47.7,826060800,786362368,917934080,199303168,31907840,439746560,1085440
61,2022-01-01,23:31:15,0.5,ROS_VNF_control,2.1,2084077568,1089810432,47.7,826060800,786362368,917934080,199303168,31907840,439746560,1085440
62,2022-01-01,23:31:15,0.5,ROS_VNF_control,3.0,2084077568,1089810432,47.7,826060800,786362368,917934080,199303168,31907840,439746560,1085440
63,2022-01-01,23:31:16,0.5,ROS_VNF_control,2.1,2084077568,1089810432,47.7,826060800,786362368,917934080,199303168,31907840,439746560,1085440
64,2022-01-01,23:31:16,0.5,ROS_VNF_control,2.0,2084077568,1089810432,47.7,826060800,786362368,917934080,199303168,31907840,439746560,1085440
65,2022-01-01,23:31:17,0.5,ROS_VNF_control,2.1,2084077568,1089810432,47.7,826060800,786362368,917934080,199303168,31907840,439746560,1085440
