iteration,date,time,measurement_period,machine/VNF,sys_cpu,totalmem,availablemem,percentmem,usedmem,freemem,activemem,inactivemem,buffers,cached,shared
0,2022-01-01,22:07:09,0.5,ROS_VNF_state,16.8,2084077568,1610240000,22.7,312606720,1309663232,427261952,210374656,31019008,430788608,921600
1,2022-01-01,22:07:10,0.5,ROS_VNF_state,1.1,2084077568,1610207232,22.7,312639488,1309630464,427261952,210374656,31019008,430788608,921600
2,2022-01-01,22:07:10,0.5,ROS_VNF_state,1.1,2084077568,1610207232,22.7,312639488,1309630464,427261952,210374656,31019008,430788608,921600
3,2022-01-01,22:07:11,0.5,ROS_VNF_state,1.1,2084077568,1610207232,22.7,312639488,1309630464,427261952,210374656,31019008,430788608,921600
4,2022-01-01,22:07:11,0.5,ROS_VNF_state,3.3,2084077568,1610174464,22.7,312672256,1309597696,427261952,210374656,31019008,430788608,921600
5,2022-01-01,22:07:12,0.5,ROS_VNF_state,5.3,2084077568,1610207232,22.7,312639488,1309630464,427261952,210374656,31019008,430788608,921600
6,2022-01-01,22:07:12,0.5,ROS_VNF_state,5.6,2084077568,1619689472,22.3,303173632,1319124992,419217408,210374656,31027200,430751744,921600
7,2022-01-01,22:07:13,0.5,ROS_VNF_state,4.3,2084077568,1619689472,22.3,303173632,1319124992,419217408,210374656,31027200,430751744,921600
8,2022-01-01,22:07:13,0.5,ROS_VNF_state,4.3,2084077568,1619771392,22.3,303091712,1319198720,419192832,210374656,31027200,430759936,921600
9,2022-01-01,22:07:14,0.5,ROS_VNF_state,3.3,2084077568,1619771392,22.3,303091712,1319198720,419192832,210374656,31027200,430759936,921600
10,2022-01-01,22:07:14,0.5,ROS_VNF_state,4.3,2084077568,1619804160,22.3,303058944,1319231488,419192832,210374656,31027200,430759936,921600
11,2022-01-01,22:07:15,0.5,ROS_VNF_state,4.3,2084077568,1619902464,22.3,302960640,1319329792,419192832,210374656,31027200,430759936,921600
12,2022-01-01,22:07:15,0.5,ROS_VNF_state,4.3,2084077568,1619771392,22.3,303091712,1319198720,419192832,210374656,31027200,430759936,921600
13,2022-01-01,22:07:16,0.5,ROS_VNF_state,2.2,2084077568,1619804160,22.3,303058944,1319231488,419192832,210374656,31027200,430759936,921600
14,2022-01-01,22:07:16,0.5,ROS_VNF_state,2.2,2084077568,1619836928,22.3,303026176,1319264256,419192832,210374656,31027200,430759936,921600
15,2022-01-01,22:07:17,0.5,ROS_VNF_state,0.0,2084077568,1619869696,22.3,302993408,1319297024,419192832,210374656,31027200,430759936,921600
16,2022-01-01,22:07:17,0.5,ROS_VNF_state,1.1,2084077568,1619836928,22.3,303026176,1319264256,419192832,210374656,31027200,430759936,921600
17,2022-01-01,22:07:18,0.5,ROS_VNF_state,2.2,2084077568,1619804160,22.3,303050752,1319231488,419192832,210374656,31035392,430759936,921600
18,2022-01-01,22:07:18,0.5,ROS_VNF_state,8.2,2084077568,1619705856,22.3,303149056,1319133184,419192832,210374656,31035392,430759936,921600
19,2022-01-01,22:07:19,0.5,ROS_VNF_state,6.4,2084077568,1619705856,22.3,303149056,1319133184,419192832,210374656,31035392,430759936,921600
20,2022-01-01,22:07:19,0.5,ROS_VNF_state,8.2,2084077568,1619673088,22.3,303181824,1319100416,419192832,210374656,31035392,430759936,921600
21,2022-01-01,22:07:20,0.5,ROS_VNF_state,2.2,2084077568,1619673088,22.3,303181824,1319100416,419192832,210374656,31035392,430759936,921600
22,2022-01-01,22:07:20,0.5,ROS_VNF_state,4.3,2084077568,1619640320,22.3,303214592,1319067648,419192832,210374656,31035392,430759936,921600
23,2022-01-01,22:07:21,0.5,ROS_VNF_state,0.0,2084077568,1619673088,22.3,303181824,1319100416,419192832,210374656,31035392,430759936,921600
24,2022-01-01,22:07:21,0.5,ROS_VNF_state,1.1,2084077568,1619746816,22.3,303116288,1319165952,419254272,210374656,31035392,430759936,921600
25,2022-01-01,22:07:22,0.5,ROS_VNF_state,2.2,2084077568,1619746816,22.3,303116288,1319165952,419254272,210374656,31035392,430759936,921600
26,2022-01-01,22:07:22,0.5,ROS_VNF_state,5.3,2084077568,1619845120,22.3,303017984,1319264256,419254272,210374656,31035392,430759936,921600
27,2022-01-01,22:07:23,0.5,ROS_VNF_state,6.2,2084077568,1619746816,22.3,303116288,1319165952,419254272,210374656,31035392,430759936,921600
28,2022-01-01,22:07:23,0.5,ROS_VNF_state,3.3,2084077568,1619714048,22.3,303140864,1319133184,419254272,210374656,31043584,430759936,921600
29,2022-01-01,22:07:24,0.5,ROS_VNF_state,1.1,2084077568,1619456000,22.3,303398912,1318875136,419254272,210374656,31043584,430759936,921600
30,2022-01-01,22:07:24,0.5,ROS_VNF_state,1.1,2084077568,1619681280,22.3,303165440,1319100416,419254272,210374656,31043584,430768128,921600
31,2022-01-01,22:07:25,0.5,ROS_VNF_state,3.2,2084077568,1619746816,22.3,303099904,1319165952,419254272,210374656,31043584,430768128,921600
32,2022-01-01,22:07:25,0.5,ROS_VNF_state,7.4,2084077568,1619714048,22.3,303132672,1319133184,419254272,210374656,31043584,430768128,921600
33,2022-01-01,22:07:26,0.5,ROS_VNF_state,5.3,2084077568,1619812352,22.3,303034368,1319231488,419254272,210374656,31043584,430768128,921600
