iteration,date,time,measurement_period,machine/VNF,sys_cpu,totalmem,availablemem,percentmem,usedmem,freemem,activemem,inactivemem,buffers,cached,shared
0,2022-01-02,10:51:22,0.5,ROS_VNF_state,12.2,2084077568,1244831744,40.3,670441472,924626944,764682240,210452480,33210368,455798784,1339392
1,2022-01-02,10:51:23,0.5,ROS_VNF_state,22.4,2084077568,1244733440,40.3,670539776,924528640,764682240,210452480,33210368,455798784,1339392
2,2022-01-02,10:51:23,0.5,ROS_VNF_state,12.4,2084077568,1244815360,40.3,670457856,924610560,764682240,210452480,33210368,455798784,1339392
3,2022-01-02,10:51:24,0.5,ROS_VNF_state,17.5,2084077568,1244782592,40.3,670490624,924577792,764682240,210452480,33210368,455798784,1339392
4,2022-01-02,10:51:24,0.5,ROS_VNF_state,19.0,2084077568,1244848128,40.3,670425088,924643328,764682240,210452480,33210368,455798784,1339392
5,2022-01-02,10:51:25,0.5,ROS_VNF_state,3.6,2084077568,1244971008,40.3,670306304,924749824,764788736,210460672,33222656,455798784,1339392
6,2022-01-02,10:51:25,0.5,ROS_VNF_state,14.7,2084077568,1244905472,40.3,670371840,924684288,764788736,210460672,33222656,455798784,1339392
7,2022-01-02,10:51:26,0.5,ROS_VNF_state,9.1,2084077568,1253908480,39.8,661385216,933699584,756428800,210456576,33222656,455770112,1339392
8,2022-01-02,10:51:26,0.5,ROS_VNF_state,5.8,2084077568,1253908480,39.8,661385216,933699584,756428800,210456576,33222656,455770112,1339392
9,2022-01-02,10:51:27,0.5,ROS_VNF_state,15.6,2084077568,1253916672,39.8,661377024,933707776,756428800,210456576,33222656,455770112,1339392
10,2022-01-02,10:51:27,0.5,ROS_VNF_state,8.9,2084077568,1253974016,39.8,661319680,933765120,756428800,210456576,33222656,455770112,1339392
11,2022-01-02,10:51:28,0.5,ROS_VNF_state,6.9,2084077568,1254080512,39.8,661213184,933871616,756428800,210456576,33222656,455770112,1339392
12,2022-01-02,10:51:28,0.5,ROS_VNF_state,5.7,2084077568,1254080512,39.8,661213184,933871616,756428800,210456576,33222656,455770112,1339392
