iteration,date,time,measurement_period,machine/VNF,sys_cpu,totalmem,availablemem,percentmem,usedmem,freemem,activemem,inactivemem,buffers,cached,shared
0,2022-01-01,19:44:00,0.5,ROS_VNF_state,16.5,2084077568,1672146944,19.8,252010496,1370095616,360509440,224972800,34082816,427888640,847872
1,2022-01-01,19:44:00,0.5,ROS_VNF_state,2.1,2084077568,1672146944,19.8,252010496,1370095616,360509440,224972800,34082816,427888640,847872
2,2022-01-01,19:44:01,0.5,ROS_VNF_state,1.0,2084077568,1672146944,19.8,252010496,1370095616,360509440,224972800,34082816,427888640,847872
3,2022-01-01,19:44:01,0.5,ROS_VNF_state,5.1,2084077568,1672179712,19.8,251977728,1370128384,360509440,224972800,34082816,427888640,847872
4,2022-01-01,19:44:02,0.5,ROS_VNF_state,3.1,2084077568,1672146944,19.8,252010496,1370095616,360509440,224972800,34082816,427888640,847872
5,2022-01-01,19:44:02,0.5,ROS_VNF_state,1.0,2084077568,1672146944,19.8,252010496,1370095616,360509440,224972800,34082816,427888640,847872
6,2022-01-01,19:44:03,0.5,ROS_VNF_state,1.0,2084077568,1672146944,19.8,252010496,1370095616,360509440,224972800,34082816,427888640,847872
7,2022-01-01,19:44:03,0.5,ROS_VNF_state,7.1,2084077568,1679769600,19.4,244387840,1377718272,353239040,224972800,34082816,427888640,847872
8,2022-01-01,19:44:04,0.5,ROS_VNF_state,4.1,2084077568,1679736832,19.4,244420608,1377685504,353239040,224972800,34082816,427888640,847872
9,2022-01-01,19:44:04,0.5,ROS_VNF_state,4.1,2084077568,1679769600,19.4,244387840,1377718272,353239040,224972800,34082816,427888640,847872
10,2022-01-01,19:44:05,0.5,ROS_VNF_state,0.0,2084077568,1679769600,19.4,244387840,1377718272,353239040,224972800,34091008,427880448,847872
11,2022-01-01,19:44:05,0.5,ROS_VNF_state,3.1,2084077568,1679769600,19.4,244379648,1377718272,353239040,224972800,34091008,427888640,847872
12,2022-01-01,19:44:06,0.5,ROS_VNF_state,1.1,2084077568,1679769600,19.4,244379648,1377718272,353239040,224972800,34091008,427888640,847872
13,2022-01-01,19:44:06,0.5,ROS_VNF_state,3.1,2084077568,1679704064,19.4,244445184,1377652736,353239040,224972800,34091008,427888640,847872
14,2022-01-01,19:44:07,0.5,ROS_VNF_state,3.1,2084077568,1679704064,19.4,244445184,1377652736,353239040,224972800,34091008,427888640,847872
15,2022-01-01,19:44:07,0.5,ROS_VNF_state,1.1,2084077568,1679704064,19.4,244445184,1377652736,353239040,224972800,34091008,427888640,847872
16,2022-01-01,19:44:08,0.5,ROS_VNF_state,7.9,2084077568,1679736832,19.4,244412416,1377685504,353239040,224972800,34091008,427888640,847872
17,2022-01-01,19:44:08,0.5,ROS_VNF_state,4.1,2084077568,1679736832,19.4,244412416,1377685504,353239040,224972800,34091008,427888640,847872
18,2022-01-01,19:44:09,0.5,ROS_VNF_state,2.1,2084077568,1679736832,19.4,244412416,1377685504,353239040,224972800,34091008,427888640,847872
19,2022-01-01,19:44:09,0.5,ROS_VNF_state,3.1,2084077568,1679671296,19.4,244477952,1377619968,353239040,224972800,34091008,427888640,847872
20,2022-01-01,19:44:10,0.5,ROS_VNF_state,1.0,2084077568,1679638528,19.4,244510720,1377587200,353239040,224972800,34091008,427888640,847872
21,2022-01-01,19:44:10,0.5,ROS_VNF_state,1.1,2084077568,1679605760,19.4,244535296,1377554432,353239040,224972800,34099200,427888640,847872
22,2022-01-01,19:44:11,0.5,ROS_VNF_state,3.1,2084077568,1679605760,19.4,244535296,1377554432,353239040,224972800,34099200,427888640,847872
23,2022-01-01,19:44:11,0.5,ROS_VNF_state,2.1,2084077568,1679572992,19.4,244568064,1377521664,353239040,224972800,34099200,427888640,847872
24,2022-01-01,19:44:12,0.5,ROS_VNF_state,3.1,2084077568,1679572992,19.4,244568064,1377521664,353239040,224972800,34099200,427888640,847872
25,2022-01-01,19:44:12,0.5,ROS_VNF_state,2.1,2084077568,1679671296,19.4,244469760,1377619968,353239040,224972800,34099200,427888640,847872
26,2022-01-01,19:44:13,0.5,ROS_VNF_state,1.0,2084077568,1679638528,19.4,244502528,1377587200,353239040,224972800,34099200,427888640,847872
27,2022-01-01,19:44:13,0.5,ROS_VNF_state,4.0,2084077568,1679704064,19.4,244436992,1377652736,353239040,224972800,34099200,427888640,847872
28,2022-01-01,19:44:14,0.5,ROS_VNF_state,1.1,2084077568,1679704064,19.4,244436992,1377652736,353239040,224972800,34099200,427888640,847872
29,2022-01-01,19:44:14,0.5,ROS_VNF_state,6.0,2084077568,1679085568,19.4,245051392,1377030144,353726464,224976896,34099200,427896832,847872
30,2022-01-01,19:44:15,0.5,ROS_VNF_state,2.1,2084077568,1679085568,19.4,245051392,1377030144,353726464,224976896,34099200,427896832,847872
31,2022-01-01,19:44:15,0.5,ROS_VNF_state,2.1,2084077568,1679118336,19.4,245018624,1377062912,353726464,224976896,34099200,427896832,847872
32,2022-01-01,19:44:16,0.5,ROS_VNF_state,4.1,2084077568,1679118336,19.4,245018624,1377062912,353726464,224976896,34107392,427888640,847872
33,2022-01-01,19:44:16,0.5,ROS_VNF_state,2.1,2084077568,1679118336,19.4,245010432,1377062912,353726464,224976896,34107392,427896832,847872
34,2022-01-01,19:44:17,0.5,ROS_VNF_state,2.0,2084077568,1679118336,19.4,245010432,1377062912,353726464,224976896,34107392,427896832,847872
35,2022-01-01,19:44:17,0.5,ROS_VNF_state,3.1,2084077568,1679708160,19.4,244420608,1377652736,353247232,224976896,34107392,427896832,847872
36,2022-01-01,19:44:18,0.5,ROS_VNF_state,5.1,2084077568,1679708160,19.4,244420608,1377652736,353247232,224976896,34107392,427896832,847872
37,2022-01-01,19:44:18,0.5,ROS_VNF_state,3.1,2084077568,1679577088,19.4,244551680,1377521664,353247232,224976896,34107392,427896832,847872
38,2022-01-01,19:44:19,0.5,ROS_VNF_state,1.0,2084077568,1679642624,19.4,244486144,1377587200,353247232,224976896,34107392,427896832,847872
39,2022-01-01,19:44:19,0.5,ROS_VNF_state,0.0,2084077568,1679642624,19.4,244486144,1377587200,353247232,224976896,34107392,427896832,847872
40,2022-01-01,19:44:20,0.5,ROS_VNF_state,2.1,2084077568,1679642624,19.4,244486144,1377587200,353247232,224976896,34107392,427896832,847872
41,2022-01-01,19:44:20,0.5,ROS_VNF_state,2.1,2084077568,1679609856,19.4,244518912,1377554432,353247232,224976896,34107392,427896832,847872
42,2022-01-01,19:44:21,0.5,ROS_VNF_state,1.1,2084077568,1679708160,19.4,244420608,1377652736,353247232,224976896,34107392,427896832,847872
43,2022-01-01,19:44:21,0.5,ROS_VNF_state,1.0,2084077568,1679708160,19.4,244412416,1377652736,353247232,224976896,34115584,427896832,847872
44,2022-01-01,19:44:22,0.5,ROS_VNF_state,2.1,2084077568,1679740928,19.4,244379648,1377685504,353247232,224976896,34115584,427896832,847872
45,2022-01-01,19:44:22,0.5,ROS_VNF_state,4.1,2084077568,1679675392,19.4,244445184,1377619968,353247232,224976896,34115584,427896832,847872
46,2022-01-01,19:44:23,0.5,ROS_VNF_state,4.0,2084077568,1679675392,19.4,244445184,1377619968,353247232,224976896,34115584,427896832,847872
47,2022-01-01,19:44:23,0.5,ROS_VNF_state,2.0,2084077568,1679675392,19.4,244445184,1377619968,353247232,224976896,34115584,427896832,847872
48,2022-01-01,19:44:24,0.5,ROS_VNF_state,0.0,2084077568,1679675392,19.4,244445184,1377619968,353247232,224976896,34115584,427896832,847872
49,2022-01-01,19:44:24,0.5,ROS_VNF_state,4.1,2084077568,1679544320,19.4,244576256,1377488896,353247232,224976896,34115584,427896832,847872
50,2022-01-01,19:44:25,0.5,ROS_VNF_state,2.1,2084077568,1679577088,19.4,244543488,1377521664,353247232,224976896,34115584,427896832,847872
51,2022-01-01,19:44:25,0.5,ROS_VNF_state,4.1,2084077568,1679642624,19.4,244477952,1377587200,353247232,224976896,34115584,427896832,847872
52,2022-01-01,19:44:26,0.5,ROS_VNF_state,2.1,2084077568,1679708160,19.4,244412416,1377652736,353247232,224976896,34115584,427896832,847872
53,2022-01-01,19:44:26,0.5,ROS_VNF_state,0.0,2084077568,1679609856,19.4,244510720,1377554432,353247232,224976896,34115584,427896832,847872
54,2022-01-01,19:44:27,0.5,ROS_VNF_state,1.0,2084077568,1679609856,19.4,244502528,1377554432,353247232,224976896,34123776,427896832,847872
55,2022-01-01,19:44:27,0.5,ROS_VNF_state,3.1,2084077568,1679675392,19.4,244436992,1377619968,353247232,224976896,34123776,427896832,847872
56,2022-01-01,19:44:28,0.5,ROS_VNF_state,7.3,2084077568,1679609856,19.4,244502528,1377554432,353247232,224976896,34123776,427896832,847872
57,2022-01-01,19:44:28,0.5,ROS_VNF_state,1.1,2084077568,1679642624,19.4,244469760,1377587200,353247232,224976896,34123776,427896832,847872
58,2022-01-01,19:44:29,0.5,ROS_VNF_state,6.0,2084077568,1679642624,19.4,244465664,1377587200,353247232,224976896,34123776,427900928,847872
59,2022-01-01,19:44:29,0.5,ROS_VNF_state,1.0,2084077568,1679716352,19.4,244432896,1377619968,353288192,224976896,34123776,427900928,847872
60,2022-01-01,19:44:30,0.5,ROS_VNF_state,1.1,2084077568,1679683584,19.4,244465664,1377587200,353288192,224976896,34123776,427900928,847872
61,2022-01-01,19:44:30,0.5,ROS_VNF_state,5.1,2084077568,1679585280,19.4,244563968,1377488896,353288192,224976896,34123776,427900928,847872
62,2022-01-01,19:44:31,0.5,ROS_VNF_state,3.1,2084077568,1679650816,19.4,244498432,1377554432,353288192,224976896,34123776,427900928,847872
63,2022-01-01,19:44:31,0.5,ROS_VNF_state,0.0,2084077568,1679585280,19.4,244563968,1377488896,353288192,224976896,34123776,427900928,847872
64,2022-01-01,19:44:32,0.5,ROS_VNF_state,5.1,2084077568,1679650816,19.4,244498432,1377554432,353288192,224976896,34123776,427900928,847872
65,2022-01-01,19:44:32,0.5,ROS_VNF_state,4.0,2084077568,1679650816,19.4,244490240,1377554432,353288192,224976896,34131968,427900928,847872
66,2022-01-01,19:44:33,0.5,ROS_VNF_state,3.1,2084077568,1679683584,19.4,244457472,1377587200,353288192,224976896,34131968,427900928,847872
67,2022-01-01,19:44:33,0.5,ROS_VNF_state,3.1,2084077568,1679659008,19.4,244490240,1377554432,353296384,224976896,34131968,427900928,847872
68,2022-01-01,19:44:34,0.5,ROS_VNF_state,0.0,2084077568,1679659008,19.4,244490240,1377554432,353296384,224976896,34131968,427900928,847872
69,2022-01-01,19:44:34,0.5,ROS_VNF_state,2.1,2084077568,1679691776,19.4,244457472,1377587200,353296384,224976896,34131968,427900928,847872
70,2022-01-01,19:44:35,0.5,ROS_VNF_state,1.1,2084077568,1679691776,19.4,244457472,1377587200,353296384,224976896,34131968,427900928,847872
71,2022-01-01,19:44:35,0.5,ROS_VNF_state,2.1,2084077568,1679659008,19.4,244490240,1377554432,353296384,224976896,34131968,427900928,847872
72,2022-01-01,19:44:36,0.5,ROS_VNF_state,0.0,2084077568,1679724544,19.4,244424704,1377619968,353296384,224976896,34131968,427900928,847872
73,2022-01-01,19:44:36,0.5,ROS_VNF_state,3.1,2084077568,1679691776,19.4,244457472,1377587200,353296384,224976896,34131968,427900928,847872
74,2022-01-01,19:44:37,0.5,ROS_VNF_state,1.1,2084077568,1679790080,19.4,244359168,1377685504,353296384,224976896,34131968,427900928,847872
