iteration,date,time,measurement_period,machine/VNF,sys_cpu,totalmem,availablemem,percentmem,usedmem,freemem,activemem,inactivemem,buffers,cached,shared
0,2021-12-28,02:34:55,0.5,ROS_VNF_state,9.9,2084077568,1488732160,28.6,433516544,1177427968,540495872,213385216,32133120,440999936,1060864
1,2021-12-28,02:34:55,0.5,ROS_VNF_state,4.4,2084077568,1488814080,28.6,433434624,1177509888,540495872,213385216,32133120,440999936,1060864
2,2021-12-28,02:34:56,0.5,ROS_VNF_state,1.1,2084077568,1488805888,28.6,433442816,1177501696,540495872,213385216,32133120,440999936,1060864
3,2021-12-28,02:34:56,0.5,ROS_VNF_state,10.2,2084077568,1488904192,28.6,433344512,1177600000,540495872,213385216,32133120,440999936,1060864
4,2021-12-28,02:34:57,0.5,ROS_VNF_state,13.2,2084077568,1488740352,28.6,433508352,1177436160,540495872,213385216,32133120,440999936,1060864
5,2021-12-28,02:34:57,0.5,ROS_VNF_state,10.2,2084077568,1496547328,28.2,425709568,1185234944,532221952,213393408,32133120,440999936,1060864
6,2021-12-28,02:34:58,0.5,ROS_VNF_state,8.0,2084077568,1496694784,28.2,425562112,1185382400,532221952,213393408,32133120,440999936,1060864
7,2021-12-28,02:34:58,0.5,ROS_VNF_state,8.0,2084077568,1496702976,28.2,425545728,1185390592,532221952,213393408,32141312,440999936,1060864
8,2021-12-28,02:34:59,0.5,ROS_VNF_state,12.9,2084077568,1496678400,28.2,425570304,1185366016,532221952,213393408,32141312,440999936,1060864
9,2021-12-28,02:34:59,0.5,ROS_VNF_state,5.7,2084077568,1496588288,28.2,425660416,1185275904,532221952,213393408,32141312,440999936,1060864
10,2021-12-28,02:35:00,0.5,ROS_VNF_state,5.8,2084077568,1496670208,28.2,425578496,1185357824,532221952,213393408,32141312,440999936,1060864
11,2021-12-28,02:35:00,0.5,ROS_VNF_state,5.8,2084077568,1496727552,28.2,425521152,1185415168,532221952,213393408,32141312,440999936,1060864
12,2021-12-28,02:35:01,0.5,ROS_VNF_state,3.6,2084077568,1496670208,28.2,425578496,1185357824,532221952,213393408,32141312,440999936,1060864
13,2021-12-28,02:35:01,0.5,ROS_VNF_state,0.0,2084077568,1496580096,28.2,425668608,1185267712,532221952,213393408,32141312,440999936,1060864
14,2021-12-28,02:35:02,0.5,ROS_VNF_state,4.7,2084077568,1496711168,28.2,425537536,1185398784,532221952,213393408,32141312,440999936,1060864
15,2021-12-28,02:35:02,0.5,ROS_VNF_state,11.0,2084077568,1496670208,28.2,425578496,1185357824,532221952,213393408,32141312,440999936,1060864
16,2021-12-28,02:35:03,0.5,ROS_VNF_state,13.8,2084077568,1496539136,28.2,425709568,1185226752,532221952,213393408,32141312,440999936,1060864
17,2021-12-28,02:35:03,0.5,ROS_VNF_state,12.9,2084077568,1496604672,28.2,425644032,1185292288,532221952,213393408,32141312,440999936,1060864
18,2021-12-28,02:35:04,0.5,ROS_VNF_state,20.0,2084077568,1496637440,28.2,425611264,1185325056,532221952,213393408,32149504,440991744,1060864
19,2021-12-28,02:35:04,0.5,ROS_VNF_state,12.9,2084077568,1496645632,28.2,425603072,1185333248,532221952,213393408,32149504,440991744,1060864
