iteration,date,time,measurement_period,machine/VNF,sys_cpu,totalmem,availablemem,percentmem,usedmem,freemem,activemem,inactivemem,buffers,cached,shared
0,2021-12-29,17:11:43,0.2,ROS_VNF_state,0.0,2084077568,1752006656,15.9,177299456,1584824320,171524096,222408704,20004864,301948928,774144
1,2021-12-29,17:11:43,0.2,ROS_VNF_state,0.0,2084077568,1752006656,15.9,177299456,1584824320,171524096,222408704,20004864,301948928,774144
2,2021-12-29,17:11:44,0.2,ROS_VNF_state,0.0,2084077568,1752006656,15.9,177299456,1584824320,171524096,222408704,20004864,301948928,774144
3,2021-12-29,17:11:44,0.2,ROS_VNF_state,0.0,2084077568,1752006656,15.9,177299456,1584824320,171524096,222408704,20004864,301948928,774144
4,2021-12-29,17:11:44,0.2,ROS_VNF_state,0.0,2084077568,1752006656,15.9,177299456,1584824320,171524096,222408704,20004864,301948928,774144
5,2021-12-29,17:11:44,0.2,ROS_VNF_state,0.0,2084077568,1752006656,15.9,177299456,1584824320,171524096,222408704,20004864,301948928,774144
6,2021-12-29,17:11:44,0.2,ROS_VNF_state,0.0,2084077568,1752006656,15.9,177299456,1584824320,171524096,222408704,20004864,301948928,774144
7,2021-12-29,17:11:45,0.2,ROS_VNF_state,0.0,2084077568,1752006656,15.9,177299456,1584824320,171524096,222408704,20004864,301948928,774144
8,2021-12-29,17:11:45,0.2,ROS_VNF_state,0.0,2084077568,1752006656,15.9,177299456,1584824320,171524096,222408704,20004864,301948928,774144
9,2021-12-29,17:11:45,0.2,ROS_VNF_state,0.0,2084077568,1752006656,15.9,177299456,1584824320,171094016,222408704,20004864,301948928,774144
10,2021-12-29,17:11:45,0.2,ROS_VNF_state,0.0,2084077568,1752023040,15.9,177291264,1584832512,171016192,222416896,20004864,301948928,774144
11,2021-12-29,17:11:45,0.2,ROS_VNF_state,0.0,2084077568,1752023040,15.9,177291264,1584832512,171016192,222416896,20004864,301948928,774144
12,2021-12-29,17:11:46,0.2,ROS_VNF_state,0.0,2084077568,1752023040,15.9,177291264,1584832512,171016192,222416896,20004864,301948928,774144
13,2021-12-29,17:11:46,0.2,ROS_VNF_state,0.0,2084077568,1752023040,15.9,177291264,1584832512,171016192,222416896,20004864,301948928,774144
14,2021-12-29,17:11:46,0.2,ROS_VNF_state,0.0,2084077568,1752023040,15.9,177291264,1584832512,171016192,222416896,20004864,301948928,774144
15,2021-12-29,17:11:46,0.2,ROS_VNF_state,0.0,2084077568,1752023040,15.9,177291264,1584832512,171016192,222416896,20013056,301940736,774144
16,2021-12-29,17:11:46,0.2,ROS_VNF_state,0.0,2084077568,1752023040,15.9,177283072,1584832512,171016192,222416896,20013056,301948928,774144
17,2021-12-29,17:11:47,0.2,ROS_VNF_state,0.0,2084077568,1752023040,15.9,177283072,1584832512,171016192,222416896,20013056,301948928,774144
18,2021-12-29,17:11:47,0.2,ROS_VNF_state,0.0,2084077568,1752023040,15.9,177283072,1584832512,171016192,222416896,20013056,301948928,774144
19,2021-12-29,17:11:47,0.2,ROS_VNF_state,2.4,2084077568,1752023040,15.9,177283072,1584832512,171016192,222416896,20013056,301948928,774144
20,2021-12-29,17:11:47,0.2,ROS_VNF_state,0.0,2084077568,1752023040,15.9,177283072,1584832512,171016192,222416896,20013056,301948928,774144
21,2021-12-29,17:11:47,0.2,ROS_VNF_state,0.0,2084077568,1752023040,15.9,177283072,1584832512,171016192,222416896,20013056,301948928,774144
22,2021-12-29,17:11:48,0.2,ROS_VNF_state,0.0,2084077568,1752023040,15.9,177283072,1584832512,171016192,222416896,20013056,301948928,774144
23,2021-12-29,17:11:48,0.2,ROS_VNF_state,0.0,2084077568,1752023040,15.9,177283072,1584832512,171016192,222416896,20013056,301948928,774144
24,2021-12-29,17:11:48,0.2,ROS_VNF_state,0.0,2084077568,1752023040,15.9,177283072,1584832512,171016192,222416896,20013056,301948928,774144
25,2021-12-29,17:11:48,0.2,ROS_VNF_state,0.0,2084077568,1752023040,15.9,177283072,1584832512,171016192,222416896,20013056,301948928,774144
26,2021-12-29,17:11:48,0.2,ROS_VNF_state,0.0,2084077568,1752023040,15.9,177283072,1584832512,171016192,222416896,20013056,301948928,774144
27,2021-12-29,17:11:49,0.2,ROS_VNF_state,0.0,2084077568,1752023040,15.9,177283072,1584832512,171016192,222416896,20013056,301948928,774144
28,2021-12-29,17:11:49,0.2,ROS_VNF_state,0.0,2084077568,1752023040,15.9,177283072,1584832512,171016192,222416896,20013056,301948928,774144
