iteration,date,time,measurement_period,machine/VNF,sys_cpu,totalmem,availablemem,percentmem,usedmem,freemem,activemem,inactivemem,buffers,cached,shared
0,2022-01-02,04:55:31,0.5,ROS_VNF_motionplanning,22.2,2084077568,1307631616,37.3,609968128,960573440,703107072,242065408,35143680,478392320,1196032
1,2022-01-02,04:55:32,0.5,ROS_VNF_motionplanning,26.8,2084077568,1307533312,37.3,610066432,960475136,703107072,242065408,35143680,478392320,1196032
2,2022-01-02,04:55:32,0.5,ROS_VNF_motionplanning,16.5,2084077568,1307533312,37.3,610066432,960475136,703131648,242065408,35143680,478392320,1196032
3,2022-01-02,04:55:33,0.5,ROS_VNF_motionplanning,10.5,2084077568,1307631616,37.3,609968128,960573440,703156224,242065408,35143680,478392320,1196032
4,2022-01-02,04:55:33,0.5,ROS_VNF_motionplanning,10.3,2084077568,1307729920,37.3,609869824,960671744,703156224,242065408,35143680,478392320,1196032
5,2022-01-02,04:55:34,0.5,ROS_VNF_motionplanning,12.6,2084077568,1307631616,37.3,609968128,960573440,703156224,242065408,35143680,478392320,1196032
6,2022-01-02,04:55:34,0.5,ROS_VNF_motionplanning,22.9,2084077568,1317670912,36.8,599928832,970600448,694730752,242065408,35151872,478396416,1196032
7,2022-01-02,04:55:35,0.5,ROS_VNF_motionplanning,41.9,2084077568,1317605376,36.8,599994368,970534912,694730752,242065408,35151872,478396416,1196032
8,2022-01-02,04:55:35,0.5,ROS_VNF_motionplanning,59.3,2084077568,1317638144,36.8,599961600,970567680,694738944,242065408,35151872,478396416,1196032
9,2022-01-02,04:55:36,0.5,ROS_VNF_motionplanning,14.3,2084077568,1317703680,36.8,599896064,970633216,694771712,242065408,35151872,478396416,1196032
10,2022-01-02,04:55:36,0.5,ROS_VNF_motionplanning,16.9,2084077568,1317638144,36.8,599961600,970567680,694779904,242065408,35151872,478396416,1196032
11,2022-01-02,04:55:37,0.5,ROS_VNF_motionplanning,23.8,2084077568,1317572608,36.8,600027136,970502144,694779904,242065408,35151872,478396416,1196032
12,2022-01-02,04:55:37,0.5,ROS_VNF_motionplanning,38.0,2084077568,1317572608,36.8,600027136,970502144,694779904,242065408,35151872,478396416,1196032
13,2022-01-02,04:55:38,0.5,ROS_VNF_motionplanning,40.7,2084077568,1317572608,36.8,600027136,970502144,694779904,242065408,35151872,478396416,1196032
14,2022-01-02,04:55:38,0.5,ROS_VNF_motionplanning,23.3,2084077568,1317863424,36.8,599736320,970792960,694779904,242065408,35151872,478396416,1196032
15,2022-01-02,04:55:39,0.5,ROS_VNF_motionplanning,42.0,2084077568,1317961728,36.8,599638016,970891264,694779904,242065408,35151872,478396416,1196032
16,2022-01-02,04:55:39,0.5,ROS_VNF_motionplanning,23.4,2084077568,1317765120,36.8,599834624,970694656,694792192,242065408,35151872,478396416,1196032
17,2022-01-02,04:55:40,0.5,ROS_VNF_motionplanning,18.1,2084077568,1317928960,36.8,599662592,970858496,694792192,242065408,35160064,478396416,1196032
18,2022-01-02,04:55:40,0.5,ROS_VNF_motionplanning,35.6,2084077568,1317806080,36.8,599793664,970727424,694808576,242065408,35160064,478396416,1196032
19,2022-01-02,04:55:41,0.5,ROS_VNF_motionplanning,8.5,2084077568,1317871616,36.8,599728128,970792960,694808576,242065408,35160064,478396416,1196032
20,2022-01-02,04:55:41,0.5,ROS_VNF_motionplanning,9.6,2084077568,1318002688,36.8,599597056,970924032,694808576,242065408,35160064,478396416,1196032
21,2022-01-02,04:55:42,0.5,ROS_VNF_motionplanning,22.7,2084077568,1317806080,36.8,599793664,970727424,694808576,242065408,35160064,478396416,1196032
22,2022-01-02,04:55:42,0.5,ROS_VNF_motionplanning,36.3,2084077568,1317806080,36.8,599793664,970727424,694812672,242065408,35160064,478396416,1196032
23,2022-01-02,04:55:43,0.5,ROS_VNF_motionplanning,28.7,2084077568,1317838848,36.8,599760896,970760192,694812672,242065408,35160064,478396416,1196032
24,2022-01-02,04:55:43,0.5,ROS_VNF_motionplanning,18.5,2084077568,1317904384,36.8,599695360,970825728,694812672,242065408,35160064,478396416,1196032
25,2022-01-02,04:55:44,0.5,ROS_VNF_motionplanning,36.0,2084077568,1317806080,36.8,599793664,970727424,694812672,242065408,35160064,478396416,1196032
26,2022-01-02,04:55:44,0.5,ROS_VNF_motionplanning,21.8,2084077568,1317838848,36.8,599760896,970760192,694853632,242065408,35160064,478396416,1196032
27,2022-01-02,04:55:45,0.5,ROS_VNF_motionplanning,26.9,2084077568,1317605376,36.8,599986176,970518528,695357440,242069504,35160064,478412800,1196032
28,2022-01-02,04:55:45,0.5,ROS_VNF_motionplanning,17.4,2084077568,1317572608,36.8,600010752,970485760,695357440,242069504,35168256,478412800,1196032
29,2022-01-02,04:55:46,0.5,ROS_VNF_motionplanning,37.5,2084077568,1317572608,36.8,600010752,970485760,695357440,242069504,35168256,478412800,1196032
30,2022-01-02,04:55:46,0.5,ROS_VNF_motionplanning,28.7,2084077568,1317777408,36.8,599814144,970682368,695369728,242069504,35168256,478412800,1196032
31,2022-01-02,04:55:47,0.5,ROS_VNF_motionplanning,16.5,2084077568,1317646336,36.8,599945216,970551296,695369728,242069504,35168256,478412800,1196032
32,2022-01-02,04:55:47,0.5,ROS_VNF_motionplanning,15.7,2084077568,1317515264,36.8,600076288,970420224,695369728,242069504,35168256,478412800,1196032
33,2022-01-02,04:55:48,0.5,ROS_VNF_motionplanning,15.1,2084077568,1317613568,36.8,599977984,970518528,695386112,242069504,35168256,478412800,1196032
34,2022-01-02,04:55:48,0.5,ROS_VNF_motionplanning,20.2,2084077568,1317621760,36.8,599969792,970526720,694882304,242069504,35168256,478412800,1196032
35,2022-01-02,04:55:49,0.5,ROS_VNF_motionplanning,29.4,2084077568,1317523456,36.8,600068096,970428416,694882304,242069504,35168256,478412800,1196032
36,2022-01-02,04:55:49,0.5,ROS_VNF_motionplanning,28.7,2084077568,1317720064,36.8,599871488,970625024,694886400,242069504,35168256,478412800,1196032
37,2022-01-02,04:55:50,0.5,ROS_VNF_motionplanning,29.3,2084077568,1317687296,36.8,599904256,970592256,694890496,242069504,35168256,478412800,1196032
38,2022-01-02,04:55:51,0.5,ROS_VNF_motionplanning,17.0,2084077568,1317720064,36.8,599871488,970625024,694890496,242069504,35168256,478412800,1196032
39,2022-01-02,04:55:51,0.5,ROS_VNF_motionplanning,30.3,2084077568,1317662720,36.8,599928832,970559488,694898688,242069504,35176448,478412800,1196032
40,2022-01-02,04:55:52,0.5,ROS_VNF_motionplanning,18.3,2084077568,1317597184,36.8,599994368,970493952,694898688,242069504,35176448,478412800,1196032
41,2022-01-02,04:55:52,0.5,ROS_VNF_motionplanning,30.0,2084077568,1317597184,36.8,599994368,970493952,694898688,242069504,35176448,478412800,1196032
42,2022-01-02,04:55:53,0.5,ROS_VNF_motionplanning,18.7,2084077568,1317629952,36.8,599961600,970526720,694910976,242069504,35176448,478412800,1196032
43,2022-01-02,04:55:53,0.5,ROS_VNF_motionplanning,13.4,2084077568,1317629952,36.8,599961600,970526720,694910976,242069504,35176448,478412800,1196032
44,2022-01-02,04:55:54,0.5,ROS_VNF_motionplanning,20.2,2084077568,1317789696,36.8,599801856,970686464,694910976,242069504,35176448,478412800,1196032
45,2022-01-02,04:55:54,0.5,ROS_VNF_motionplanning,21.4,2084077568,1317888000,36.8,599703552,970784768,694910976,242069504,35176448,478412800,1196032
46,2022-01-02,04:55:55,0.5,ROS_VNF_motionplanning,18.6,2084077568,1317855232,36.8,599736320,970752000,694910976,242069504,35176448,478412800,1196032
47,2022-01-02,04:55:55,0.5,ROS_VNF_motionplanning,26.7,2084077568,1317822464,36.8,599769088,970719232,694919168,242069504,35176448,478412800,1196032
48,2022-01-02,04:55:56,0.5,ROS_VNF_motionplanning,34.0,2084077568,1317920768,36.8,599670784,970817536,694919168,242069504,35176448,478412800,1196032
49,2022-01-02,04:55:56,0.5,ROS_VNF_motionplanning,17.5,2084077568,1317920768,36.8,599670784,970817536,694919168,242069504,35176448,478412800,1196032
