iteration,date,time,measurement_period,machine/VNF,sys_cpu,totalmem,availablemem,percentmem,usedmem,freemem,activemem,inactivemem,buffers,cached,shared
0,2022-01-02,05:50:28,0.5,ROS_VNF_motionplanning,22.7,2084077568,1172119552,43.8,741621760,825155584,822640640,239931392,33058816,484241408,1331200
1,2022-01-02,05:50:29,0.5,ROS_VNF_motionplanning,17.6,2084077568,1172217856,43.8,741523456,825253888,822640640,239931392,33058816,484241408,1331200
2,2022-01-02,05:50:29,0.5,ROS_VNF_motionplanning,18.7,2084077568,1172185088,43.8,741556224,825221120,822640640,239931392,33058816,484241408,1331200
3,2022-01-02,05:50:30,0.5,ROS_VNF_motionplanning,19.1,2084077568,1172283392,43.8,741457920,825319424,822640640,239931392,33058816,484241408,1331200
4,2022-01-02,05:50:30,0.5,ROS_VNF_motionplanning,12.8,2084077568,1172250624,43.8,741490688,825286656,822640640,239931392,33058816,484241408,1331200
5,2022-01-02,05:50:31,0.5,ROS_VNF_motionplanning,21.8,2084077568,1172152320,43.8,741588992,825188352,822640640,239931392,33058816,484241408,1331200
6,2022-01-02,05:50:31,0.5,ROS_VNF_motionplanning,19.8,2084077568,1172054016,43.8,741679104,825090048,822640640,239931392,33067008,484241408,1331200
7,2022-01-02,05:50:32,0.5,ROS_VNF_motionplanning,24.1,2084077568,1172217856,43.8,741515264,825253888,822640640,239931392,33067008,484241408,1331200
8,2022-01-02,05:50:32,0.5,ROS_VNF_motionplanning,28.7,2084077568,1182298112,43.3,731463680,835342336,814096384,239931392,33067008,484204544,1331200
9,2022-01-02,05:50:33,0.5,ROS_VNF_motionplanning,27.3,2084077568,1182396416,43.3,731365376,835440640,814096384,239931392,33067008,484204544,1331200
10,2022-01-02,05:50:33,0.5,ROS_VNF_motionplanning,22.9,2084077568,1182330880,43.3,731430912,835375104,814096384,239931392,33067008,484204544,1331200
11,2022-01-02,05:50:34,0.5,ROS_VNF_motionplanning,28.1,2084077568,1182429184,43.3,731332608,835473408,814096384,239931392,33067008,484204544,1331200
12,2022-01-02,05:50:34,0.5,ROS_VNF_motionplanning,28.1,2084077568,1182330880,43.3,731430912,835375104,814096384,239931392,33067008,484204544,1331200
13,2022-01-02,05:50:35,0.5,ROS_VNF_motionplanning,26.4,2084077568,1182363648,43.3,731398144,835407872,814096384,239931392,33067008,484204544,1331200
14,2022-01-02,05:50:35,0.5,ROS_VNF_motionplanning,23.5,2084077568,1182429184,43.3,731332608,835473408,814096384,239931392,33067008,484204544,1331200
15,2022-01-02,05:50:36,0.5,ROS_VNF_motionplanning,17.2,2084077568,1182429184,43.3,731332608,835473408,814096384,239931392,33067008,484204544,1331200
16,2022-01-02,05:50:36,0.5,ROS_VNF_motionplanning,24.7,2084077568,1182461952,43.3,731299840,835506176,814096384,239931392,33067008,484204544,1331200
17,2022-01-02,05:50:37,0.5,ROS_VNF_motionplanning,29.8,2084077568,1182429184,43.3,731324416,835473408,814096384,239931392,33075200,484204544,1331200
18,2022-01-02,05:50:37,0.5,ROS_VNF_motionplanning,24.5,2084077568,1182494720,43.3,731258880,835538944,814096384,239931392,33075200,484204544,1331200
19,2022-01-02,05:50:38,0.5,ROS_VNF_motionplanning,24.2,2084077568,1182396416,43.3,731357184,835440640,814096384,239931392,33075200,484204544,1331200
20,2022-01-02,05:50:38,0.5,ROS_VNF_motionplanning,18.3,2084077568,1182396416,43.3,731357184,835440640,814096384,239931392,33075200,484204544,1331200
21,2022-01-02,05:50:39,0.5,ROS_VNF_motionplanning,28.9,2084077568,1182363648,43.3,731389952,835407872,814096384,239931392,33075200,484204544,1331200
22,2022-01-02,05:50:39,0.5,ROS_VNF_motionplanning,28.1,2084077568,1182363648,43.3,731389952,835407872,814096384,239931392,33075200,484204544,1331200
23,2022-01-02,05:50:40,0.5,ROS_VNF_motionplanning,22.4,2084077568,1182265344,43.3,731488256,835309568,814096384,239931392,33075200,484204544,1331200
24,2022-01-02,05:50:40,0.5,ROS_VNF_motionplanning,26.2,2084077568,1182396416,43.3,731357184,835440640,814096384,239931392,33075200,484204544,1331200
25,2022-01-02,05:50:41,0.5,ROS_VNF_motionplanning,21.1,2084077568,1182429184,43.3,731324416,835473408,814096384,239931392,33075200,484204544,1331200
26,2022-01-02,05:50:41,0.5,ROS_VNF_motionplanning,31.1,2084077568,1182461952,43.3,731291648,835506176,814096384,239931392,33075200,484204544,1331200
27,2022-01-02,05:50:42,0.5,ROS_VNF_motionplanning,29.0,2084077568,1182265344,43.3,731488256,835309568,814096384,239931392,33075200,484204544,1331200
28,2022-01-02,05:50:42,0.5,ROS_VNF_motionplanning,21.1,2084077568,1182429184,43.3,731308032,835473408,814096384,239931392,33083392,484212736,1331200
29,2022-01-02,05:50:43,0.5,ROS_VNF_motionplanning,26.0,2084077568,1182363648,43.3,731373568,835407872,814096384,239931392,33083392,484212736,1331200
30,2022-01-02,05:50:43,0.5,ROS_VNF_motionplanning,20.9,2084077568,1182232576,43.3,731504640,835276800,814096384,239931392,33083392,484212736,1331200
31,2022-01-02,05:50:44,0.5,ROS_VNF_motionplanning,18.3,2084077568,1182265344,43.3,731471872,835309568,814096384,239931392,33083392,484212736,1331200
32,2022-01-02,05:50:44,0.5,ROS_VNF_motionplanning,22.7,2084077568,1182265344,43.3,731471872,835309568,814096384,239931392,33083392,484212736,1331200
33,2022-01-02,05:50:45,0.5,ROS_VNF_motionplanning,21.6,2084077568,1182298112,43.3,731439104,835342336,814096384,239931392,33083392,484212736,1331200
34,2022-01-02,05:50:45,0.5,ROS_VNF_motionplanning,26.2,2084077568,1182298112,43.3,731439104,835342336,814096384,239931392,33083392,484212736,1331200
35,2022-01-02,05:50:46,0.5,ROS_VNF_motionplanning,26.5,2084077568,1182494720,43.3,731242496,835538944,814096384,239931392,33083392,484212736,1331200
36,2022-01-02,05:50:46,0.5,ROS_VNF_motionplanning,21.3,2084077568,1182298112,43.3,731439104,835342336,814096384,239931392,33083392,484212736,1331200
37,2022-01-02,05:50:47,0.5,ROS_VNF_motionplanning,25.8,2084077568,1182330880,43.3,731406336,835375104,814096384,239931392,33083392,484212736,1331200
38,2022-01-02,05:50:47,0.5,ROS_VNF_motionplanning,20.4,2084077568,1182429184,43.3,731308032,835473408,814096384,239931392,33083392,484212736,1331200
39,2022-01-02,05:50:48,0.5,ROS_VNF_motionplanning,30.6,2084077568,1182429184,43.3,731308032,835473408,814096384,239931392,33091584,484204544,1331200
40,2022-01-02,05:50:48,0.5,ROS_VNF_motionplanning,20.4,2084077568,1182396416,43.3,731332608,835440640,814096384,239931392,33091584,484212736,1331200
41,2022-01-02,05:50:49,0.5,ROS_VNF_motionplanning,28.9,2084077568,1182396416,43.3,731332608,835440640,814096384,239931392,33091584,484212736,1331200
42,2022-01-02,05:50:49,0.5,ROS_VNF_motionplanning,23.1,2084077568,1182429184,43.3,731299840,835473408,814096384,239931392,33091584,484212736,1331200
43,2022-01-02,05:50:50,0.5,ROS_VNF_motionplanning,31.0,2084077568,1182396416,43.3,731332608,835440640,814096384,239931392,33091584,484212736,1331200
44,2022-01-02,05:50:50,0.5,ROS_VNF_motionplanning,19.6,2084077568,1182392320,43.3,731365376,835407872,814186496,239935488,33091584,484212736,1331200
45,2022-01-02,05:50:51,0.5,ROS_VNF_motionplanning,33.7,2084077568,1182490624,43.3,731267072,835506176,814186496,239935488,33091584,484212736,1331200
46,2022-01-02,05:50:51,0.5,ROS_VNF_motionplanning,26.4,2084077568,1182392320,43.3,731365376,835407872,814186496,239935488,33091584,484212736,1331200
47,2022-01-02,05:50:52,0.5,ROS_VNF_motionplanning,30.0,2084077568,1182523392,43.3,731234304,835538944,814186496,239935488,33091584,484212736,1331200
48,2022-01-02,05:50:52,0.5,ROS_VNF_motionplanning,26.1,2084077568,1182523392,43.3,731234304,835538944,814186496,239935488,33091584,484212736,1331200
49,2022-01-02,05:50:53,0.5,ROS_VNF_motionplanning,30.3,2084077568,1182425088,43.3,731332608,835440640,814186496,239935488,33091584,484212736,1331200
50,2022-01-02,05:50:53,0.5,ROS_VNF_motionplanning,31.6,2084077568,1182556160,43.3,731193344,835571712,814186496,239935488,33099776,484212736,1331200
51,2022-01-02,05:50:54,0.5,ROS_VNF_motionplanning,26.1,2084077568,1182523392,43.3,731226112,835538944,814186496,239935488,33099776,484212736,1331200
52,2022-01-02,05:50:54,0.5,ROS_VNF_motionplanning,28.4,2084077568,1182228480,43.3,731521024,835244032,814186496,239935488,33099776,484212736,1331200
53,2022-01-02,05:50:55,0.5,ROS_VNF_motionplanning,29.5,2084077568,1182326784,43.3,731422720,835342336,814186496,239935488,33099776,484212736,1331200
54,2022-01-02,05:50:55,0.5,ROS_VNF_motionplanning,31.9,2084077568,1182490624,43.3,731258880,835506176,814186496,239935488,33099776,484212736,1331200
55,2022-01-02,05:50:56,0.5,ROS_VNF_motionplanning,30.3,2084077568,1182425088,43.3,731320320,835440640,814186496,239935488,33099776,484216832,1331200
56,2022-01-02,05:50:56,0.5,ROS_VNF_motionplanning,30.2,2084077568,1182326784,43.3,731418624,835342336,814186496,239935488,33099776,484216832,1331200
57,2022-01-02,05:50:57,0.5,ROS_VNF_motionplanning,26.4,2084077568,1182523392,43.3,731222016,835538944,814186496,239935488,33099776,484216832,1331200
58,2022-01-02,05:50:57,0.5,ROS_VNF_motionplanning,26.7,2084077568,1182392320,43.3,731353088,835407872,814202880,239935488,33099776,484216832,1331200
59,2022-01-02,05:50:58,0.5,ROS_VNF_motionplanning,31.2,2084077568,1182359552,43.3,731385856,835375104,814202880,239935488,33099776,484216832,1331200
60,2022-01-02,05:50:58,0.5,ROS_VNF_motionplanning,32.6,2084077568,1182359552,43.3,731385856,835375104,814202880,239935488,33099776,484216832,1331200
61,2022-01-02,05:50:59,0.5,ROS_VNF_motionplanning,33.7,2084077568,1182392320,43.3,731344896,835407872,814202880,239935488,33107968,484216832,1331200
62,2022-01-02,05:50:59,0.5,ROS_VNF_motionplanning,26.7,2084077568,1182359552,43.3,731377664,835375104,814202880,239935488,33107968,484216832,1331200
63,2022-01-02,05:51:00,0.5,ROS_VNF_motionplanning,28.1,2084077568,1182359552,43.3,731377664,835375104,814202880,239935488,33107968,484216832,1331200
64,2022-01-02,05:51:00,0.5,ROS_VNF_motionplanning,29.3,2084077568,1182359552,43.3,731377664,835375104,814202880,239935488,33107968,484216832,1331200
65,2022-01-02,05:51:01,0.5,ROS_VNF_motionplanning,23.7,2084077568,1182392320,43.3,731344896,835407872,814202880,239935488,33107968,484216832,1331200
66,2022-01-02,05:51:01,0.5,ROS_VNF_motionplanning,21.3,2084077568,1182425088,43.3,731312128,835440640,814202880,239935488,33107968,484216832,1331200
67,2022-01-02,05:51:02,0.5,ROS_VNF_motionplanning,26.1,2084077568,1182326784,43.3,731410432,835342336,814202880,239935488,33107968,484216832,1331200
68,2022-01-02,05:51:02,0.5,ROS_VNF_motionplanning,33.0,2084077568,1182326784,43.3,731410432,835342336,814202880,239935488,33107968,484216832,1331200
69,2022-01-02,05:51:03,0.5,ROS_VNF_motionplanning,23.3,2084077568,1182326784,43.3,731410432,835342336,814202880,239935488,33107968,484216832,1331200
70,2022-01-02,05:51:03,0.5,ROS_VNF_motionplanning,19.8,2084077568,1182326784,43.3,731410432,835342336,814202880,239935488,33107968,484216832,1331200
71,2022-01-02,05:51:04,0.5,ROS_VNF_motionplanning,21.5,2084077568,1182392320,43.3,731344896,835407872,814202880,239935488,33107968,484216832,1331200
72,2022-01-02,05:51:04,0.5,ROS_VNF_motionplanning,26.1,2084077568,1182326784,43.3,731402240,835342336,814202880,239935488,33116160,484216832,1331200
73,2022-01-02,05:51:05,0.5,ROS_VNF_motionplanning,18.1,2084077568,1182457856,43.3,731271168,835473408,814202880,239935488,33116160,484216832,1331200
74,2022-01-02,05:51:05,0.5,ROS_VNF_motionplanning,23.1,2084077568,1182392320,43.3,731336704,835407872,814202880,239935488,33116160,484216832,1331200
75,2022-01-02,05:51:06,0.5,ROS_VNF_motionplanning,19.8,2084077568,1182326784,43.3,731402240,835342336,814202880,239935488,33116160,484216832,1331200
76,2022-01-02,05:51:06,0.5,ROS_VNF_motionplanning,27.3,2084077568,1182425088,43.3,731303936,835440640,814202880,239935488,33116160,484216832,1331200
77,2022-01-02,05:51:07,0.5,ROS_VNF_motionplanning,17.6,2084077568,1182457856,43.3,731271168,835473408,814202880,239935488,33116160,484216832,1331200
78,2022-01-02,05:51:07,0.5,ROS_VNF_motionplanning,18.2,2084077568,1182359552,43.3,731369472,835375104,814202880,239935488,33116160,484216832,1331200
79,2022-01-02,05:51:08,0.5,ROS_VNF_motionplanning,20.0,2084077568,1182392320,43.3,731336704,835407872,814202880,239935488,33116160,484216832,1331200
80,2022-01-02,05:51:08,0.5,ROS_VNF_motionplanning,15.3,2084077568,1182392320,43.3,731336704,835407872,814202880,239935488,33116160,484216832,1331200
81,2022-01-02,05:51:09,0.5,ROS_VNF_motionplanning,24.4,2084077568,1182523392,43.3,731205632,835538944,814202880,239935488,33116160,484216832,1331200
82,2022-01-02,05:51:09,0.5,ROS_VNF_motionplanning,26.4,2084077568,1182425088,43.3,731299840,835440640,814202880,239935488,33116160,484220928,1331200
83,2022-01-02,05:51:10,0.5,ROS_VNF_motionplanning,34.1,2084077568,1182261248,43.3,731455488,835276800,814202880,239935488,33124352,484220928,1331200
84,2022-01-02,05:51:10,0.5,ROS_VNF_motionplanning,16.3,2084077568,1182359552,43.3,731357184,835375104,814202880,239935488,33124352,484220928,1331200
85,2022-01-02,05:51:11,0.5,ROS_VNF_motionplanning,17.4,2084077568,1182523392,43.3,731193344,835538944,814202880,239935488,33124352,484220928,1331200
86,2022-01-02,05:51:11,0.5,ROS_VNF_motionplanning,14.3,2084077568,1182523392,43.3,731193344,835538944,814202880,239935488,33124352,484220928,1331200
87,2022-01-02,05:51:12,0.5,ROS_VNF_motionplanning,26.1,2084077568,1182425088,43.3,731291648,835440640,814202880,239935488,33124352,484220928,1331200
88,2022-01-02,05:51:12,0.5,ROS_VNF_motionplanning,17.6,2084077568,1182490624,43.3,731226112,835506176,814202880,239935488,33124352,484220928,1331200
89,2022-01-02,05:51:13,0.5,ROS_VNF_motionplanning,15.5,2084077568,1182359552,43.3,731357184,835375104,814202880,239935488,33124352,484220928,1331200
90,2022-01-02,05:51:13,0.5,ROS_VNF_motionplanning,23.3,2084077568,1182261248,43.3,731455488,835276800,814202880,239935488,33124352,484220928,1331200
91,2022-01-02,05:51:14,0.5,ROS_VNF_motionplanning,16.3,2084077568,1182392320,43.3,731324416,835407872,814202880,239935488,33124352,484220928,1331200
92,2022-01-02,05:51:14,0.5,ROS_VNF_motionplanning,15.3,2084077568,1182392320,43.3,731324416,835407872,814202880,239935488,33124352,484220928,1331200
