iteration,date,time,measurement_period,machine/VNF,sys_cpu,totalmem,availablemem,percentmem,usedmem,freemem,activemem,inactivemem,buffers,cached,shared
0,2022-01-01,19:10:39,0.5,ROS_VNF_command,12.8,2084077568,1553670144,25.5,364691456,1015246848,519639040,387039232,60502016,643637248,1155072
1,2022-01-01,19:10:40,0.5,ROS_VNF_command,2.1,2084077568,1553670144,25.5,364691456,1015246848,519639040,387039232,60502016,643637248,1155072
2,2022-01-01,19:10:40,0.5,ROS_VNF_command,5.1,2084077568,1553571840,25.5,364789760,1015148544,519639040,387039232,60502016,643637248,1155072
3,2022-01-01,19:10:41,0.5,ROS_VNF_command,3.1,2084077568,1553506304,25.5,364855296,1015083008,519639040,387039232,60502016,643637248,1155072
4,2022-01-01,19:10:41,0.5,ROS_VNF_command,3.1,2084077568,1553539072,25.5,364822528,1015115776,519639040,387039232,60502016,643637248,1155072
5,2022-01-01,19:10:42,0.5,ROS_VNF_command,3.2,2084077568,1553440768,25.5,364920832,1015017472,519639040,387039232,60502016,643637248,1155072
6,2022-01-01,19:10:42,0.5,ROS_VNF_command,5.3,2084077568,1563627520,25.0,354734080,1025204224,510521344,387039232,60502016,643637248,1155072
7,2022-01-01,19:10:43,0.5,ROS_VNF_command,1.1,2084077568,1563594752,25.0,354766848,1025171456,510521344,387039232,60502016,643637248,1155072
8,2022-01-01,19:10:43,0.5,ROS_VNF_command,3.1,2084077568,1563627520,25.0,354734080,1025204224,510521344,387039232,60502016,643637248,1155072
9,2022-01-01,19:10:44,0.5,ROS_VNF_command,2.1,2084077568,1563627520,25.0,354734080,1025204224,510521344,387039232,60510208,643629056,1155072
10,2022-01-01,19:10:44,0.5,ROS_VNF_command,4.2,2084077568,1563602944,25.0,354758656,1025171456,510529536,387039232,60510208,643637248,1155072
11,2022-01-01,19:10:45,0.5,ROS_VNF_command,2.1,2084077568,1563701248,25.0,354660352,1025269760,510529536,387039232,60510208,643637248,1155072
12,2022-01-01,19:10:45,0.5,ROS_VNF_command,2.1,2084077568,1563734016,25.0,354627584,1025302528,510529536,387039232,60510208,643637248,1155072
13,2022-01-01,19:10:46,0.5,ROS_VNF_command,5.1,2084077568,1563734016,25.0,354627584,1025302528,510529536,387039232,60510208,643637248,1155072
14,2022-01-01,19:10:46,0.5,ROS_VNF_command,3.1,2084077568,1563832320,25.0,354529280,1025400832,510529536,387039232,60510208,643637248,1155072
15,2022-01-01,19:10:47,0.5,ROS_VNF_command,4.2,2084077568,1563865088,25.0,354496512,1025433600,510529536,387039232,60510208,643637248,1155072
16,2022-01-01,19:10:47,0.5,ROS_VNF_command,0.0,2084077568,1563897856,25.0,354463744,1025466368,510529536,387039232,60510208,643637248,1155072
17,2022-01-01,19:10:48,0.5,ROS_VNF_command,2.2,2084077568,1563897856,25.0,354463744,1025466368,510529536,387039232,60510208,643637248,1155072
18,2022-01-01,19:10:48,0.5,ROS_VNF_command,2.1,2084077568,1563942912,25.0,354463744,1025466368,510484480,387084288,60510208,643637248,1155072
19,2022-01-01,19:10:49,0.5,ROS_VNF_command,2.1,2084077568,1563877376,25.0,354529280,1025400832,510484480,387084288,60510208,643637248,1155072
20,2022-01-01,19:10:49,0.5,ROS_VNF_command,5.2,2084077568,1563844608,25.0,354553856,1025368064,510484480,387084288,60518400,643637248,1155072
21,2022-01-01,19:10:50,0.5,ROS_VNF_command,3.1,2084077568,1563844608,25.0,354553856,1025368064,510484480,387084288,60518400,643637248,1155072
22,2022-01-01,19:10:50,0.5,ROS_VNF_command,3.1,2084077568,1563811840,25.0,354586624,1025335296,510484480,387084288,60518400,643637248,1155072
23,2022-01-01,19:10:51,0.5,ROS_VNF_command,1.1,2084077568,1563844608,25.0,354553856,1025368064,510484480,387084288,60518400,643637248,1155072
24,2022-01-01,19:10:51,0.5,ROS_VNF_command,4.2,2084077568,1563877376,25.0,354521088,1025400832,510484480,387084288,60518400,643637248,1155072
25,2022-01-01,19:10:52,0.5,ROS_VNF_command,2.1,2084077568,1563877376,25.0,354521088,1025400832,510484480,387084288,60518400,643637248,1155072
26,2022-01-01,19:10:52,0.5,ROS_VNF_command,4.1,2084077568,1563910144,25.0,354488320,1025433600,510484480,387084288,60518400,643637248,1155072
27,2022-01-01,19:10:53,0.5,ROS_VNF_command,3.2,2084077568,1563852800,25.0,354553856,1025368064,510492672,387084288,60518400,643637248,1155072
28,2022-01-01,19:10:53,0.5,ROS_VNF_command,4.1,2084077568,1563852800,25.0,354549760,1025368064,510492672,387084288,60518400,643641344,1155072
29,2022-01-01,19:10:54,0.5,ROS_VNF_command,4.2,2084077568,1563754496,25.0,354648064,1025269760,510492672,387084288,60518400,643641344,1155072
30,2022-01-01,19:10:54,0.5,ROS_VNF_command,2.1,2084077568,1563787264,25.0,354615296,1025302528,510492672,387084288,60518400,643641344,1155072
31,2022-01-01,19:10:55,0.5,ROS_VNF_command,4.1,2084077568,1563754496,25.0,354639872,1025269760,510492672,387084288,60526592,643641344,1155072
32,2022-01-01,19:10:55,0.5,ROS_VNF_command,4.2,2084077568,1563885568,25.0,354508800,1025400832,510492672,387084288,60526592,643641344,1155072
33,2022-01-01,19:10:56,0.5,ROS_VNF_command,2.1,2084077568,1563787264,25.0,354607104,1025302528,510492672,387084288,60526592,643641344,1155072
34,2022-01-01,19:10:56,0.5,ROS_VNF_command,2.1,2084077568,1563820032,25.0,354574336,1025335296,510492672,387084288,60526592,643641344,1155072
35,2022-01-01,19:10:57,0.5,ROS_VNF_command,6.1,2084077568,1563820032,25.0,354574336,1025335296,510492672,387084288,60526592,643641344,1155072
36,2022-01-01,19:10:57,0.5,ROS_VNF_command,5.2,2084077568,1563820032,25.0,354574336,1025335296,510492672,387084288,60526592,643641344,1155072
37,2022-01-01,19:10:58,0.5,ROS_VNF_command,2.1,2084077568,1563918336,25.0,354476032,1025433600,510492672,387084288,60526592,643641344,1155072
38,2022-01-01,19:10:58,0.5,ROS_VNF_command,5.1,2084077568,1563918336,25.0,354476032,1025433600,510492672,387084288,60526592,643641344,1155072
39,2022-01-01,19:10:59,0.5,ROS_VNF_command,3.2,2084077568,1563983872,25.0,354410496,1025499136,510492672,387084288,60526592,643641344,1155072
40,2022-01-01,19:10:59,0.5,ROS_VNF_command,4.2,2084077568,1563983872,25.0,354410496,1025499136,510492672,387084288,60526592,643641344,1155072
41,2022-01-01,19:11:00,0.5,ROS_VNF_command,3.1,2084077568,1563885568,25.0,354508800,1025400832,510492672,387084288,60526592,643641344,1155072
42,2022-01-01,19:11:00,0.5,ROS_VNF_command,3.2,2084077568,1563918336,25.0,354467840,1025433600,510492672,387084288,60534784,643641344,1155072
43,2022-01-01,19:11:01,0.5,ROS_VNF_command,2.1,2084077568,1563820032,25.0,354566144,1025335296,510492672,387084288,60534784,643641344,1155072
44,2022-01-01,19:11:01,0.5,ROS_VNF_command,5.2,2084077568,1563820032,25.0,354566144,1025335296,510492672,387084288,60534784,643641344,1155072
45,2022-01-01,19:11:02,0.5,ROS_VNF_command,2.1,2084077568,1563918336,25.0,354467840,1025433600,510492672,387084288,60534784,643641344,1155072
46,2022-01-01,19:11:02,0.5,ROS_VNF_command,4.1,2084077568,1563852800,25.0,354533376,1025368064,510492672,387084288,60534784,643641344,1155072
47,2022-01-01,19:11:03,0.5,ROS_VNF_command,3.1,2084077568,1563885568,25.0,354500608,1025400832,510492672,387084288,60534784,643641344,1155072
48,2022-01-01,19:11:03,0.5,ROS_VNF_command,5.2,2084077568,1564016640,25.0,354369536,1025531904,510492672,387084288,60534784,643641344,1155072
49,2022-01-01,19:11:04,0.5,ROS_VNF_command,2.1,2084077568,1563983872,25.0,354402304,1025499136,510492672,387084288,60534784,643641344,1155072
50,2022-01-01,19:11:04,0.5,ROS_VNF_command,3.1,2084077568,1563983872,25.0,354402304,1025499136,510492672,387084288,60534784,643641344,1155072
51,2022-01-01,19:11:05,0.5,ROS_VNF_command,2.1,2084077568,1563983872,25.0,354402304,1025499136,510492672,387084288,60534784,643641344,1155072
52,2022-01-01,19:11:05,0.5,ROS_VNF_command,6.1,2084077568,1563885568,25.0,354500608,1025400832,510492672,387084288,60534784,643641344,1155072
53,2022-01-01,19:11:06,0.5,ROS_VNF_command,4.1,2084077568,1563885568,25.0,354492416,1025400832,510492672,387084288,60542976,643641344,1155072
54,2022-01-01,19:11:06,0.5,ROS_VNF_command,3.1,2084077568,1563852800,25.0,354525184,1025368064,510492672,387084288,60542976,643641344,1155072
55,2022-01-01,19:11:07,0.5,ROS_VNF_command,3.2,2084077568,1563754496,25.0,354623488,1025269760,510492672,387084288,60542976,643641344,1155072
56,2022-01-01,19:11:07,0.5,ROS_VNF_command,3.1,2084077568,1563820032,25.0,354557952,1025335296,510492672,387084288,60542976,643641344,1155072
57,2022-01-01,19:11:08,0.5,ROS_VNF_command,2.1,2084077568,1563787264,25.0,354586624,1025302528,510492672,387084288,60542976,643645440,1155072
58,2022-01-01,19:11:08,0.5,ROS_VNF_command,5.1,2084077568,1563754496,25.0,354619392,1025269760,510492672,387084288,60542976,643645440,1155072
59,2022-01-01,19:11:09,0.5,ROS_VNF_command,6.1,2084077568,1563754496,25.0,354619392,1025269760,510492672,387084288,60542976,643645440,1155072
60,2022-01-01,19:11:09,0.5,ROS_VNF_command,4.2,2084077568,1563787264,25.0,354586624,1025302528,510492672,387084288,60542976,643645440,1155072
61,2022-01-01,19:11:10,0.5,ROS_VNF_command,3.2,2084077568,1563766784,25.0,354619392,1025269760,510488576,387096576,60542976,643645440,1155072
62,2022-01-01,19:11:10,0.5,ROS_VNF_command,2.1,2084077568,1563865088,25.0,354521088,1025368064,510488576,387096576,60542976,643645440,1155072
63,2022-01-01,19:11:11,0.5,ROS_VNF_command,6.1,2084077568,1563865088,25.0,354521088,1025368064,510488576,387096576,60542976,643645440,1155072
64,2022-01-01,19:11:11,0.5,ROS_VNF_command,3.2,2084077568,1563766784,25.0,354611200,1025269760,510488576,387096576,60551168,643645440,1155072
65,2022-01-01,19:11:12,0.5,ROS_VNF_command,6.1,2084077568,1563799552,25.0,354578432,1025302528,510488576,387096576,60551168,643645440,1155072
66,2022-01-01,19:11:12,0.5,ROS_VNF_command,4.2,2084077568,1563832320,25.0,354545664,1025335296,510488576,387096576,60551168,643645440,1155072
67,2022-01-01,19:11:13,0.5,ROS_VNF_command,4.1,2084077568,1563734016,25.0,354643968,1025236992,510488576,387096576,60551168,643645440,1155072
68,2022-01-01,19:11:13,0.5,ROS_VNF_command,2.1,2084077568,1563668480,25.0,354709504,1025171456,510488576,387096576,60551168,643645440,1155072
69,2022-01-01,19:11:14,0.5,ROS_VNF_command,4.1,2084077568,1563734016,25.0,354643968,1025236992,510488576,387096576,60551168,643645440,1155072
70,2022-01-01,19:11:14,0.5,ROS_VNF_command,3.2,2084077568,1563766784,25.0,354611200,1025269760,510488576,387096576,60551168,643645440,1155072
71,2022-01-01,19:11:15,0.5,ROS_VNF_command,3.2,2084077568,1563734016,25.0,354643968,1025236992,510488576,387096576,60551168,643645440,1155072
72,2022-01-01,19:11:15,0.5,ROS_VNF_command,2.1,2084077568,1563734016,25.0,354643968,1025236992,510488576,387096576,60551168,643645440,1155072
73,2022-01-01,19:11:16,0.5,ROS_VNF_command,2.1,2084077568,1563701248,25.0,354676736,1025204224,510488576,387096576,60551168,643645440,1155072
74,2022-01-01,19:11:16,0.5,ROS_VNF_command,4.2,2084077568,1563799552,25.0,354578432,1025302528,510488576,387096576,60551168,643645440,1155072
75,2022-01-01,19:11:17,0.5,ROS_VNF_command,5.1,2084077568,1563734016,25.0,354643968,1025236992,510488576,387096576,60559360,643637248,1155072
76,2022-01-01,19:11:17,0.5,ROS_VNF_command,3.1,2084077568,1563799552,25.0,354570240,1025302528,510488576,387096576,60559360,643645440,1155072
77,2022-01-01,19:11:18,0.5,ROS_VNF_command,3.1,2084077568,1563734016,25.0,354635776,1025236992,510488576,387096576,60559360,643645440,1155072
78,2022-01-01,19:11:18,0.5,ROS_VNF_command,2.1,2084077568,1563799552,25.0,354570240,1025302528,510488576,387096576,60559360,643645440,1155072
79,2022-01-01,19:11:19,0.5,ROS_VNF_command,2.1,2084077568,1563832320,25.0,354537472,1025335296,510488576,387096576,60559360,643645440,1155072
80,2022-01-01,19:11:19,0.5,ROS_VNF_command,2.1,2084077568,1563734016,25.0,354635776,1025236992,510488576,387096576,60559360,643645440,1155072
81,2022-01-01,19:11:20,0.5,ROS_VNF_command,4.1,2084077568,1563766784,25.0,354603008,1025269760,510488576,387096576,60559360,643645440,1155072
82,2022-01-01,19:11:20,0.5,ROS_VNF_command,2.1,2084077568,1563799552,25.0,354570240,1025302528,510488576,387096576,60559360,643645440,1155072
83,2022-01-01,19:11:21,0.5,ROS_VNF_command,2.1,2084077568,1563832320,25.0,354537472,1025335296,510488576,387096576,60559360,643645440,1155072
84,2022-01-01,19:11:21,0.5,ROS_VNF_command,1.1,2084077568,1563832320,25.0,354537472,1025335296,510488576,387096576,60559360,643645440,1155072
85,2022-01-01,19:11:22,0.5,ROS_VNF_command,9.6,2084077568,1564422144,24.9,354603008,1025269760,509915136,387710976,60559360,643645440,1155072
86,2022-01-01,19:11:22,0.5,ROS_VNF_command,3.1,2084077568,1564262400,24.9,354779136,1025077248,509886464,387743744,60567552,643653632,1155072
87,2022-01-01,19:11:23,0.5,ROS_VNF_command,1.1,2084077568,1564229632,24.9,354811904,1025044480,509886464,387743744,60567552,643653632,1155072
88,2022-01-01,19:11:23,0.5,ROS_VNF_command,4.1,2084077568,1564454912,24.9,354586624,1025269760,509886464,387743744,60567552,643653632,1155072
89,2022-01-01,19:11:24,0.5,ROS_VNF_command,2.1,2084077568,1564422144,24.9,354619392,1025236992,509886464,387743744,60567552,643653632,1155072
90,2022-01-01,19:11:24,0.5,ROS_VNF_command,1.1,2084077568,1564454912,24.9,354586624,1025269760,509886464,387743744,60567552,643653632,1155072
91,2022-01-01,19:11:25,0.5,ROS_VNF_command,6.1,2084077568,1564487680,24.9,354553856,1025302528,509886464,387743744,60567552,643653632,1155072
92,2022-01-01,19:11:25,0.5,ROS_VNF_command,2.1,2084077568,1564520448,24.9,354521088,1025335296,509886464,387743744,60567552,643653632,1155072
93,2022-01-01,19:11:26,0.5,ROS_VNF_command,5.1,2084077568,1564553216,24.9,354488320,1025368064,509886464,387743744,60567552,643653632,1155072
94,2022-01-01,19:11:26,0.5,ROS_VNF_command,3.2,2084077568,1564618752,24.9,354422784,1025433600,509886464,387743744,60567552,643653632,1155072
95,2022-01-01,19:11:27,0.5,ROS_VNF_command,4.1,2084077568,1564585984,24.9,354455552,1025400832,509886464,387743744,60567552,643653632,1155072
96,2022-01-01,19:11:27,0.5,ROS_VNF_command,4.1,2084077568,1564520448,24.9,354521088,1025335296,509886464,387743744,60567552,643653632,1155072
97,2022-01-01,19:11:28,0.5,ROS_VNF_command,6.1,2084077568,1564553216,24.9,354480128,1025368064,509886464,387743744,60575744,643653632,1155072
98,2022-01-01,19:11:28,0.5,ROS_VNF_command,2.1,2084077568,1564585984,24.9,354447360,1025400832,509886464,387743744,60575744,643653632,1155072
99,2022-01-01,19:11:29,0.5,ROS_VNF_command,5.1,2084077568,1564585984,24.9,354447360,1025400832,509886464,387743744,60575744,643653632,1155072
100,2022-01-01,19:11:29,0.5,ROS_VNF_command,4.2,2084077568,1564651520,24.9,354381824,1025466368,509886464,387743744,60575744,643653632,1155072
101,2022-01-01,19:11:30,0.5,ROS_VNF_command,3.1,2084077568,1564585984,24.9,354447360,1025400832,509886464,387743744,60575744,643653632,1155072
102,2022-01-01,19:11:30,0.5,ROS_VNF_command,2.1,2084077568,1564520448,24.9,354512896,1025335296,509886464,387743744,60575744,643653632,1155072
103,2022-01-01,19:11:31,0.5,ROS_VNF_command,5.1,2084077568,1564520448,24.9,354512896,1025335296,509886464,387743744,60575744,643653632,1155072
104,2022-01-01,19:11:31,0.5,ROS_VNF_command,3.1,2084077568,1564520448,24.9,354512896,1025335296,509886464,387743744,60575744,643653632,1155072
