iteration,date,time,measurement_period,machine/VNF,sys_cpu,totalmem,availablemem,percentmem,usedmem,freemem,activemem,inactivemem,buffers,cached,shared
0,2021-12-29,17:11:44,0.2,ROS_VNF_control,0.0,2084077568,1714569216,17.7,216502272,1352564736,259592192,343339008,48455680,466554880,1077248
1,2021-12-29,17:11:44,0.2,ROS_VNF_control,0.0,2084077568,1714642944,17.7,216440832,1352564736,259657728,343400448,48455680,466616320,1077248
2,2021-12-29,17:11:45,0.2,ROS_VNF_control,0.0,2084077568,1714642944,17.7,216440832,1352564736,259657728,343400448,48455680,466616320,1077248
3,2021-12-29,17:11:45,0.2,ROS_VNF_control,0.0,2084077568,1714642944,17.7,216440832,1352564736,259657728,343400448,48455680,466616320,1077248
4,2021-12-29,17:11:45,0.2,ROS_VNF_control,0.0,2084077568,1714642944,17.7,216440832,1352564736,259657728,343400448,48455680,466616320,1077248
5,2021-12-29,17:11:45,0.2,ROS_VNF_control,0.0,2084077568,1714642944,17.7,216440832,1352564736,259657728,343400448,48455680,466616320,1077248
6,2021-12-29,17:11:45,0.2,ROS_VNF_control,0.0,2084077568,1714642944,17.7,216440832,1352564736,259657728,343400448,48455680,466616320,1077248
7,2021-12-29,17:11:46,0.2,ROS_VNF_control,0.0,2084077568,1714642944,17.7,216440832,1352564736,259657728,343400448,48455680,466616320,1077248
8,2021-12-29,17:11:46,0.2,ROS_VNF_control,0.0,2084077568,1714642944,17.7,216440832,1352564736,259657728,343400448,48455680,466616320,1077248
9,2021-12-29,17:11:46,0.2,ROS_VNF_control,0.0,2084077568,1714642944,17.7,216440832,1352564736,259657728,343400448,48455680,466616320,1077248
10,2021-12-29,17:11:46,0.2,ROS_VNF_control,0.0,2084077568,1714642944,17.7,216440832,1352564736,259657728,343400448,48455680,466616320,1077248
11,2021-12-29,17:11:46,0.2,ROS_VNF_control,0.0,2084077568,1714642944,17.7,216440832,1352564736,259657728,343400448,48455680,466616320,1077248
12,2021-12-29,17:11:47,0.2,ROS_VNF_control,0.0,2084077568,1714384896,17.7,216698880,1352306688,259141632,343400448,48455680,466616320,1077248
