iteration,date,time,measurement_period,machine/VNF,sys_cpu,totalmem,availablemem,percentmem,usedmem,freemem,activemem,inactivemem,buffers,cached,shared
0,2022-01-02,00:21:01,0.5,ROS_VNF_command,15.1,2084077568,1134632960,45.6,776536064,564514816,937111552,373874688,63827968,679198720,1359872
1,2022-01-02,00:21:02,0.5,ROS_VNF_command,26.7,2084077568,1134632960,45.6,776536064,564514816,937111552,373874688,63827968,679198720,1359872
2,2022-01-02,00:21:02,0.5,ROS_VNF_command,20.9,2084077568,1134534656,45.6,776634368,564416512,937119744,373874688,63827968,679198720,1359872
3,2022-01-02,00:21:03,0.5,ROS_VNF_command,22.0,2084077568,1134632960,45.6,776536064,564514816,937119744,373874688,63827968,679198720,1359872
4,2022-01-02,00:21:03,0.5,ROS_VNF_command,20.0,2084077568,1134702592,45.6,776466432,564580352,937132032,373878784,63827968,679202816,1359872
5,2022-01-02,00:21:04,0.5,ROS_VNF_command,31.5,2084077568,1134604288,45.6,776564736,564482048,937218048,373878784,63827968,679202816,1359872
6,2022-01-02,00:21:04,0.5,ROS_VNF_command,27.3,2084077568,1145294848,45.0,765874176,575152128,927866880,373886976,63840256,679211008,1359872
7,2022-01-02,00:21:05,0.5,ROS_VNF_command,17.9,2084077568,1145458688,45.0,765743104,575283200,927866880,373886976,63840256,679211008,1359872
8,2022-01-02,00:21:05,0.5,ROS_VNF_command,28.3,2084077568,1145327616,45.0,765841408,575184896,927866880,373886976,63840256,679211008,1359872
9,2022-01-02,00:21:06,0.5,ROS_VNF_command,22.7,2084077568,1145360384,45.0,765808640,575217664,927977472,373886976,63840256,679211008,1359872
10,2022-01-02,00:21:06,0.5,ROS_VNF_command,18.6,2084077568,1145327616,45.0,765841408,575184896,928022528,373886976,63840256,679211008,1359872
11,2022-01-02,00:21:07,0.5,ROS_VNF_command,23.0,2084077568,1145360384,45.0,765808640,575217664,928051200,373886976,63840256,679211008,1359872
12,2022-01-02,00:21:07,0.5,ROS_VNF_command,15.9,2084077568,1145262080,45.0,765906944,575119360,928149504,373886976,63840256,679211008,1359872
13,2022-01-02,00:21:08,0.5,ROS_VNF_command,24.7,2084077568,1145196544,45.1,765972480,575053824,928202752,373886976,63840256,679211008,1359872
14,2022-01-02,00:21:08,0.5,ROS_VNF_command,14.3,2084077568,1145458688,45.0,765710336,575315968,928239616,373886976,63840256,679211008,1359872
15,2022-01-02,00:21:09,0.5,ROS_VNF_command,15.3,2084077568,1145458688,45.0,765710336,575315968,928239616,373886976,63840256,679211008,1359872
16,2022-01-02,00:21:09,0.5,ROS_VNF_command,21.8,2084077568,1145425920,45.0,765743104,575283200,928239616,373886976,63840256,679211008,1359872
17,2022-01-02,00:21:10,0.5,ROS_VNF_command,16.5,2084077568,1145368576,45.0,765800448,575217664,928350208,373886976,63848448,679211008,1359872
18,2022-01-02,00:21:10,0.5,ROS_VNF_command,30.0,2084077568,1145368576,45.0,765800448,575217664,928489472,373886976,63848448,679211008,1359872
19,2022-01-02,00:21:11,0.5,ROS_VNF_command,14.3,2084077568,1145368576,45.0,765800448,575217664,928489472,373886976,63848448,679211008,1359872
20,2022-01-02,00:21:11,0.5,ROS_VNF_command,20.2,2084077568,1145401344,45.0,765767680,575250432,928489472,373886976,63848448,679211008,1359872
21,2022-01-02,00:21:12,0.5,ROS_VNF_command,16.1,2084077568,1145401344,45.0,765767680,575250432,928489472,373886976,63848448,679211008,1359872
22,2022-01-02,00:21:12,0.5,ROS_VNF_command,16.9,2084077568,1145368576,45.0,765800448,575217664,928497664,373886976,63848448,679211008,1359872
23,2022-01-02,00:21:13,0.5,ROS_VNF_command,25.6,2084077568,1145335808,45.0,765829120,575184896,928497664,373886976,63848448,679215104,1359872
24,2022-01-02,00:21:13,0.5,ROS_VNF_command,22.5,2084077568,1145368576,45.0,765796352,575217664,928628736,373886976,63848448,679215104,1359872
25,2022-01-02,00:21:14,0.5,ROS_VNF_command,12.8,2084077568,1145303040,45.0,765861888,575152128,928628736,373886976,63848448,679215104,1359872
