iteration,date,time,measurement_period,machine/VNF,sys_cpu,totalmem,availablemem,percentmem,usedmem,freemem,activemem,inactivemem,buffers,cached,shared
0,2021-12-28,13:52:05,0.5,ROS_VNF_command,31.8,2084077568,245264384,88.2,1661218816,79265792,956141568,803958784,19111936,324481024,1040384
1,2021-12-28,13:52:05,0.5,ROS_VNF_command,30.9,2084077568,245493760,88.2,1660989440,79495168,956141568,803958784,19111936,324481024,1040384
2,2021-12-28,13:52:06,0.5,ROS_VNF_command,29.1,2084077568,245395456,88.2,1661087744,79396864,956141568,803958784,19111936,324481024,1040384
3,2021-12-28,13:52:06,0.5,ROS_VNF_command,33.3,2084077568,245395456,88.2,1661087744,79396864,956141568,803958784,19111936,324481024,1040384
4,2021-12-28,13:52:07,0.5,ROS_VNF_command,32.1,2084077568,244994048,88.2,1661497344,78987264,955076608,803966976,19111936,324481024,1040384
5,2021-12-28,13:52:07,0.5,ROS_VNF_command,34.9,2084077568,244961280,88.2,1661517824,78954496,955076608,803966976,19124224,324481024,1040384
6,2021-12-28,13:52:08,0.5,ROS_VNF_command,36.1,2084077568,244961280,88.2,1661517824,78954496,955076608,803966976,19124224,324481024,1040384
7,2021-12-28,13:52:08,0.5,ROS_VNF_command,28.6,2084077568,244862976,88.3,1661616128,78856192,955076608,803966976,19124224,324481024,1040384
8,2021-12-28,13:52:09,0.5,ROS_VNF_command,30.1,2084077568,244862976,88.3,1661616128,78856192,955076608,803966976,19124224,324481024,1040384
9,2021-12-28,13:52:09,0.5,ROS_VNF_command,32.9,2084077568,245059584,88.2,1661419520,79052800,955076608,803966976,19124224,324481024,1040384
10,2021-12-28,13:52:10,0.5,ROS_VNF_command,33.3,2084077568,244928512,88.2,1661550592,78921728,955076608,803966976,19124224,324481024,1040384
11,2021-12-28,13:52:10,0.5,ROS_VNF_command,32.1,2084077568,244797440,88.3,1661681664,78790656,955076608,803966976,19124224,324481024,1040384
12,2021-12-28,13:52:11,0.5,ROS_VNF_command,28.8,2084077568,244797440,88.3,1661681664,78790656,955076608,803966976,19124224,324481024,1040384
13,2021-12-28,13:52:11,0.5,ROS_VNF_command,28.8,2084077568,244928512,88.2,1661550592,78921728,955076608,803966976,19124224,324481024,1040384
14,2021-12-28,13:52:12,0.5,ROS_VNF_command,36.4,2084077568,244961280,88.2,1661517824,78954496,955076608,803966976,19124224,324481024,1040384
15,2021-12-28,13:52:12,0.5,ROS_VNF_command,35.2,2084077568,244973568,88.2,1661517824,78954496,955088896,803966976,19124224,324481024,1040384
16,2021-12-28,13:52:13,0.5,ROS_VNF_command,31.7,2084077568,244940800,88.2,1661542400,78921728,955088896,803966976,19132416,324481024,1040384
17,2021-12-28,13:52:13,0.5,ROS_VNF_command,27.2,2084077568,244809728,88.3,1661673472,78790656,955088896,803966976,19132416,324481024,1040384
18,2021-12-28,13:52:14,0.5,ROS_VNF_command,33.3,2084077568,244842496,88.3,1661640704,78823424,955088896,803966976,19132416,324481024,1040384
19,2021-12-28,13:52:14,0.5,ROS_VNF_command,31.3,2084077568,244940800,88.2,1661542400,78921728,955088896,803966976,19132416,324481024,1040384
20,2021-12-28,13:52:15,0.5,ROS_VNF_command,31.3,2084077568,244940800,88.2,1661542400,78921728,955088896,803966976,19132416,324481024,1040384
21,2021-12-28,13:52:15,0.5,ROS_VNF_command,34.1,2084077568,245006336,88.2,1661476864,78987264,955088896,803966976,19132416,324481024,1040384
22,2021-12-28,13:52:16,0.5,ROS_VNF_command,28.9,2084077568,244776960,88.3,1661706240,78757888,955088896,803966976,19132416,324481024,1040384
23,2021-12-28,13:52:16,0.5,ROS_VNF_command,32.2,2084077568,244948992,88.2,1661542400,78921728,955101184,803966976,19132416,324481024,1040384
24,2021-12-28,13:52:17,0.5,ROS_VNF_command,29.8,2084077568,244948992,88.2,1661542400,78921728,955101184,803966976,19132416,324481024,1040384
25,2021-12-28,13:52:17,0.5,ROS_VNF_command,29.8,2084077568,244817920,88.3,1661673472,78790656,955101184,803966976,19132416,324481024,1040384
26,2021-12-28,13:52:18,0.5,ROS_VNF_command,28.4,2084077568,244948992,88.2,1661542400,78921728,955101184,803966976,19132416,324481024,1040384
27,2021-12-28,13:52:18,0.5,ROS_VNF_command,30.0,2084077568,244948992,88.2,1661534208,78921728,955101184,803966976,19140608,324481024,1040384
28,2021-12-28,13:52:19,0.5,ROS_VNF_command,22.1,2084077568,244752384,88.3,1661730816,78725120,955101184,803966976,19140608,324481024,1040384
29,2021-12-28,13:52:19,0.5,ROS_VNF_command,26.9,2084077568,244916224,88.2,1661558784,78888960,955101184,803966976,19140608,324489216,1040384
30,2021-12-28,13:52:20,0.5,ROS_VNF_command,35.2,2084077568,244981760,88.2,1661493248,78954496,955101184,803966976,19140608,324489216,1040384
31,2021-12-28,13:52:20,0.5,ROS_VNF_command,30.1,2084077568,244817920,88.3,1661657088,78790656,955101184,803966976,19140608,324489216,1040384
32,2021-12-28,13:52:21,0.5,ROS_VNF_command,24.4,2084077568,244924416,88.2,1661558784,78888960,955109376,803966976,19140608,324489216,1040384
33,2021-12-28,13:52:21,0.5,ROS_VNF_command,32.1,2084077568,244924416,88.2,1661558784,78888960,955109376,803966976,19140608,324489216,1040384
34,2021-12-28,13:52:22,0.5,ROS_VNF_command,23.8,2084077568,244957184,88.2,1661526016,78921728,955109376,803966976,19140608,324489216,1040384
35,2021-12-28,13:52:22,0.5,ROS_VNF_command,26.8,2084077568,244928512,88.2,1661558784,78888960,955113472,803971072,19140608,324489216,1040384
36,2021-12-28,13:52:23,0.5,ROS_VNF_command,35.3,2084077568,245018624,88.2,1661624320,78823424,955097088,803987456,19140608,324489216,1040384
37,2021-12-28,13:52:23,0.5,ROS_VNF_command,27.2,2084077568,245051392,88.2,1661591552,78856192,955097088,803987456,19140608,324489216,1040384
38,2021-12-28,13:52:24,0.5,ROS_VNF_command,26.9,2084077568,245149696,88.2,1661485056,78954496,955097088,803987456,19148800,324489216,1040384
39,2021-12-28,13:52:24,0.5,ROS_VNF_command,26.6,2084077568,245018624,88.2,1661616128,78823424,955097088,803987456,19148800,324489216,1040384
40,2021-12-28,13:52:25,0.5,ROS_VNF_command,29.3,2084077568,245051392,88.2,1661583360,78856192,955097088,803987456,19148800,324489216,1040384
41,2021-12-28,13:52:25,0.5,ROS_VNF_command,33.3,2084077568,245018624,88.2,1661616128,78823424,955097088,803987456,19148800,324489216,1040384
42,2021-12-28,13:52:26,0.5,ROS_VNF_command,28.6,2084077568,245084160,88.2,1661550592,78888960,955097088,803987456,19148800,324489216,1040384
