iteration,date,time,measurement_period,machine/VNF,sys_cpu,totalmem,availablemem,percentmem,usedmem,freemem,activemem,inactivemem,buffers,cached,shared
0,2021-12-29,17:11:43,0.2,ROS_VNF_driver,0.0,4127342592,3683004416,10.8,217849856,3396177920,257818624,342687744,47468544,465846272,1085440
1,2021-12-29,17:11:44,0.2,ROS_VNF_driver,0.0,4127342592,3683004416,10.8,217849856,3396177920,257818624,342687744,47468544,465846272,1085440
2,2021-12-29,17:11:44,0.2,ROS_VNF_driver,0.0,4127342592,3683004416,10.8,217841664,3396177920,257818624,342687744,47468544,465854464,1085440
3,2021-12-29,17:11:44,0.2,ROS_VNF_driver,0.0,4127342592,3683004416,10.8,217841664,3396177920,257818624,342687744,47468544,465854464,1085440
4,2021-12-29,17:11:44,0.2,ROS_VNF_driver,0.0,4127342592,3683004416,10.8,217841664,3396177920,257818624,342687744,47468544,465854464,1085440
5,2021-12-29,17:11:44,0.2,ROS_VNF_driver,0.0,4127342592,3683004416,10.8,217841664,3396177920,257818624,342687744,47468544,465854464,1085440
6,2021-12-29,17:11:45,0.2,ROS_VNF_driver,0.0,4127342592,3683004416,10.8,217841664,3396177920,257818624,342687744,47468544,465854464,1085440
7,2021-12-29,17:11:45,0.2,ROS_VNF_driver,0.0,4127342592,3683004416,10.8,217841664,3396177920,257818624,342687744,47468544,465854464,1085440
8,2021-12-29,17:11:45,0.2,ROS_VNF_driver,2.4,4127342592,3682746368,10.8,218099712,3395919872,257306624,342687744,47468544,465854464,1085440
9,2021-12-29,17:11:45,0.2,ROS_VNF_driver,0.0,4127342592,3682746368,10.8,218099712,3395919872,257306624,342687744,47468544,465854464,1085440
10,2021-12-29,17:11:45,0.2,ROS_VNF_driver,0.0,4127342592,3682746368,10.8,218099712,3395919872,257306624,342687744,47468544,465854464,1085440
11,2021-12-29,17:11:46,0.2,ROS_VNF_driver,0.0,4127342592,3682746368,10.8,218099712,3395919872,257306624,342687744,47468544,465854464,1085440
12,2021-12-29,17:11:46,0.2,ROS_VNF_driver,0.0,4127342592,3682762752,10.8,218091520,3395928064,257310720,342687744,47468544,465854464,1085440
13,2021-12-29,17:11:46,0.2,ROS_VNF_driver,0.0,4127342592,3682762752,10.8,218091520,3395928064,257310720,342687744,47468544,465854464,1085440
14,2021-12-29,17:11:46,0.2,ROS_VNF_driver,0.0,4127342592,3682762752,10.8,218091520,3395928064,257310720,342687744,47468544,465854464,1085440
15,2021-12-29,17:11:47,0.2,ROS_VNF_driver,0.0,4127342592,3682762752,10.8,218091520,3395928064,257310720,342687744,47468544,465854464,1085440
16,2021-12-29,17:11:47,0.2,ROS_VNF_driver,0.0,4127342592,3682762752,10.8,218091520,3395928064,257310720,342687744,47468544,465854464,1085440
17,2021-12-29,17:11:47,0.2,ROS_VNF_driver,0.0,4127342592,3682762752,10.8,218091520,3395928064,257310720,342687744,47468544,465854464,1085440
18,2021-12-29,17:11:47,0.2,ROS_VNF_driver,0.0,4127342592,3682762752,10.8,218091520,3395928064,257310720,342687744,47468544,465854464,1085440
19,2021-12-29,17:11:47,0.2,ROS_VNF_driver,0.0,4127342592,3682762752,10.8,218091520,3395928064,257310720,342687744,47468544,465854464,1085440
20,2021-12-29,17:11:48,0.2,ROS_VNF_driver,0.0,4127342592,3682762752,10.8,218091520,3395928064,257310720,342687744,47468544,465854464,1085440
21,2021-12-29,17:11:48,0.2,ROS_VNF_driver,0.0,4127342592,3682762752,10.8,218091520,3395928064,257310720,342687744,47468544,465854464,1085440
22,2021-12-29,17:11:48,0.2,ROS_VNF_driver,0.0,4127342592,3682762752,10.8,218091520,3395928064,257310720,342687744,47468544,465854464,1085440
23,2021-12-29,17:11:48,0.2,ROS_VNF_driver,2.0,4127342592,3682762752,10.8,218091520,3395928064,257310720,342687744,47468544,465854464,1085440
24,2021-12-29,17:11:48,0.2,ROS_VNF_driver,0.0,4127342592,3682762752,10.8,218091520,3395928064,257310720,342687744,47468544,465854464,1085440
25,2021-12-29,17:11:49,0.2,ROS_VNF_driver,0.0,4127342592,3682762752,10.8,218091520,3395928064,257310720,342687744,47476736,465846272,1085440
26,2021-12-29,17:11:49,0.2,ROS_VNF_driver,0.0,4127342592,3682762752,10.8,218083328,3395928064,257310720,342687744,47476736,465854464,1085440
27,2021-12-29,17:11:49,0.2,ROS_VNF_driver,0.0,4127342592,3682762752,10.8,218083328,3395928064,257310720,342687744,47476736,465854464,1085440
28,2021-12-29,17:11:49,0.2,ROS_VNF_driver,0.0,4127342592,3682762752,10.8,218083328,3395928064,257310720,342687744,47476736,465854464,1085440
29,2021-12-29,17:11:49,0.2,ROS_VNF_driver,0.0,4127342592,3682762752,10.8,218079232,3395928064,257310720,342687744,47476736,465858560,1085440
30,2021-12-29,17:11:50,0.2,ROS_VNF_driver,0.0,4127342592,3682762752,10.8,218079232,3395928064,257310720,342687744,47476736,465858560,1085440
31,2021-12-29,17:11:50,0.2,ROS_VNF_driver,0.0,4127342592,3682762752,10.8,218079232,3395928064,257310720,342687744,47476736,465858560,1085440
32,2021-12-29,17:11:50,0.2,ROS_VNF_driver,0.0,4127342592,3682762752,10.8,218079232,3395928064,257310720,342687744,47476736,465858560,1085440
33,2021-12-29,17:11:50,0.2,ROS_VNF_driver,0.0,4127342592,3682762752,10.8,218079232,3395928064,257310720,342687744,47476736,465858560,1085440
34,2021-12-29,17:11:50,0.2,ROS_VNF_driver,0.0,4127342592,3682762752,10.8,218079232,3395928064,257310720,342687744,47476736,465858560,1085440
35,2021-12-29,17:11:51,0.2,ROS_VNF_driver,0.0,4127342592,3682762752,10.8,218079232,3395928064,257310720,342687744,47476736,465858560,1085440
36,2021-12-29,17:11:51,0.2,ROS_VNF_driver,0.0,4127342592,3682762752,10.8,218079232,3395928064,257310720,342687744,47476736,465858560,1085440
37,2021-12-29,17:11:51,0.2,ROS_VNF_driver,0.0,4127342592,3682762752,10.8,218079232,3395928064,257310720,342687744,47476736,465858560,1085440
38,2021-12-29,17:11:51,0.2,ROS_VNF_driver,0.0,4127342592,3682762752,10.8,218079232,3395928064,257310720,342687744,47476736,465858560,1085440
39,2021-12-29,17:11:52,0.2,ROS_VNF_driver,0.0,4127342592,3682762752,10.8,218079232,3395928064,257310720,342687744,47476736,465858560,1085440
40,2021-12-29,17:11:52,0.2,ROS_VNF_driver,0.0,4127342592,3682762752,10.8,218079232,3395928064,257310720,342687744,47476736,465858560,1085440
41,2021-12-29,17:11:52,0.2,ROS_VNF_driver,0.0,4127342592,3682762752,10.8,218079232,3395928064,257310720,342687744,47476736,465858560,1085440
42,2021-12-29,17:11:52,0.2,ROS_VNF_driver,1.9,4127342592,3682762752,10.8,218079232,3395928064,257310720,342687744,47476736,465858560,1085440
43,2021-12-29,17:11:52,0.2,ROS_VNF_driver,0.0,4127342592,3682762752,10.8,218079232,3395928064,257310720,342687744,47476736,465858560,1085440
44,2021-12-29,17:11:53,0.2,ROS_VNF_driver,0.0,4127342592,3682762752,10.8,218079232,3395928064,257310720,342687744,47476736,465858560,1085440
45,2021-12-29,17:11:53,0.2,ROS_VNF_driver,1.8,4127342592,3682762752,10.8,218079232,3395928064,257310720,342687744,47476736,465858560,1085440
46,2021-12-29,17:11:53,0.2,ROS_VNF_driver,0.0,4127342592,3682762752,10.8,218079232,3395928064,257310720,342687744,47476736,465858560,1085440
47,2021-12-29,17:11:53,0.2,ROS_VNF_driver,0.0,4127342592,3682762752,10.8,218079232,3395928064,257310720,342687744,47476736,465858560,1085440
48,2021-12-29,17:11:54,0.2,ROS_VNF_driver,0.0,4127342592,3682762752,10.8,218079232,3395928064,257310720,342687744,47476736,465858560,1085440
49,2021-12-29,17:11:54,0.2,ROS_VNF_driver,0.0,4127342592,3682762752,10.8,218079232,3395928064,257310720,342687744,47484928,465850368,1085440
