iteration,date,time,measurement_period,machine/VNF,sys_cpu,totalmem,availablemem,percentmem,usedmem,freemem,activemem,inactivemem,buffers,cached,shared
0,2022-01-02,10:51:22,0.5,ROS_VNF_interface,57.0,4127342592,862191616,79.1,2996027392,360636416,3085238272,346464256,64471040,706207744,1642496
1,2022-01-02,10:51:22,0.5,ROS_VNF_interface,40.9,4127342592,862208000,79.1,2996015104,360603648,3085266944,346513408,64471040,706252800,1642496
2,2022-01-02,10:51:23,0.5,ROS_VNF_interface,46.2,4127342592,862240768,79.1,2995982336,360603648,3085287424,346546176,64471040,706285568,1642496
3,2022-01-02,10:51:23,0.5,ROS_VNF_interface,43.9,4127342592,862175232,79.1,2996039680,360538112,3085295616,346546176,64471040,706293760,1642496
4,2022-01-02,10:51:24,0.5,ROS_VNF_interface,42.4,4127342592,862244864,79.1,2995974144,360505344,3085340672,346648576,64471040,706392064,1642496
5,2022-01-02,10:51:24,0.5,ROS_VNF_interface,39.4,4127342592,862494720,79.1,2995736576,360701952,3085373440,346701824,64471040,706433024,1642496
6,2022-01-02,10:51:25,0.5,ROS_VNF_interface,45.3,4127342592,862347264,79.1,2995888128,360505344,3085393920,346746880,64471040,706478080,1642496
7,2022-01-02,10:51:25,0.5,ROS_VNF_interface,42.0,4127342592,872210432,78.9,2986008576,370368512,3076591616,346750976,64471040,706494464,1642496
8,2022-01-02,10:51:26,0.5,ROS_VNF_interface,38.9,4127342592,872329216,78.9,2985889792,370434048,3076562944,346791936,64483328,706535424,1642496
9,2022-01-02,10:51:26,0.5,ROS_VNF_interface,41.5,4127342592,872185856,78.9,2986033152,370290688,3076562944,346791936,64483328,706535424,1642496
10,2022-01-02,10:51:27,0.5,ROS_VNF_interface,36.6,4127342592,872521728,78.9,2985705472,370483200,3076628480,346927104,64483328,706670592,1642496
11,2022-01-02,10:51:27,0.5,ROS_VNF_interface,36.2,4127342592,872456192,78.9,2985750528,370417664,3076628480,346927104,64483328,706691072,1642496
12,2022-01-02,10:51:28,0.5,ROS_VNF_interface,37.8,4127342592,872587264,78.9,2985631744,370515968,3076657152,346959872,64483328,706711552,1642496
13,2022-01-02,10:51:28,0.5,ROS_VNF_interface,41.1,4127342592,872271872,78.9,2985918464,370159616,3076677632,347000832,64483328,706781184,1642496
14,2022-01-02,10:51:29,0.5,ROS_VNF_interface,58.6,4127342592,872275968,78.9,2985930752,370126848,3076710400,347037696,64483328,706801664,1642496
15,2022-01-02,10:51:29,0.5,ROS_VNF_interface,29.1,4127342592,872116224,78.9,2986110976,369901568,3076734976,347099136,64483328,706846720,1642496
16,2022-01-02,10:51:30,0.5,ROS_VNF_interface,34.5,4127342592,872521728,78.9,2985689088,370257920,3076763648,347144192,64483328,706912256,1642496
17,2022-01-02,10:51:30,0.5,ROS_VNF_interface,33.7,4127342592,872390656,78.9,2985820160,370126848,3076763648,347144192,64483328,706912256,1642496
18,2022-01-02,10:51:31,0.5,ROS_VNF_interface,26.5,4127342592,872525824,78.9,2985672704,370225152,3076792320,347181056,64491520,706953216,1642496
19,2022-01-02,10:51:31,0.5,ROS_VNF_interface,29.8,4127342592,872542208,78.9,2985668608,370225152,3076792320,347197440,64491520,706957312,1642496
20,2022-01-02,10:51:32,0.5,ROS_VNF_interface,41.8,4127342592,872525824,78.9,2985680896,370151424,3076820992,347242496,64491520,707018752,1642496
21,2022-01-02,10:51:33,0.5,ROS_VNF_interface,36.3,4127342592,872591360,78.9,2985570304,370216960,3076829184,347242496,64491520,707063808,1642496
22,2022-01-02,10:51:33,0.5,ROS_VNF_interface,42.5,4127342592,872554496,78.9,2985664512,370118656,3076829184,347303936,64491520,707067904,1642496
23,2022-01-02,10:51:34,0.5,ROS_VNF_interface,50.0,4127342592,872423424,78.9,2985795584,369987584,3076829184,347303936,64491520,707067904,1642496
24,2022-01-02,10:51:34,0.5,ROS_VNF_interface,42.2,4127342592,872370176,78.9,2985799680,369893376,3076890624,347344896,64491520,707158016,1642496
25,2022-01-02,10:51:35,0.5,ROS_VNF_interface,39.5,4127342592,872456192,78.9,2985738240,369926144,3076898816,347398144,64491520,707186688,1642496
26,2022-01-02,10:51:35,0.5,ROS_VNF_interface,47.9,4127342592,872333312,78.9,2985832448,369795072,3076898816,347406336,64491520,707223552,1642496
27,2022-01-02,10:51:36,0.5,ROS_VNF_interface,34.1,4127342592,872841216,78.9,2985324544,370282496,3076898816,347426816,64491520,707244032,1642496
28,2022-01-02,10:51:36,0.5,ROS_VNF_interface,46.7,4127342592,872841216,78.9,2985353216,370184192,3076935680,347516928,64499712,707305472,1642496
29,2022-01-02,10:51:37,0.5,ROS_VNF_interface,47.8,4127342592,872910848,78.9,2985291776,370216960,3076943872,347553792,64499712,707334144,1642496
30,2022-01-02,10:51:37,0.5,ROS_VNF_interface,36.5,4127342592,872943616,78.8,2985242624,370249728,3076943872,347553792,64499712,707350528,1642496
31,2022-01-02,10:51:38,0.5,ROS_VNF_interface,45.1,4127342592,872943616,78.8,2985242624,370249728,3076943872,347553792,64499712,707350528,1642496
32,2022-01-02,10:51:38,0.5,ROS_VNF_interface,36.5,4127342592,872767488,78.9,2985418752,369958912,3076964352,347664384,64499712,707465216,1642496
33,2022-01-02,10:51:39,0.5,ROS_VNF_interface,33.7,4127342592,872869888,78.9,2985299968,370024448,3076964352,347701248,64499712,707518464,1642496
34,2022-01-02,10:51:39,0.5,ROS_VNF_interface,46.9,4127342592,872820736,78.9,2985394176,369926144,3076976640,347750400,64499712,707522560,1642496
35,2022-01-02,10:51:40,0.5,ROS_VNF_interface,44.2,4127342592,872927232,78.9,2985271296,369991680,3076980736,347791360,64499712,707579904,1642496
36,2022-01-02,10:51:40,0.5,ROS_VNF_interface,34.1,4127342592,872898560,78.9,2985267200,369958912,3076984832,347795456,64499712,707616768,1642496
37,2022-01-02,10:51:41,0.5,ROS_VNF_interface,47.8,4127342592,872927232,78.9,2985259008,369926144,3076997120,347856896,64499712,707657728,1642496
38,2022-01-02,10:51:41,0.5,ROS_VNF_interface,37.4,4127342592,872722432,78.9,2985476096,369668096,3077025792,347901952,64507904,707690496,1642496
39,2022-01-02,10:51:42,0.5,ROS_VNF_interface,46.6,4127342592,872529920,78.9,2985668608,369475584,3077025792,347901952,64507904,707690496,1642496
40,2022-01-02,10:51:42,0.5,ROS_VNF_interface,47.7,4127342592,872824832,78.9,2985377792,369668096,3077058560,348004352,64507904,707788800,1642496
41,2022-01-02,10:51:43,0.5,ROS_VNF_interface,32.5,4127342592,872808448,78.9,2985377792,369635328,3077062656,348016640,64507904,707821568,1642496
42,2022-01-02,10:51:43,0.5,ROS_VNF_interface,36.3,4127342592,872787968,78.9,2985369600,369569792,3077091328,348061696,64507904,707895296,1642496
43,2022-01-02,10:51:44,0.5,ROS_VNF_interface,35.5,4127342592,872656896,78.9,2985549824,369377280,3077156864,348123136,64507904,707907584,1642496
44,2022-01-02,10:51:44,0.5,ROS_VNF_interface,38.3,4127342592,872804352,78.9,2985365504,369508352,3077160960,348135424,64507904,707960832,1642496
45,2022-01-02,10:51:45,0.5,ROS_VNF_interface,39.0,4127342592,872751104,78.9,2985435136,369410048,3077185536,348180480,64507904,707989504,1642496
46,2022-01-02,10:51:45,0.5,ROS_VNF_interface,46.1,4127342592,872693760,78.9,2985492480,369311744,3077218304,348221440,64507904,708030464,1642496
47,2022-01-02,10:51:46,0.5,ROS_VNF_interface,40.2,4127342592,872493056,78.9,2985713664,369053696,3077222400,348278784,64507904,708067328,1642496
48,2022-01-02,10:51:46,0.5,ROS_VNF_interface,37.8,4127342592,872501248,78.9,2985680896,369053696,3077230592,348278784,64516096,708091904,1642496
49,2022-01-02,10:51:47,0.5,ROS_VNF_interface,38.3,4127342592,872476672,78.9,2985717760,368992256,3077255168,348315648,64516096,708116480,1642496
50,2022-01-02,10:51:47,0.5,ROS_VNF_interface,45.5,4127342592,872185856,78.9,2986008576,368664576,3077255168,348352512,64516096,708153344,1642496
51,2022-01-02,10:51:48,0.5,ROS_VNF_interface,34.1,4127342592,872435712,78.9,2985742336,368893952,3077263360,348372992,64516096,708190208,1642496
52,2022-01-02,10:51:48,0.5,ROS_VNF_interface,29.6,4127342592,872415232,78.9,2985791488,368795648,3077279744,348450816,64516096,708239360,1642496
53,2022-01-02,10:51:49,0.5,ROS_VNF_interface,35.6,4127342592,872529920,78.9,2985668608,368861184,3077308416,348499968,64516096,708296704,1642496
54,2022-01-02,10:51:49,0.5,ROS_VNF_interface,33.7,4127342592,872431616,78.9,2985766912,368762880,3077308416,348499968,64516096,708296704,1642496
55,2022-01-02,10:51:50,0.5,ROS_VNF_interface,38.5,4127342592,872562688,78.9,2985635840,368893952,3077308416,348499968,64516096,708296704,1642496
56,2022-01-02,10:51:50,0.5,ROS_VNF_interface,37.5,4127342592,872816640,78.9,2985349120,369119232,3077312512,348528640,64516096,708358144,1642496
57,2022-01-02,10:51:51,0.5,ROS_VNF_interface,45.4,4127342592,872251392,78.9,2985943040,368504832,3077324800,348577792,64516096,708378624,1642496
58,2022-01-02,10:51:51,0.5,ROS_VNF_interface,32.9,4127342592,872361984,78.9,2985824256,368562176,3077357568,348618752,64524288,708431872,1642496
59,2022-01-02,10:51:52,0.5,ROS_VNF_interface,34.8,4127342592,872329216,78.9,2985857024,368529408,3077357568,348618752,64524288,708431872,1642496
60,2022-01-02,10:51:52,0.5,ROS_VNF_interface,48.9,4127342592,872480768,78.9,2985705472,368627712,3077369856,348667904,64524288,708485120,1642496
61,2022-01-02,10:51:53,0.5,ROS_VNF_interface,40.4,4127342592,872521728,78.9,2985635840,368660480,3077369856,348676096,64524288,708521984,1642496
62,2022-01-02,10:51:53,0.5,ROS_VNF_interface,46.7,4127342592,872484864,78.9,2985676800,368562176,3077398528,348737536,64524288,708579328,1642496
63,2022-01-02,10:51:54,0.5,ROS_VNF_interface,40.4,4127342592,872235008,78.9,2985926656,368295936,3077406720,348753920,64524288,708595712,1642496
64,2022-01-02,10:51:54,0.5,ROS_VNF_interface,32.6,4127342592,872194048,78.9,2985967616,368197632,3077414912,348807168,64524288,708653056,1642496
65,2022-01-02,10:51:55,0.5,ROS_VNF_interface,40.2,4127342592,872218624,78.9,2985959424,368164864,3077419008,348864512,64524288,708694016,1642496
66,2022-01-02,10:51:55,0.5,ROS_VNF_interface,40.6,4127342592,872402944,78.9,2985754624,368328704,3077431296,348884992,64524288,708734976,1642496
67,2022-01-02,10:51:56,0.5,ROS_VNF_interface,35.8,4127342592,872337408,78.9,2985820160,368263168,3077435392,348884992,64524288,708734976,1642496
68,2022-01-02,10:51:56,0.5,ROS_VNF_interface,50.0,4127342592,872538112,78.9,2985615360,368394240,3077451776,348942336,64532480,708800512,1642496
69,2022-01-02,10:51:57,0.5,ROS_VNF_interface,38.7,4127342592,872488960,78.9,2985680896,368295936,3077464064,348991488,64532480,708833280,1642496
70,2022-01-02,10:51:57,0.5,ROS_VNF_interface,52.9,4127342592,872398848,78.9,2985771008,368136192,3077488640,349061120,64532480,708902912,1642496
71,2022-01-02,10:51:58,0.5,ROS_VNF_interface,52.2,4127342592,872374272,78.9,2985775104,368103424,3077492736,349065216,64532480,708931584,1642496
72,2022-01-02,10:51:58,0.5,ROS_VNF_interface,35.6,4127342592,872423424,78.9,2985754624,368103424,3077505024,349114368,64532480,708952064,1642496
73,2022-01-02,10:51:59,0.5,ROS_VNF_interface,41.1,4127342592,872488960,78.9,2985689088,368168960,3077505024,349114368,64532480,708952064,1642496
74,2022-01-02,10:51:59,0.5,ROS_VNF_interface,35.6,4127342592,872443904,78.9,2985725952,368070656,3077517312,349167616,64532480,709013504,1642496
75,2022-01-02,10:52:00,0.5,ROS_VNF_interface,33.3,4127342592,872509440,78.9,2985635840,368136192,3077521408,349167616,64532480,709038080,1642496
76,2022-01-02,10:52:00,0.5,ROS_VNF_interface,36.0,4127342592,872378368,78.9,2985783296,367943680,3077558272,349229056,64532480,709083136,1642496
77,2022-01-02,10:52:01,0.5,ROS_VNF_interface,29.4,4127342592,872411136,78.9,2985750528,367976448,3077566464,349229056,64532480,709083136,1642496
78,2022-01-02,10:52:01,0.5,ROS_VNF_interface,43.2,4127342592,872296448,78.9,2985844736,367779840,3077591040,349310976,64540672,709177344,1642496
79,2022-01-02,10:52:02,0.5,ROS_VNF_interface,19.7,4127342592,872394752,78.9,2985746432,367878144,3077591040,349310976,64540672,709177344,1642496
80,2022-01-02,10:52:02,0.5,ROS_VNF_interface,35.5,4127342592,872402944,78.9,2985779200,367845376,3077623808,349343744,64540672,709177344,1642496
81,2022-01-02,10:52:03,0.5,ROS_VNF_interface,42.7,4127342592,872128512,78.9,2986020864,367521792,3077640192,349388800,64540672,709259264,1642496
82,2022-01-02,10:52:03,0.5,ROS_VNF_interface,45.9,4127342592,872243200,78.9,2985934848,367587328,3077652480,349437952,64540672,709279744,1642496
83,2022-01-02,10:52:04,0.5,ROS_VNF_interface,33.7,4127342592,872275968,78.9,2985877504,367620096,3077652480,349437952,64540672,709304320,1642496
84,2022-01-02,10:52:04,0.5,ROS_VNF_interface,37.2,4127342592,872181760,78.9,2985971712,367521792,3077656576,349442048,64540672,709308416,1642496
85,2022-01-02,10:52:05,0.5,ROS_VNF_interface,40.2,4127342592,872378368,78.9,2985775104,367718400,3077660672,349442048,64540672,709308416,1642496
86,2022-01-02,10:52:05,0.5,ROS_VNF_interface,45.1,4127342592,872214528,78.9,2985943040,367415296,3077693440,349577216,64540672,709443584,1642496
87,2022-01-02,10:52:06,0.5,ROS_VNF_interface,37.2,4127342592,872087552,78.9,2986049536,367288320,3077693440,349577216,64540672,709464064,1642496
88,2022-01-02,10:52:06,0.5,ROS_VNF_interface,41.4,4127342592,872288256,78.9,2985848832,367419392,3077718016,349638656,64548864,709525504,1642496
89,2022-01-02,10:52:07,0.5,ROS_VNF_interface,28.2,4127342592,872157184,78.9,2985979904,367288320,3077718016,349638656,64548864,709525504,1642496
90,2022-01-02,10:52:07,0.5,ROS_VNF_interface,45.0,4127342592,872103936,78.9,2986057728,367128576,3077742592,349745152,64548864,709607424,1642496
91,2022-01-02,10:52:08,0.5,ROS_VNF_interface,47.4,4127342592,872038400,78.9,2986123264,367063040,3077742592,349745152,64548864,709607424,1642496
92,2022-01-02,10:52:08,0.5,ROS_VNF_interface,34.6,4127342592,872144896,78.9,2985971712,367128576,3077742592,349786112,64548864,709693440,1642496
93,2022-01-02,10:52:09,0.5,ROS_VNF_interface,36.0,4127342592,872026112,78.9,2986115072,366931968,3077758976,349863936,64548864,709746688,1642496
94,2022-01-02,10:52:09,0.5,ROS_VNF_interface,36.5,4127342592,872189952,78.9,2985947136,367095808,3077758976,349863936,64548864,709750784,1642496
95,2022-01-02,10:52:10,0.5,ROS_VNF_interface,41.6,4127342592,872058880,78.9,2986078208,366964736,3077758976,349863936,64548864,709750784,1642496
96,2022-01-02,10:52:10,0.5,ROS_VNF_interface,42.3,4127342592,872235008,78.9,2985922560,367063040,3077771264,349941760,64548864,709808128,1642496
97,2022-01-02,10:52:11,0.5,ROS_VNF_interface,39.1,4127342592,872009728,78.9,2986127360,366772224,3077783552,350007296,64548864,709894144,1642496
98,2022-01-02,10:52:11,0.5,ROS_VNF_interface,44.6,4127342592,871976960,78.9,2986160128,366739456,3077783552,350007296,64557056,709885952,1642496
99,2022-01-02,10:52:12,0.5,ROS_VNF_interface,31.4,4127342592,871956480,78.9,2986205184,366673920,3077799936,350052352,64557056,709906432,1642496
100,2022-01-02,10:52:12,0.5,ROS_VNF_interface,31.0,4127342592,872103936,78.9,2986020864,366804992,3077808128,350056448,64557056,709959680,1642496
101,2022-01-02,10:52:13,0.5,ROS_VNF_interface,46.4,4127342592,872169472,78.9,2985979904,366804992,3077812224,350121984,64557056,710000640,1642496
102,2022-01-02,10:52:13,0.5,ROS_VNF_interface,43.1,4127342592,872120320,78.9,2986053632,366706688,3077824512,350171136,64557056,710025216,1642496
103,2022-01-02,10:52:14,0.5,ROS_VNF_interface,43.3,4127342592,871763968,78.9,2986373120,366350336,3077885952,350171136,64557056,710062080,1642496
104,2022-01-02,10:52:14,0.5,ROS_VNF_interface,52.8,4127342592,872009728,78.9,2986147840,366514176,3077914624,350253056,64557056,710123520,1642496
105,2022-01-02,10:52:15,0.5,ROS_VNF_interface,32.6,4127342592,872370176,78.9,2985746432,366870528,3077914624,350257152,64557056,710168576,1642496
106,2022-01-02,10:52:15,0.5,ROS_VNF_interface,36.8,4127342592,872337408,78.9,2985762816,366837760,3077914624,350257152,64557056,710184960,1642496
107,2022-01-02,10:52:16,0.5,ROS_VNF_interface,41.4,4127342592,872296448,78.9,2985852928,366739456,3077918720,350314496,64557056,710193152,1642496
108,2022-01-02,10:52:16,0.5,ROS_VNF_interface,36.0,4127342592,872439808,78.9,2985725952,366804992,3077926912,350388224,64557056,710254592,1642496
109,2022-01-02,10:52:17,0.5,ROS_VNF_interface,41.1,4127342592,872091648,78.9,2986053632,366448640,3077935104,350388224,64565248,710275072,1642496
110,2022-01-02,10:52:17,0.5,ROS_VNF_interface,45.4,4127342592,871960576,78.9,2986192896,366288896,3077935104,350416896,64565248,710295552,1642496
111,2022-01-02,10:52:18,0.5,ROS_VNF_interface,51.2,4127342592,872058880,78.9,2986094592,366387200,3077935104,350416896,64565248,710295552,1642496
112,2022-01-02,10:52:18,0.5,ROS_VNF_interface,39.1,4127342592,872030208,78.9,2986110976,366256128,3077947392,350515200,64565248,710410240,1642496
113,2022-01-02,10:52:19,0.5,ROS_VNF_interface,29.5,4127342592,871899136,78.9,2986242048,366125056,3077947392,350515200,64565248,710410240,1642496
114,2022-01-02,10:52:19,0.5,ROS_VNF_interface,36.3,4127342592,871989248,78.9,2986168320,366157824,3077955584,350572544,64565248,710451200,1642496
115,2022-01-02,10:52:20,0.5,ROS_VNF_interface,46.1,4127342592,872210432,78.9,2985947136,366321664,3077967872,350625792,64565248,710508544,1642496
116,2022-01-02,10:52:20,0.5,ROS_VNF_interface,37.9,4127342592,872112128,78.9,2986029056,366223360,3077967872,350625792,64565248,710524928,1642496
117,2022-01-02,10:52:21,0.5,ROS_VNF_interface,28.2,4127342592,872243200,78.9,2985897984,366354432,3077967872,350625792,64565248,710524928,1642496
118,2022-01-02,10:52:21,0.5,ROS_VNF_interface,41.2,4127342592,871981056,78.9,2986139648,366063616,3077984256,350654464,64565248,710574080,1642496
119,2022-01-02,10:52:22,0.5,ROS_VNF_interface,39.6,4127342592,871940096,78.9,2986176512,365965312,3077988352,350711808,64573440,710627328,1642496
120,2022-01-02,10:52:22,0.5,ROS_VNF_interface,47.9,4127342592,872030208,78.9,2986115072,365998080,3078025216,350760960,64573440,710656000,1642496
121,2022-01-02,10:52:23,0.5,ROS_VNF_interface,42.9,4127342592,871968768,78.9,2986176512,365936640,3078033408,350760960,64573440,710656000,1642496
122,2022-01-02,10:52:23,0.5,ROS_VNF_interface,45.8,4127342592,871833600,78.9,2986287104,365740032,3078033408,350818304,64573440,710742016,1642496
123,2022-01-02,10:52:24,0.5,ROS_VNF_interface,38.5,4127342592,871919616,78.9,2986233856,365772800,3078041600,350871552,64573440,710762496,1642496
124,2022-01-02,10:52:24,0.5,ROS_VNF_interface,39.8,4127342592,871886848,78.9,2986262528,365740032,3078041600,350871552,64573440,710766592,1642496
125,2022-01-02,10:52:25,0.5,ROS_VNF_interface,31.0,4127342592,872017920,78.9,2986131456,365871104,3078041600,350871552,64573440,710766592,1642496
126,2022-01-02,10:52:25,0.5,ROS_VNF_interface,34.1,4127342592,871911424,78.9,2986196992,365707264,3078045696,350928896,64573440,710864896,1642496
127,2022-01-02,10:52:26,0.5,ROS_VNF_interface,31.3,4127342592,871997440,78.9,2986119168,365740032,3078057984,350982144,64573440,710909952,1642496
128,2022-01-02,10:52:26,0.5,ROS_VNF_interface,49.4,4127342592,871903232,78.9,2986233856,365608960,3078057984,351019008,64573440,710926336,1642496
129,2022-01-02,10:52:27,0.5,ROS_VNF_interface,32.2,4127342592,872103936,78.9,2986012672,365805568,3078057984,351019008,64581632,710942720,1642496
130,2022-01-02,10:52:27,0.5,ROS_VNF_interface,35.6,4127342592,872095744,78.9,2986016768,365772800,3078082560,351035392,64581632,710971392,1642496
131,2022-01-02,10:52:28,0.5,ROS_VNF_interface,43.5,4127342592,872001536,78.9,2986110976,365674496,3078082560,351039488,64581632,710975488,1642496
132,2022-01-02,10:52:28,0.5,ROS_VNF_interface,52.0,4127342592,871575552,78.9,2986532864,365158400,3078094848,351129600,64581632,711069696,1642496
133,2022-01-02,10:52:29,0.5,ROS_VNF_interface,42.2,4127342592,871763968,78.9,2986381312,365289472,3078098944,351186944,64581632,711090176,1642496
134,2022-01-02,10:52:29,0.5,ROS_VNF_interface,54.1,4127342592,871641088,78.9,2986491904,365158400,3078098944,351195136,64581632,711110656,1642496
135,2022-01-02,10:52:30,0.5,ROS_VNF_interface,43.1,4127342592,871673856,78.9,2986442752,365191168,3078098944,351195136,64581632,711127040,1642496
136,2022-01-02,10:52:30,0.5,ROS_VNF_interface,42.4,4127342592,871723008,78.9,2986401792,365191168,3078103040,351244288,64581632,711168000,1642496
137,2022-01-02,10:52:31,0.5,ROS_VNF_interface,43.7,4127342592,871849984,78.9,2986295296,365256704,3078103040,351305728,64581632,711208960,1642496
138,2022-01-02,10:52:31,0.5,ROS_VNF_interface,37.9,4127342592,872009728,78.9,2986115072,365416448,3078103040,351305728,64581632,711229440,1642496
139,2022-01-02,10:52:32,0.5,ROS_VNF_interface,42.3,4127342592,871825408,78.9,2986319872,365170688,3078103040,351367168,64589824,711262208,1642496
140,2022-01-02,10:52:32,0.5,ROS_VNF_interface,36.6,4127342592,871956480,78.9,2986168320,365289472,3078111232,351371264,64589824,711294976,1642496
141,2022-01-02,10:52:33,0.5,ROS_VNF_interface,44.4,4127342592,871821312,78.9,2986311680,365125632,3078111232,351399936,64589824,711315456,1642496
142,2022-01-02,10:52:33,0.5,ROS_VNF_interface,45.1,4127342592,871677952,78.9,2986467328,364867584,3078135808,351514624,64589824,711417856,1642496
143,2022-01-02,10:52:34,0.5,ROS_VNF_interface,27.7,4127342592,871776256,78.9,2986369024,364965888,3078135808,351514624,64589824,711417856,1642496
144,2022-01-02,10:52:34,0.5,ROS_VNF_interface,43.2,4127342592,871796736,78.9,2986328064,364965888,3078135808,351535104,64589824,711458816,1642496
