iteration,date,time,measurement_period,machine/VNF,sys_cpu,totalmem,availablemem,percentmem,usedmem,freemem,activemem,inactivemem,buffers,cached,shared
0,2021-12-27,19:56:44,0.5,ROS_VNF_interface,9.7,4127342592,3307270144,19.9,577589248,2864001024,750809088,334016512,60760064,624992256,1159168
1,2021-12-27,19:56:44,0.5,ROS_VNF_interface,8.8,4127342592,3307290624,19.9,577568768,2864001024,750809088,334036992,60760064,625012736,1159168
2,2021-12-27,19:56:45,0.5,ROS_VNF_interface,7.7,4127342592,3307347968,19.9,577511424,2864033792,750809088,334061568,60760064,625037312,1159168
3,2021-12-27,19:56:45,0.5,ROS_VNF_interface,13.4,4127342592,3307298816,19.9,577556480,2863968256,750809088,334077952,60760064,625057792,1159168
4,2021-12-27,19:56:46,0.5,ROS_VNF_interface,15.6,4127342592,3314077696,19.7,570785792,2870726656,743231488,334098432,60760064,625070080,1159168
5,2021-12-27,19:56:46,0.5,ROS_VNF_interface,7.7,4127342592,3314208768,19.7,570654720,2870857728,743231488,334098432,60760064,625070080,1159168
6,2021-12-27,19:56:47,0.5,ROS_VNF_interface,8.7,4127342592,3314204672,19.7,570621952,2870816768,743084032,334131200,60772352,625131520,1159168
7,2021-12-27,19:56:47,0.5,ROS_VNF_interface,11.0,4127342592,3314561024,19.7,570601472,2870816768,742813696,334475264,60772352,625152000,1159168
8,2021-12-27,19:56:48,0.5,ROS_VNF_interface,10.8,4127342592,3314630656,19.7,570523648,2870882304,742813696,334479360,60772352,625164288,1159168
9,2021-12-27,19:56:48,0.5,ROS_VNF_interface,16.2,4127342592,3314761728,19.7,570392576,2871013376,742813696,334479360,60772352,625164288,1159168
10,2021-12-27,19:56:49,0.5,ROS_VNF_interface,7.7,4127342592,3314393088,19.7,570720256,2870624256,742813696,334499840,60772352,625225728,1159168
11,2021-12-27,19:56:49,0.5,ROS_VNF_interface,5.7,4127342592,3314421760,19.7,570699776,2870624256,742813696,334528512,60772352,625246208,1159168
12,2021-12-27,19:56:50,0.5,ROS_VNF_interface,5.7,4127342592,3314462720,19.7,570646528,2870657024,742813696,334536704,60772352,625266688,1159168
13,2021-12-27,19:56:50,0.5,ROS_VNF_interface,8.7,4127342592,3314798592,19.7,570335232,2870947840,742813696,334581760,60772352,625287168,1159168
14,2021-12-27,19:56:51,0.5,ROS_VNF_interface,13.5,4127342592,3314786304,19.7,570351616,2870915072,742813696,334602240,60772352,625303552,1159168
15,2021-12-27,19:56:51,0.5,ROS_VNF_interface,9.7,4127342592,3314753536,19.7,570363904,2870882304,742813696,334602240,60772352,625324032,1159168
16,2021-12-27,19:56:52,0.5,ROS_VNF_interface,7.9,4127342592,3314905088,19.7,570195968,2871013376,742813696,334622720,60780544,625352704,1159168
17,2021-12-27,19:56:52,0.5,ROS_VNF_interface,6.7,4127342592,3314593792,19.7,570519552,2870689792,742821888,334626816,60780544,625352704,1159168
18,2021-12-27,19:56:53,0.5,ROS_VNF_interface,10.6,4127342592,3314593792,19.7,570531840,2870624256,742821888,334688256,60780544,625405952,1159168
19,2021-12-27,19:56:53,0.5,ROS_VNF_interface,15.3,4127342592,3314753536,19.7,570408960,2870722560,742821888,334749696,60780544,625430528,1159168
20,2021-12-27,19:56:54,0.5,ROS_VNF_interface,8.7,4127342592,3314819072,19.7,570327040,2870788096,742821888,334749696,60780544,625446912,1159168
21,2021-12-27,19:56:54,0.5,ROS_VNF_interface,9.7,4127342592,3314786304,19.7,570351616,2870755328,742821888,334749696,60780544,625455104,1159168
22,2021-12-27,19:56:55,0.5,ROS_VNF_interface,8.7,4127342592,3314618368,19.7,570519552,2870558720,742821888,334778368,60780544,625483776,1159168
23,2021-12-27,19:56:55,0.5,ROS_VNF_interface,8.7,4127342592,3314651136,19.7,570482688,2870591488,742821888,334778368,60780544,625487872,1159168
24,2021-12-27,19:56:56,0.5,ROS_VNF_interface,4.5,4127342592,3314843648,19.7,570302464,2870722560,742825984,334839808,60780544,625537024,1159168
25,2021-12-27,19:56:56,0.5,ROS_VNF_interface,10.6,4127342592,3314745344,19.7,570400768,2870624256,742825984,334839808,60780544,625537024,1159168
26,2021-12-27,19:56:57,0.5,ROS_VNF_interface,8.7,4127342592,3314671616,19.7,570458112,2870525952,742825984,334864384,60788736,625569792,1159168
27,2021-12-27,19:56:57,0.5,ROS_VNF_interface,8.0,4127342592,3314540544,19.7,570572800,2870394880,742825984,334864384,60788736,625586176,1159168
