iteration,date,time,measurement_period,machine/VNF,sys_cpu,totalmem,availablemem,percentmem,usedmem,freemem,activemem,inactivemem,buffers,cached,shared
0,2022-01-01,23:30:46,0.5,ROS_VNF_interface,34.4,4127342592,2263388160,45.2,1607806976,1806143488,1750511616,324997120,62586880,650805248,1368064
1,2022-01-01,23:30:47,0.5,ROS_VNF_interface,31.4,4127342592,2263453696,45.2,1607737344,1806209024,1750511616,324997120,62586880,650809344,1368064
2,2022-01-01,23:30:47,0.5,ROS_VNF_interface,31.4,4127342592,2263420928,45.2,1607766016,1806176256,1750511616,324997120,62586880,650813440,1368064
3,2022-01-01,23:30:48,0.5,ROS_VNF_interface,34.1,4127342592,2263552000,45.2,1607634944,1806307328,1750511616,324997120,62586880,650813440,1368064
4,2022-01-01,23:30:48,0.5,ROS_VNF_interface,32.6,4127342592,2263453696,45.2,1607716864,1806209024,1750511616,324997120,62599168,650817536,1368064
5,2022-01-01,23:30:49,0.5,ROS_VNF_interface,35.7,4127342592,2263552000,45.2,1607618560,1806307328,1750511616,324997120,62599168,650817536,1368064
6,2022-01-01,23:30:49,0.5,ROS_VNF_interface,39.0,4127342592,2272092160,45.0,1599102976,1814822912,1743278080,325009408,62599168,650817536,1368064
7,2022-01-01,23:30:50,0.5,ROS_VNF_interface,34.9,4127342592,2272288768,44.9,1598906368,1815019520,1743278080,325009408,62599168,650817536,1368064
8,2022-01-01,23:30:50,0.5,ROS_VNF_interface,25.6,4127342592,2272227328,44.9,1598971904,1814953984,1743278080,325013504,62599168,650817536,1368064
9,2022-01-01,23:30:51,0.5,ROS_VNF_interface,27.7,4127342592,2272194560,44.9,1599004672,1814921216,1743278080,325013504,62599168,650817536,1368064
10,2022-01-01,23:30:51,0.5,ROS_VNF_interface,26.8,4127342592,2272161792,44.9,1599037440,1814888448,1743278080,325013504,62599168,650817536,1368064
11,2022-01-01,23:30:52,0.5,ROS_VNF_interface,31.4,4127342592,2272063488,45.0,1599135744,1814790144,1743278080,325013504,62599168,650817536,1368064
12,2022-01-01,23:30:52,0.5,ROS_VNF_interface,34.1,4127342592,2272096256,45.0,1599102976,1814822912,1743278080,325013504,62599168,650817536,1368064
13,2022-01-01,23:30:53,0.5,ROS_VNF_interface,35.6,4127342592,2272063488,45.0,1599135744,1814790144,1743278080,325013504,62599168,650817536,1368064
14,2022-01-01,23:30:53,0.5,ROS_VNF_interface,28.0,4127342592,2272030720,45.0,1599168512,1814757376,1743278080,325013504,62599168,650817536,1368064
15,2022-01-01,23:30:54,0.5,ROS_VNF_interface,40.2,4127342592,2272030720,45.0,1599168512,1814757376,1743278080,325013504,62607360,650809344,1368064
16,2022-01-01,23:30:54,0.5,ROS_VNF_interface,38.8,4127342592,2272194560,44.9,1598996480,1814921216,1743278080,325013504,62607360,650817536,1368064
17,2022-01-01,23:30:55,0.5,ROS_VNF_interface,35.4,4127342592,2272129024,44.9,1599062016,1814855680,1743278080,325013504,62607360,650817536,1368064
18,2022-01-01,23:30:55,0.5,ROS_VNF_interface,31.6,4127342592,2272129024,44.9,1599062016,1814855680,1743278080,325013504,62607360,650817536,1368064
19,2022-01-01,23:30:56,0.5,ROS_VNF_interface,37.3,4127342592,2272129024,44.9,1599062016,1814855680,1743278080,325013504,62607360,650817536,1368064
20,2022-01-01,23:30:56,0.5,ROS_VNF_interface,40.4,4127342592,2272096256,45.0,1599078400,1814822912,1743278080,325013504,62607360,650833920,1368064
21,2022-01-01,23:30:57,0.5,ROS_VNF_interface,44.8,4127342592,2272182272,44.9,1599012864,1814888448,1743286272,325025792,62607360,650833920,1368064
22,2022-01-01,23:30:57,0.5,ROS_VNF_interface,38.8,4127342592,2272149504,44.9,1599045632,1814855680,1743286272,325025792,62607360,650833920,1368064
23,2022-01-01,23:30:58,0.5,ROS_VNF_interface,41.8,4127342592,2272149504,44.9,1599045632,1814855680,1743286272,325025792,62607360,650833920,1368064
24,2022-01-01,23:30:58,0.5,ROS_VNF_interface,35.4,4127342592,2272153600,44.9,1599045632,1814855680,1743347712,325029888,62607360,650833920,1368064
25,2022-01-01,23:30:59,0.5,ROS_VNF_interface,32.5,4127342592,2272186368,44.9,1599012864,1814888448,1743347712,325029888,62607360,650833920,1368064
26,2022-01-01,23:30:59,0.5,ROS_VNF_interface,36.9,4127342592,2272186368,44.9,1599004672,1814888448,1743347712,325029888,62615552,650833920,1368064
27,2022-01-01,23:31:00,0.5,ROS_VNF_interface,40.9,4127342592,2272153600,44.9,1599033344,1814855680,1743347712,325029888,62615552,650838016,1368064
28,2022-01-01,23:31:00,0.5,ROS_VNF_interface,38.1,4127342592,2272088064,45.0,1599098880,1814790144,1743347712,325029888,62615552,650838016,1368064
29,2022-01-01,23:31:01,0.5,ROS_VNF_interface,36.3,4127342592,2272219136,44.9,1598967808,1814921216,1743347712,325029888,62615552,650838016,1368064
30,2022-01-01,23:31:01,0.5,ROS_VNF_interface,38.4,4127342592,2272153600,44.9,1599033344,1814855680,1743347712,325029888,62615552,650838016,1368064
31,2022-01-01,23:31:02,0.5,ROS_VNF_interface,38.1,4127342592,2272186368,44.9,1599000576,1814888448,1743347712,325029888,62615552,650838016,1368064
32,2022-01-01,23:31:02,0.5,ROS_VNF_interface,38.8,4127342592,2272284672,44.9,1598902272,1814986752,1743347712,325029888,62615552,650838016,1368064
33,2022-01-01,23:31:03,0.5,ROS_VNF_interface,40.0,4127342592,2272317440,44.9,1598869504,1815019520,1743347712,325029888,62615552,650838016,1368064
34,2022-01-01,23:31:03,0.5,ROS_VNF_interface,38.8,4127342592,2272219136,44.9,1598967808,1814921216,1743347712,325029888,62615552,650838016,1368064
35,2022-01-01,23:31:04,0.5,ROS_VNF_interface,39.1,4127342592,2272153600,44.9,1599033344,1814855680,1743347712,325029888,62615552,650838016,1368064
36,2022-01-01,23:31:04,0.5,ROS_VNF_interface,27.4,4127342592,2272251904,44.9,1598935040,1814953984,1743347712,325029888,62615552,650838016,1368064
37,2022-01-01,23:31:05,0.5,ROS_VNF_interface,28.0,4127342592,2272251904,44.9,1598935040,1814953984,1743347712,325029888,62623744,650829824,1368064
38,2022-01-01,23:31:05,0.5,ROS_VNF_interface,37.6,4127342592,2272186368,44.9,1598976000,1814888448,1743347712,325029888,62623744,650854400,1368064
39,2022-01-01,23:31:06,0.5,ROS_VNF_interface,39.8,4127342592,2272120832,44.9,1599041536,1814822912,1743347712,325029888,62623744,650854400,1368064
40,2022-01-01,23:31:06,0.5,ROS_VNF_interface,36.1,4127342592,2272219136,44.9,1598943232,1814921216,1743347712,325029888,62623744,650854400,1368064
41,2022-01-01,23:31:07,0.5,ROS_VNF_interface,32.6,4127342592,2272219136,44.9,1598943232,1814921216,1743347712,325029888,62623744,650854400,1368064
42,2022-01-01,23:31:07,0.5,ROS_VNF_interface,23.8,4127342592,2272219136,44.9,1598943232,1814921216,1743347712,325029888,62623744,650854400,1368064
43,2022-01-01,23:31:08,0.5,ROS_VNF_interface,20.7,4127342592,2272219136,44.9,1598943232,1814921216,1743347712,325029888,62623744,650854400,1368064
44,2022-01-01,23:31:08,0.5,ROS_VNF_interface,36.0,4127342592,2272153600,44.9,1599008768,1814855680,1743347712,325029888,62623744,650854400,1368064
45,2022-01-01,23:31:09,0.5,ROS_VNF_interface,40.4,4127342592,2272120832,44.9,1599074304,1814790144,1743392768,325046272,62623744,650854400,1368064
46,2022-01-01,23:31:09,0.5,ROS_VNF_interface,36.9,4127342592,2272153600,44.9,1599041536,1814822912,1743392768,325046272,62623744,650854400,1368064
47,2022-01-01,23:31:10,0.5,ROS_VNF_interface,32.9,4127342592,2272284672,44.9,1598910464,1814953984,1743392768,325046272,62623744,650854400,1368064
48,2022-01-01,23:31:10,0.5,ROS_VNF_interface,33.3,4127342592,2272186368,44.9,1599000576,1814855680,1743392768,325046272,62631936,650854400,1368064
49,2022-01-01,23:31:11,0.5,ROS_VNF_interface,34.6,4127342592,2272284672,44.9,1598902272,1814953984,1743392768,325046272,62631936,650854400,1368064
50,2022-01-01,23:31:11,0.5,ROS_VNF_interface,40.9,4127342592,2272382976,44.9,1598803968,1815052288,1743392768,325046272,62631936,650854400,1368064
51,2022-01-01,23:31:12,0.5,ROS_VNF_interface,39.5,4127342592,2272251904,44.9,1598935040,1814921216,1743392768,325046272,62631936,650854400,1368064
52,2022-01-01,23:31:12,0.5,ROS_VNF_interface,40.5,4127342592,2272227328,44.9,1598967808,1814888448,1743433728,325046272,62631936,650854400,1368064
53,2022-01-01,23:31:13,0.5,ROS_VNF_interface,29.9,4127342592,2272227328,44.9,1598963712,1814888448,1743433728,325046272,62631936,650858496,1368064
