timestamp,node,latency,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6
1640068682848987136,"2021-12-21,06:38:02",10.1.1.2,5849,0.000,0.000,0.000,0.000,0.000,0.000
1640068685135442944,"2021-12-21,06:38:05",10.1.1.2,304,-0.010,-0.010,-0.010,0.000,0.000,0.000
1640068685172041984,"2021-12-21,06:38:05",10.1.1.2,0.3411111831665039,-0.010,-0.010,-0.010,0.000,0.000,0.000
1640068685464194048,"2021-12-21,06:38:05",10.1.1.2,290,-0.020,-0.020,-0.020,0.000,0.000,0.000
1640068685481467136,"2021-12-21,06:38:05",10.1.1.2,0.3082239627838135,-0.020,-0.020,-0.020,0.000,0.000,0.000
1640068685784367104,"2021-12-21,06:38:05",10.1.1.2,301,-0.030,-0.030,-0.030,0.000,0.000,0.000
1640068685793188096,"2021-12-21,06:38:05",10.1.1.2,0.31051206588745117,-0.030,-0.030,-0.030,0.000,0.000,0.000
1640068686104110080,"2021-12-21,06:38:06",10.1.1.2,308,-0.040,-0.040,-0.040,0.000,0.000,0.000
1640068686113539840,"2021-12-21,06:38:06",10.1.1.2,0.3184521198272705,-0.040,-0.040,-0.040,0.000,0.000,0.000
1640068686426408960,"2021-12-21,06:38:06",10.1.1.2,311,-0.050,-0.050,-0.050,0.000,0.000,0.000
1640068686433691904,"2021-12-21,06:38:06",10.1.1.2,0.3189370632171631,-0.050,-0.050,-0.050,0.000,0.000,0.000
1640068686749243904,"2021-12-21,06:38:06",10.1.1.2,314,-0.060,-0.060,-0.060,0.000,0.000,0.000
1640068686776425984,"2021-12-21,06:38:06",10.1.1.2,0.34142398834228516,-0.060,-0.060,-0.060,0.000,0.000,0.000
1640068687089960192,"2021-12-21,06:38:07",10.1.1.2,311,-0.070,-0.070,-0.070,0.000,0.000,0.000
1640068687095041024,"2021-12-21,06:38:07",10.1.1.2,0.3170320987701416,-0.070,-0.070,-0.070,0.000,0.000,0.000
1640068687413712896,"2021-12-21,06:38:07",10.1.1.2,0.3169379234313965,-0.080,-0.080,-0.080,0.000,0.000,0.000
1640068687413925888,"2021-12-21,06:38:07",10.1.1.2,317,-0.080,-0.080,-0.080,0.000,0.000,0.000
1640068687722810112,"2021-12-21,06:38:07",10.1.1.2,305,-0.090,-0.090,-0.090,0.000,0.000,0.000
1640068687752244992,"2021-12-21,06:38:07",10.1.1.2,0.3349928855895996,-0.090,-0.090,-0.090,0.000,0.000,0.000
1640068688044636928,"2021-12-21,06:38:08",10.1.1.2,291,-0.100,-0.100,-0.100,0.000,0.000,0.000
1640068688072065024,"2021-12-21,06:38:08",10.1.1.2,0.31839799880981445,-0.100,-0.100,-0.100,0.000,0.000,0.000
1640068688375356928,"2021-12-21,06:38:08",10.1.1.2,301,-0.110,-0.110,-0.110,0.000,0.000,0.000
1640068688393277952,"2021-12-21,06:38:08",10.1.1.2,0.3197050094604492,-0.110,-0.110,-0.110,0.000,0.000,0.000
1640068688706590976,"2021-12-21,06:38:08",10.1.1.2,312,-0.120,-0.120,-0.120,0.000,0.000,0.000
1640068688712023040,"2021-12-21,06:38:08",10.1.1.2,0.3174259662628174,-0.120,-0.120,-0.120,0.000,0.000,0.000
1640068689027930112,"2021-12-21,06:38:09",10.1.1.2,314,-0.130,-0.130,-0.130,0.000,0.000,0.000
1640068689057236992,"2021-12-21,06:38:09",10.1.1.2,0.34400486946105957,-0.130,-0.130,-0.130,0.000,0.000,0.000
1640068689348971008,"2021-12-21,06:38:09",10.1.1.2,290,-0.140,-0.140,-0.140,0.000,0.000,0.000
1640068689374199040,"2021-12-21,06:38:09",10.1.1.2,0.3156888484954834,-0.140,-0.140,-0.140,0.000,0.000,0.000
1640068689711088896,"2021-12-21,06:38:09",10.1.1.2,335,-0.150,-0.150,-0.150,0.000,0.000,0.000
1640068689755398912,"2021-12-21,06:38:09",10.1.1.2,0.3800179958343506,-0.150,-0.150,-0.150,0.000,0.000,0.000
1640068690973683968,"2021-12-21,06:38:10",10.1.1.2,1216,-0.160,-0.160,-0.160,0.000,0.000,0.000
1640068690985096960,"2021-12-21,06:38:10",10.1.1.2,1.2281880378723145,-0.160,-0.160,-0.160,0.000,0.000,0.000
1640068691274772992,"2021-12-21,06:38:11",10.1.1.2,288,-0.170,-0.170,-0.170,0.000,0.000,0.000
1640068691296534016,"2021-12-21,06:38:11",10.1.1.2,0.30980706214904785,-0.170,-0.170,-0.170,0.000,0.000,0.000
1640068691575540992,"2021-12-21,06:38:11",10.1.1.2,277,-0.180,-0.180,-0.180,0.000,0.000,0.000
1640068691606076928,"2021-12-21,06:38:11",10.1.1.2,0.3083000183105469,-0.180,-0.180,-0.180,0.000,0.000,0.000
1640068691885801984,"2021-12-21,06:38:11",10.1.1.2,278,-0.190,-0.190,-0.190,0.000,0.000,0.000
1640068691953145856,"2021-12-21,06:38:11",10.1.1.2,0.34565305709838867,-0.190,-0.190,-0.190,0.000,0.000,0.000
1640068692266156800,"2021-12-21,06:38:12",10.1.1.2,311,-0.200,-0.200,-0.200,0.000,0.000,0.000
1640068692279314944,"2021-12-21,06:38:12",10.1.1.2,0.324753999710083,-0.200,-0.200,-0.200,0.000,0.000,0.000
1640068692587414016,"2021-12-21,06:38:12",10.1.1.2,306,-0.210,-0.210,-0.210,0.000,0.000,0.000
1640068692625638912,"2021-12-21,06:38:12",10.1.1.2,0.34513092041015625,-0.210,-0.210,-0.210,0.000,0.000,0.000
1640068692957907968,"2021-12-21,06:38:12",10.1.1.2,330,-0.220,-0.220,-0.220,0.000,0.000,0.000
1640068693004817920,"2021-12-21,06:38:13",10.1.1.2,0.3774130344390869,-0.220,-0.220,-0.220,0.000,0.000,0.000
1640068693310311168,"2021-12-21,06:38:13",10.1.1.2,304,-0.230,-0.230,-0.230,0.000,0.000,0.000
1640068693348679168,"2021-12-21,06:38:13",10.1.1.2,0.34246087074279785,-0.230,-0.230,-0.230,0.000,0.000,0.000
1640068693668283904,"2021-12-21,06:38:13",10.1.1.2,318,-0.240,-0.240,-0.240,0.000,0.000,0.000
1640068693678554112,"2021-12-21,06:38:13",10.1.1.2,0.32842493057250977,-0.240,-0.240,-0.240,0.000,0.000,0.000
1640068693969361920,"2021-12-21,06:38:13",10.1.1.2,288,-0.250,-0.250,-0.250,0.000,0.000,0.000
1640068693992296960,"2021-12-21,06:38:13",10.1.1.2,0.31185078620910645,-0.250,-0.250,-0.250,0.000,0.000,0.000
1640068694289938944,"2021-12-21,06:38:14",10.1.1.2,296,-0.260,-0.260,-0.260,0.000,0.000,0.000
1640068694324101888,"2021-12-21,06:38:14",10.1.1.2,0.330517053604126,-0.260,-0.260,-0.260,0.000,0.000,0.000
1640068694619527936,"2021-12-21,06:38:14",10.1.1.2,294,-0.270,-0.270,-0.270,0.000,0.000,0.000
1640068694669403136,"2021-12-21,06:38:14",10.1.1.2,0.34412693977355957,-0.270,-0.270,-0.270,0.000,0.000,0.000
1640068694959889920,"2021-12-21,06:38:14",10.1.1.2,289,-0.280,-0.280,-0.280,0.000,0.000,0.000
1640068694983606016,"2021-12-21,06:38:14",10.1.1.2,0.3129150867462158,-0.280,-0.280,-0.280,0.000,0.000,0.000
1640068695290496000,"2021-12-21,06:38:15",10.1.1.2,305,-0.290,-0.290,-0.290,0.000,0.000,0.000
1640068695328224000,"2021-12-21,06:38:15",10.1.1.2,0.3432960510253906,-0.290,-0.290,-0.290,0.000,0.000,0.000
1640068695660464128,"2021-12-21,06:38:15",10.1.1.2,330,-0.300,-0.300,-0.300,0.000,0.000,0.000
1640068695745000960,"2021-12-21,06:38:15",10.1.1.2,0.41550397872924805,-0.300,-0.300,-0.300,0.000,0.000,0.000
1640068696040044032,"2021-12-21,06:38:16",10.1.1.2,293,-0.310,-0.310,-0.310,0.000,0.000,0.000
1640068696064250880,"2021-12-21,06:38:16",10.1.1.2,0.31752800941467285,-0.310,-0.310,-0.310,0.000,0.000,0.000
1640068696360093952,"2021-12-21,06:38:16",10.1.1.2,294,-0.320,-0.320,-0.320,0.000,0.000,0.000
1640068696409163008,"2021-12-21,06:38:16",10.1.1.2,0.3434319496154785,-0.320,-0.320,-0.320,0.000,0.000,0.000
1640068696770672128,"2021-12-21,06:38:16",10.1.1.2,360,-0.330,-0.330,-0.330,0.000,0.000,0.000
1640068696821832960,"2021-12-21,06:38:16",10.1.1.2,0.41141796112060547,-0.330,-0.330,-0.330,0.000,0.000,0.000
1640068697141108992,"2021-12-21,06:38:17",10.1.1.2,317,-0.340,-0.340,-0.340,0.000,0.000,0.000
1640068697179367936,"2021-12-21,06:38:17",10.1.1.2,0.3563058376312256,-0.340,-0.340,-0.340,0.000,0.000,0.000
1640068697480514048,"2021-12-21,06:38:17",10.1.1.2,298,-0.350,-0.350,-0.350,0.000,0.000,0.000
1640068697510482176,"2021-12-21,06:38:17",10.1.1.2,0.3292529582977295,-0.350,-0.350,-0.350,0.000,0.000,0.000
1640068697790296064,"2021-12-21,06:38:17",10.1.1.2,278,-0.360,-0.360,-0.360,0.000,0.000,0.000
1640068697826280192,"2021-12-21,06:38:17",10.1.1.2,0.31418704986572266,-0.360,-0.360,-0.360,0.000,0.000,0.000
1640068698130928128,"2021-12-21,06:38:18",10.1.1.2,302,-0.370,-0.370,-0.370,0.000,0.000,0.000
1640068698175556864,"2021-12-21,06:38:18",10.1.1.2,0.3474879264831543,-0.370,-0.370,-0.370,0.000,0.000,0.000
1640068698472165120,"2021-12-21,06:38:18",10.1.1.2,294,-0.380,-0.380,-0.380,0.000,0.000,0.000
