--- Start
Calibration finished !

Learning mode activated? 
False
iteration,date,init_position,final_position,time
0,2022-01-02-10:51:07,-1,6,3.226786
1,2022-01-02-10:51:10,6,2,3.044092
2,2022-01-02-10:51:12,2,1,1.945328
3,2022-01-02-10:51:16,1,6,3.524541
4,2022-01-02-10:51:19,6,0,3.393697
5,2022-01-02-10:51:21,0,3,2.347660
6,2022-01-02-10:51:23,3,4,2.082243
7,2022-01-02-10:51:25,4,1,1.322031
8,2022-01-02-10:51:27,1,5,1.934460
9,2022-01-02-10:51:28,5,4,1.747664
10,2022-01-02-10:51:32,4,6,3.423622
11,2022-01-02-10:51:35,6,0,3.445637
12,2022-01-02-10:51:37,0,7,1.909683
13,2022-01-02-10:51:39,7,1,1.723910
14,2022-01-02-10:51:43,1,6,3.523187
15,2022-01-02-10:51:46,6,4,3.413622
16,2022-01-02-10:51:49,4,6,3.427137
17,2022-01-02-10:51:53,6,1,3.526821
18,2022-01-02-10:51:55,1,2,1.950845
19,2022-01-02-10:51:57,2,0,1.688992
20,2022-01-02-10:52:00,0,6,3.416716
21,2022-01-02-10:52:03,6,4,3.425681
22,2022-01-02-10:52:05,4,1,1.287749
23,2022-01-02-10:52:06,1,0,1.024336
24,2022-01-02-10:52:07,0,1,0.999648
25,2022-01-02-10:52:08,1,4,1.288834
26,2022-01-02-10:52:10,4,3,2.090222
27,2022-01-02-10:52:12,3,5,2.142329
28,2022-01-02-10:52:14,5,0,1.851574
29,2022-01-02-10:52:17,0,6,3.423755
30,2022-01-02-10:52:21,6,7,3.958766
31,2022-01-02-10:52:24,7,5,2.540886
32,2022-01-02-10:52:27,5,6,3.072792
33,2022-01-02-10:52:30,6,0,3.450994
34,2022-01-02-10:52:33,0,3,2.347998
35,2022-01-02-10:52:35,3,0,2.316276
36,2022-01-02-10:52:39,0,6,3.428004
37,2022-01-02-10:52:42,6,4,3.439657
38,2022-01-02-10:52:44,4,0,1.491502
39,2022-01-02-10:52:46,0,3,2.377662
40,2022-01-02-10:52:50,3,6,3.651731
41,2022-01-02-10:52:53,6,4,3.448896
42,2022-01-02-10:52:55,4,0,1.511201
43,2022-01-02-10:52:57,0,7,1.890820
44,2022-01-02-10:52:58,7,0,1.918825
45,2022-01-02-10:53:02,0,6,3.397094
46,2022-01-02-10:53:06,6,7,3.918394
47,2022-01-02-10:53:10,7,6,3.976470
48,2022-01-02-10:53:14,6,7,3.959725
49,2022-01-02-10:53:16,7,4,1.835966
50,2022-01-02-10:53:17,4,1,1.284050
51,2022-01-02-10:53:19,1,3,2.209499
52,2022-01-02-10:53:21,3,5,2.125973
53,2022-01-02-10:53:24,5,6,3.068167
54,2022-01-02-10:53:28,6,3,3.607614
55,2022-01-02-10:53:30,3,7,2.094322
56,2022-01-02-10:53:32,7,0,1.900748
57,2022-01-02-10:53:34,0,3,2.335240
