--- Start
Calibration finished !

Learning mode activated? 
False
iteration,date,init_position,final_position,time
0,2022-01-02-04:55:14,-1,4,2.897856
1,2022-01-02-04:55:16,4,3,2.027515
2,2022-01-02-04:55:18,3,4,2.090185
3,2022-01-02-04:55:19,4,1,1.324520
4,2022-01-02-04:55:22,1,6,2.685383
5,2022-01-02-04:55:25,6,5,2.753465
6,2022-01-02-04:55:27,5,1,1.931998
7,2022-01-02-04:55:28,1,4,1.325675
8,2022-01-02-04:55:30,4,2,1.845907
9,2022-01-02-04:55:32,2,1,2.053003
10,2022-01-02-04:55:33,1,7,1.648600
11,2022-01-02-04:55:35,7,0,1.916940
12,2022-01-02-04:55:39,0,6,3.428103
13,2022-01-02-04:55:42,6,4,3.345205
14,2022-01-02-04:55:44,4,3,2.089333
15,2022-01-02-04:55:47,3,2,3.031761
16,2022-01-02-04:55:49,2,5,1.529883
17,2022-01-02-04:55:52,5,3,3.101863
18,2022-01-02-04:55:55,3,5,3.041235
19,2022-01-02-04:55:57,5,1,1.985524
20,2022-01-02-04:56:00,1,6,2.732406
21,2022-01-02-04:56:02,6,7,2.555085
22,2022-01-02-04:56:04,7,4,1.957496
23,2022-01-02-04:56:06,4,0,1.499993
24,2022-01-02-04:56:07,0,1,1.049411
25,2022-01-02-04:56:08,1,7,1.667287
26,2022-01-02-04:56:11,7,2,2.599317
27,2022-01-02-04:56:14,2,7,2.593399
28,2022-01-02-04:56:16,7,2,2.621615
29,2022-01-02-04:56:18,2,4,1.795829
30,2022-01-02-04:56:20,4,3,2.090669
31,2022-01-02-04:56:22,3,0,2.419495
32,2022-01-02-04:56:24,0,4,1.578890
33,2022-01-02-04:56:27,4,6,2.601815
34,2022-01-02-04:56:29,6,1,2.666921
35,2022-01-02-04:56:32,1,3,2.252009
36,2022-01-02-04:56:34,3,0,2.401308
37,2022-01-02-04:56:37,0,3,2.561187
38,2022-01-02-04:56:39,3,6,2.003881
39,2022-01-02-04:56:41,6,5,2.773211
40,2022-01-02-04:56:45,5,4,3.195643
41,2022-01-02-04:56:48,4,6,3.195263
42,2022-01-02-04:56:52,6,1,3.831540
43,2022-01-02-04:56:53,1,4,1.322147
44,2022-01-02-04:56:57,4,2,4.044171
45,2022-01-02-04:56:59,2,4,1.827082
46,2022-01-02-04:57:02,4,0,3.694673
47,2022-01-02-04:57:05,0,6,2.774997
48,2022-01-02-04:57:08,6,0,2.856047
49,2022-01-02-04:57:09,0,1,1.012599
50,2022-01-02-04:57:13,1,6,3.585290
51,2022-01-02-04:57:17,6,7,4.027248
52,2022-01-02-04:57:19,7,3,2.388405
53,2022-01-02-04:57:21,3,1,2.289486
54,2022-01-02-04:57:23,1,2,1.970363
55,2022-01-02-04:57:25,2,4,1.791616
56,2022-01-02-04:57:26,4,1,1.321994
57,2022-01-02-04:57:27,1,0,1.019376
58,2022-01-02-04:57:30,0,3,2.641177
59,2022-01-02-04:57:32,3,1,2.332370
60,2022-01-02-04:57:35,1,5,2.087136
61,2022-01-02-04:57:38,5,6,3.070864
62,2022-01-02-04:57:41,6,3,3.299338
63,2022-01-02-04:57:44,3,2,2.981650
64,2022-01-02-04:57:46,2,3,2.619797
65,2022-01-02-04:57:49,3,0,2.378533
66,2022-01-02-04:57:51,0,5,1.915723
67,2022-01-02-04:57:52,5,2,1.511300
68,2022-01-02-04:57:54,2,0,1.718225
69,2022-01-02-04:57:58,0,3,3.522140
70,2022-01-02-04:58:01,3,4,3.487262
71,2022-01-02-04:58:03,4,3,2.036837
72,2022-01-02-04:58:05,3,6,2.023155
73,2022-01-02-04:58:08,6,5,2.719883
74,2022-01-02-04:58:10,5,1,1.924563
75,2022-01-02-04:58:11,1,4,1.326301
76,2022-01-02-04:58:13,4,7,1.893549
77,2022-01-02-04:58:15,7,4,1.890626
78,2022-01-02-04:58:16,4,0,1.541221
79,2022-01-02-04:58:19,0,3,2.417264
80,2022-01-02-04:58:21,3,4,2.073314
81,2022-01-02-04:58:23,4,3,2.050276
82,2022-01-02-04:58:25,3,1,2.321451
83,2022-01-02-04:58:28,1,3,2.262233
84,2022-01-02-04:58:30,3,7,2.259757
85,2022-01-02-04:58:34,7,3,3.906307
86,2022-01-02-04:58:37,3,0,3.290447
87,2022-01-02-04:58:39,0,4,1.597275
88,2022-01-02-04:58:40,4,0,1.529428
89,2022-01-02-04:58:43,0,3,2.434714
90,2022-01-02-04:58:45,3,7,2.078331
91,2022-01-02-04:58:48,7,3,3.853726
92,2022-01-02-04:58:51,3,4,2.184731
93,2022-01-02-04:58:53,4,3,2.128758
94,2022-01-02-04:58:56,3,5,3.125441
95,2022-01-02-04:58:58,5,7,2.589070
96,2022-01-02-04:59:01,7,5,2.638271
97,2022-01-02-04:59:03,5,3,2.221042
98,2022-01-02-04:59:06,3,5,2.201284
99,2022-01-02-04:59:08,5,7,2.594454
100,2022-01-02-04:59:11,7,1,3.243688
101,2022-01-02-04:59:13,1,4,1.321655
102,2022-01-02-04:59:14,4,5,1.751665
103,2022-01-02-04:59:16,5,4,1.736170
104,2022-01-02-04:59:20,4,6,3.416842
105,2022-01-02-04:59:23,6,3,3.654415
106,2022-01-02-04:59:25,3,6,2.032775
107,2022-01-02-04:59:28,6,7,2.601086
108,2022-01-02-04:59:32,7,3,3.868039
109,2022-01-02-04:59:35,3,6,3.122586
110,2022-01-02-04:59:38,6,5,3.053415
111,2022-01-02-04:59:41,5,7,2.736263
112,2022-01-02-04:59:44,7,0,3.109147
113,2022-01-02-04:59:46,0,7,1.909160
114,2022-01-02-04:59:49,7,6,2.803962
115,2022-01-02-04:59:52,6,7,3.379419
116,2022-01-02-04:59:54,7,2,2.557117
117,2022-01-02-04:59:56,2,5,1.481535
118,2022-01-02-04:59:58,5,1,1.880381
119,2022-01-02-04:59:59,1,4,1.326510
120,2022-01-02-05:00:01,4,7,1.925913
121,2022-01-02-05:00:03,7,1,1.690629
122,2022-01-02-05:00:05,1,2,1.954449
123,2022-01-02-05:00:06,2,0,1.722401
124,2022-01-02-05:00:07,0,1,1.042216
125,2022-01-02-05:00:09,1,0,1.057920
126,2022-01-02-05:00:10,0,7,1.954615
127,2022-01-02-05:00:14,7,3,3.841329
128,2022-01-02-05:00:17,3,5,3.059366
129,2022-01-02-05:00:19,5,4,1.816272
130,2022-01-02-05:00:21,4,3,2.031912
131,2022-01-02-05:00:23,3,5,2.121130
132,2022-01-02-05:00:27,5,4,3.564053
133,2022-01-02-05:00:29,4,2,1.786896
134,2022-01-02-05:00:32,2,5,3.606691
135,2022-01-02-05:00:35,5,1,2.207385
136,2022-01-02-05:00:36,1,4,1.329475
137,2022-01-02-05:00:39,4,6,3.440650
138,2022-01-02-05:00:42,6,5,3.136548
139,2022-01-02-05:00:44,5,0,1.889057
140,2022-01-02-05:00:48,0,3,3.332366
141,2022-01-02-05:00:51,3,0,3.262850
142,2022-01-02-05:00:53,0,2,1.733924
143,2022-01-02-05:00:55,2,3,2.590792
144,2022-01-02-05:00:57,3,6,1.985249
145,2022-01-02-05:01:00,6,5,2.693998
146,2022-01-02-05:01:02,5,2,1.587966
147,2022-01-02-05:01:03,2,5,1.520372
148,2022-01-02-05:01:05,5,4,1.738411
149,2022-01-02-05:01:09,4,2,4.069597
150,2022-01-02-05:01:13,2,3,4.251422
151,2022-01-02-05:01:17,3,2,4.226799
152,2022-01-02-05:01:21,2,5,3.607637
153,2022-01-02-05:01:23,5,3,2.431826
154,2022-01-02-05:01:26,3,5,2.254117
155,2022-01-02-05:01:29,5,6,3.068136
156,2022-01-02-05:01:32,6,3,3.236307
157,2022-01-02-05:01:35,3,6,3.098212
158,2022-01-02-05:01:38,6,7,2.559556
159,2022-01-02-05:01:40,7,5,2.622552
160,2022-01-02-05:01:42,5,0,1.944571
161,2022-01-02-05:01:45,0,6,2.805617
162,2022-01-02-05:01:48,6,0,2.861920
163,2022-01-02-05:01:50,0,2,1.749789
164,2022-01-02-05:01:51,2,5,1.524300
165,2022-01-02-05:01:55,5,4,3.548780
166,2022-01-02-05:01:56,4,2,1.820100
167,2022-01-02-05:02:01,2,1,4.101753
