timestamp,date,node,latency,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6
1641079829532964096,2022-01-01-23:30:29,10.1.1.3,151,-0.010,-0.010,-0.010,0.000,0.000,0.000
1641079829734337024,2022-01-01-23:30:29,10.1.1.3,154,-0.020,-0.020,-0.020,0.000,0.000,0.000
1641079829929570048,2022-01-01-23:30:29,10.1.1.3,149,-0.030,-0.030,-0.030,0.000,0.000,0.000
1641079830130292992,2022-01-01-23:30:30,10.1.1.3,149,-0.040,-0.040,-0.040,0.000,0.000,0.000
1641079830332325888,2022-01-01-23:30:30,10.1.1.3,148,-0.050,-0.050,-0.050,0.000,0.000,0.000
1641079830531580928,2022-01-01-23:30:30,10.1.1.3,148,-0.060,-0.060,-0.060,0.000,0.000,0.000
1641079830730964992,2022-01-01-23:30:30,10.1.1.3,144,-0.070,-0.070,-0.070,0.000,0.000,0.000
1641079830932847104,2022-01-01-23:30:30,10.1.1.3,145,-0.080,-0.080,-0.080,0.000,0.000,0.000
1641079831132519936,2022-01-01-23:30:31,10.1.1.3,143,-0.090,-0.090,-0.090,0.000,0.000,0.000
1641079831334556160,2022-01-01-23:30:31,10.1.1.3,143,-0.100,-0.100,-0.100,0.000,0.000,0.000
1641079831536048896,2022-01-01-23:30:31,10.1.1.3,140,-0.110,-0.110,-0.110,0.000,0.000,0.000
1641079831756128000,2022-01-01-23:30:31,10.1.1.3,158,-0.120,-0.120,-0.120,0.000,0.000,0.000
1641079831953972992,2022-01-01-23:30:31,10.1.1.3,156,-0.130,-0.130,-0.130,0.000,0.000,0.000
1641079832155958016,2022-01-01-23:30:32,10.1.1.3,157,-0.140,-0.140,-0.140,0.000,0.000,0.000
1641079832353832960,2022-01-01-23:30:32,10.1.1.3,154,-0.150,-0.150,-0.150,0.000,0.000,0.000
1641079832556518912,2022-01-01-23:30:32,10.1.1.3,153,-0.160,-0.160,-0.160,0.000,0.000,0.000
1641079832754785024,2022-01-01-23:30:32,10.1.1.3,153,-0.170,-0.170,-0.170,0.000,0.000,0.000
1641079832953635840,2022-01-01-23:30:32,10.1.1.3,150,-0.180,-0.180,-0.180,0.000,0.000,0.000
1641079833158395904,2022-01-01-23:30:33,10.1.1.3,151,-0.190,-0.190,-0.190,0.000,0.000,0.000
1641079833355026944,2022-01-01-23:30:33,10.1.1.3,149,-0.200,-0.200,-0.200,0.000,0.000,0.000
1641079833554440960,2022-01-01-23:30:33,10.1.1.3,148,-0.210,-0.210,-0.210,0.000,0.000,0.000
1641079833756539136,2022-01-01-23:30:33,10.1.1.3,149,-0.220,-0.220,-0.220,0.000,0.000,0.000
1641079833954587904,2022-01-01-23:30:33,10.1.1.3,144,-0.230,-0.230,-0.230,0.000,0.000,0.000
1641079834178340864,2022-01-01-23:30:34,10.1.1.3,166,-0.240,-0.240,-0.240,0.000,0.000,0.000
1641079834356482048,2022-01-01-23:30:34,10.1.1.3,142,-0.250,-0.250,-0.250,0.000,0.000,0.000
1641079834575294976,2022-01-01-23:30:34,10.1.1.3,160,-0.260,-0.260,-0.260,0.000,0.000,0.000
1641079834775429120,2022-01-01-23:30:34,10.1.1.3,157,-0.270,-0.270,-0.270,0.000,0.000,0.000
