iteration,measurement_period,machine/VNF,usercpu,syscpu,nicecpu,idlecpu,IOwaitcpu,HWInteruptscpu,SWInteruptscpu,stolencpu,Total(NoIdle),RAMused
2,0.1,LocalHost,1.1,65.2,0.0,29.3,4.3,0.0,0.0,0.0,70.6,9040880
4,0.1,LocalHost,2.1,75.8,0.0,18.9,3.2,0.0,0.0,0.0,81.1,9040880
6,0.1,LocalHost,3.2,58.1,0.0,38.7,0.0,0.0,0.0,0.0,61.3,9040880
8,0.1,LocalHost,3.3,54.9,0.0,39.6,0.0,0.0,2.2,0.0,60.4,9040880
10,0.1,LocalHost,2.2,57.3,0.0,40.4,0.0,0.0,0.0,0.0,59.5,9040880
12,0.1,LocalHost,2.2,59.6,0.0,38.2,0.0,0.0,0.0,0.0,61.8,9040880
14,0.1,LocalHost,3.2,66.0,0.0,30.9,0.0,0.0,0.0,0.0,69.2,9040880
16,0.1,LocalHost,2.2,58.9,0.0,38.9,0.0,0.0,0.0,0.0,61.1,9040880
18,0.1,LocalHost,2.2,53.3,0.0,44.4,0.0,0.0,0.0,0.0,55.5,9040880
20,0.1,LocalHost,2.3,33.0,0.0,64.8,0.0,0.0,0.0,0.0,35.3,9040880
22,0.1,LocalHost,4.6,35.8,0.0,59.6,0.0,0.0,0.0,0.0,40.4,9040880
24,0.1,LocalHost,3.7,33.6,0.0,60.7,0.0,0.0,1.9,0.0,39.2,9040880
26,0.1,LocalHost,5.4,41.4,0.0,52.3,0.0,0.0,0.9,0.0,47.7,9040880
28,0.1,LocalHost,3.8,41.9,0.0,53.3,0.0,0.0,1.0,0.0,46.7,9040880
30,0.1,LocalHost,4.1,24.5,0.0,70.4,0.0,0.0,1.0,0.0,29.6,9040880
32,0.1,LocalHost,4.0,33.3,0.0,60.6,0.0,0.0,2.0,0.0,39.3,9040880
34,0.1,LocalHost,6.1,32.7,0.0,60.2,0.0,0.0,1.0,0.0,39.8,9040880
36,0.1,LocalHost,3.0,35.0,0.0,61.0,0.0,0.0,1.0,0.0,39.0,9040880
38,0.1,LocalHost,5.1,33.3,0.0,61.6,0.0,0.0,0.0,0.0,38.4,9040880
40,0.1,LocalHost,2.1,40.2,0.0,57.7,0.0,0.0,0.0,0.0,42.3,9040880
42,0.1,LocalHost,4.9,36.3,0.0,56.9,0.0,0.0,2.0,0.0,43.2,9040880
44,0.1,LocalHost,2.9,36.5,0.0,59.6,0.0,0.0,1.0,0.0,40.4,9040880
46,0.1,LocalHost,5.0,31.7,0.0,61.4,0.0,0.0,2.0,0.0,38.7,9112348
48,0.1,LocalHost,5.7,34.3,0.0,58.1,0.0,0.0,1.9,0.0,41.9,9112348
50,0.1,LocalHost,3.0,38.4,0.0,57.6,0.0,0.0,1.0,0.0,42.4,9112348
52,0.1,LocalHost,2.9,37.9,0.0,58.3,0.0,0.0,1.0,0.0,41.8,9112348
54,0.1,LocalHost,4.0,36.6,0.0,59.4,0.0,0.0,0.0,0.0,40.6,9112348
56,0.1,LocalHost,5.1,34.3,0.0,60.6,0.0,0.0,0.0,0.0,39.4,9112348
58,0.1,LocalHost,3.0,36.6,0.0,58.4,0.0,0.0,2.0,0.0,41.6,9112348
60,0.1,LocalHost,2.1,38.1,0.0,59.8,0.0,0.0,0.0,0.0,40.2,9112348
62,0.1,LocalHost,5.1,29.6,0.0,63.3,0.0,0.0,2.0,0.0,36.7,9112348
64,0.1,LocalHost,4.0,35.0,0.0,59.0,0.0,0.0,2.0,0.0,41.0,9112348
66,0.1,LocalHost,2.0,39.4,0.0,57.6,0.0,0.0,1.0,0.0,42.4,9112348
68,0.1,LocalHost,5.0,35.0,0.0,59.0,0.0,0.0,1.0,0.0,41.0,9112348
70,0.1,LocalHost,3.0,38.0,0.0,59.0,0.0,0.0,0.0,0.0,41.0,9112348
72,0.1,LocalHost,4.0,35.6,0.0,59.4,0.0,0.0,1.0,0.0,40.6,9112348
74,0.1,LocalHost,2.8,46.3,0.0,50.9,0.0,0.0,0.0,0.0,49.1,9112348
76,0.1,LocalHost,3.2,28.0,0.0,68.8,0.0,0.0,0.0,0.0,31.2,9112348
78,0.1,LocalHost,4.0,40.0,0.0,55.0,0.0,0.0,1.0,0.0,45.0,9112348
80,0.1,LocalHost,4.7,41.5,0.0,51.9,0.9,0.0,0.9,0.0,48.0,9112348
82,0.1,LocalHost,3.0,34.0,0.0,55.0,6.0,0.0,2.0,0.0,45.0,9112348
84,0.1,LocalHost,2.0,39.6,0.0,50.5,6.9,0.0,1.0,0.0,49.5,9112348
86,0.1,LocalHost,3.0,31.7,0.0,53.5,9.9,0.0,2.0,0.0,46.6,9112348
88,0.1,LocalHost,4.5,41.1,0.0,46.4,7.1,0.0,0.9,0.0,53.6,9112348
90,0.1,LocalHost,6.5,41.1,0.0,45.8,5.6,0.0,0.9,0.0,54.1,9112348
92,0.1,LocalHost,6.2,42.5,0.0,49.6,0.0,0.0,1.8,0.0,50.5,9113460
94,0.1,LocalHost,6.1,29.6,0.0,64.3,0.0,0.0,0.0,0.0,35.7,9113460
96,0.1,LocalHost,2.1,32.6,0.0,64.2,0.0,0.0,1.1,0.0,35.8,9113460
98,0.1,LocalHost,3.1,29.9,0.0,64.9,0.0,0.0,2.1,0.0,35.1,9113460
100,0.1,LocalHost,3.1,26.0,0.0,68.8,0.0,0.0,2.1,0.0,31.2,9113460
102,0.1,LocalHost,3.3,24.4,0.0,72.2,0.0,0.0,0.0,0.0,27.7,9113460
104,0.1,LocalHost,2.2,29.3,0.0,67.4,0.0,0.0,1.1,0.0,32.6,9113460
106,0.1,LocalHost,4.2,29.5,0.0,66.3,0.0,0.0,0.0,0.0,33.7,9113460
108,0.1,LocalHost,3.0,34.0,0.0,62.0,0.0,0.0,1.0,0.0,38.0,9113460
110,0.1,LocalHost,2.1,30.2,0.0,66.7,0.0,0.0,1.0,0.0,33.3,9113460
112,0.1,LocalHost,6.0,30.0,0.0,62.0,0.0,0.0,2.0,0.0,38.0,9113460
114,0.1,LocalHost,4.3,29.0,0.0,66.7,0.0,0.0,0.0,0.0,33.3,9113460
116,0.1,LocalHost,2.1,31.2,0.0,66.7,0.0,0.0,0.0,0.0,33.3,9113460
118,0.1,LocalHost,4.2,28.4,0.0,66.3,0.0,0.0,1.1,0.0,33.7,9113460
120,0.1,LocalHost,5.2,30.9,0.0,61.9,0.0,0.0,2.1,0.0,38.2,9113460
122,0.1,LocalHost,5.2,29.2,0.0,59.4,6.2,0.0,0.0,0.0,40.6,9113460
124,0.1,LocalHost,5.2,29.9,0.0,56.7,7.2,0.0,1.0,0.0,43.3,9113460
126,0.1,LocalHost,7.1,36.4,0.0,48.5,8.1,0.0,0.0,0.0,51.6,9113460
128,0.1,LocalHost,4.1,27.8,0.0,57.7,10.3,0.0,0.0,0.0,42.2,9113460
130,0.1,LocalHost,2.1,32.6,0.0,55.8,8.4,0.0,1.1,0.0,44.2,9113460
132,0.1,LocalHost,3.1,32.0,0.0,59.8,4.1,0.0,1.0,0.0,40.2,9113460
134,0.1,LocalHost,4.1,29.9,0.0,66.0,0.0,0.0,0.0,0.0,34.0,9113460
136,0.1,LocalHost,3.1,29.9,0.0,64.9,0.0,0.0,2.1,0.0,35.1,9113460
138,0.1,LocalHost,1.1,23.3,0.0,74.4,0.0,0.0,1.1,0.0,25.5,9113460
140,0.1,LocalHost,2.2,21.5,0.0,74.2,0.0,0.0,2.2,0.0,25.9,9113460
142,0.1,LocalHost,4.4,40.0,0.0,53.3,0.0,0.0,2.2,0.0,46.6,9113180
144,0.1,LocalHost,3.2,23.4,0.0,73.4,0.0,0.0,0.0,0.0,26.6,9113180
146,0.1,LocalHost,2.1,25.5,0.0,72.3,0.0,0.0,0.0,0.0,27.6,9113180
148,0.1,LocalHost,4.5,48.2,0.0,46.4,0.0,0.0,0.9,0.0,53.6,9113180
150,0.1,LocalHost,2.9,35.3,0.0,60.8,0.0,0.0,1.0,0.0,39.2,9113180
152,0.1,LocalHost,6.0,29.0,0.0,63.0,0.0,0.0,2.0,0.0,37.0,9113180
154,0.1,LocalHost,3.6,42.0,0.0,52.7,0.0,0.0,1.8,0.0,47.4,9113180
156,0.1,LocalHost,4.8,41.3,0.0,52.9,0.0,0.0,1.0,0.0,47.1,9113180
158,0.1,LocalHost,2.9,38.5,0.0,56.7,0.0,0.0,1.9,0.0,43.3,9113180
160,0.1,LocalHost,3.2,25.5,0.0,69.1,0.0,0.0,2.1,0.0,30.8,9113180
162,0.1,LocalHost,4.6,45.4,0.0,43.5,6.5,0.0,0.0,0.0,56.5,9113180
164,0.1,LocalHost,4.0,35.0,0.0,54.0,7.0,0.0,0.0,0.0,46.0,9113180
166,0.1,LocalHost,3.1,41.7,0.0,53.1,1.0,0.0,1.0,0.0,46.8,9113180
168,0.1,LocalHost,4.3,28.7,0.0,61.7,4.3,0.0,1.1,0.0,38.4,9113180
170,0.1,LocalHost,3.0,35.4,0.0,53.5,7.1,0.0,1.0,0.0,46.5,9113180
172,0.1,LocalHost,4.1,35.1,0.0,56.7,4.1,0.0,0.0,0.0,43.3,9113180
174,0.1,LocalHost,3.9,35.0,0.0,60.2,0.0,0.0,1.0,0.0,39.9,9113180
176,0.1,LocalHost,1.0,35.4,0.0,62.6,0.0,0.0,1.0,0.0,37.4,9113180
178,0.1,LocalHost,3.2,31.6,0.0,64.2,0.0,0.0,1.1,0.0,35.9,9113180
180,0.1,LocalHost,6.1,39.8,0.0,53.1,0.0,0.0,1.0,0.0,46.9,9113180
182,0.1,LocalHost,8.6,32.3,0.0,59.1,0.0,0.0,0.0,0.0,40.9,9113180
184,0.1,LocalHost,3.0,33.3,0.0,61.6,0.0,0.0,2.0,0.0,38.3,9113180
186,0.1,LocalHost,5.1,32.7,0.0,62.2,0.0,0.0,0.0,0.0,37.8,9113180
188,0.1,LocalHost,3.9,33.0,0.0,61.2,0.0,0.0,1.9,0.0,38.8,9113180
190,0.1,LocalHost,2.1,31.9,0.0,64.9,0.0,0.0,1.1,0.0,35.1,9114112
192,0.1,LocalHost,4.3,29.8,0.0,66.0,0.0,0.0,0.0,0.0,34.1,9114112
194,0.1,LocalHost,2.1,35.1,0.0,61.7,0.0,0.0,1.1,0.0,38.3,9114112
196,0.1,LocalHost,7.0,36.0,0.0,56.0,0.0,0.0,1.0,0.0,44.0,9114112
198,0.1,LocalHost,3.8,41.3,0.0,53.8,0.0,0.0,1.0,0.0,46.1,9114112
200,0.1,LocalHost,3.8,31.7,0.0,63.5,0.0,0.0,1.0,0.0,36.5,9114112
202,0.1,LocalHost,6.2,34.0,0.0,59.8,0.0,0.0,0.0,0.0,40.2,9114112
204,0.1,LocalHost,4.1,29.9,0.0,62.9,0.0,0.0,3.1,0.0,37.1,9114112
206,0.1,LocalHost,4.9,31.4,0.0,62.7,0.0,0.0,1.0,0.0,37.3,9114112
208,0.1,LocalHost,3.1,30.9,0.0,63.9,0.0,0.0,2.1,0.0,36.1,9114112
210,0.1,LocalHost,4.1,29.9,0.0,64.9,0.0,0.0,1.0,0.0,35.0,9114112
212,0.1,LocalHost,5.0,33.7,0.0,53.5,7.9,0.0,0.0,0.0,46.6,9114112
214,0.1,LocalHost,1.1,33.3,0.0,63.4,1.1,0.0,1.1,0.0,36.6,9114112
216,0.1,LocalHost,1.0,30.2,0.0,66.7,0.0,0.0,2.1,0.0,33.3,9114112
218,0.1,LocalHost,3.0,36.0,0.0,61.0,0.0,0.0,0.0,0.0,39.0,9114112
220,0.1,LocalHost,3.0,30.3,0.0,64.6,0.0,0.0,2.0,0.0,35.3,9114112
