iteration,measurement_period,machine/VNF,usercpu,syscpu,nicecpu,idlecpu,IOwaitcpu,HWInteruptscpu,SWInteruptscpu,stolencpu,Total(NoIdle),RAMused
2,0.1,LocalHost,6.2,75.3,0.0,18.6,0.0,0.0,0.0,0.0,81.5,9989264
4,0.1,LocalHost,6.5,57.0,0.0,35.5,1.1,0.0,0.0,0.0,64.6,9989264
6,0.1,LocalHost,5.6,62.9,0.0,31.5,0.0,0.0,0.0,0.0,68.5,9989264
8,0.1,LocalHost,7.8,55.6,0.0,35.6,0.0,0.0,1.1,0.0,64.5,9989264
10,0.1,LocalHost,3.4,61.8,0.0,34.8,0.0,0.0,0.0,0.0,65.2,9989264
12,0.1,LocalHost,7.7,53.8,0.0,37.4,0.0,0.0,1.1,0.0,62.6,9989264
14,0.1,LocalHost,8.7,53.3,0.0,37.0,0.0,0.0,1.1,0.0,63.1,9989264
16,0.1,LocalHost,6.6,62.6,0.0,30.8,0.0,0.0,0.0,0.0,69.2,9989264
18,0.1,LocalHost,5.5,54.9,0.0,39.6,0.0,0.0,0.0,0.0,60.4,9989264
20,0.1,LocalHost,9.7,51.6,0.0,37.6,0.0,0.0,1.1,0.0,62.4,9989264
22,0.1,LocalHost,4.5,38.2,0.0,56.2,0.0,0.0,1.1,0.0,43.8,9989264
24,0.1,LocalHost,5.3,35.1,0.0,58.5,0.0,0.0,1.1,0.0,41.5,9989264
26,0.1,LocalHost,5.8,29.8,0.0,64.4,0.0,0.0,0.0,0.0,35.6,9989264
28,0.1,LocalHost,9.3,47.4,0.0,42.3,1.0,0.0,0.0,0.0,57.7,9989264
30,0.1,LocalHost,8.9,22.2,0.0,60.0,7.8,0.0,1.1,0.0,40.0,9989264
32,0.1,LocalHost,7.4,34.0,0.0,48.9,9.6,0.0,0.0,0.0,51.0,9989264
34,0.1,LocalHost,5.3,26.6,0.0,56.4,9.6,0.0,2.1,0.0,43.6,9989264
36,0.1,LocalHost,8.3,46.9,0.0,39.6,5.2,0.0,0.0,0.0,60.4,9989264
38,0.1,LocalHost,5.9,42.2,0.0,44.1,6.9,0.0,1.0,0.0,56.0,9989264
40,0.1,LocalHost,10.8,33.3,0.0,48.4,6.5,0.0,1.1,0.0,51.7,9989264
42,0.1,LocalHost,8.6,32.3,0.0,57.0,2.2,0.0,0.0,0.0,43.1,10054924
44,0.1,LocalHost,8.8,49.5,0.0,39.6,0.0,0.0,2.2,0.0,60.5,10054924
46,0.1,LocalHost,4.4,37.4,0.0,57.1,0.0,0.0,1.1,0.0,42.9,10054924
48,0.1,LocalHost,4.5,35.2,0.0,60.2,0.0,0.0,0.0,0.0,39.7,10054924
50,0.1,LocalHost,7.7,36.3,0.0,54.9,0.0,0.0,1.1,0.0,45.1,10054924
52,0.1,LocalHost,5.8,31.4,0.0,62.8,0.0,0.0,0.0,0.0,37.2,10054924
54,0.1,LocalHost,7.7,33.0,0.0,58.2,0.0,0.0,1.1,0.0,41.8,10054924
56,0.1,LocalHost,8.0,27.3,0.0,63.6,0.0,0.0,1.1,0.0,36.4,10054924
58,0.1,LocalHost,7.6,25.0,0.0,66.3,0.0,0.0,1.1,0.0,33.7,10054924
60,0.1,LocalHost,5.6,26.7,0.0,66.7,0.0,0.0,1.1,0.0,33.4,10054924
62,0.1,LocalHost,6.6,24.2,0.0,68.1,0.0,0.0,1.1,0.0,31.9,10054924
64,0.1,LocalHost,6.8,29.5,0.0,62.5,0.0,0.0,1.1,0.0,37.4,10054924
66,0.1,LocalHost,8.1,22.1,0.0,69.8,0.0,0.0,0.0,0.0,30.2,10054924
68,0.1,LocalHost,4.5,28.4,0.0,64.8,0.0,0.0,2.3,0.0,35.2,10054924
70,0.1,LocalHost,3.4,30.7,0.0,65.9,0.0,0.0,0.0,0.0,34.1,10054924
72,0.1,LocalHost,6.7,25.8,0.0,61.8,4.5,0.0,1.1,0.0,38.1,10054924
74,0.1,LocalHost,4.5,27.3,0.0,59.1,8.0,0.0,1.1,0.0,40.9,10054924
76,0.1,LocalHost,5.7,29.9,0.0,58.6,4.6,0.0,1.1,0.0,41.3,10054924
78,0.1,LocalHost,5.5,31.9,0.0,59.3,2.2,0.0,1.1,0.0,40.7,10054924
80,0.1,LocalHost,7.1,21.2,0.0,70.6,0.0,0.0,1.2,0.0,29.5,10054924
82,0.1,LocalHost,4.5,30.3,0.0,65.2,0.0,0.0,0.0,0.0,34.8,10054924
84,0.1,LocalHost,6.7,32.6,0.0,58.4,1.1,0.0,1.1,0.0,41.5,10054924
86,0.1,LocalHost,4.5,27.3,0.0,59.1,9.1,0.0,0.0,0.0,40.9,10054924
88,0.1,LocalHost,7.3,34.4,0.0,55.2,1.0,0.0,2.1,0.0,44.8,10054924
90,0.1,LocalHost,5.5,31.9,0.0,61.5,0.0,0.0,1.1,0.0,38.5,10054924
92,0.1,LocalHost,5.6,27.8,0.0,65.6,0.0,0.0,1.1,0.0,34.5,10054924
94,0.1,LocalHost,4.3,34.8,0.0,60.9,0.0,0.0,0.0,0.0,39.1,10054600
96,0.1,LocalHost,5.5,31.9,0.0,62.6,0.0,0.0,0.0,0.0,37.4,10054600
98,0.1,LocalHost,5.7,29.9,0.0,63.2,0.0,0.0,1.1,0.0,36.7,10054600
100,0.1,LocalHost,6.6,35.2,0.0,57.1,0.0,0.0,1.1,0.0,42.9,10054600
102,0.1,LocalHost,2.2,34.8,0.0,62.0,0.0,0.0,1.1,0.0,38.1,10054600
104,0.1,LocalHost,5.5,34.1,0.0,59.3,0.0,0.0,1.1,0.0,40.7,10054600
106,0.1,LocalHost,4.4,37.8,0.0,57.8,0.0,0.0,0.0,0.0,42.2,10054600
108,0.1,LocalHost,7.6,31.5,0.0,60.9,0.0,0.0,0.0,0.0,39.1,10054600
