iteration,measurement_period,machine/VNF,usercpu,syscpu,nicecpu,idlecpu,IOwaitcpu,HWInteruptscpu,SWInteruptscpu,stolencpu,Total(NoIdle),RAMused
2,0.1,LocalHost,2.1,73.7,0.0,18.9,5.3,0.0,0.0,0.0,81.1,9192872
4,0.1,LocalHost,3.1,71.4,0.0,20.4,5.1,0.0,0.0,0.0,79.6,9192872
6,0.1,LocalHost,1.1,62.8,0.0,31.9,3.2,0.0,1.1,0.0,68.2,9192872
8,0.1,LocalHost,5.5,62.6,0.0,27.5,4.4,0.0,0.0,0.0,72.5,9192872
10,0.1,LocalHost,2.1,61.7,0.0,28.7,7.4,0.0,0.0,0.0,71.2,9192872
12,0.1,LocalHost,2.1,62.5,0.0,35.4,0.0,0.0,0.0,0.0,64.6,9192872
14,0.1,LocalHost,5.4,60.2,0.0,33.3,0.0,0.0,1.1,0.0,66.7,9192872
16,0.1,LocalHost,4.2,61.5,0.0,34.4,0.0,0.0,0.0,0.0,65.7,9192872
18,0.1,LocalHost,1.1,50.0,0.0,47.7,0.0,0.0,1.1,0.0,52.2,9192872
20,0.1,LocalHost,3.3,27.5,0.0,68.1,0.0,0.0,1.1,0.0,31.9,9192872
22,0.1,LocalHost,2.2,28.9,0.0,66.7,0.0,0.0,2.2,0.0,33.3,9192872
24,0.1,LocalHost,2.3,22.7,0.0,75.0,0.0,0.0,0.0,0.0,25.0,9192872
26,0.1,LocalHost,3.3,22.0,0.0,73.6,0.0,0.0,1.1,0.0,26.4,9192872
28,0.1,LocalHost,2.1,21.3,0.0,72.3,0.0,0.0,4.3,0.0,27.7,9192872
30,0.1,LocalHost,3.4,22.5,0.0,74.2,0.0,0.0,0.0,0.0,25.9,9192872
32,0.1,LocalHost,3.3,20.9,0.0,75.8,0.0,0.0,0.0,0.0,24.2,9192872
34,0.1,LocalHost,2.2,22.0,0.0,73.6,0.0,0.0,2.2,0.0,26.4,9192872
36,0.1,LocalHost,3.3,20.0,0.0,75.6,0.0,0.0,1.1,0.0,24.4,9192872
38,0.1,LocalHost,1.1,23.9,0.0,73.9,0.0,0.0,1.1,0.0,26.1,9192872
40,0.1,LocalHost,3.5,18.6,0.0,77.9,0.0,0.0,0.0,0.0,22.1,9192872
42,0.1,LocalHost,2.2,23.6,0.0,74.2,0.0,0.0,0.0,0.0,25.8,9233428
44,0.1,LocalHost,2.2,22.0,0.0,74.7,0.0,0.0,1.1,0.0,25.3,9233428
46,0.1,LocalHost,2.3,20.7,0.0,77.0,0.0,0.0,0.0,0.0,23.0,9233428
48,0.1,LocalHost,3.7,46.8,0.0,48.6,0.0,0.0,0.9,0.0,51.4,9233428
50,0.1,LocalHost,4.6,45.0,0.0,50.5,0.0,0.0,0.0,0.0,49.6,9233428
52,0.1,LocalHost,14.7,43.1,0.0,41.3,0.0,0.0,0.9,0.0,58.7,9233428
54,0.1,LocalHost,7.0,43.0,0.0,50.0,0.0,0.0,0.0,0.0,50.0,9233428
56,0.1,LocalHost,5.6,36.4,0.0,57.9,0.0,0.0,0.0,0.0,42.0,9233428
58,0.1,LocalHost,3.6,42.0,0.0,53.6,0.0,0.0,0.9,0.0,46.5,9233428
60,0.1,LocalHost,3.1,43.3,0.0,52.6,0.0,0.0,1.0,0.0,47.4,9233428
62,0.1,LocalHost,5.0,37.6,0.0,57.4,0.0,0.0,0.0,0.0,42.6,9233428
64,0.1,LocalHost,5.0,33.0,0.0,61.0,0.0,0.0,1.0,0.0,39.0,9233428
66,0.1,LocalHost,2.1,39.2,0.0,57.7,0.0,0.0,1.0,0.0,42.3,9233428
68,0.1,LocalHost,3.2,34.7,0.0,61.1,0.0,0.0,1.1,0.0,39.0,9233428
70,0.1,LocalHost,3.0,42.4,0.0,54.5,0.0,0.0,0.0,0.0,45.4,9233428
72,0.1,LocalHost,5.5,40.7,0.0,52.7,0.0,0.0,1.1,0.0,47.3,9233428
74,0.1,LocalHost,2.1,30.9,0.0,67.0,0.0,0.0,0.0,0.0,33.0,9233428
76,0.1,LocalHost,5.5,22.0,0.0,72.5,0.0,0.0,0.0,0.0,27.5,9233428
78,0.1,LocalHost,3.3,25.6,0.0,71.1,0.0,0.0,0.0,0.0,28.9,9233428
80,0.1,LocalHost,2.2,27.8,0.0,68.9,0.0,0.0,1.1,0.0,31.1,9233428
82,0.1,LocalHost,2.2,22.5,0.0,75.3,0.0,0.0,0.0,0.0,24.7,9233428
84,0.1,LocalHost,3.2,24.2,0.0,70.5,0.0,0.0,2.1,0.0,29.5,9233428
86,0.1,LocalHost,1.2,22.4,0.0,75.3,0.0,0.0,1.2,0.0,24.8,9233428
88,0.1,LocalHost,2.2,21.5,0.0,75.3,0.0,0.0,1.1,0.0,24.8,9233428
90,0.1,LocalHost,1.1,20.2,0.0,77.5,0.0,0.0,1.1,0.0,22.4,9234916
92,0.1,LocalHost,2.2,23.9,0.0,73.9,0.0,0.0,0.0,0.0,26.1,9234916
94,0.1,LocalHost,7.4,42.6,0.0,44.4,5.6,0.0,0.0,0.0,55.6,9234916
96,0.1,LocalHost,1.1,27.7,0.0,62.8,8.5,0.0,0.0,0.0,37.3,9234916
98,0.1,LocalHost,2.8,32.1,0.0,48.6,14.7,0.0,1.8,0.0,51.4,9234916
100,0.1,LocalHost,6.5,50.0,0.0,35.2,8.3,0.0,0.0,0.0,64.8,9234916
102,0.1,LocalHost,4.5,41.8,0.0,44.5,8.2,0.0,0.9,0.0,55.4,9234916
104,0.1,LocalHost,5.1,54.1,0.0,36.7,3.1,0.0,1.0,0.0,63.3,9234916
106,0.1,LocalHost,3.1,37.1,0.0,51.5,8.2,0.0,0.0,0.0,48.4,9234916
108,0.1,LocalHost,4.3,37.0,0.0,54.3,4.3,0.0,0.0,0.0,45.6,9234916
110,0.1,LocalHost,5.1,34.7,0.0,58.2,0.0,0.0,2.0,0.0,41.8,9234916
112,0.1,LocalHost,3.0,34.0,0.0,62.0,0.0,0.0,1.0,0.0,38.0,9234916
114,0.1,LocalHost,2.9,36.9,0.0,59.2,0.0,0.0,1.0,0.0,40.8,9234916
116,0.1,LocalHost,6.7,30.5,0.0,61.0,0.0,0.0,1.9,0.0,39.1,9234916
118,0.1,LocalHost,3.0,32.3,0.0,63.6,0.0,0.0,1.0,0.0,36.3,9234916
120,0.1,LocalHost,4.1,36.1,0.0,59.8,0.0,0.0,0.0,0.0,40.2,9234916
122,0.1,LocalHost,5.0,32.7,0.0,61.4,0.0,0.0,1.0,0.0,38.7,9234916
124,0.1,LocalHost,5.4,35.5,0.0,57.0,0.0,0.0,2.2,0.0,43.1,9234916
126,0.1,LocalHost,4.0,34.7,0.0,60.4,0.0,0.0,1.0,0.0,39.7,9234916
128,0.1,LocalHost,4.0,37.0,0.0,59.0,0.0,0.0,0.0,0.0,41.0,9234916
130,0.1,LocalHost,3.1,31.2,0.0,64.6,0.0,0.0,1.0,0.0,35.3,9234916
132,0.1,LocalHost,3.0,31.3,0.0,63.6,0.0,0.0,2.0,0.0,36.3,9234916
134,0.1,LocalHost,2.2,28.3,0.0,67.4,0.0,0.0,2.2,0.0,32.7,9234916
136,0.1,LocalHost,4.2,26.0,0.0,67.7,0.0,0.0,2.1,0.0,32.3,9234916
138,0.1,LocalHost,3.2,23.7,0.0,73.1,0.0,0.0,0.0,0.0,26.9,9233732
140,0.1,LocalHost,1.1,25.3,0.0,73.6,0.0,0.0,0.0,0.0,26.4,9233732
142,0.1,LocalHost,4.3,26.9,0.0,68.8,0.0,0.0,0.0,0.0,31.2,9233732
144,0.1,LocalHost,2.2,26.4,0.0,69.2,0.0,0.0,2.2,0.0,30.8,9233732
146,0.1,LocalHost,3.2,23.4,0.0,71.3,0.0,0.0,2.1,0.0,28.7,9233732
148,0.1,LocalHost,1.1,23.6,0.0,75.3,0.0,0.0,0.0,0.0,24.7,9233732
150,0.1,LocalHost,5.2,20.8,0.0,71.9,0.0,0.0,2.1,0.0,28.1,9233732
152,0.1,LocalHost,4.5,19.3,0.0,76.1,0.0,0.0,0.0,0.0,23.8,9233732
154,0.1,LocalHost,3.4,24.7,0.0,69.7,0.0,0.0,2.2,0.0,30.3,9233732
156,0.1,LocalHost,3.3,26.4,0.0,69.2,0.0,0.0,1.1,0.0,30.8,9233732
158,0.1,LocalHost,2.1,26.6,0.0,69.1,0.0,0.0,2.1,0.0,30.8,9233732
160,0.1,LocalHost,8.7,53.4,0.0,37.9,0.0,0.0,0.0,0.0,62.1,9233732
162,0.1,LocalHost,7.0,48.2,0.0,43.9,0.0,0.0,0.9,0.0,56.1,9233732
164,0.1,LocalHost,3.4,55.9,0.0,39.8,0.0,0.0,0.8,0.0,60.1,9233732
166,0.1,LocalHost,3.1,26.5,0.0,69.4,0.0,0.0,1.0,0.0,30.6,9233732
168,0.1,LocalHost,4.7,36.8,0.0,57.5,0.0,0.0,0.9,0.0,42.4,9233732
170,0.1,LocalHost,3.9,39.8,0.0,55.3,0.0,0.0,1.0,0.0,44.7,9233732
172,0.1,LocalHost,5.5,41.3,0.0,53.2,0.0,0.0,0.0,0.0,46.8,9233732
174,0.1,LocalHost,4.8,41.0,0.0,47.6,5.7,0.0,1.0,0.0,52.5,9233732
176,0.1,LocalHost,3.2,42.6,0.0,45.7,8.5,0.0,0.0,0.0,54.3,9233732
178,0.1,LocalHost,4.0,40.6,0.0,48.5,6.9,0.0,0.0,0.0,51.5,9233732
180,0.1,LocalHost,4.7,41.5,0.0,52.8,0.0,0.0,0.9,0.0,47.1,9233732
