iteration,measurement_period,machine/VNF,usercpu,syscpu,nicecpu,idlecpu,IOwaitcpu,HWInteruptscpu,SWInteruptscpu,stolencpu,Total(NoIdle),RAMused
2,0.1,LocalHost,2.1,72.6,0.0,17.9,7.4,0.0,0.0,0.0,82.1,9002276
4,0.1,LocalHost,2.1,73.7,0.0,20.0,4.2,0.0,0.0,0.0,80.0,9002276
6,0.1,LocalHost,6.5,63.0,0.0,22.8,7.6,0.0,0.0,0.0,77.1,9002276
8,0.1,LocalHost,4.3,58.1,0.0,28.0,9.7,0.0,0.0,0.0,72.1,9002276
10,0.1,LocalHost,2.1,60.4,0.0,35.4,2.1,0.0,0.0,0.0,64.6,9002276
12,0.1,LocalHost,2.1,60.0,0.0,37.9,0.0,0.0,0.0,0.0,62.1,9002276
14,0.1,LocalHost,4.1,60.2,0.0,35.7,0.0,0.0,0.0,0.0,64.3,9002276
16,0.1,LocalHost,3.2,60.6,0.0,36.2,0.0,0.0,0.0,0.0,63.8,9002276
18,0.1,LocalHost,6.2,48.5,0.0,44.3,0.0,0.0,1.0,0.0,55.7,9002276
20,0.1,LocalHost,4.2,26.3,0.0,69.5,0.0,0.0,0.0,0.0,30.5,9002276
22,0.1,LocalHost,6.1,29.8,0.0,62.3,0.0,0.0,1.8,0.0,37.7,9002276
24,0.1,LocalHost,5.6,38.9,0.0,53.7,0.0,0.0,1.9,0.0,46.4,9002276
26,0.1,LocalHost,7.3,45.0,0.0,47.7,0.0,0.0,0.0,0.0,52.3,9002276
28,0.1,LocalHost,7.7,50.0,0.0,41.3,0.0,0.0,1.0,0.0,58.7,9002276
30,0.1,LocalHost,3.8,35.2,0.0,60.0,0.0,0.0,1.0,0.0,40.0,9002276
32,0.1,LocalHost,8.0,32.0,0.0,60.0,0.0,0.0,0.0,0.0,40.0,9002276
34,0.1,LocalHost,4.7,34.0,0.0,60.4,0.0,0.0,0.9,0.0,39.6,9002276
36,0.1,LocalHost,3.1,33.0,0.0,62.9,0.0,0.0,1.0,0.0,37.1,9002276
38,0.1,LocalHost,7.0,32.0,0.0,61.0,0.0,0.0,0.0,0.0,39.0,9002276
40,0.1,LocalHost,4.0,32.3,0.0,56.6,7.1,0.0,0.0,0.0,43.4,9002276
42,0.1,LocalHost,2.9,34.0,0.0,54.4,7.8,0.0,1.0,0.0,45.7,9002276
44,0.1,LocalHost,3.9,35.0,0.0,61.2,0.0,0.0,0.0,0.0,38.9,9084152
46,0.1,LocalHost,3.9,32.4,0.0,60.8,0.0,0.0,2.9,0.0,39.2,9084152
48,0.1,LocalHost,14.3,34.7,0.0,51.0,0.0,0.0,0.0,0.0,49.0,9084152
50,0.1,LocalHost,5.2,24.0,0.0,69.8,0.0,0.0,1.0,0.0,30.2,9084152
52,0.1,LocalHost,1.0,28.1,0.0,69.8,0.0,0.0,1.0,0.0,30.1,9084152
54,0.1,LocalHost,2.1,27.4,0.0,70.5,0.0,0.0,0.0,0.0,29.5,9084152
56,0.1,LocalHost,5.4,23.9,0.0,70.7,0.0,0.0,0.0,0.0,29.3,9084152
58,0.1,LocalHost,2.1,26.6,0.0,70.2,0.0,0.0,1.1,0.0,29.8,9084152
60,0.1,LocalHost,1.1,28.7,0.0,67.0,0.0,0.0,3.2,0.0,33.0,9084152
62,0.1,LocalHost,5.0,25.0,0.0,70.0,0.0,0.0,0.0,0.0,30.0,9084152
64,0.1,LocalHost,4.3,22.8,0.0,72.8,0.0,0.0,0.0,0.0,27.1,9084152
66,0.1,LocalHost,5.0,26.0,0.0,69.0,0.0,0.0,0.0,0.0,31.0,9084152
68,0.1,LocalHost,5.2,25.0,0.0,69.8,0.0,0.0,0.0,0.0,30.2,9084152
70,0.1,LocalHost,3.1,32.3,0.0,62.5,0.0,0.0,2.1,0.0,37.5,9084152
72,0.1,LocalHost,4.3,25.0,0.0,70.7,0.0,0.0,0.0,0.0,29.3,9084152
74,0.1,LocalHost,3.2,25.3,0.0,71.6,0.0,0.0,0.0,0.0,28.5,9084152
76,0.1,LocalHost,2.8,27.1,0.0,67.3,0.0,0.0,2.8,0.0,32.7,9084152
78,0.1,LocalHost,6.2,47.9,0.0,45.8,0.0,0.0,0.0,0.0,54.1,9084152
80,0.1,LocalHost,4.3,23.7,0.0,71.0,0.0,0.0,1.1,0.0,29.1,9084152
82,0.1,LocalHost,7.3,54.5,0.0,35.5,2.7,0.0,0.0,0.0,64.5,9084152
84,0.1,LocalHost,4.3,25.8,0.0,60.2,9.7,0.0,0.0,0.0,39.8,9084152
86,0.1,LocalHost,4.5,44.5,0.0,42.7,7.3,0.0,0.9,0.0,57.2,9084152
88,0.1,LocalHost,3.6,42.7,0.0,45.5,7.3,0.0,0.9,0.0,54.5,9084152
90,0.1,LocalHost,4.6,45.0,0.0,42.2,7.3,0.0,0.9,0.0,57.8,9084152
92,0.1,LocalHost,3.8,46.7,0.0,47.6,1.9,0.0,0.0,0.0,52.4,9084152
94,0.1,LocalHost,6.2,46.4,0.0,41.1,6.2,0.0,0.0,0.0,58.8,9084312
96,0.1,LocalHost,3.9,42.2,0.0,52.9,1.0,0.0,0.0,0.0,47.1,9084312
98,0.1,LocalHost,4.1,26.8,0.0,68.0,0.0,0.0,1.0,0.0,31.9,9084312
100,0.1,LocalHost,5.0,36.0,0.0,59.0,0.0,0.0,0.0,0.0,41.0,9084312
102,0.1,LocalHost,4.1,37.8,0.0,57.1,0.0,0.0,1.0,0.0,42.9,9084312
104,0.1,LocalHost,4.0,37.6,0.0,53.5,4.0,0.0,1.0,0.0,46.6,9084312
106,0.1,LocalHost,6.2,32.3,0.0,54.2,7.3,0.0,0.0,0.0,45.8,9084312
