iteration,measurement_period,machine/VNF,usercpu,syscpu,nicecpu,idlecpu,IOwaitcpu,HWInteruptscpu,SWInteruptscpu,stolencpu,Total(NoIdle),RAMused
2,0.1,LocalHost,2.1,71.9,0.0,26.0,0.0,0.0,0.0,0.0,74.0,7354316
4,0.1,LocalHost,3.3,71.1,0.0,25.6,0.0,0.0,0.0,0.0,74.4,7354316
6,0.1,LocalHost,4.4,55.6,0.0,40.0,0.0,0.0,0.0,0.0,60.0,7354316
8,0.1,LocalHost,4.3,56.4,0.0,39.4,0.0,0.0,0.0,0.0,60.7,7354316
10,0.1,LocalHost,5.3,55.8,0.0,38.9,0.0,0.0,0.0,0.0,61.1,7354316
12,0.1,LocalHost,6.2,57.7,0.0,36.1,0.0,0.0,0.0,0.0,63.9,7354316
14,0.1,LocalHost,1.1,58.0,0.0,40.9,0.0,0.0,0.0,0.0,59.1,7354316
16,0.1,LocalHost,2.2,53.8,0.0,40.7,3.3,0.0,0.0,0.0,59.3,7354316
18,0.1,LocalHost,2.2,26.7,0.0,60.0,10.0,0.0,1.1,0.0,40.0,7354316
20,0.1,LocalHost,5.0,10.0,0.0,72.0,11.0,0.0,2.0,0.0,28.0,7354316
22,0.1,LocalHost,4.8,19.2,0.0,65.4,10.6,0.0,0.0,0.0,34.6,7354316
24,0.1,LocalHost,7.6,14.3,0.0,68.6,8.6,0.0,1.0,0.0,31.5,7354316
26,0.1,LocalHost,4.6,24.8,0.0,67.9,0.0,0.0,2.8,0.0,32.2,7354316
28,0.1,LocalHost,5.1,25.5,0.0,65.3,0.0,0.0,4.1,0.0,34.7,7354316
30,0.1,LocalHost,3.1,26.8,0.0,69.1,0.0,0.0,1.0,0.0,30.9,7354316
32,0.1,LocalHost,4.3,19.6,0.0,75.0,0.0,0.0,1.1,0.0,25.0,7354316
34,0.1,LocalHost,1.1,19.1,0.0,75.5,0.0,0.0,4.3,0.0,24.5,7354316
36,0.1,LocalHost,4.4,19.8,0.0,74.7,0.0,0.0,1.1,0.0,25.3,7354316
38,0.1,LocalHost,3.2,19.4,0.0,75.3,0.0,0.0,2.2,0.0,24.8,7354316
40,0.1,LocalHost,1.1,17.0,0.0,79.5,0.0,0.0,2.3,0.0,20.4,7476444
42,0.1,LocalHost,2.1,20.2,0.0,76.6,0.0,0.0,1.1,0.0,23.4,7476444
44,0.1,LocalHost,2.2,24.4,0.0,72.2,0.0,0.0,1.1,0.0,27.7,7476444
