iteration,measurement_period,machine/VNF,usercpu,syscpu,nicecpu,idlecpu,IOwaitcpu,HWInteruptscpu,SWInteruptscpu,stolencpu,Total(NoIdle),RAMused
2,0.1,LocalHost,4.4,57.8,0.0,36.7,0.0,0.0,1.1,0.0,63.3,9984812
4,0.1,LocalHost,3.3,57.6,0.0,37.0,1.1,0.0,1.1,0.0,63.1,9984812
6,0.1,LocalHost,2.2,46.1,0.0,43.8,7.9,0.0,0.0,0.0,56.2,9984812
8,0.1,LocalHost,5.8,58.1,0.0,31.4,3.5,0.0,1.2,0.0,68.6,9984812
10,0.1,LocalHost,2.2,52.8,0.0,38.2,6.7,0.0,0.0,0.0,61.7,9984812
12,0.1,LocalHost,3.1,46.9,0.0,43.9,6.1,0.0,0.0,0.0,56.1,9984812
14,0.1,LocalHost,2.1,58.5,0.0,38.3,0.0,0.0,1.1,0.0,61.7,9984812
16,0.1,LocalHost,6.4,54.3,0.0,35.1,3.2,0.0,1.1,0.0,65.0,9984812
18,0.1,LocalHost,5.2,47.4,0.0,40.2,7.2,0.0,0.0,0.0,59.8,9984812
20,0.1,LocalHost,6.7,41.1,0.0,43.3,7.8,0.0,1.1,0.0,56.7,9984812
22,0.1,LocalHost,3.1,46.4,0.0,42.3,7.2,0.0,1.0,0.0,57.7,9984812
24,0.1,LocalHost,5.4,52.7,0.0,37.5,3.6,0.0,0.9,0.0,62.6,9984812
26,0.1,LocalHost,5.2,46.9,0.0,40.6,6.2,0.0,1.0,0.0,59.3,9984812
28,0.1,LocalHost,6.1,41.4,0.0,51.5,0.0,0.0,1.0,0.0,48.5,9984812
30,0.1,LocalHost,5.3,42.6,0.0,52.1,0.0,0.0,0.0,0.0,47.9,9984812
32,0.1,LocalHost,7.4,47.4,0.0,45.3,0.0,0.0,0.0,0.0,54.8,9984812
34,0.1,LocalHost,4.3,52.1,0.0,42.6,0.0,0.0,1.1,0.0,57.5,9984812
36,0.1,LocalHost,5.9,52.0,0.0,40.2,0.0,0.0,2.0,0.0,59.9,9984812
38,0.1,LocalHost,3.4,44.9,0.0,51.7,0.0,0.0,0.0,0.0,48.3,9984812
40,0.1,LocalHost,4.3,48.9,0.0,44.7,0.0,0.0,2.1,0.0,55.3,9984812
42,0.1,LocalHost,5.3,53.7,0.0,41.1,0.0,0.0,0.0,0.0,59.0,9984812
44,0.1,LocalHost,2.3,54.0,0.0,43.7,0.0,0.0,0.0,0.0,56.3,9984812
46,0.1,LocalHost,4.1,48.0,0.0,45.9,0.0,0.0,2.0,0.0,54.1,9984812
48,0.1,LocalHost,3.4,42.5,0.0,51.7,2.3,0.0,0.0,0.0,48.2,9991800
50,0.1,LocalHost,5.0,41.6,0.0,46.5,5.9,0.0,1.0,0.0,53.5,9991800
52,0.1,LocalHost,3.2,45.2,0.0,49.5,1.1,0.0,1.1,0.0,50.6,9991800
54,0.1,LocalHost,4.3,39.1,0.0,48.9,6.5,0.0,1.1,0.0,51.0,9991800
56,0.1,LocalHost,4.1,42.3,0.0,49.5,3.1,0.0,1.0,0.0,50.5,9991800
58,0.1,LocalHost,4.2,45.8,0.0,45.8,4.2,0.0,0.0,0.0,54.2,9991800
60,0.1,LocalHost,3.3,38.9,0.0,50.0,7.8,0.0,0.0,0.0,50.0,9991800
62,0.1,LocalHost,4.2,37.5,0.0,49.0,8.3,0.0,1.0,0.0,51.0,9991800
64,0.1,LocalHost,4.3,43.6,0.0,46.8,4.3,0.0,1.1,0.0,53.3,9991800
66,0.1,LocalHost,4.3,40.9,0.0,48.4,6.5,0.0,0.0,0.0,51.7,9991800
68,0.1,LocalHost,4.3,39.8,0.0,49.5,6.5,0.0,0.0,0.0,50.6,9991800
70,0.1,LocalHost,8.2,57.7,0.0,32.0,0.0,0.0,2.1,0.0,68.0,9991800
72,0.1,LocalHost,4.1,57.1,0.0,37.8,0.0,0.0,1.0,0.0,62.2,9991800
74,0.1,LocalHost,1.9,52.9,0.0,42.3,1.9,0.0,1.0,0.0,57.7,9991800
76,0.1,LocalHost,5.1,45.5,0.0,36.4,11.1,0.0,2.0,0.0,63.7,9991800
78,0.1,LocalHost,2.3,41.9,0.0,47.7,8.1,0.0,0.0,0.0,52.3,9991800
80,0.1,LocalHost,6.1,42.4,0.0,44.4,7.1,0.0,0.0,0.0,55.6,9991800
82,0.1,LocalHost,4.4,40.0,0.0,46.7,7.8,0.0,1.1,0.0,53.3,9991800
84,0.1,LocalHost,4.4,42.2,0.0,40.0,13.3,0.0,0.0,0.0,59.9,9991800
86,0.1,LocalHost,3.2,44.7,0.0,25.5,25.5,0.0,1.1,0.0,74.5,9991800
88,0.1,LocalHost,6.8,47.7,0.0,33.0,12.5,0.0,0.0,0.0,67.0,9991800
90,0.1,LocalHost,2.2,42.7,0.0,38.2,14.6,0.0,2.2,0.0,61.7,9991800
92,0.1,LocalHost,3.5,39.5,0.0,46.5,9.3,0.0,1.2,0.0,53.5,9991800
94,0.1,LocalHost,3.4,42.7,0.0,46.1,6.7,0.0,1.1,0.0,53.9,9991800
96,0.1,LocalHost,3.5,37.6,0.0,51.8,7.1,0.0,0.0,0.0,48.2,9991800
98,0.1,LocalHost,3.2,44.7,0.0,43.6,8.5,0.0,0.0,0.0,56.4,9991876
100,0.1,LocalHost,5.4,40.9,0.0,45.2,7.5,0.0,1.1,0.0,54.9,9991876
102,0.1,LocalHost,3.0,48.0,0.0,41.0,7.0,0.0,1.0,0.0,59.0,9991876
104,0.1,LocalHost,3.3,42.4,0.0,46.7,6.5,0.0,1.1,0.0,53.3,9991876
106,0.1,LocalHost,4.5,39.8,0.0,47.7,6.8,0.0,1.1,0.0,52.2,9991876
108,0.1,LocalHost,4.2,45.3,0.0,42.1,6.3,0.0,2.1,0.0,57.9,9991876
110,0.1,LocalHost,5.2,51.5,0.0,37.1,6.2,0.0,0.0,0.0,62.9,9991876
112,0.1,LocalHost,4.2,52.1,0.0,37.5,6.2,0.0,0.0,0.0,62.5,9991876
114,0.1,LocalHost,2.3,51.1,0.0,39.8,6.8,0.0,0.0,0.0,60.2,9991876
116,0.1,LocalHost,4.3,54.8,0.0,36.6,4.3,0.0,0.0,0.0,63.4,9991876
118,0.1,LocalHost,4.1,51.5,0.0,43.3,0.0,0.0,1.0,0.0,56.6,9991876
120,0.1,LocalHost,4.3,44.6,0.0,51.1,0.0,0.0,0.0,0.0,48.9,9991876
122,0.1,LocalHost,2.2,44.4,0.0,44.4,7.8,0.0,1.1,0.0,55.5,9991876
124,0.1,LocalHost,5.4,39.1,0.0,46.7,8.7,0.0,0.0,0.0,53.2,9991876
126,0.1,LocalHost,6.2,41.7,0.0,47.9,4.2,0.0,0.0,0.0,52.1,9991876
128,0.1,LocalHost,5.4,41.3,0.0,45.7,6.5,0.0,1.1,0.0,54.3,9991876
130,0.1,LocalHost,3.3,43.5,0.0,51.1,1.1,0.0,1.1,0.0,49.0,9991876
132,0.1,LocalHost,4.7,39.5,0.0,52.3,3.5,0.0,0.0,0.0,47.7,9991876
134,0.1,LocalHost,2.3,44.2,0.0,51.2,2.3,0.0,0.0,0.0,48.8,9991876
136,0.1,LocalHost,7.9,43.8,0.0,42.7,4.5,0.0,1.1,0.0,57.3,9991876
138,0.1,LocalHost,3.4,46.0,0.0,50.6,0.0,0.0,0.0,0.0,49.4,9991876
140,0.1,LocalHost,3.3,45.1,0.0,50.5,0.0,0.0,1.1,0.0,49.5,9991876
142,0.1,LocalHost,5.5,44.0,0.0,49.5,0.0,0.0,1.1,0.0,50.6,9991876
144,0.1,LocalHost,3.2,52.6,0.0,43.2,0.0,0.0,1.1,0.0,56.9,9991876
146,0.1,LocalHost,5.2,43.8,0.0,49.0,0.0,0.0,2.1,0.0,51.1,9991876
148,0.1,LocalHost,3.3,44.4,0.0,51.1,0.0,0.0,1.1,0.0,48.8,9991876
150,0.1,LocalHost,4.5,60.4,0.0,35.1,0.0,0.0,0.0,0.0,64.9,9992644
152,0.1,LocalHost,5.4,46.7,0.0,47.8,0.0,0.0,0.0,0.0,52.1,9992644
154,0.1,LocalHost,3.9,49.0,0.0,46.1,0.0,0.0,1.0,0.0,53.9,9992644
156,0.1,LocalHost,4.4,44.4,0.0,51.1,0.0,0.0,0.0,0.0,48.8,9992644
158,0.1,LocalHost,4.5,44.9,0.0,50.6,0.0,0.0,0.0,0.0,49.4,9992644
160,0.1,LocalHost,4.3,46.7,0.0,47.8,0.0,0.0,1.1,0.0,52.1,9992644
162,0.1,LocalHost,5.4,46.7,0.0,47.8,0.0,0.0,0.0,0.0,52.1,9992644
164,0.1,LocalHost,6.2,47.4,0.0,46.4,0.0,0.0,0.0,0.0,53.6,9992644
166,0.1,LocalHost,4.4,54.9,0.0,40.7,0.0,0.0,0.0,0.0,59.3,9992644
168,0.1,LocalHost,4.3,51.6,0.0,43.0,0.0,0.0,1.1,0.0,57.0,9992644
170,0.1,LocalHost,5.3,51.1,0.0,42.6,0.0,0.0,1.1,0.0,57.5,9992644
172,0.1,LocalHost,4.3,67.4,0.0,27.2,1.1,0.0,0.0,0.0,72.8,9992644
174,0.1,LocalHost,4.3,48.9,0.0,39.4,7.4,0.0,0.0,0.0,60.6,9992644
176,0.1,LocalHost,6.6,41.8,0.0,45.1,6.6,0.0,0.0,0.0,55.0,9992644
178,0.1,LocalHost,2.1,47.9,0.0,41.5,6.4,0.0,2.1,0.0,58.5,9992644
180,0.1,LocalHost,4.3,50.5,0.0,38.7,5.4,0.0,1.1,0.0,61.3,9992644
182,0.1,LocalHost,8.3,50.0,0.0,41.7,0.0,0.0,0.0,0.0,58.3,9992644
184,0.1,LocalHost,5.6,43.8,0.0,50.6,0.0,0.0,0.0,0.0,49.4,9992644
186,0.1,LocalHost,4.3,45.7,0.0,50.0,0.0,0.0,0.0,0.0,50.0,9992644
188,0.1,LocalHost,4.6,39.1,0.0,50.6,4.6,0.0,1.1,0.0,49.4,9992644
190,0.1,LocalHost,3.4,44.3,0.0,45.5,6.8,0.0,0.0,0.0,54.5,9992644
192,0.1,LocalHost,2.2,47.3,0.0,44.0,4.4,0.0,2.2,0.0,56.1,9992644
194,0.1,LocalHost,3.3,49.5,0.0,45.1,2.2,0.0,0.0,0.0,55.0,9992644
196,0.1,LocalHost,4.3,43.6,0.0,43.6,7.4,0.0,1.1,0.0,56.4,9992644
198,0.1,LocalHost,6.7,42.2,0.0,43.3,6.7,0.0,1.1,0.0,56.7,9992644
200,0.1,LocalHost,5.3,47.4,0.0,42.1,4.2,0.0,1.1,0.0,58.0,9991096
202,0.1,LocalHost,4.3,49.5,0.0,41.9,4.3,0.0,0.0,0.0,58.1,9991096
