iteration,measurement_period,machine/VNF,RAMTotal,RAMFree,RAMAvailable,RAM_usage
1,0.1,LocalHost,16288168,163924,5817428,10470316
2,0.1,LocalHost,16288168,187476,5817980,10469732
3,0.1,LocalHost,16288168,187680,5818456,10469712
4,0.1,LocalHost,16288168,187480,5818044,10470124
5,0.1,LocalHost,16288168,187268,5818044,10470192
6,0.1,LocalHost,16288168,187720,5818148,10470020
7,0.1,LocalHost,16288168,187372,5818408,10469760
8,0.1,LocalHost,16288168,187444,5818608,10469900
9,0.1,LocalHost,16288168,187672,5817876,10470292
10,0.1,LocalHost,16288168,187932,5817820,10470348
11,0.1,LocalHost,16288168,187304,5817768,10470400
12,0.1,LocalHost,16288168,187564,5817768,10470400
13,0.1,LocalHost,16288168,187100,5817308,10470860
14,0.1,LocalHost,16288168,187008,5817216,10471488
15,0.1,LocalHost,16288168,186968,5817176,10470796
16,0.1,LocalHost,16288168,187180,5817388,10471052
17,0.1,LocalHost,16288168,186732,5816940,10471692
18,0.1,LocalHost,16288168,186424,5816892,10471276
19,0.1,LocalHost,16288168,186668,5816752,10471416
20,0.1,LocalHost,16288168,186672,5816880,10471028
21,0.1,LocalHost,16288168,187184,5817048,10470860
22,0.1,LocalHost,16288168,187052,5817260,10470908
23,0.1,LocalHost,16288168,187620,5817828,10470340
24,0.1,LocalHost,16288168,187620,5817828,10470664
25,0.1,LocalHost,16288168,187548,5817484,10470684
26,0.1,LocalHost,16288168,187604,5817812,10470356
27,0.1,LocalHost,16288168,187840,5818048,10470120
28,0.1,LocalHost,16288168,187328,5817536,10470632
29,0.1,LocalHost,16288168,187184,5817392,10470776
30,0.1,LocalHost,16288168,187072,5817280,10471632
31,0.1,LocalHost,16288168,186296,5816504,10471664
32,0.1,LocalHost,16288168,185996,5816212,10471956
33,0.1,LocalHost,16288168,185896,5816104,10471804
34,0.1,LocalHost,16288168,186380,5816852,10471600
35,0.1,LocalHost,16288168,186064,5816796,10471372
36,0.1,LocalHost,16288168,186608,5816820,10471812
37,0.1,LocalHost,16288168,185696,5815908,10472260
38,0.1,LocalHost,16288168,185460,5815672,10472236
39,0.1,LocalHost,16288168,185856,5816068,10472100
40,0.1,LocalHost,16288168,184728,5814684,10473484
41,0.1,LocalHost,16288168,185788,5816004,10471904
42,0.1,LocalHost,16288168,185928,5815968,10472452
43,0.1,LocalHost,16288168,185524,5815780,10472128
44,0.1,LocalHost,16288168,185784,5816300,10471868
45,0.1,LocalHost,16288168,186044,5816300,10471868
46,0.1,LocalHost,16288168,186076,5816332,10471836
47,0.1,LocalHost,16288168,186108,5816364,10472116
48,0.1,LocalHost,16288168,185796,5815776,10472392
49,0.1,LocalHost,16288168,185536,5816056,10471916
50,0.1,LocalHost,16288168,185960,5816124,10471784
51,0.1,LocalHost,16288168,185668,5816188,10471656
52,0.1,LocalHost,16288168,186160,5816428,10471740
53,0.1,LocalHost,16288168,186420,5816572,10471596
54,0.1,LocalHost,16288168,186580,5817108,10471328
55,0.1,LocalHost,16288168,186904,5817172,10470996
56,0.1,LocalHost,16288168,186708,5816976,10471192
57,0.1,LocalHost,16288168,186352,5816624,10471544
58,0.1,LocalHost,16288168,186048,5816580,10471328
59,0.1,LocalHost,16288168,186568,5817008,10471160
60,0.1,LocalHost,16288168,186656,5816932,10471236
61,0.1,LocalHost,16288168,186500,5816516,10471976
62,0.1,LocalHost,16288168,185916,5816192,10471976
63,0.1,LocalHost,16288168,184996,5815272,10473244
64,0.1,LocalHost,16288168,184372,5814648,10473788
65,0.1,LocalHost,16288168,183988,5814264,10473384
66,0.1,LocalHost,16288168,184280,5814556,10473888
67,0.1,LocalHost,16288168,183068,5813344,10474564
68,0.1,LocalHost,16288168,183120,5813396,10475048
69,0.1,LocalHost,16288168,182812,5812820,10475348
70,0.1,LocalHost,16288168,182836,5813104,10474804
71,0.1,LocalHost,16288168,183364,5813640,10474528
72,0.1,LocalHost,16288168,183188,5813464,10474796
73,0.1,LocalHost,16288168,182696,5813236,10474932
74,0.1,LocalHost,16288168,183232,5813512,10474396
75,0.1,LocalHost,16288168,183492,5813772,10474388
76,0.1,LocalHost,16288168,183888,5813600,10474568
77,0.1,LocalHost,16288168,183168,5813180,10474988
78,0.1,LocalHost,16288168,182900,5813180,10474988
79,0.1,LocalHost,16288168,182948,5813488,10474580
80,0.1,LocalHost,16288168,183544,5813824,10474084
81,0.1,LocalHost,16288168,183596,5814120,10474048
82,0.1,LocalHost,16288168,183840,5813844,10474324
83,0.1,LocalHost,16288168,183516,5813796,10474372
84,0.1,LocalHost,16288168,183564,5813812,10474096
85,0.1,LocalHost,16288168,183388,5813396,10474772
86,0.1,LocalHost,16288168,183024,5813308,10474600
87,0.1,LocalHost,16288168,183056,5813600,10474568
88,0.1,LocalHost,16288168,183116,5813400,10474768
89,0.1,LocalHost,16288168,183116,5813400,10475036
90,0.1,LocalHost,16288168,182848,5812868,10475300
91,0.1,LocalHost,16288168,182160,5812444,10475724
92,0.1,LocalHost,16288168,182364,5812648,10475520
93,0.1,LocalHost,16288168,182964,5812984,10475184
94,0.1,LocalHost,16288168,183264,5813264,10475008
95,0.1,LocalHost,16288168,182900,5813444,10474724
96,0.1,LocalHost,16288168,183372,5813612,10474296
97,0.1,LocalHost,16288168,183544,5813832,10474620
98,0.1,LocalHost,16288168,183592,5813880,10474288
99,0.1,LocalHost,16288168,183536,5814084,10474344
100,0.1,LocalHost,16288168,185464,5815496,10472672
101,0.1,LocalHost,16288168,185004,5815292,10473608
102,0.1,LocalHost,16288168,184532,5814820,10473348
103,0.1,LocalHost,16288168,184604,5815460,10473252
104,0.1,LocalHost,16288168,184272,5813844,10474324
105,0.1,LocalHost,16288168,183660,5813996,10474172
106,0.1,LocalHost,16288168,183308,5813644,10474788
107,0.1,LocalHost,16288168,183344,5813680,10474912
108,0.1,LocalHost,16288168,183664,5813952,10474216
109,0.1,LocalHost,16288168,183740,5814076,10474352
110,0.1,LocalHost,16288168,183592,5813928,10473980
111,0.1,LocalHost,16288168,183860,5813868,10474300
112,0.1,LocalHost,16288168,183524,5813860,10474048
113,0.1,LocalHost,16288168,183744,5814340,10473568
114,0.1,LocalHost,16288168,183996,5814332,10473836
115,0.1,LocalHost,16288168,183928,5814264,10473708
116,0.1,LocalHost,16288168,184208,5814512,10473656
117,0.1,LocalHost,16288168,184372,5814968,10473332
118,0.1,LocalHost,16288168,184256,5814592,10473944
119,0.1,LocalHost,16288168,183936,5814536,10473632
120,0.1,LocalHost,16288168,184228,5814568,10473600
121,0.1,LocalHost,16288168,184236,5814576,10473592
