iteration,measurement_period,machine/VNF,RAMTotal,RAMFree,RAMAvailable,RAM_usage
1,0.1,LocalHost,16288168,175396,6026728,10269676
2,0.1,LocalHost,16288168,186848,6018608,10269560
3,0.1,LocalHost,16288168,184632,6015776,10272968
4,0.1,LocalHost,16288168,183324,6014924,10272984
5,0.1,LocalHost,16288168,183276,6014612,10273960
6,0.1,LocalHost,16288168,182436,6013960,10274208
7,0.1,LocalHost,16288168,182136,6013384,10275076
8,0.1,LocalHost,16288168,180572,6012396,10275512
9,0.1,LocalHost,16288168,180604,6012428,10276008
10,0.1,LocalHost,16288168,180676,6012500,10275148
11,0.1,LocalHost,16288168,181004,6013356,10274552
12,0.1,LocalHost,16288168,181784,6013292,10274616
13,0.1,LocalHost,16288168,181572,6013664,10275412
14,0.1,LocalHost,16288168,180852,6012684,10275744
15,0.1,LocalHost,16288168,180324,6012156,10275752
16,0.1,LocalHost,16288168,180796,6012628,10275344
17,0.1,LocalHost,16288168,180748,6012844,10275324
18,0.1,LocalHost,16288168,181420,6013256,10274912
19,0.1,LocalHost,16288168,181728,6013568,10274884
20,0.1,LocalHost,16288168,181216,6013292,10274876
21,0.1,LocalHost,16288168,181412,6013252,10274932
22,0.1,LocalHost,16288168,181072,6012912,10275256
23,0.1,LocalHost,16288168,181096,6012936,10274972
24,0.1,LocalHost,16288168,181284,6013124,10274784
25,0.1,LocalHost,16288168,181576,6013416,10274492
26,0.1,LocalHost,16288168,182168,6014008,10274460
27,0.1,LocalHost,16288168,181868,6010352,10278320
28,0.1,LocalHost,16288168,181712,6013772,10274136
29,0.1,LocalHost,16288168,181700,6013732,10274436
30,0.1,LocalHost,16288168,181780,6013812,10274096
31,0.1,LocalHost,16288168,182040,6014072,10274096
32,0.1,LocalHost,16288168,181676,6014228,10273940
33,0.1,LocalHost,16288168,181400,6013692,10274476
34,0.1,LocalHost,16288168,181724,6013764,10274404
35,0.1,LocalHost,16288168,182088,6014120,10274048
36,0.1,LocalHost,16288168,181764,6013504,10274924
37,0.1,LocalHost,16288168,181332,6013080,10274828
38,0.1,LocalHost,16288168,181584,6013616,10274552
39,0.1,LocalHost,16288168,181600,6013632,10274536
40,0.1,LocalHost,16288168,181852,6013884,10274284
41,0.1,LocalHost,16288168,181796,6013828,10274616
