iteration,measurement_period,machine/VNF,RAMTotal,RAMFree,RAMAvailable,RAM_usage
1,0.1,LocalHost,16288168,161660,6018452,10269452
2,0.1,LocalHost,16288168,161564,6017792,10270116
3,0.1,LocalHost,16288168,161824,6018052,10270116
4,0.1,LocalHost,16288168,161932,6017860,10270792
5,0.1,LocalHost,16288168,160248,6017004,10271432
6,0.1,LocalHost,16288168,160500,6016032,10272136
7,0.1,LocalHost,16288168,160032,6015692,10272476
8,0.1,LocalHost,16288168,159456,6015952,10272216
9,0.1,LocalHost,16288168,159976,6016188,10272484
10,0.1,LocalHost,16288168,159448,6015684,10272224
11,0.1,LocalHost,16288168,160488,6016360,10271808
12,0.1,LocalHost,16288168,159856,6016116,10272252
13,0.1,LocalHost,16288168,159824,6016020,10272148
14,0.1,LocalHost,16288168,159644,6015884,10272024
15,0.1,LocalHost,16288168,160188,6013364,10274608
16,0.1,LocalHost,16288168,160184,6016424,10271484
17,0.1,LocalHost,16288168,161004,6017244,10270924
18,0.1,LocalHost,16288168,161388,6017628,10270824
19,0.1,LocalHost,16288168,161088,6017328,10270840
20,0.1,LocalHost,16288168,160668,6016908,10271724
21,0.1,LocalHost,16288168,160220,6016612,10271556
22,0.1,LocalHost,16288168,160720,6016976,10270932
23,0.1,LocalHost,16288168,160988,6016952,10271216
24,0.1,LocalHost,16288168,160796,6017044,10271124
25,0.1,LocalHost,16288168,160812,6016732,10271176
26,0.1,LocalHost,16288168,161004,6017252,10270948
27,0.1,LocalHost,16288168,161256,6017056,10271112
28,0.1,LocalHost,16288168,160816,6017064,10271104
29,0.1,LocalHost,16288168,160800,6017048,10270600
30,0.1,LocalHost,16288168,161180,6017428,10270740
31,0.1,LocalHost,16288168,161128,6017344,10270564
32,0.1,LocalHost,16288168,161356,6017864,10270640
33,0.1,LocalHost,16288168,161076,6017324,10271112
34,0.1,LocalHost,16288168,160524,6016772,10271508
35,0.1,LocalHost,16288168,157876,6013344,10274824
36,0.1,LocalHost,16288168,161208,6017456,10270712
37,0.1,LocalHost,16288168,161192,6017440,10270728
38,0.1,LocalHost,16288168,160648,6016896,10271272
39,0.1,LocalHost,16288168,160280,6016236,10271908
40,0.1,LocalHost,16288168,160196,6016448,10271720
41,0.1,LocalHost,16288168,159852,6016104,10271804
42,0.1,LocalHost,16288168,160172,6016684,10271484
43,0.1,LocalHost,16288168,160436,6016688,10271480
44,0.1,LocalHost,16288168,160644,6016896,10271272
45,0.1,LocalHost,16288168,160408,6016676,10271492
46,0.1,LocalHost,16288168,160748,6016692,10271476
47,0.1,LocalHost,16288168,160436,6016420,10271828
48,0.1,LocalHost,16288168,159992,6016472,10271696
49,0.1,LocalHost,16288168,160060,6016052,10272116
50,0.1,LocalHost,16288168,159792,6016304,10271864
51,0.1,LocalHost,16288168,159716,6016228,10271744
52,0.1,LocalHost,16288168,160668,6016436,10271732
53,0.1,LocalHost,16288168,160144,6016396,10271772
54,0.1,LocalHost,16288168,160152,6016404,10271764
55,0.1,LocalHost,16288168,160080,6016332,10271836
56,0.1,LocalHost,16288168,159920,6016172,10271996
57,0.1,LocalHost,16288168,159912,6016164,10271784
58,0.1,LocalHost,16288168,160100,6016352,10271816
59,0.1,LocalHost,16288168,157596,6012840,10275328
60,0.1,LocalHost,16288168,159692,6016204,10272352
61,0.1,LocalHost,16288168,160068,6016324,10271844
62,0.1,LocalHost,16288168,160344,6016304,10271864
63,0.1,LocalHost,16288168,160548,6016272,10271896
64,0.1,LocalHost,16288168,159980,6016240,10271668
65,0.1,LocalHost,16288168,160384,6016644,10271264
66,0.1,LocalHost,16288168,160700,6016624,10271852
67,0.1,LocalHost,16288168,160100,6016104,10272364
68,0.1,LocalHost,16288168,159496,6015760,10272408
69,0.1,LocalHost,16288168,159788,6016204,10271964
70,0.1,LocalHost,16288168,159660,6015924,10272244
71,0.1,LocalHost,16288168,159684,6015672,10272496
72,0.1,LocalHost,16288168,160000,6016264,10271644
73,0.1,LocalHost,16288168,160724,6016988,10271180
74,0.1,LocalHost,16288168,160320,6016584,10271584
75,0.1,LocalHost,16288168,160200,6016724,10271444
76,0.1,LocalHost,16288168,160088,6016352,10271816
77,0.1,LocalHost,16288168,160128,6016044,10272124
78,0.1,LocalHost,16288168,159772,6016036,10272132
