iteration,date,time,measurement_period,machine/VNF,sys_cpu,totalmem,availablemem,percentmem,usedmem,freemem,activemem,inactivemem,buffers,cached,shared
0,2022-01-02,02:10:54,0.5,LocalHost,85.9,16679079936,7656509440,54.1,8477384704,2195345408,5209092096,1377308672,1275682816,4730667008,210944000
1,2022-01-02,02:10:55,0.5,LocalHost,99.5,16679079936,7603957760,54.4,8529936384,2142793728,5208293376,1377308672,1275682816,4730667008,210944000
2,2022-01-02,02:10:55,0.5,LocalHost,99.5,16679079936,7559811072,54.7,8574083072,2098647040,5207851008,1377308672,1275682816,4730667008,210944000
3,2022-01-02,02:10:56,0.5,LocalHost,85.4,16679079936,7559286784,54.7,8574607360,2098122752,5208068096,1377308672,1275682816,4730667008,210944000
4,2022-01-02,02:10:56,0.5,LocalHost,35.1,16679079936,7560699904,54.7,8573198336,2099527680,5204738048,1377316864,1275682816,4730671104,210944000
5,2022-01-02,02:10:57,0.5,LocalHost,33.9,16679079936,7560740864,54.7,8573157376,2099568640,5204549632,1377316864,1275682816,4730671104,210944000
6,2022-01-02,02:10:57,0.5,LocalHost,36.9,16679079936,7560757248,54.7,8573140992,2099585024,5204545536,1377316864,1275682816,4730671104,210944000
7,2022-01-02,02:10:58,0.5,LocalHost,35.9,16679079936,7560757248,54.7,8573140992,2099585024,5204606976,1377316864,1275682816,4730671104,210944000
8,2022-01-02,02:10:58,0.5,LocalHost,38.5,16679079936,7560757248,54.7,8573136896,2099585024,5204606976,1377316864,1275686912,4730671104,210944000
9,2022-01-02,02:10:59,0.5,LocalHost,40.7,16679079936,7560871936,54.7,8573022208,2099699712,5204664320,1377316864,1275686912,4730671104,210944000
10,2022-01-02,02:10:59,0.5,LocalHost,38.0,16679079936,7561019392,54.7,8572870656,2099843072,5204803584,1377320960,1275691008,4730675200,210944000
11,2022-01-02,02:11:00,0.5,LocalHost,38.6,16679079936,7560892416,54.7,8572997632,2099585024,5204803584,1377452032,1275691008,4730806272,210944000
12,2022-01-02,02:11:00,0.5,LocalHost,43.7,16679079936,7569928192,54.6,8573390848,2108616704,5204881408,1377431552,1275691008,4721381376,201519104
13,2022-01-02,02:11:01,0.5,LocalHost,43.1,16679079936,7569674240,54.6,8573648896,2108358656,5204942848,1377431552,1275691008,4721381376,201519104
